Depth sed [m]	O. universa [#]	G. conglobatus [#]	G. ruber p [#]	G. ruber w [#]	G. ruber [#] (sum of G. ruber pink and G. r...)	G. tenellus [#]	G. sacculifer wo sac [#]	G. sacculifer sac [#]	G. sacculifer [#] (sum of G. sacculifer no sac a...)	S. dehiscens [#]	G. adamsi [#]	G. aequilateralis [#]	G. calida [#]	G. bulloides [#]	G. falconensis [#]	G. digitata [#]	G. rubescens [#]	G. humilis [#]	G. quinqueloba [#]	N. pachyderma s [#]	N. pachyderma d [#]	G. dutertrei [#]	G. conglomerata [#]	G. hexagona [#]	P. obliquiloculata [#]	G. inflata [#]	G. truncatulinoides s [#]	G. truncatulinoides d [#]	G. crassaformis [#]	G. pachyderma [#]	G. hirsuta [#]	G. scitula [#]	G. anfracta [#]	G. menardii [#]	G. tumida [#]	G. tumida flexuosa [#]	G. menardii [#] (sum of G. menardii, G. tumida...)	C. nitida [#]	G. glutinata [#]	G. iota [#]	G. bradyi [#]	G. pumilio [#]	H. pelagica [#]	H. digitata [#]	Foram plankt oth [#]
0.00	6	0	22	77	99	1	44	13	57	3	0	10	1	0	1	0	4	0	0	0	1	19	0	0	1	0	2	1	1	0	0	0	0	14	10	0	24	2	29	0	0	0	0	0	0
0.60	4	4	29	124	153	8	23	8	31	0	0	35	0	8	9	1	10	0	0	0	0	16	0	0	1	19	1	5	4	0	0	1	0	0	0	0	0	0	40	0	0	0	0	0	4
