/* DATA DESCRIPTION:
Citation:	de Abreu, Lucia; Shackleton, Nicholas J; Schönfeld, Joachim; Hall, Michael A; Chapman, Mark R (2003): Planktic foraminifera counts of sediment core MD95-2040. PANGAEA, https://doi.org/10.1594/PANGAEA.66714, 
	In supplement to: de Abreu, L et al. (2003): Millenial-scale oceanic climate variability off the Western Iberian margin during the last two glacial periods. Marine Geology, 196(1-2), 1-20, https://doi.org/10.1016/S0025-3227(03)00046-X
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.581833 * LONGITUDE: -9.861167
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.020 m * MAXIMUM DEPTH, sediment/rock: 22.010 m
Event(s):	MD95-2040 (MD952040) * LATITUDE: 40.581833 * LONGITUDE: -9.861167 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -2465.0 m * Recovery: 35 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: https://doi.org/10.17600/95200110) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections, core bent; section IIb jamed in the bent part of the core, recuperated in 1/2 liner
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Orbulina universa [#] (O. universa) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides conglobatus [#] (G. conglobatus) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides ruber pink [#] (G. ruber p) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides ruber white [#] (G. ruber w) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides tenellus [#] (G. tenellus) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides trilobus trilobus [#] (G. trilobus tril) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides sacculifer [#] (G. sacculifer) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Sphaeroidinella dehiscens [#] (S. dehiscens) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinella aequilateralis [#] (G. aequilateralis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina calida [#] (G. calida) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina bulloides [#] (G. bulloides) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina falconensis [#] (G. falconensis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Beella digitata [#] (B. digitata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina rubescens [#] (G. rubescens) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Turborotalita quinqueloba [#] (T. quinqueloba) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma sinistral [#] (N. pachyderma s) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma dextral [#] (N. pachyderma d) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina dutertrei [#] (N. dutertrei) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Pulleniatina obliquiloculata [#] (P. obliquiloculata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia inflata [#] (G. inflata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia truncatulinoides sinistral [#] (G. truncatulinoides s) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia truncatulinoides dextral [#] (G. truncatulinoides d) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia crassaformis [#] (G. crassaformis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma dextral and dutertrei integrade [#] (P/D int) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia hirsuta sinistral [#] (G. hirsuta s) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia hirsuta dextral [#] (G. hirsuta d) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia scitula [#] (G. scitula) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia menardii [#] (G. menardii) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia tumida [#] (G. tumida) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita glutinata [#] (G. glutinata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Turborotalita humilis [#] (T. humilis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Candeina nitida [#] (C. nitida) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita uvula [#] (G. uvula) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Turborotalita cristata [#] (T. cristata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita iota [#] (G. iota) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Foraminifera, benthic [#] (Foram benth) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	26351 data points
*/
Depth sed [m]	O. universa [#]	G. conglobatus [#]	G. ruber p [#]	G. ruber w [#]	G. tenellus [#]	G. trilobus tril [#]	G. sacculifer [#]	S. dehiscens [#]	G. aequilateralis [#]	G. calida [#]	G. bulloides [#]	G. falconensis [#]	B. digitata [#]	G. rubescens [#]	T. quinqueloba [#]	N. pachyderma s [#]	N. pachyderma d [#]	N. dutertrei [#]	P. obliquiloculata [#]	G. inflata [#]	G. truncatulinoides s [#]	G. truncatulinoides d [#]	G. crassaformis [#]	P/D int [#]	G. hirsuta s [#]	G. hirsuta d [#]	G. scitula [#]	G. menardii [#]	G. tumida [#]	G. glutinata [#]	T. humilis [#]	C. nitida [#]	G. uvula [#]	T. cristata [#]	G. iota [#]	Foram benth [#]
2.900	0	0	0	0	0	0	0	0	4	0	67	7	1	0	79	699	18	0	0	9	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	35
2.930	0	0	0	0	0	0	0	0	2	0	57	3	0	0	44	388	27	0	0	13	1	0	0	7	0	0	19	0	0	26	0	0	0	0	0	29
2.960	2	0	0	1	0	0	0	0	7	0	46	8	1	0	26	104	22	0	0	9	0	0	0	2	0	0	6	0	0	17	0	0	0	0	0	12
2.990	2	0	0	2	0	0	0	0	7	0	96	21	0	0	85	221	58	0	0	19	0	1	0	6	0	0	32	0	0	46	0	0	0	0	0	35
3.020	0	0	0	0	0	0	0	0	14	0	115	13	2	0	108	268	99	0	0	44	0	0	0	9	0	0	72	0	0	74	0	0	0	0	0	41
3.050	1	0	0	1	0	0	0	0	2	0	75	13	1	0	48	180	37	0	0	18	0	0	0	5	0	0	50	0	0	34	0	0	0	0	0	16
3.080	0	0	0	0	0	0	0	0	6	0	145	20	1	0	88	185	157	0	0	31	0	0	0	11	0	0	76	0	0	80	0	0	0	0	0	37
3.110	1	0	0	0	0	0	0	0	13	0	105	22	1	0	58	70	97	0	0	43	0	0	0	4	0	0	70	0	0	52	0	0	0	0	0	44
3.140	1	0	0	2	0	0	0	0	6	0	113	21	0	0	36	80	114	0	0	44	0	1	0	7	0	0	57	0	0	53	0	0	0	0	0	31
3.170	2	0	0	3	0	0	0	0	16	0	94	24	1	0	27	21	155	0	0	71	0	0	0	5	0	0	75	0	0	59	0	0	0	0	0	28
3.200	1	0	0	1	0	0	0	0	15	0	94	51	0	0	69	38	178	0	0	84	0	0	0	6	0	0	121	0	0	107	0	0	0	0	0	28
3.230	3	0	0	2	1	0	0	0	13	0	66	35	0	0	18	10	117	0	0	58	0	2	0	16	0	0	67	0	0	60	0	0	0	0	0	28
3.260	2	0	0	1	1	0	0	0	12	0	65	28	0	0	31	8	162	0	0	82	0	0	0	10	0	0	69	0	0	72	0	0	0	0	0	30
3.290	0	0	0	2	0	0	0	0	15	0	53	41	1	0	70	11	191	0	0	57	0	1	0	8	0	0	79	0	0	78	0	0	0	0	0	67
3.320	3	0	0	1	0	0	0	0	19	0	82	61	0	0	58	62	170	0	0	65	0	2	0	14	0	0	80	0	0	84	0	0	1	0	0	52
3.350	2	0	0	2	0	0	0	0	12	0	63	69	1	0	75	65	196	0	0	45	0	2	0	13	0	0	73	0	0	98	0	0	0	0	0	66
3.380	0	0	0	1	0	0	0	0	8	0	50	40	1	0	65	36	137	0	0	42	0	1	0	6	0	0	50	0	0	71	0	0	0	0	0	31
3.410	4	0	0	7	0	0	0	0	21	0	88	72	0	0	94	55	339	0	0	96	0	4	0	8	0	0	103	0	0	121	0	0	0	0	0	79
3.440	3	0	0	3	0	0	0	0	15	0	40	26	0	0	43	21	138	0	0	83	0	0	0	5	0	0	48	0	0	57	0	0	0	0	0	36
3.470	7	0	0	5	1	0	0	0	22	0	64	40	0	0	67	24	237	0	0	85	0	0	0	9	0	0	101	0	0	60	0	0	0	0	0	51
3.500	2	0	0	4	0	0	0	0	11	0	44	28	0	0	33	8	104	0	0	35	0	1	0	2	0	0	54	0	0	37	0	0	0	0	0	22
3.530	11	0	0	6	1	0	0	0	22	0	75	31	0	0	44	16	147	0	0	58	0	1	0	5	0	0	51	0	0	61	0	0	0	0	0	51
3.560	9	0	0	10	1	0	0	0	28	0	87	24	0	0	75	35	257	0	0	146	1	4	0	7	0	0	89	0	0	118	0	0	0	0	0	91
3.590	4	0	0	5	1	0	0	0	5	0	60	33	1	0	42	12	157	0	0	53	0	1	0	7	0	0	54	0	0	60	0	0	0	0	0	51
3.620	3	0	0	6	1	0	0	0	9	0	60	17	0	0	33	10	98	0	0	46	0	2	0	4	0	0	27	0	0	44	0	0	0	0	0	43
3.650	6	0	0	4	0	0	0	0	14	0	44	19	0	0	35	11	108	0	0	45	0	0	0	7	0	0	44	0	0	56	0	0	0	0	0	40
3.680	2	0	0	9	0	0	0	0	17	0	78	27	0	0	25	17	132	0	0	60	0	1	0	2	0	0	54	0	0	55	0	0	0	0	0	57
3.710	4	0	0	10	0	0	0	0	3	0	69	20	0	0	27	7	114	0	0	52	0	0	0	5	0	0	29	0	0	36	0	0	0	0	0	43
3.740	2	0	0	14	0	0	0	0	8	0	49	23	0	0	44	15	135	0	0	53	0	0	0	3	0	0	31	0	0	49	0	0	0	0	0	52
3.770	6	0	0	8	1	0	0	0	6	0	64	33	1	0	37	23	160	0	0	80	0	1	0	2	0	0	43	0	0	37	0	0	0	0	0	59
3.800	5	0	0	12	0	0	0	0	10	0	85	40	0	0	59	19	153	0	0	68	0	0	0	8	0	0	45	0	0	51	0	0	0	0	0	70
3.830	4	0	0	19	0	0	0	0	11	0	92	32	2	0	47	31	152	0	0	97	0	0	0	8	0	0	55	0	0	62	0	0	0	0	0	88
3.860	3	0	0	3	0	0	0	0	5	0	60	22	0	0	57	26	96	0	0	50	0	0	0	6	0	0	55	0	0	44	0	0	0	0	0	70
3.890	6	0	0	16	0	0	0	0	9	0	98	37	0	0	54	34	183	0	0	75	0	0	0	7	0	0	37	0	0	59	0	0	0	0	0	77
3.920	6	0	0	9	0	0	0	0	7	0	70	43	0	0	53	40	178	0	0	71	0	1	0	6	0	0	39	0	0	68	0	0	0	0	0	118
3.950	6	0	0	11	0	0	0	0	3	0	63	34	0	1	23	30	130	0	0	95	0	0	0	4	0	0	26	0	0	31	0	0	0	0	0	86
3.980	3	0	0	14	0	0	0	0	4	0	49	35	0	0	40	30	88	0	0	68	0	0	0	8	0	0	25	0	0	23	0	0	0	0	0	97
4.010	3	0	0	6	0	0	0	0	4	0	89	30	1	0	12	10	79	0	0	32	0	0	0	9	0	0	26	0	0	32	0	0	0	0	0	64
4.040	7	0	1	20	0	0	0	0	6	0	114	42	0	0	86	55	320	0	0	110	0	0	0	11	0	0	90	0	0	97	0	0	0	0	0	220
4.070	7	0	0	5	0	0	0	0	5	0	85	24	0	0	31	18	166	0	0	60	0	1	0	11	0	0	50	0	0	45	0	0	0	0	0	71
4.100	5	0	0	3	0	0	0	0	4	0	76	20	2	0	36	16	126	0	0	35	0	1	0	8	0	0	33	0	0	45	0	0	0	0	0	32
4.130	2	0	0	3	0	0	0	0	5	0	83	16	1	0	34	8	160	0	0	43	0	1	0	7	0	0	23	0	0	54	0	0	0	0	0	55
4.160	3	0	0	7	0	0	0	0	4	0	75	17	0	0	43	11	178	0	0	36	0	0	0	5	0	0	37	0	0	49	0	0	1	0	0	63
4.190	3	0	0	8	0	0	0	0	4	0	74	15	0	0	28	5	92	0	0	35	0	0	0	5	0	0	16	0	0	26	0	0	0	0	0	18
4.220	8	0	0	5	0	0	0	0	11	0	84	36	0	0	57	15	169	0	0	45	0	1	0	14	0	0	26	0	0	38	0	0	0	0	0	36
4.250	5	0	0	4	1	0	0	0	2	0	49	11	1	0	60	11	118	0	0	41	0	0	0	4	0	0	22	0	0	36	0	0	0	0	0	27
4.280	2	0	0	7	0	0	0	0	7	0	73	30	1	0	55	13	193	0	0	51	0	0	0	7	0	0	31	0	0	38	0	0	0	0	0	55
4.310	6	0	0	32	0	0	0	0	6	0	86	30	2	0	85	8	165	0	0	24	0	0	0	11	0	0	44	0	0	49	1	0	0	0	0	54
4.340	12	0	0	5	0	1	0	0	9	0	232	22	0	1	153	29	655	0	0	134	0	3	0	43	0	0	100	0	0	366	0	0	0	0	0	160
4.370	2	0	0	5	0	0	0	0	2	0	44	23	0	0	24	2	107	0	0	19	0	0	0	10	0	0	33	0	0	34	0	0	0	0	0	35
4.400	4	0	0	12	0	0	0	0	4	0	81	17	0	0	49	9	234	0	0	38	0	0	0	14	0	0	45	0	0	64	0	0	0	0	0	77
4.430	3	0	0	11	0	0	0	0	5	0	82	32	0	1	86	8	239	0	0	43	0	0	0	7	0	0	63	0	0	106	0	0	0	0	0	88
4.460	6	0	0	9	0	0	0	0	9	0	116	27	0	1	84	13	293	0	0	54	0	1	0	12	0	0	100	0	0	105	0	0	0	0	0	110
4.490	3	2	0	17	0	0	0	0	9	0	85	28	0	0	78	13	246	0	0	55	0	0	0	8	0	0	65	0	0	95	0	0	0	0	0	76
4.520	5	4	0	3	0	0	0	0	7	0	112	15	2	1	67	21	378	0	0	41	0	0	0	12	0	0	65	0	0	76	0	0	0	0	0	89
4.550	4	2	0	5	0	0	0	0	4	0	110	31	1	1	63	26	210	0	0	47	0	0	0	13	0	0	39	0	0	70	0	0	0	0	0	80
4.580	3	0	0	7	0	0	0	0	4	0	48	38	0	0	59	27	161	0	0	32	0	1	0	9	0	0	35	0	0	54	0	0	0	0	0	81
4.610	3	3	0	4	0	0	0	0	6	0	88	34	0	0	73	21	184	0	0	52	0	1	0	10	0	0	43	0	0	57	0	0	0	0	0	79
4.640	2	2	0	6	1	0	0	0	2	0	113	24	0	0	72	40	184	0	0	50	0	0	0	4	0	0	60	0	0	82	0	0	0	0	0	69
4.670	4	0	0	4	0	0	0	0	7	0	136	22	0	1	109	36	260	0	0	60	0	0	0	9	0	0	79	0	0	112	0	0	0	0	0	106
4.700	0	1	0	5	0	0	0	0	9	0	74	42	0	0	101	27	144	0	0	50	0	0	0	4	0	0	61	0	0	63	0	0	0	0	0	83
4.730	4	3	0	5	0	0	0	0	12	0	81	31	0	0	91	32	173	0	0	56	0	0	0	8	0	0	96	0	0	80	0	0	0	0	0	85
4.760	3	1	0	4	0	0	0	0	5	0	122	16	0	0	75	52	184	0	0	45	1	2	0	10	0	0	47	0	0	77	0	0	0	0	0	92
4.790	0	2	0	1	0	0	0	0	2	0	75	43	0	0	79	64	189	0	0	45	0	0	0	7	0	0	59	0	0	61	0	0	0	0	0	82
4.820	0	0	0	5	0	0	0	0	2	0	68	25	0	0	55	65	111	0	0	32	0	0	0	7	0	0	42	0	0	50	0	0	0	0	0	58
4.850	2	0	0	0	0	0	0	0	2	0	49	14	0	0	45	99	78	0	0	13	0	0	0	3	0	0	16	0	0	42	0	0	0	0	0	45
4.880	0	0	0	3	0	0	0	0	0	0	41	16	0	0	43	156	57	0	0	10	0	0	0	3	0	0	12	0	0	25	0	0	0	0	0	36
4.910	2	0	0	0	0	0	0	0	1	0	52	38	0	0	49	253	39	0	0	10	0	0	0	2	0	0	6	0	0	22	0	0	0	0	0	22
4.940	1	0	0	0	0	0	0	0	1	0	58	19	0	0	37	369	24	0	0	14	0	0	0	2	0	0	4	0	0	10	0	0	0	0	0	20
4.970	1	0	0	0	0	0	0	0	1	0	95	43	1	0	85	457	39	0	0	16	0	1	0	0	0	0	17	0	0	30	0	0	0	0	0	28
5.000	0	0	0	1	0	0	0	0	0	0	65	13	0	0	87	221	23	0	0	9	0	2	0	0	0	0	10	0	0	12	0	0	0	0	0	28
5.030	0	0	0	1	0	0	0	0	0	0	82	19	0	0	67	387	27	0	0	23	0	0	0	4	0	0	9	0	0	14	0	0	0	0	0	26
5.060	2	0	0	2	0	0	0	0	4	0	146	19	1	0	73	389	111	0	0	33	1	0	0	4	0	0	22	0	0	61	0	0	0	0	0	54
5.090	0	0	0	0	0	0	0	0	0	0	25	7	0	0	40	95	30	0	0	8	0	0	0	1	0	0	5	0	0	12	0	0	0	0	0	10
5.120	2	0	0	0	0	0	0	0	0	0	47	25	0	0	48	152	34	0	0	29	0	0	0	0	0	0	10	0	0	24	0	0	0	0	0	25
5.150	2	0	0	0	0	0	0	0	1	0	58	30	1	0	38	90	60	0	0	37	0	0	0	1	0	0	15	0	0	28	0	0	0	0	0	28
5.180	5	1	0	3	0	0	0	0	6	0	114	68	3	0	99	110	154	0	0	75	0	0	0	4	0	0	42	0	0	109	0	0	0	0	0	55
5.210	2	2	0	1	0	0	0	0	6	0	118	45	0	0	40	40	91	0	0	41	0	0	0	4	0	0	25	0	0	55	0	0	0	0	0	21
5.240	0	0	0	0	0	0	0	0	3	0	96	46	1	0	36	41	100	0	0	35	0	0	0	5	0	0	21	0	0	68	0	0	0	0	0	16
5.270	1	0	0	0	0	0	0	0	4	0	166	54	0	0	51	18	135	0	0	50	0	0	0	4	0	0	40	0	0	91	0	0	0	0	0	18
5.300	1	2	0	0	0	0	0	0	4	0	188	64	0	0	71	43	151	0	0	57	0	0	0	9	0	0	84	0	0	100	0	0	0	0	0	22
5.330	5	0	0	1	0	0	0	0	7	0	150	65	1	0	64	38	142	0	0	67	0	0	0	6	1	0	42	0	0	96	0	0	0	0	0	32
5.360	2	2	0	0	0	0	0	0	4	0	166	44	0	0	62	23	125	0	0	84	0	0	0	6	0	0	44	0	0	71	0	0	0	0	0	23
5.390	4	0	0	0	0	0	0	0	6	0	100	44	0	0	64	43	121	0	0	45	0	0	0	4	0	0	38	0	0	74	0	0	0	0	0	18
5.420	0	0	0	0	0	0	0	0	6	0	100	29	0	0	43	19	69	0	0	30	0	0	0	6	0	0	20	0	0	52	0	0	0	0	0	25
5.450	3	0	0	0	0	0	0	0	10	0	205	50	0	0	66	64	165	0	0	46	0	0	0	1	0	0	51	0	0	114	0	0	0	0	0	29
5.480	3	0	0	0	0	0	0	0	3	0	92	28	1	0	36	34	68	0	0	28	0	0	0	3	0	0	28	0	0	35	0	0	0	0	0	17
5.510	1	0	0	0	0	0	0	0	3	0	128	38	2	0	55	67	119	0	0	49	0	0	0	5	1	0	49	0	0	74	0	0	0	0	0	33
5.540	0	0	0	0	0	0	0	0	2	0	100	67	0	0	57	72	91	0	0	43	0	0	0	5	0	0	43	0	0	56	0	0	0	0	0	47
5.570	4	0	0	0	0	0	0	0	1	0	60	10	2	0	42	28	36	0	0	24	0	0	0	0	0	0	24	0	0	34	0	0	0	0	0	23
5.600	1	0	0	0	0	0	0	0	0	0	74	28	1	0	53	37	46	0	0	43	1	1	0	1	0	0	32	0	0	38	0	0	0	0	0	44
5.630	1	0	0	1	0	0	0	0	1	0	100	69	1	0	88	38	68	0	0	19	0	1	0	9	0	0	46	0	0	59	0	0	0	0	0	28
5.660	2	0	0	0	0	0	0	0	6	0	109	80	0	0	99	64	73	0	0	16	0	1	0	5	0	0	45	0	0	66	0	0	0	0	0	34
5.690	3	0	0	1	0	0	0	0	2	0	149	100	0	0	123	163	88	0	0	11	1	1	0	3	0	0	37	0	0	56	0	0	0	0	0	56
5.720	2	0	0	1	0	0	0	0	1	0	160	108	1	0	106	182	84	0	0	31	0	1	0	6	0	0	24	0	0	67	3	0	0	0	0	97
5.750	0	0	0	0	0	0	0	0	1	0	91	64	2	0	120	164	43	0	0	12	0	0	0	1	0	0	23	0	0	51	0	0	0	0	0	54
5.780	0	0	0	0	0	0	0	0	0	0	88	70	2	0	151	169	64	0	0	27	0	0	0	1	0	0	16	0	0	53	0	0	0	0	0	78
5.810	0	0	0	0	0	0	0	0	0	0	67	49	0	0	90	56	55	0	0	9	0	0	0	1	0	0	29	0	0	36	0	0	0	0	0	50
5.840	0	0	0	0	0	0	0	0	0	0	46	36	0	0	75	46	58	0	0	18	0	0	0	1	0	0	15	0	0	24	0	0	0	0	0	44
5.870	1	0	0	5	0	0	0	0	1	0	99	71	0	0	150	125	91	0	0	45	0	1	0	1	0	0	38	0	0	70	0	0	0	0	0	67
5.900	3	0	0	4	0	0	0	0	1	0	84	66	2	0	118	83	102	0	0	39	0	1	0	3	0	0	33	0	0	80	0	0	0	0	0	50
5.930	0	0	0	2	0	0	0	0	2	0	54	70	1	0	134	63	77	0	0	35	0	0	0	4	0	0	41	0	0	66	0	0	0	0	0	71
5.960	0	0	0	0	0	0	0	0	2	0	45	60	2	0	131	47	113	0	0	41	0	0	0	3	0	0	25	0	0	73	0	0	0	0	0	86
5.990	0	0	0	2	0	0	0	0	3	0	60	40	2	0	69	16	103	0	0	34	1	2	0	5	0	0	34	0	0	65	0	0	0	0	0	60
6.020	0	0	0	2	0	0	0	0	3	0	63	61	1	0	104	26	99	0	0	38	0	0	0	1	0	0	30	0	0	88	0	0	0	0	0	81
6.050	5	0	0	0	0	0	0	0	3	0	71	37	1	0	82	7	114	0	0	29	0	1	0	5	0	0	33	0	0	75	1	0	0	0	0	66
6.080	2	0	0	3	0	0	0	0	4	0	50	55	0	0	105	14	127	0	0	38	0	0	0	4	0	0	48	0	0	83	0	0	0	0	0	88
6.110	4	0	0	1	0	0	0	0	3	0	56	36	0	1	94	10	95	0	0	31	0	0	0	5	0	0	38	0	0	82	0	0	0	0	0	69
6.140	2	0	0	0	0	0	0	0	3	0	47	26	0	0	81	16	109	0	0	55	0	0	0	3	0	0	26	0	0	65	0	0	0	0	0	63
6.170	3	0	0	0	0	0	0	0	1	0	75	50	0	0	51	12	92	0	0	53	0	0	0	5	0	0	29	0	0	66	0	0	0	0	0	54
6.200	0	0	0	1	0	0	0	0	3	0	80	54	1	0	89	14	89	0	0	50	0	0	0	0	0	0	32	0	0	104	0	0	0	0	0	85
6.230	3	0	0	0	0	0	0	0	2	0	70	47	0	0	92	17	99	0	0	41	0	1	0	5	0	0	28	0	0	70	0	0	0	0	0	53
6.260	0	0	0	2	0	0	0	0	0	0	74	54	0	0	100	15	116	0	0	41	0	0	0	1	0	0	28	0	0	66	0	0	0	0	0	56
6.290	5	0	0	1	0	0	0	0	2	0	112	73	0	0	147	31	105	0	0	65	0	1	0	5	0	0	58	0	0	134	0	0	0	0	0	80
6.320	1	0	0	0	0	0	0	0	1	0	63	60	3	0	114	35	207	0	0	95	0	1	0	2	0	0	57	0	0	105	0	0	0	0	0	70
6.350	1	0	0	2	0	0	0	0	1	0	78	38	1	0	80	30	83	0	0	64	0	1	0	3	0	0	37	0	0	83	0	0	0	0	0	41
6.380	1	0	0	0	0	0	0	0	4	0	77	67	1	0	138	61	118	0	0	72	0	1	0	9	0	0	49	0	0	132	0	0	0	0	0	83
6.410	3	0	0	1	0	0	0	0	1	0	68	22	1	0	51	30	54	0	0	44	0	0	0	0	0	0	16	0	0	51	0	0	0	0	0	17
6.440	1	0	0	0	0	0	0	0	3	0	48	33	0	0	56	17	62	0	0	48	0	0	0	2	0	0	19	0	0	54	0	0	0	0	0	45
6.470	1	0	0	0	0	0	0	0	2	0	76	45	0	0	68	64	72	0	0	55	0	0	0	2	0	0	21	0	0	49	0	0	0	0	0	48
6.500	2	0	0	0	0	0	0	0	3	0	58	39	2	0	61	153	53	0	0	31	0	0	0	6	0	0	5	0	0	16	0	0	0	0	0	46
6.530	1	0	0	0	0	0	0	0	1	0	51	10	0	0	46	100	35	0	0	12	0	0	0	2	0	0	4	0	0	11	0	0	0	0	0	27
6.560	0	0	0	0	0	0	0	0	0	0	71	13	0	0	33	82	42	0	0	22	0	0	0	2	0	0	5	0	0	18	0	0	0	0	0	43
6.590	1	0	0	2	0	0	0	0	0	0	89	18	0	0	76	88	44	0	0	21	0	0	0	1	0	0	16	0	0	18	0	0	0	0	0	47
6.620	0	0	0	3	0	0	0	0	1	0	131	16	0	0	80	91	58	0	0	46	0	0	0	0	0	0	18	0	0	40	0	0	0	0	0	78
6.650	1	0	0	0	0	0	0	0	0	0	58	17	1	0	45	59	29	0	0	24	0	0	0	2	0	0	13	0	0	21	0	0	0	0	0	34
6.680	1	0	0	2	0	0	0	0	0	0	88	8	2	0	38	65	34	0	0	17	0	1	0	0	0	0	10	0	0	22	0	0	0	0	0	57
6.710	0	0	0	3	0	0	0	0	2	0	100	17	0	0	83	101	41	0	0	29	0	0	0	0	0	0	27	0	0	21	0	0	0	0	0	58
6.740	1	0	0	1	0	0	0	0	0	0	107	16	0	0	71	100	54	0	0	23	1	0	0	1	0	0	18	0	0	23	0	0	0	0	0	60
6.770	2	0	0	1	1	0	0	0	2	0	178	29	0	0	112	155	142	0	0	41	0	1	0	3	0	0	28	0	0	46	0	0	0	0	0	107
6.800	2	0	0	1	1	0	0	0	1	0	71	19	0	0	40	70	50	0	0	18	1	2	0	1	0	0	6	0	0	24	0	0	0	0	0	59
6.830	0	0	0	2	0	0	0	0	0	0	113	24	0	0	56	199	92	0	0	43	0	0	0	7	0	0	17	0	0	27	0	0	0	0	0	80
6.860	0	0	0	0	0	0	0	0	1	0	62	22	0	0	37	132	49	0	0	19	0	1	0	0	0	1	10	0	0	16	0	0	0	0	0	56
6.890	0	0	0	4	0	0	0	0	0	0	38	14	0	0	26	145	31	0	0	20	0	0	0	2	0	0	2	0	0	13	0	0	0	0	0	70
6.920	0	0	0	2	0	0	0	0	0	0	122	18	0	0	54	253	57	0	0	32	0	1	0	7	0	0	11	0	0	24	0	0	0	0	0	90
6.950	0	0	0	1	0	0	0	0	1	0	78	15	1	0	63	232	54	0	0	29	0	0	0	1	0	0	6	0	0	28	0	0	0	0	0	66
6.980	1	0	0	1	0	0	0	0	1	0	92	18	1	0	48	292	42	0	0	3	0	1	0	2	0	1	3	0	0	11	0	0	0	0	0	35
7.010	8	0	0	3	0	0	0	0	1	0	178	24	0	0	64	400	56	0	0	31	0	0	0	2	2	0	5	0	0	18	0	0	0	0	0	82
7.040	1	0	0	1	1	0	0	0	0	0	100	35	1	0	59	471	32	0	0	9	0	0	0	0	0	0	6	0	0	16	0	0	0	0	0	44
