/* DATA DESCRIPTION:
Citation:	de Abreu, Lucia; Shackleton, Nicholas J; Schönfeld, Joachim; Hall, Michael A; Chapman, Mark R (2003): Planktic foraminifera counts of sediment core MD95-2040. PANGAEA, https://doi.org/10.1594/PANGAEA.66714, 
	In supplement to: de Abreu, L et al. (2003): Millenial-scale oceanic climate variability off the Western Iberian margin during the last two glacial periods. Marine Geology, 196(1-2), 1-20, https://doi.org/10.1016/S0025-3227(03)00046-X
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.581833 * LONGITUDE: -9.861167
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.020 m * MAXIMUM DEPTH, sediment/rock: 22.010 m
Event(s):	MD95-2040 (MD952040) * LATITUDE: 40.581833 * LONGITUDE: -9.861167 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -2465.0 m * Recovery: 35 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: https://doi.org/10.17600/95200110) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections, core bent; section IIb jamed in the bent part of the core, recuperated in 1/2 liner
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Orbulina universa [#] (O. universa) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides conglobatus [#] (G. conglobatus) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides ruber pink [#] (G. ruber p) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides ruber white [#] (G. ruber w) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides tenellus [#] (G. tenellus) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides trilobus trilobus [#] (G. trilobus tril) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides sacculifer [#] (G. sacculifer) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Sphaeroidinella dehiscens [#] (S. dehiscens) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinella aequilateralis [#] (G. aequilateralis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina calida [#] (G. calida) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina bulloides [#] (G. bulloides) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina falconensis [#] (G. falconensis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Beella digitata [#] (B. digitata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina rubescens [#] (G. rubescens) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Turborotalita quinqueloba [#] (T. quinqueloba) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma sinistral [#] (N. pachyderma s) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma dextral [#] (N. pachyderma d) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina dutertrei [#] (N. dutertrei) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Pulleniatina obliquiloculata [#] (P. obliquiloculata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia inflata [#] (G. inflata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia truncatulinoides sinistral [#] (G. truncatulinoides s) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia truncatulinoides dextral [#] (G. truncatulinoides d) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia crassaformis [#] (G. crassaformis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma dextral and dutertrei integrade [#] (P/D int) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia hirsuta sinistral [#] (G. hirsuta s) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia hirsuta dextral [#] (G. hirsuta d) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia scitula [#] (G. scitula) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia menardii [#] (G. menardii) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia tumida [#] (G. tumida) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita glutinata [#] (G. glutinata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Turborotalita humilis [#] (T. humilis) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Candeina nitida [#] (C. nitida) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita uvula [#] (G. uvula) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Turborotalita cristata [#] (T. cristata) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita iota [#] (G. iota) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
	Foraminifera, benthic [#] (Foram benth) * PI: de Abreu, Lucia * METHOD/DEVICE: Counting >150 µm fraction
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	26351 data points
*/
Depth sed [m]	O. universa [#]	G. conglobatus [#]	G. ruber p [#]	G. ruber w [#]	G. tenellus [#]	G. trilobus tril [#]	G. sacculifer [#]	S. dehiscens [#]	G. aequilateralis [#]	G. calida [#]	G. bulloides [#]	G. falconensis [#]	B. digitata [#]	G. rubescens [#]	T. quinqueloba [#]	N. pachyderma s [#]	N. pachyderma d [#]	N. dutertrei [#]	P. obliquiloculata [#]	G. inflata [#]	G. truncatulinoides s [#]	G. truncatulinoides d [#]	G. crassaformis [#]	P/D int [#]	G. hirsuta s [#]	G. hirsuta d [#]	G. scitula [#]	G. menardii [#]	G. tumida [#]	G. glutinata [#]	T. humilis [#]	C. nitida [#]	G. uvula [#]	T. cristata [#]	G. iota [#]	Foram benth [#]
0.020	8	0	0	34	1	2	0	0	19	1	132	46	2	0	5	8	189	0	0	80	2	17	0	3	0	7	17	0	0	41	1	0	0	0	0	9
0.050	8	0	1	28	6	2	1	0	20	1	160	76	3	2	13	7	290	0	0	91	9	24	0	5	0	5	17	0	0	45	1	0	0	0	0	14
0.080	2	0	0	15	2	1	2	0	5	1	92	39	0	0	6	2	129	0	0	40	4	5	0	3	0	0	12	0	0	25	4	0	0	0	0	14
0.110	7	1	0	14	1	2	1	0	13	0	92	23	0	0	7	2	124	0	0	41	0	9	0	2	1	1	13	0	0	26	1	0	0	0	0	13
0.140	2	0	0	10	0	0	1	0	9	0	102	34	0	1	3	3	136	0	0	53	0	7	0	3	0	2	5	0	0	25	1	0	0	0	0	13
0.170	4	0	2	16	1	4	0	0	21	0	104	9	1	0	3	5	144	1	0	71	2	13	0	0	1	1	10	0	0	63	2	0	0	0	0	12
0.200	20	0	1	14	0	2	1	0	27	0	156	37	1	1	4	2	166	2	0	94	7	35	0	2	1	3	11	0	0	44	2	0	0	0	0	8
0.230	4	0	0	15	1	0	2	0	12	1	79	10	0	7	2	4	74	0	0	40	3	10	0	0	0	0	10	0	0	24	2	0	0	0	0	6
0.260	10	0	0	25	1	1	0	0	17	0	110	12	3	4	6	4	137	0	0	40	1	18	0	0	0	1	10	0	0	29	2	0	0	0	0	4
0.290	2	0	1	13	1	1	0	0	14	0	109	32	1	5	10	3	147	0	0	40	3	13	0	3	0	0	13	0	0	44	0	0	0	0	0	5
0.320	8	0	2	22	1	4	0	0	42	2	161	44	2	1	3	6	203	0	0	67	6	13	0	7	2	0	8	0	0	22	1	0	0	0	0	14
0.350	11	0	2	41	8	0	0	0	36	0	185	39	3	1	12	6	271	0	0	81	8	16	0	10	0	1	20	0	0	48	3	0	0	0	0	15
0.380	4	0	3	29	0	1	2	0	23	0	114	25	4	4	6	7	128	0	0	52	4	17	0	2	0	3	3	0	0	26	0	0	0	0	0	5
0.410	12	0	1	27	5	1	1	0	35	0	201	39	0	2	13	14	251	0	0	98	5	19	0	16	1	0	12	0	0	40	2	0	0	0	0	14
0.440	7	0	0	16	5	0	1	0	17	0	134	27	4	1	7	4	155	0	0	35	1	12	0	9	0	1	23	0	0	40	0	0	0	0	0	9
0.470	8	0	0	17	1	0	1	0	20	0	94	21	1	0	13	9	123	0	0	44	2	12	0	4	1	1	13	0	0	24	3	0	1	1	0	10
0.500	7	0	1	11	1	0	0	0	20	0	89	25	2	1	4	4	126	0	0	33	1	10	0	1	0	1	9	0	0	25	1	0	0	0	0	6
0.530	7	1	0	13	2	0	0	0	20	0	77	24	0	3	4	9	94	0	0	34	2	4	0	3	1	2	8	0	0	25	0	0	0	0	0	2
0.560	5	0	2	21	2	1	0	0	30	0	121	36	2	1	17	25	149	0	0	65	7	11	0	2	0	2	18	0	0	33	1	0	0	1	0	14
0.590	4	0	0	19	1	1	1	0	26	2	133	38	0	2	33	18	178	0	0	44	3	9	0	9	1	0	13	0	0	24	2	0	0	0	0	18
0.620	5	0	0	20	0	2	0	0	28	0	138	23	0	0	9	23	161	0	0	70	2	14	0	4	4	2	4	0	0	31	4	0	0	0	0	14
0.650	3	0	0	17	2	2	0	0	19	0	117	40	1	0	17	33	165	0	0	61	8	11	0	3	3	1	8	0	0	34	2	0	0	0	0	17
0.680	6	0	0	21	2	0	0	0	20	0	133	45	1	0	19	36	202	0	0	59	3	3	0	5	2	0	12	0	0	33	2	0	1	0	0	25
0.710	5	0	1	11	1	2	0	0	21	0	103	29	2	0	12	25	146	0	0	65	6	8	0	4	1	0	6	0	0	24	1	0	0	0	0	26
0.740	3	0	0	8	3	0	0	0	6	0	66	22	0	0	9	26	104	0	0	23	3	1	0	1	1	3	5	0	0	17	2	0	0	0	0	12
0.770	3	0	1	15	2	0	0	0	10	0	93	30	1	1	11	28	96	0	0	44	4	5	0	2	3	0	7	0	0	30	3	0	0	0	0	26
0.800	5	0	0	16	2	0	0	0	12	0	98	24	0	0	20	23	138	0	0	57	1	9	0	6	2	0	7	0	0	24	0	0	0	0	0	25
0.830	5	0	0	26	0	2	0	0	22	1	110	24	1	0	7	25	140	0	0	46	3	5	0	2	2	0	9	0	0	21	1	0	0	0	0	10
0.860	3	0	0	19	0	1	0	0	12	0	100	21	0	0	13	15	116	0	0	51	2	3	0	8	0	2	6	0	0	18	0	0	0	0	0	20
0.890	3	0	0	10	0	0	0	0	7	0	93	24	0	0	12	13	110	0	0	27	1	1	0	6	0	0	4	0	0	6	0	0	0	1	0	23
0.920	2	0	0	11	0	2	0	0	14	0	100	21	1	0	13	21	146	0	0	52	0	4	0	2	2	0	13	0	0	21	1	0	0	0	0	23
0.950	5	0	1	15	1	1	0	0	17	0	110	29	0	0	21	25	156	0	0	52	3	2	0	1	1	2	6	0	0	28	1	0	1	0	0	23
0.980	5	0	0	7	0	0	0	0	9	0	83	26	0	0	14	30	122	0	0	42	4	1	0	3	0	2	3	0	0	14	1	0	0	0	0	21
1.010	4	0	0	6	0	1	0	0	12	0	52	20	1	0	16	26	95	0	0	37	3	0	0	3	1	0	4	0	0	16	1	0	0	0	0	14
1.040	4	0	1	16	2	1	0	0	18	1	125	30	1	0	16	51	180	0	0	50	7	3	0	8	4	1	7	0	0	25	2	0	0	0	0	38
1.070	6	0	1	29	6	1	0	0	16	0	158	34	0	0	23	55	227	0	0	66	14	9	0	9	3	1	20	0	0	32	2	0	1	0	0	56
1.100	5	0	3	39	0	2	0	0	12	0	196	54	1	0	37	73	277	0	0	74	10	6	0	6	2	1	16	0	0	27	1	0	0	0	0	53
1.130	7	0	2	20	0	1	0	0	10	0	127	26	1	0	18	35	157	0	0	63	3	3	0	3	3	0	9	0	0	24	2	0	0	0	0	31
1.160	1	0	1	19	3	1	0	0	7	0	111	25	2	0	27	39	167	0	0	42	7	4	0	2	2	1	14	0	0	32	3	0	0	0	0	32
1.190	6	0	1	16	2	0	0	0	7	0	93	19	1	0	23	29	145	0	0	32	2	8	0	7	3	0	5	0	0	20	0	0	0	0	0	24
1.220	8	0	0	12	2	0	0	0	12	0	106	25	2	0	21	30	104	0	0	53	6	7	0	3	3	0	3	0	0	18	1	0	0	0	0	35
1.250	5	0	0	19	1	0	0	0	17	1	143	28	0	0	20	26	129	0	0	44	6	7	0	5	1	0	5	0	0	26	1	0	1	0	0	31
1.280	3	0	0	15	4	0	0	0	10	0	124	39	1	0	26	31	150	0	0	33	5	9	0	3	4	0	2	0	0	23	3	0	0	0	0	29
1.310	3	0	0	18	2	1	0	0	5	0	108	27	0	0	40	37	149	0	0	36	2	4	0	1	2	0	9	0	0	24	2	0	0	0	0	25
