Event	Depth sed [m]	Depth top [m]	Depth bot [m]	Depth adj [ambsf] (spliced)	Age [ka BP]	N. pachyderma s δ18O [‰ PDB] (vs. VPDB)	N. pachyderma s δ13C [‰ PDB] (vs. VPDB)	Cibicidoides spp. δ18O [‰ PDB] (C. wuellerstorfi or C. kullen...)	Cibicidoides spp. δ13C [‰ PDB] (C. wuellerstorfi or C. kullen...)	CaCO3 [%]	TC [%]	TOC [%]	Wet m [g]	Dry m [g]	Samp m [g] (dry)	Water wm [%]	100-63 µm [%]	150-100 µm [%]	500-150 µm [%]	1-0.5 mm [%]	>1 mm [%]	<63 µm [%]	Volc grains [#] (Counting >1000 µm fraction)	Lithic [#] (Counting >1000 µm fraction)	Volc glass basalt [%] (Counting >1000 µm fraction)	Volc glass rhyolit [%] (Counting >1000 µm fraction)	Volc grains [#] (Counting 500-1000 µm fraction)	Lithic [#] (Counting 500-1000 µm fraction)	Volc glass basalt [%] (Counting 500-1000 µm fraction)	Volc glass rhyolit [%] (Counting 500-1000 µm fraction)	Volc grains [#] (Counting 150-500 µm fraction)	Lithic [#] (Counting 150-500 µm fraction)	Volc glass basalt [%] (Counting 150-500 µm fraction)	Volc glass rhyolit [%] (Counting 150-500 µm fraction)	N. pachyderma [%] (formerly N. pachyderma sinist...)	N. incompta [%] (formerly N. pachyderma dextra...)	T. quinqueloba [%] (Counting 150-500 µm fraction)	G. bulloides [%] (Counting 150-500 µm fraction)	G. uvula [%] (Counting 150-500 µm fraction)	G. falconensis [%] (Counting 150-500 µm fraction)	G. inflata [%] (Counting 150-500 µm fraction)	G. glutinata [%] (Counting 150-500 µm fraction)	N. dutertrei [%] (Counting 150-500 µm fraction)	Foram plankt oth [%] (other/unidentified, Counting ...)	Foram plankt [#/g] (Counting 150-500 µm fraction)	B. marginata [#/g] (Counting 150-500 µm fraction)	Foram benth [#/g] (Counting 150-500 µm fraction)
JM96-1225/1-GC	0.235	0.23	0.24	0.235	12.0	3.52									11.31								0.44	1.68	1.77	0.00	4.16	10.88	16.09	1.15	127	549.00	788.00	2260.00	91.03	3.21	1.92	1.28	0.00	0.00	0.00	1.28	1.28	0.00	1241		19.10
JM96-1225/1-GC	0.245	0.24	0.25	0.245	12.2	3.34	0.46	2.99	0.70				29.59	15.84	15.84	46.47	6.12	4.99	11.93	2.78	5.18	69.00	0.00	2.84	2.78	0.82	0.00	15.72	21.40	3.54	0	1807.00	1312.00	649.00	83.56	4.70	7.38	3.36	0.00	0.00	0.00	0.67	0.00	0.34	3386		16.16
JM96-1225/1-GC	0.255	0.25	0.26	0.255	12.5	3.66									6.70		8.06	8.36	18.81	2.84	1.94	60.00	0.90	1.64	0.90	0.15	4.03	11.34	14.78	0.30	365	2278.00	1547.00	365.00	78.26	4.74	8.70	5.93	0.00	0.00	0.00	1.58	0.79	0.00	13594		64.48
JM96-1225/1-GC	0.265	0.26	0.27	0.265	12.7	3.84	0.28	3.38	0.92	12.910	1.7100	0.170		15.25	12.81		3.90	5.15	15.69	2.50	10.46	62.30				0.00																					
JM96-1225/1-GC	0.275	0.27	0.28	0.275	12.9	3.54									11.34								1.32	6.61	1.76	0.00	6.17	22.84	17.37	0.00	73	1433.00	1868.00	236.00	89.69	2.24	4.04	1.79	0.00	0.00	0.00	0.00	2.24	0.00	14159		63.49
JM96-1225/1-GC	0.285	0.28	0.29	0.285	13.2	3.76				10.880	1.4500	0.150			6.51		6.30	6.45	17.05	3.69	3.69	62.83	1.23	4.76	2.76	0.00	5.22	23.81	18.59	0.00	133	2234.00	2278.00	66.00	87.08	2.08	4.17	1.67	0.00	0.00	0.00	0.42	4.58	0.00	13272		33.18
JM96-1225/1-GC	0.295	0.29	0.30	0.295	13.4	3.68	0.63	3.66					27.49	15.33	15.33	44.23	6.72	6.85	22.24	3.20	5.94	55.06	0.00	5.35	3.59	0.33	0.00	34.76	22.45	2.99	0	2364.00	1119.00	391.00													
JM96-1225/1-GC	0.310	0.30	0.32	0.310	13.8					15.570	2.0600	0.190	58.99		16.53											0.00									85.06	2.01	5.46	3.74	0.29	0.00	0.00	2.59	0.00	0.86	15158		65.82
JM96-1225/1-GC	0.325	0.32	0.33	0.325	13.9	3.48	0.14	3.48	0.91				13.64	8.01	5.23	41.28	7.84	6.50	17.59	1.91	1.34	64.82				0.00																					
JM96-1225/1-GC	0.335	0.33	0.34	0.335	13.9	3.70				16.740	2.1400	0.130			13.49		6.38	6.67	19.27	3.63	6.00	58.04	1.11	3.71	2.15	0.07	4.67	18.90	16.90	0.07	64	1580.00	1623.00	149.00	88.68	1.89	3.30	2.83	0.00	0.00	0.00	0.94	2.36	0.00	11315		32.02
