Event	Depth sed [m]	Depth top [m]	Depth bot [m]	Depth adj [ambsf] (spliced)	Age [ka BP]	N. pachyderma s δ18O [‰ PDB] (vs. VPDB)	N. pachyderma s δ13C [‰ PDB] (vs. VPDB)	Cibicidoides spp. δ18O [‰ PDB] (C. wuellerstorfi or C. kullen...)	Cibicidoides spp. δ13C [‰ PDB] (C. wuellerstorfi or C. kullen...)	CaCO3 [%]	TC [%]	TOC [%]	Wet m [g]	Dry m [g]	Samp m [g] (dry)	Water wm [%]	100-63 µm [%]	150-100 µm [%]	500-150 µm [%]	1-0.5 mm [%]	>1 mm [%]	<63 µm [%]	Volc grains [#] (Counting >1000 µm fraction)	Lithic [#] (Counting >1000 µm fraction)	Volc glass basalt [%] (Counting >1000 µm fraction)	Volc glass rhyolit [%] (Counting >1000 µm fraction)	Volc grains [#] (Counting 500-1000 µm fraction)	Lithic [#] (Counting 500-1000 µm fraction)	Volc glass basalt [%] (Counting 500-1000 µm fraction)	Volc glass rhyolit [%] (Counting 500-1000 µm fraction)	Volc grains [#] (Counting 150-500 µm fraction)	Lithic [#] (Counting 150-500 µm fraction)	Volc glass basalt [%] (Counting 150-500 µm fraction)	Volc glass rhyolit [%] (Counting 150-500 µm fraction)	N. pachyderma [%] (formerly N. pachyderma sinist...)	N. incompta [%] (formerly N. pachyderma dextra...)	T. quinqueloba [%] (Counting 150-500 µm fraction)	G. bulloides [%] (Counting 150-500 µm fraction)	G. uvula [%] (Counting 150-500 µm fraction)	G. falconensis [%] (Counting 150-500 µm fraction)	G. inflata [%] (Counting 150-500 µm fraction)	G. glutinata [%] (Counting 150-500 µm fraction)	N. dutertrei [%] (Counting 150-500 µm fraction)	Foram plankt oth [%] (other/unidentified, Counting ...)	Foram plankt [#/g] (Counting 150-500 µm fraction)	B. marginata [#/g] (Counting 150-500 µm fraction)	Foram benth [#/g] (Counting 150-500 µm fraction)
JM96-1225/1-GC	0.845	0.84	0.85	0.845	19.6	4.62	-0.14	4.39	1.36				26.53	13.22	13.22	50.17	2.72	3.03	12.18	2.65	6.28	73.15	0.00	1.89	0.53	0.00	0.00	11.95	7.56	1.13	0	1179.00	525.00	58.00	93.10	2.82	1.25	0.31	0.00	0.00	0.00	2.19	0.00	0.31	2172		9.68
JM96-1225/1-GC	0.855	0.85	0.86	0.855	19.7										8.51		3.53	2.47	4.35	1.29	1.53	86.84				0.00																					
JM96-1225/1-GC	0.865	0.86	0.87	0.865	19.7	4.57	0.18	4.14	1.24	3.480	0.5400	1.130	24.59	14.89	10.43	39.45	3.07	2.30	5.85	2.59	2.78	83.41				0.00																					
JM96-1225/1-GC	0.875	0.87	0.88	0.875	19.8																																										
JM96-1225/1-GC	0.885	0.88	0.89	0.885	19.9					6.720	0.9300	0.130			11.82		3.72	4.40	11.68	4.40	12.44	63.37				0.00																					
JM96-1225/1-GC	0.895	0.89	0.90	0.895	19.9	4.73	0.00	3.84	1.08				21.16	12.47	12.47	41.07	4.33	5.37	15.64	4.57	13.87	56.21	0.00	5.53	2.25	0.24	0.00	23.18	13.87	1.04	0	1911.00	335.00	17.00	95.94	1.56	1.56	0.63	0.00	0.00	0.00	0.31	0.00	0.00	2053		7.70
JM96-1225/1-GC	0.910	0.90	0.92	0.910	20.0	4.26	-0.12	4.38	1.62				69.17	39.00	21.10	43.62	4.51	4.69	13.59	4.74	18.36	54.10				0.00																					
JM96-1225/1-GC	0.925	0.92	0.93	0.925	20.1	4.54	0.15	4.53	1.64	9.150	1.2700	0.170	33.08	19.24	14.27	41.84	4.77	4.34	12.05	2.45	6.45	69.94				0.00																					
JM96-1225/1-GC	0.935	0.93	0.94	0.935	20.2										13.47		3.86	3.79	9.65	2.45	6.53	73.72				0.00																					
JM96-1225/1-GC	0.945	0.94	0.95	0.945	20.3	4.89	0.04	4.65	1.49				33.76	17.76	17.76	47.39	4.05	4.45	14.70	3.55	2.53	70.72	0.00	1.69	0.73	0.23									87.97	4.75	2.85	1.90	0.32	0.00	0.00	1.90	0.00	0.32	2135		9.01
JM96-1225/1-GC	0.955	0.95	0.96	0.955	20.3										15.07		3.85	4.11	10.09	2.39	6.97	72.59				0.00																					
JM96-1225/1-GC	0.965	0.96	0.97	0.965	20.4	4.08	-0.12	4.23	1.46	9.760	1.3600	0.190	44.63	24.39	19.58	45.35	4.70	4.14	7.97	1.28	3.78	78.14				0.00																					
JM96-1225/1-GC	0.975	0.97	0.98	0.975	20.5										15.50		4.39	6.06	5.29	0.84	4.06	79.35				0.00																					
JM96-1225/1-GC	0.985	0.98	0.99	0.985	20.5					4.780	0.6700	0.090			22.57		5.76	4.34	5.98	2.04	7.67	74.21				0.00																					
JM96-1225/1-GC	0.995	0.99	1.00	0.995	20.6	4.73	0.10	4.72	1.59				42.84	27.40	27.40	36.04	5.44	5.07	14.82	8.36	7.08	59.23	0.00	5.11	1.90	0.22	0.00	22.48	8.76	2.12	0	1577.00	788.00	84.00	95.70	1.66	0.66	0.00	0.00	0.00	0.00	1.99	0.00	0.00	1323		15.18
JM96-1225/1-GC	1.005	1.00	1.01	1.005	20.7								28.34																																		
JM96-1225/1-GC	1.015	1.01	1.02	1.015	20.7					8.600	1.1600	0.130			27.17			5.04	10.05	3.50	9.57					0.00																					
JM96-1225/1-GC	1.025	1.02	1.03	1.025	20.8	4.46	0.03	4.59	1.50	8.290	1.1600	0.160	39.00	21.30	16.77	45.38	3.76	3.70	10.67	2.62	6.26	72.99				0.00																					
JM96-1225/1-GC	1.035	1.03	1.04	1.035	20.9										24.24		3.30	4.08	9.32	4.29	12.33	66.67				0.00																					
JM96-1225/1-GC	1.045	1.04	1.05	1.045	20.9	4.47	0.32	3.17	1.45				43.82	26.05	26.05	40.55	3.84	4.22	16.05	9.79	13.21	52.90	0.00	4.15	1.84	0.42									82.37	3.65	2.13	1.52	0.00	0.00	0.00	2.13	0.00	0.00	1284		14.74
JM96-1225/1-GC	1.055	1.05	1.06	1.055	21.0																																										
JM96-1225/1-GC	1.065	1.06	1.07	1.065	21.1	4.52	0.17	4.36	1.41	9.160	1.2700	0.170	43.89	24.94	20.74	43.18	3.52	3.13	9.31	2.36	9.06	72.61				0.00																					
JM96-1225/1-GC	1.075	1.07	1.08	1.075	21.1										17.17		4.48	4.48	7.34	1.63	6.76	75.31				0.00																					
JM96-1225/1-GC	1.085	1.08	1.09	1.085	21.2					9.360	1.2600	0.130			11.98		3.84	3.42	8.51	2.17	5.18	76.88				0.00																					
JM96-1225/1-GC	1.095	1.09	1.10	1.095	21.3	4.60	0.31	4.56	1.73				25.41	12.91	12.91	49.19	3.56	3.64	12.32	4.96	7.82	67.70	0.00	2.40	1.01	0.23	0.00	12.63	8.91	0.93	0	1211.00	486.00	52.00	94.14	1.23	0.31	0.31	0.00	0.00	0.00	0.31	0.00	0.00	1338		2.48
JM96-1225/1-GC	1.110	1.10	1.12	1.110	21.5	4.14	-0.01	3.77	0.98				63.26	38.03	38.03	39.88	3.23	3.39	10.26	5.21	13.54	64.37				0.00																					
JM96-1225/1-GC	1.125	1.12	1.13	1.125	21.7	4.34	0.09	4.59	1.48	7.670	1.0600	0.140	42.59	27.46	21.81	35.52	5.91	4.22	9.45	2.34	6.33	71.76				0.00																					
JM96-1225/1-GC	1.135	1.13	1.14	1.135	21.8										13.62		5.43	5.87	10.65	2.94	9.91	65.20				0.00																					
JM96-1225/1-GC	1.145	1.14	1.15	1.145	22.0	4.32	0.17	4.62	1.58				34.73	19.67	19.67	43.36	5.13	5.03	12.76	3.15	6.15	67.77				0.00									93.92	3.04	1.82	0.61	0.00	0.00	0.00	0.91	0.00	0.90	1741		2.44
JM96-1225/1-GC	1.155	1.15	1.16	1.155	22.1										16.48		5.04	4.37	8.56	1.88	4.07	76.09				0.00																					
JM96-1225/1-GC	1.165	1.16	1.17	1.165	22.2	4.27	-0.15	4.62	1.63	7.360	1.0500	0.170	20.01	11.47	7.74	42.68	4.65	4.01	10.34	1.55	3.75	75.71				0.00																					
JM96-1225/2-GC	1.070	1.06	1.08	1.175	22.4	4.34	0.07	4.48	1.37	8.440	1.0340	0.179	79.33	45.47	37.66	42.68	3.66	3.29	4.54	4.43	4.14	79.93	0.72	3.82	0.21		6.37	24.64	5.63	0.00					95.14	1.62	0.81	0.00	0.00	0.00	0.00	0.00	2.43	0.00	944		13.60
JM96-1225/2-GC	1.090	1.08	1.10	1.195	22.6	4.56	0.15	4.30	1.41				78.53	45.35	39.91	42.25	3.53	4.79	12.73	3.08	4.31	71.56	2.38	3.76	0.38		13.03	20.85	6.82	0.00					92.15	4.96	0.00	0.00	0.00	0.00	0.00	0.00	2.89	0.00	2495		6.41
JM96-1225/2-GC	1.110	1.10	1.12	1.215	22.9	4.78	0.38	3.76	1.31	6.949	1.1075	0.274	96.06	53.80	43.50	43.99	3.26	4.57	13.56	6.62	15.29	56.69	0.83	1.98	0.23		6.44	15.45	4.78	0.00					95.95	3.24	0.40	0.00	0.00	0.00	0.00	0.00	0.40	0.00	1363		7.36
JM96-1225/2-GC	1.130	1.12	1.14	1.235	23.2	4.31	-0.09	4.58	1.49				76.13	40.17	34.55	47.23	2.95	2.66	7.24	1.71	3.47	81.97	1.27	2.43	0.38		5.79	14.88	4.63	0.00					87.50	2.82	4.03	0.00	0.00	0.00	0.00	0.00	5.65	0.00	1292		
JM96-1225/2-GC	1.150	1.14	1.16	1.255	23.4	4.15	-0.05	3.89	1.21	10.150	1.2400	0.185	60.18	32.65	25.54	45.75	4.23	4.11	10.30	2.66	2.31	76.39	1.33	2.51	0.55		7.52	17.70	5.95	0.00					89.20	1.88	5.16	0.00	0.00	0.00	0.00	0.00	3.76	0.00	751		8.77
JM96-1225/2-GC	1.170	1.16	1.18	1.275	23.7	4.02	0.05	4.10	1.21				74.62	39.00	34.03	47.74	3.29	3.35	7.67	1.62	2.82	81.25	0.73	2.41	0.79		4.70	13.93	5.23	0.06					96.15	0.48	1.44	0.00	0.00	0.00	0.00	0.00	1.92	0.00	880		2.35
JM96-1225/2-GC	1.190	1.18	1.20	1.295	24.0	3.98	-0.16	4.04	1.09	7.951	1.0890	0.135	78.89	42.18	33.85	46.53	3.37	3.43	9.84	3.31	7.56	72.50	0.53	2.92	0.35		6.14	15.36	10.87	0.00					91.50	2.50	1.00	0.50	0.00	0.50	0.00	0.00	4.00	0.00	1702		6.62
JM96-1225/2-GC	1.210	1.20	1.22	1.315	24.2	4.28	-0.10	4.44	1.54				102.21	56.94	50.66	44.29	3.49	4.09	7.46	1.86	3.69	79.41	1.01	2.61	0.65		4.34	13.66	6.95	0.00					89.88	3.11	2.33	0.00	0.00	0.00	0.00	0.00	4.67	0.00	1044		5.05
JM96-1225/2-GC	1.230	1.22	1.24	1.335	24.5	4.18	-0.02	4.43	1.55	9.250	1.1290	0.159	87.86	41.10	35.39	53.22	3.48	3.70	10.45	2.57	2.40	77.39	1.19	1.47	0.54		7.46	15.15	8.82	0.00					89.59	1.36	1.36	0.00	0.00	0.00	0.00	0.45	7.24	0.00	1798		5.43
JM96-1225/2-GC	1.250	1.24	1.26	1.355	24.8	4.44	0.10	3.95	0.89				107.92	62.79	55.11	41.82	4.06	3.27	8.58	3.27	5.17	75.65	0.91	2.67	0.58		4.94	13.06	7.40	0.00					90.95	4.02	0.00	0.00	0.00	0.00	0.00	0.50	4.52	0.00	416		5.81
JM96-1225/2-GC	1.270	1.26	1.28	1.375	25.0										50.00								1.52	1.78	0.86		6.24	13.76	10.88																		
JM96-1225/2-GC	1.290	1.28	1.30	1.395	25.3	4.22	-0.03	4.26	1.28	10.830	1.3240	0.204	90.49	47.30	36.36	47.73	3.82	4.21	8.44	1.57	1.46	80.50													94.55	1.92	0.32	0.00	0.00	0.00	0.00	0.00	3.21	0.00	1373		5.28
JM96-1225/2-GC	1.310	1.30	1.32	1.415	25.6	4.18	-0.05	3.76	1.15				100.15	55.80	55.80	44.28	2.56	2.74	4.55	1.25	6.09	82.80	0.93	1.15	0.50		3.94	5.66	2.01	0.00					92.82	1.91	0.48	0.00	0.00	0.00	0.00	0.00	4.78	0.00	771		0.57
JM96-1225/2-GC	1.330	1.32	1.34	1.435	25.8	4.13	-0.03	4.44	1.54	11.803	1.5780	0.162	88.73	50.11	38.89	43.53	3.01	1.83	3.75	0.67	1.95	88.79	0.95	0.62	0.13		5.89	2.93	1.23	0.00					90.48	5.24	0.48	0.00	0.00	0.00	0.00	0.00	3.81	0.00	778		0.82
JM96-1225/2-GC	1.340	1.34	1.36	1.445	26.0	4.20	-0.15								35.00								2.00	0.77	0.37		18.00	5.83	9.43						91.63	2.79	1.40	0.47	0.00	0.00	0.00	0.00	3.72	0.00			
JM96-1225/2-GC	1.370	1.36	1.38	1.475	26.3	4.66	0.21	3.97	1.46	10.480	1.2790	0.178	73.05	40.66	31.10	44.34	3.86	2.99	10.23	3.47	4.60	74.86	6.40	1.45	0.71		42.57	11.19	12.22	0.00					92.92	0.47	0.94	0.00	0.00	0.00	0.00	0.47	5.19	0.00	982		4.12
JM96-1225/2-GC	1.390	1.38	1.40	1.495	26.6	4.39	-0.07	4.15	1.72				121.68	67.51	60.07	44.52	3.40	3.50	9.47	3.48	6.08	74.08	4.93	1.07	0.48		45.81	5.33	9.59	0.00					92.63	2.76	0.92	0.00	0.00	0.00	0.00	0.00	3.69	0.00	946		3.20
JM96-1225/2-GC	1.410	1.40	1.42	1.515	26.9	3.92	0.55	4.12	1.44				121.42	69.32	60.47	42.91	7.84	6.33	9.57	1.46	2.02	72.78	0.66	0.78	0.45		5.19	7.54	4.76	0.00					89.30	5.12	0.00	0.00	0.00	0.00	0.00	0.93	4.65	0.00	1707		8.47
JM96-1225/2-GC	1.430	1.42	1.44	1.535	27.1	4.12	0.14	4.31	1.78				83.08	46.20	39.72	44.39	5.26	5.74	14.55	2.54	1.71	70.19	2.01	0.88	1.03		23.97	6.04	19.74	0.00					90.31	3.96	2.64	0.00	0.00	0.00	0.00	0.00	3.08	0.00	1646		3.22
JM96-1225/2-GC	1.450	1.44	1.46	1.555	27.4	3.98	-0.05			7.910	1.0460	0.097	95.85	55.52	50.02	42.08	5.10	6.90	16.01	2.90	7.08	62.02	2.50	0.86	1.56		19.83	8.48	23.83	0.00					85.66	4.38	3.19	0.00	0.00	0.00	0.00	0.00	6.77	0.00	2409		2.56
JM96-1225/2-GC	1.470	1.46	1.48	1.575	27.6	4.09	0.17	3.84	1.36	12.290	1.4900	0.125	104.39	58.68	50.18	43.79	5.78	5.04	15.48	4.70	3.95	65.05	3.47	1.99	1.93		25.83	8.21	29.57	0.00					85.19	2.59	4.07	1.48	0.00	0.37	0.00	0.37	5.93	0.00	2583		2.55
JM96-1225/2-GC	1.490	1.48	1.50	1.595	27.9	3.54	-0.20						100.37	56.06	50.17	44.15	5.18	5.36	11.80	3.55	4.64	69.46	4.01	1.34	2.09		24.64	7.34	25.91	0.00					86.80	2.93	4.99	1.17	0.29	0.00	0.00	0.59	3.23	0.00	2447		3.83
JM96-1225/2-GC	1.510	1.50	1.52	1.615	28.1	4.16	0.15	3.44	1.02	9.239	1.2450	0.125	94.02	54.03	54.03	42.53	3.29	5.81	20.75	5.33	14.55	50.27	2.63	1.17	0.61		24.28	5.40	19.10	0.00					85.66	3.31	2.21	2.21	0.00	0.00	0.00	1.10	5.51	0.00	2071		3.55
JM96-1225/2-GC	1.530	1.52	1.54	1.635	28.4	3.92	0.09	4.22	1.26				106.63	60.17	50.28	43.57	5.63	5.43	17.96	5.41	3.06	62.51	3.94	1.07	0.64		45.82	4.77	21.64	0.00					83.64	1.85	8.02	2.47	0.00	0.00	0.00	0.31	3.70	0.00	3712		3.82
JM96-1225/2-GC	1.550	1.54	1.56	1.655	28.7	3.73	-0.21			8.278	1.0980	0.104	74.96	42.92	37.42	42.74	5.02	5.80	13.12	2.41	7.16	66.49	2.83	0.53	0.91		20.10	6.95	15.61	0.00					91.11	1.78	3.56	0.44	0.44	0.00	0.00	0.44	2.22	0.00	2165		1.71
JM96-1225/2-GC	1.570	1.56	1.58	1.675	28.9	3.43	0.87			8.310	1.0140	0.136	89.51	50.70	42.64	43.36	5.39	4.62	8.68	2.27	4.15	74.88	2.74	1.10	0.61		18.95	6.29	9.76	0.00					88.49	1.80	3.96	0.00	0.00	0.00	0.00	1.08	4.68	0.00	853		2.25
JM96-1225/2-GC	1.590	1.58	1.60	1.695	29.2	3.51	-0.21						88.54	50.93	45.06	42.48	4.75	4.17	4.55	1.07	2.77	82.69	2.00	0.55	0.38		12.45	4.15	3.42	0.00					90.78	1.73	2.02	0.86	0.00	0.58	0.00	0.29	3.75	0.00	739		0.71
JM96-1225/2-GC	1.610	1.60	1.62	1.715	29.4	3.39	-0.18	3.52	1.04	6.933	0.9640	0.132	94.90	55.03	44.28	42.01	4.20	3.25	4.22	1.13	1.56	85.64																									
JM96-1225/2-GC	1.630	1.62	1.64	1.735	29.6	3.76	0.01						108.49	62.46	56.17	42.43	4.01	3.03	4.33	1.19	2.17	85.28	2.94	0.57	0.21		15.45	1.64	1.18	0.00					88.14	1.98	2.77	2.37	0.40	0.00	0.00	0.40	3.95	0.00	405		1.42
JM96-1225/2-GC	1.650	1.64	1.66	1.755	29.8	3.98	-0.08	3.73	1.52	6.060	0.7460	0.160	92.10	53.42	45.02	42.00	4.58	4.02	7.66	2.62	6.84	74.28	3.82	1.11	0.44		25.68	4.53	5.24	0.00					86.81	4.68	0.43	2.13	0.00	0.43	0.00	1.28	4.26	0.00	501		1.42
JM96-1225/2-GC	1.670	1.66	1.68	1.775	30.0	4.20	0.11						69.53	40.10	34.74	42.33	4.63	4.38	8.52	2.25	5.56	74.67	3.80	0.89	0.81		24.99	4.95	11.40	0.00					90.04	1.92	1.92	0.00	0.38	1.15	0.00	0.77	3.83	0.00	1082		4.61
JM96-1225/2-GC	1.690	1.68	1.70	1.795	30.1	4.11	-0.01	3.70	1.33	5.497	0.7700	0.110	81.71	47.55	41.37	41.81	5.68	5.49	13.34	4.54	4.09	66.86	4.74	0.77	0.36		44.48	7.93	10.25	0.00					92.33	2.79	0.70	0.35	0.00	0.35	0.00	0.35	3.14	0.00	1665		2.32
JM96-1225/2-GC	1.710	1.70	1.72	1.815	30.3	4.35	0.27	4.13	1.56				101.32	55.88	55.88	44.85	2.85	3.87	9.82	2.93	4.92	75.61	3.10	0.45	0.14		20.33	5.15	3.01	0.00					90.58	2.24	1.79	0.90	0.00	0.00	0.00	0.00	4.48	0.00	575		1.72
JM96-1225/2-GC	1.730	1.72	1.74	1.835	30.5	4.46	0.17	4.17	1.55	6.990	0.8610	0.183	79.64	43.74	34.94	45.08	4.24	3.49	5.81	1.60	3.23	81.63	2.29	1.29	0.46		10.76	5.44	3.15	0.00					88.16	2.63	1.75	1.32	0.00	0.00	0.00	0.88	5.26	0.00	392		1.83
JM96-1225/2-GC	1.750	1.74	1.76	1.855	30.7	3.93	0.04						94.95	52.94	46.07	44.24	3.19	3.36	3.36	0.56	1.04	88.47	1.09	0.37	0.11		6.45	3.54	0.76	0.00					83.67	2.86	2.04	1.63	0.82	0.00	0.00	1.22	7.76	0.00	295		1.74
JM96-1225/2-GC	1.770	1.76	1.78	1.875	30.9	4.20		4.36	1.53	6.688	0.9570	0.155	70.33	39.76	33.21	43.47	4.03	3.07	3.88	0.45	0.78	87.77	0.48	0.42	0.12		3.25	3.64	0.51	0.00					91.32	3.65	0.46	0.46	0.00	0.00	0.00	0.91	3.20	0.00	264		1.45
JM96-1225/2-GC	1.790	1.78	1.80	1.895	31.0	4.02							82.92	47.09	41.13	43.21	4.38	4.81	6.01	0.61	1.31	82.88	0.56	0.22	0.58		6.08	4.06	1.82	0.00					84.87	3.78	2.10	0.84	0.00	0.00	0.00	0.00	8.40	0.00	417		1.56
JM96-1225/2-GC	1.810	1.80	1.82	1.915	31.2	4.13	0.40	3.99	1.47	8.750	1.0710	0.180	95.64	52.04	40.55	45.59	4.86	3.72	4.86	0.57	1.23	84.76	0.64	0.59	0.20		2.19	4.56	1.82	0.00					88.65	2.18	3.06	0.44	0.00	0.00	0.00	0.87	4.80	0.00	813		0.39
JM96-1225/2-GC	1.830	1.82	1.84	1.935	31.4	4.24							57.67	31.29	26.09	45.74	4.83	4.37	7.13	0.69	1.38	81.60	0.34	0.54	0.08		2.49	5.94	3.49	0.00					85.29	2.57	8.82	0.37	0.00	0.00	0.00	0.74	2.21	0.00	3003		4.91
JM96-1225/2-GC	1.850	1.84	1.86	1.955	31.6	4.23	0.40	3.92	1.45	10.665	1.4080	0.128	92.85	49.88	44.14	46.28	6.12	6.09	10.83	1.40	1.93	73.63	1.04	0.77	0.14		6.21	8.38	5.44	0.00					84.11	1.55	9.30	1.16	0.00	0.00	0.00	0.00	3.88	0.00	4208		5.80
JM96-1225/2-GC	1.870	1.86	1.88	1.975	31.8	3.96							84.20	46.55	41.11	44.71	7.81	8.00	14.50	1.73	1.39	66.58	1.26	1.02	0.32		8.37	7.20	4.91	0.00					81.20	1.60	10.40	3.20	0.00	0.00	0.00	0.00	3.60	0.00	5838		4.67
JM96-1225/2-GC	1.890	1.88	1.90	1.995	31.9	3.85	0.25	3.94		10.930	1.3290	0.141	108.78	59.23	52.52	45.55	7.43	8.66	11.39	1.98	1.49	69.06	1.45	0.78	0.32		11.50	8.07	5.64	0.00					84.05	1.66	10.30	1.66	0.00	0.00	0.00	0.00	2.33	0.00	3301		7.31
JM96-1225/2-GC	1.910	1.90	1.92	2.015	32.1	4.17	0.31	3.83	1.30				101.68	56.95	59.95	43.99	3.80	5.27	10.76	1.42	5.85	72.89	0.50	0.93	0.17		3.74	4.80	4.74	0.00					84.03	3.80	7.22	1.90	0.00	0.00	0.00	0.00	3.04	0.00	2527		8.54
JM96-1225/2-GC	1.930	1.92	1.94	2.035	32.3	4.00	0.23	3.84	1.33	8.649	1.1740	0.136	92.61	49.23	41.78	46.84	7.20	5.12	7.68	0.91	2.15	76.93	0.62	0.86	0.17		3.83	5.89	4.52	0.00					88.80	2.32	3.47	0.77	0.00	0.00	0.00	0.00	4.63	0.00	1785		4.60
JM96-1225/2-GC	1.950	1.94	1.96	2.055	32.5	3.72							66.52	36.14	30.71	45.67	4.98	7.82	10.97	1.27	2.51	72.45	0.65	1.07	0.49		5.34	7.36	9.12	0.00					87.50	2.50	1.79	1.79	0.36	0.36	0.00	0.00	5.71	0.00	3751		10.42
JM96-1225/2-GC	1.970	1.96	1.98	2.075	32.6	3.82	0.31	3.78	1.20	10.030	1.2220	0.149	91.07	50.85	43.84	44.16	8.65	6.84	11.86	1.46	1.09	70.10	0.52	1.07	0.55		6.43	8.35	9.26	0.00					86.81	1.83	2.20	1.47	1.10	0.37	0.00	0.37	5.86	0.00	2562		5.84
JM96-1225/2-GC	1.990	1.98	2.00	2.095	32.8	4.19							82.53	47.32	41.52	42.66	6.58	7.66	10.60	1.08	1.78	72.30	0.87	0.96	0.58		4.12	6.82	6.55	0.00					85.16	1.17	3.91	2.73	0.00	0.00	0.00	1.17	5.86	0.00	2537		7.71
JM96-1225/2-GC	2.010	2.00	2.02	2.115	33.0	3.77	0.22	3.58	1.15	8.820	1.0900	0.120	90.91	58.47	51.82	35.68	4.81	4.94	7.51	1.06	32.54	49.15	0.54	1.52	0.58		3.90	6.79	5.13	0.00					86.67	2.35	2.35	2.75	0.00	0.00	0.00	0.78	5.10	0.00	2025		
JM96-1225/2-GC	2.030	2.02	2.04	2.135	33.2	4.03							114.48	70.03	63.65	38.83	3.03	5.17	8.94	1.08	27.60	54.17	0.42	1.29	0.41		3.83	7.35	5.62	0.00					85.31	2.45	3.85	2.10	0.00	0.35	0.00	0.35	5.59	0.00	2157		6.03
JM96-1225/2-GC	2.050	2.04	2.06	2.155	33.4	4.01	0.29	3.75	1.12	15.920	1.9250	0.124	76.98	43.32	37.15	43.73	8.99	7.00	16.58	2.58	3.55	61.29	1.53	2.05	0.51		10.12	16.04	12.27	0.00					86.52	2.19	3.13	1.88	0.31	0.00	0.00	1.57	4.39	0.00	4946		13.78
JM96-1225/2-GC	2.065	2.06	2.07	2.170	33.5	4.02							61.93	37.23	31.12	39.88	10.15	10.06	17.38	2.28	3.28	56.84	1.41	2.47	1.35		8.10	14.52	12.98	0.00					89.08	1.41	2.46	1.76	0.35	0.00	0.00	0.70	4.23	0.00	5257		12.34
JM96-1225/2-GC	2.075	2.07	2.08	2.180	33.6	3.74				12.961	1.6780	0.123	72.70	41.75	32.07	42.57	5.99	10.51	19.18	2.93	3.06	58.34	1.75	2.62	1.71		8.98	17.71	16.21	0.00					88.07	2.56	2.27	2.84	0.00	0.00	0.00	0.85	3.41	0.00	6322		7.98
JM96-1225/2-GC	2.090	2.08	2.10	2.195	33.7	4.05	0.27	3.99	1.48				72.76	40.35	31.92	44.54	8.52	6.08	11.47	1.35	7.08	65.51	0.72	1.07	0.66		7.21	11.09	8.15	0.00					88.48	4.12	2.06	2.06	0.00	0.00	0.00	0.41	2.88	0.00	3654		10.03
JM96-1225/2-GC	2.110	2.10	2.12	2.215	33.9	4.36	0.53	3.68	1.41				87.20	47.20	33.37	45.87	6.83	8.39	15.46	1.77	8.81	58.74	0.75	1.56	0.54		4.85	10.73	7.97	0.00					89.03	3.38	3.38	1.27	0.00	0.00	0.00	0.00	2.95	0.00	3409		15.34
JM96-1225/2-GC	2.130	2.12	2.14	2.235	34.1	4.11	0.31	3.72	1.16				69.18	38.98	31.52	43.65	5.84	4.16	8.53	1.27	2.13	78.08	0.63	0.92	0.48		5.33	9.58	6.54	0.06					92.17	2.30	0.92	0.46	0.00	0.00	0.00	0.46	3.69	0.00	3965		14.21
JM96-1225/2-GC	2.150	2.14	2.16	2.255	34.3	3.91				10.093	1.3210	0.110	86.02	48.25	36.91	43.91	4.61	5.23	14.63	3.44	5.07	67.03	1.98	3.14	1.76		14.31	33.70	20.37	0.00					92.99	0.74	0.74	0.74	0.00	0.00	0.00	0.37	4.43	0.00	4229		6.94
JM96-1225/2-GC	2.170	2.16	2.18	2.275	34.4	3.96	0.23	3.50	0.93				106.78	58.82	50.54	44.91	6.19	5.42	18.52	3.96	6.13	59.77	1.42	2.63	0.83		18.36	21.21	20.89	0.16					91.82	3.18	0.91	0.91	0.00	0.00	0.00	0.91	2.27	0.00	5015		15.20
JM96-1225/2-GC	2.190	2.18	2.20	2.295	34.6	3.87				10.243	1.3280	0.099	89.46	48.50	38.28	45.79	5.49	5.96	16.25	3.11	5.88	63.32	1.93	2.90	0.63		13.27	16.51	15.78	0.00					93.02	1.40	0.93	1.40	0.00	0.00	0.00	0.93	2.33	0.00	4044	0.05	23.41
JM96-1225/2-GC	2.210	2.20	2.22	2.315	34.8	3.81	0.13	4.07	1.35	13.620	1.6480	0.118	99.87	57.30	48.75	42.63	6.71	6.38	19.67	4.90	7.84	54.50	1.89	2.77	1.15		17.72	15.43	29.54	0.00					91.70	0.87	0.44	4.37	0.00	0.00	0.00	0.44	2.18	0.00	4510	0.04	14.44
JM96-1225/2-GC	2.230	2.22	2.24	2.335	35.0	3.59							83.17	47.53	38.29	42.85	7.34	8.78	21.49	2.74	4.00	55.65	1.18	2.01	1.10		9.30	16.40	17.97	0.42					87.69	3.46	1.54	3.08	0.00	0.38	0.00	0.38	3.46	0.00	4889	0.84	15.04
JM96-1225/2-GC	2.250	2.24	2.26	2.355	35.2	3.77		3.67	1.29	11.965	1.5340	0.098	102.46	59.37	51.41	42.06	8.64	8.75	21.79	2.86	2.78	55.18	0.91	1.58	0.53		10.74	10.58	15.56	0.00					90.38	2.09	0.42	3.35	0.00	0.00	0.00	1.26	2.51	0.00	8926	0.06	24.90
