Depth sed [m]	N. pachyderma s [%]	N. pachyderma s [#]	Foram plankt indet [#]	Foram plankt [#/10 cm**3]	N. pachyderma s [#/g]	Foram plankt indet [#/g]
8.79	96.7	120389	124485	22033	1954	2020.2
8.80	96.7	34206	35358	4727		
8.81	96.8	4304	4448	1572	570	589.3
8.82	97.8	34462	35230	6235	1401	1432.5
8.83	98.9	45598	46110	8161	1718	1736.8
8.84	98.3	44574	45342	8025		
8.85	98.5	20606	20926	3704	571	579.4
8.86	96.9	692	714	126	21	21.7
8.87	95.7	1774	1854	328	44	46.5
8.88	97.0	772	796	141	20	20.5
8.89	96.4	702	728	129	23	23.9
8.90	97.6	806	826	146	15	15.5
8.91	98.0	614	626	134		
8.92	97.7	418	428	76	13	13.3
8.93	98.6	2790	2830	501	72	72.8
8.94	97.2	7678	7902	1399	155	159.9
8.95	97.5	17214	17662	3126	506	519.5
8.96	97.1	19038	19614	3472	405	417.2
8.97	95.4	14622	15326	2713	418	438.1
8.98	98.2	21534	21918	3879	602	612.8
8.99	98.0	38174	38942	6892	1055	1076.5
9.00	98.5	59166	60062	13288	1440	1461.3
9.00	96.8	38686	39966	5343		
9.02	96.5	70558	73118	8622	1646	1706.0
9.04	98.1	40606	41374	4879	1281	1304.8
9.05	98.2	35230	35870	6349	1351	1375.5
9.06	97.4	19038	19550	3460	1201	1233.8
9.08	98.2	21022	21406	3789	1671	1701.4
9.09	98.5	28958	29406	5205	1527	1551.0
9.10	96.1	46750	48670	5739	1345	1400.0
9.12	97.9	13342	13630	2412	964	984.5
9.13	97.6	20638	21150	3743	777	796.4
9.14	95.0	16926	17822	3154	686	722.8
9.15	96.6	20254	20958	3709	600	620.7
9.16	96.9	18846	19454	3443	670	691.1
9.17	97.4	4190	4302	507	193	197.7
