Depth sed [m]	N. pachyderma s [%]	N. pachyderma s [#]	Foram plankt indet [#]	Foram plankt [#/10 cm**3]	N. pachyderma s [#/g]	Foram plankt indet [#/g]
3.31	96.4	2822	2926	518	88	90.9
3.32	97.1	3230	3326	589	101	103.6
3.33	97.1	5342	5502	974	134	137.9
3.34	97.9	5198	5310	940	131	133.7
3.35	97.8	7150	7310	1294	164	167.7
3.36	97.8	9422	9630	1704	288	294.7
3.37	99.0	12446	12574	2225	263	266.0
3.38	96.1	14310	14888	2635	333	346.5
3.39	98.8	8168	8264	1105		
3.40	98.5	7518	7630	2696	368	373.0
3.41	98.3	14524	14780	2616	365	371.2
3.42	96.5	6142	6366	1127	203	210.8
3.43	98.4	7022	7134	1263	237	240.7
3.44	98.9	4254	4302	761	120	121.7
3.45	98.5	8606	8734	1546	254	257.5
3.46	97.6	8478	8686	1537	223	229.0
3.47	97.6	8430	8638	1529	286	292.7
3.48	97.4	12222	12542	2220	354	363.1
3.49	97.0	9246	9534	1848	306	315.7
3.50	99.0	9502	9598	1860	336	339.4
3.51	98.3	7534	7662	1356	205	208.4
3.52	97.8	5006	5118	906	173	177.2
3.53	97.5	4750	4870	862	138	141.7
3.54	97.5	5646	5790	1025	175	179.0
3.55	97.1	8142	8382	1484	189	194.9
3.56	99.2	5646	5694	1008	181	182.2
3.57	95.1	4670	4910	869	151	159.1
3.58	95.7	4254	4446	594		
3.59	98.3	4542	4622	1633	193	196.2
3.60	97.3	9278	9534	1687	265	272.0
3.61	96.3	11712	12160	2152	331	343.8
3.62	98.2	10398	10590	1874	321	327.0
3.63	97.8	11390	11646	2061	317	323.8
3.64	98.3	9214	9374	1659	297	302.5
3.65	99.2	7838	7902	1399	256	258.1
3.66	97.3	8126	8350	1478	280	287.7
3.67	98.4	15264	15520	2747	356	361.9
3.68	97.7	11070	11326	2005	366	374.0
3.69	96.1	12734	13246	2344	309	321.2
3.70	97.6	4606	4718	1012	224	229.6
3.71	96.0	5374	5598	991	185	193.2
3.72	97.5	8798	9022	1597	281	288.0
3.73	96.4	5137	5331	944	228	236.7
3.74	97.9	8222	8398	1486	296	302.8
3.75	97.2	8926	9182	1625	317	326.4
3.76	96.5	9566	9918	1755	333	345.0
3.77	96.5	13182	13662	2418	320	332.0
3.78	96.5	16062	16638	2945	465	481.5
3.79	97.9	8382	8558	3024	534	544.8
3.80	98.0	12798	13054	1745		
3.81	97.1	6990	7198	1274	365	376.1
3.82	97.6	13118	13438	2378	330	337.7
3.83	98.6	13534	13726	2429	381	386.4
3.84	96.6	8190	8478	1501	219	227.0
3.85	95.3	11006	11550	2044	365	382.6
3.86	94.6	8350	8830	1563	245	258.7
3.87	98.3	6638	6750	1195	194	196.9
3.88	97.6	7166	7342	1299	233	238.4
3.89	97.8	399	408	72	11	10.8
3.90	97.4	458	470	101	10	10.5
3.91	98.6	688	698	124	26	26.4
3.92	98.2	1518	1546	274	64	65.4
3.93	99.1	1806	1822	322	76	76.6
3.94	97.2	7134	7342	1299	230	236.3
3.95	98.0	9438	9630	1704	277	282.6
3.96	96.6	8110	8398	1486	255	264.4
3.97	98.6	6558	6654	1178	192	194.7
3.98	96.3	5270	5470	968	190	197.0
3.99	97.8	6338	6482	1434	157	160.8
4.00	97.3	5542	5694	983		
4.01	98.7	1218	1234	218	64	65.2
4.02	99.4	2477	2493	441	88	88.6
4.03	97.9	564	576	124	16	16.2
4.04	99.2	261	263	47	10	9.7
4.05	97.9	552	564	100	17	17.2
4.06	97.8	4926	5038	892	135	137.8
4.07	97.1	8510	8766	1552	284	292.6
4.08	96.7	14142	14622	2588	373	385.3
4.09	94.7	9758	10302	1997	306	322.7
4.10	98.0	5566	5678	1100	184	187.8
4.11	96.2	6542	6798	1203	210	218.1
4.12	97.2	9406	9678	1713	222	228.1
4.13	96.4	5518	5726	1229	154	159.4
4.14	96.0	6606	6878	1217	134	139.2
4.15	97.7	4750	4862	861	163	167.0
4.16	96.2	6531	6791	1202	145	151.0
4.17	95.7	7438	7774	1376	131	136.8
4.18	97.0	1790	1846	652	138	142.4
4.19	97.6	5758	5902	869	120	122.9
4.20	95.4	2958	3102	536		
4.21	94.5	682	722	160		
4.22	97.6	3598	3686	652	102	104.8
4.23	95.3	5502	5774	1022	164	172.6
4.24	97.6	3886	3982	705	125	128.3
4.25	96.1	3542	3686	652	125	129.9
4.26	96.5	6254	6478	1147	143	147.7
4.27	94.1	2188	2324	411	99	105.0
4.28	96.8	4320	4464	790	131	135.3
4.29	97.5	3694	3790	671	102	105.1
4.30	96.2	3014	3134	673	94	97.8
4.31	98.3	816	830	147	36	36.2
4.32	95.4	104	109	19	4	3.8
4.33	98.1	102	104	18	3	2.8
4.34	96.0	96	100	18	3	2.8
4.35	97.7	86	88	16	3	2.8
4.36	95.7	66	69	12	2	2.3
4.37	100.0	123	123	22	3	3.3
4.38	98.1	367	374	66	14	14.4
4.39	97.7	2674	2738	485	76	77.4
4.40	96.2	2406	2502	443	83	85.8
4.41	96.6	2516	2604	461	72	74.6
4.42	98.6	3438	3486	1232	135	137.3
4.43	96.6	4062	4206	562		
4.44	97.6	3854	3950	699	156	159.6
4.45	93.6	5582	5774	1022	177	183.0
4.46	97.6	5150	5278	934	134	137.5
4.47	95.6	2094	2190	388	84	87.9
4.48	96.9	1998	2062	365	60	62.1
4.49	97.6	1932	1980	350	75	76.4
4.50	98.3	4142	4214	746	121	123.1
4.51	97.5	3060	3140	556	79	81.5
4.52	95.6	3478	3638	781	123	128.4
4.53	97.8	3518	3598	637	130	132.5
4.54	98.6	4570	4634	820	120	121.8
4.55	98.1	3390	3454	611	101	103.2
4.56	98.0	5438	5550	982	145	148.5
4.57	94.4	7134	7550	1336	156	165.2
4.58	96.3	5806	6030	1067	128	132.7
4.59	95.9	6028	6284	1112	141	146.6
4.60	94.3	4222	4478	793	125	132.6
4.61	95.6	5854	6126	1084	122	127.6
4.62	96.0	6462	6734	900		
4.63	96.8	896	926	327		
4.64	98.6	2750	2790	494	132	134.2
4.65	96.8	4766	4926	872	138	143.0
4.66	97.6	5182	5310	940	144	147.1
4.67	95.6	5902	6174	1093	180	188.7
4.68	95.4	5582	5854	1036	157	164.7
4.69	97.6	5132	5260	931	198	202.4
4.70	96.8	8318	8590	1520	250	258.3
4.71	97.0	7422	7646	1353	173	177.8
4.72	98.5	2578	2618	562	93	94.3
4.73	96.1	690	718	127	36	37.1
4.74	99.3	570	574	102	12	12.4
4.75	98.1	2254	2298	407	92	93.9
4.76	96.3	3374	3502	620	107	111.0
4.77	96.5	605	627	111	18	18.5
4.78	93.8	30	32	6	1	1.1
4.79	97.4	38	39	7	1	1.1
4.80	97.5	306	314	56	8	8.1
4.81	97.3	6462	6638	1175	148	152.2
4.82	95.8	21150	22078	3813		
4.83	97.0	3630	3742	828	437	450.2
4.84	95.2	8026	8427	1492	279	292.4
4.85	93.7	10910	11646	2061	287	306.0
4.86	94.0	9487	10097	1787	257	273.5
4.87	96.0	8990	9358	1656	224	233.2
4.88	97.4	2062	2118	375	66	67.5
4.89	94.2	974	1034	183	29	30.6
4.90	97.1	938	966	171	34	35.4
4.91	98.3	1126	1146	203	37	37.2
4.92	99.4	710	714	138	19	18.7
4.93	95.0	1810	1906	369	61	64.7
4.94	97.3	1750	1798	318	48	49.6
4.95	97.5	8638	8862	1568	233	239.0
4.96	95.5	6254	6550	1159	195	203.8
4.97	98.7	7486	7582	1342	200	202.7
4.98	96.2	1006	1046	185	34	35.5
4.99	97.0	5662	5838	1033	177	182.1
5.00	97.5	11070	11358	2010	372	381.9
5.01	97.8	7733	7909	1400	290	296.8
5.02	97.1	5614	5782	1023	153	157.4
5.03	97.7	6110	6254	1342		
5.04	98.2	1066	1086	192	46	47.3
5.05	98.8	3834	3910	691	118	120.2
5.06	99.0	199	201	36	5	5.4
5.07	94.9	75	79	14	3	2.9
5.08	100.0	17	17	3	0	0.4
5.09	98.0	50	51	9	2	1.8
5.10	97.8	88	90	16	3	2.7
5.11	100.0	19	19	3	1	0.8
5.12	99.3	423	426	75	15	15.0
5.13	98.7	3766	3814	818	130	132.0
5.14	98.9	2254	2278	403	85	85.4
5.15	97.9	2198	2246	398	63	64.0
5.16	97.1	818	842	149	21	21.2
5.17	97.6	1622	1662	294	49	50.1
5.18	98.0	4806	4902	868	63	64.0
5.19	98.8	6590	6670	1476	112	113.8
5.20	98.6	2302	2334	403		
5.21	97.8	2142	2190	388	91	92.8
5.22	98.3	2798	2846	504	101	103.1
5.23	98.8	4094	4142	733	94	95.2
5.24	95.8	7358	7678	1359	214	223.2
5.25	96.3	10766	11182	1979	301	312.6
5.26	95.8	10286	10734	1900	274	286.4
5.27	96.6	7342	7598	1345	180	186.4
