Event,Latitude,Longitude,depth,Symbiosis,Spine,Absolute Abundance
IODP_U1418,58.8,-144.13,31.91787885,symbiont-barren,non-spinose,10
IODP_U1418,58.8,-144.13,33.5457408,symbiont-barren,non-spinose,10
