Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
MD95-2042,37.799833,-10.1665,6.25,symbiont-barren,non-spinose,235
MD95-2042,37.799833,-10.1665,6.25,symbiont-barren,spinose,99
MD95-2042,37.799833,-10.1665,6.25,symbiont-bearing,spinose,2
MD95-2042,37.799833,-10.1665,6.25,symbiont-facultative,non-spinose,89
MD95-2042,37.799833,-10.1665,6.25,symbiont-facultative,spinose,0
MD95-2042,37.799833,-10.1665,6.25,symbiont-obligate,spinose,22
MD95-2042,37.799833,-10.1665,6.34,symbiont-barren,non-spinose,197
MD95-2042,37.799833,-10.1665,6.34,symbiont-barren,spinose,82
MD95-2042,37.799833,-10.1665,6.34,symbiont-bearing,spinose,2
MD95-2042,37.799833,-10.1665,6.34,symbiont-facultative,non-spinose,87
MD95-2042,37.799833,-10.1665,6.34,symbiont-facultative,spinose,0
MD95-2042,37.799833,-10.1665,6.34,symbiont-obligate,spinose,33
MD95-2042,37.799833,-10.1665,6.45,symbiont-barren,non-spinose,165
MD95-2042,37.799833,-10.1665,6.45,symbiont-barren,spinose,62
MD95-2042,37.799833,-10.1665,6.45,symbiont-bearing,spinose,2
MD95-2042,37.799833,-10.1665,6.45,symbiont-facultative,non-spinose,72
MD95-2042,37.799833,-10.1665,6.45,symbiont-facultative,spinose,0
MD95-2042,37.799833,-10.1665,6.45,symbiont-obligate,spinose,22
MD95-2042,37.799833,-10.1665,6.54,symbiont-barren,non-spinose,138
MD95-2042,37.799833,-10.1665,6.54,symbiont-barren,spinose,73
MD95-2042,37.799833,-10.1665,6.54,symbiont-bearing,spinose,0
MD95-2042,37.799833,-10.1665,6.54,symbiont-facultative,non-spinose,79
MD95-2042,37.799833,-10.1665,6.54,symbiont-facultative,spinose,0
MD95-2042,37.799833,-10.1665,6.54,symbiont-obligate,spinose,28
MD95-2042,37.799833,-10.1665,6.65,symbiont-barren,non-spinose,164
MD95-2042,37.799833,-10.1665,6.65,symbiont-barren,spinose,109
MD95-2042,37.799833,-10.1665,6.65,symbiont-bearing,spinose,1
MD95-2042,37.799833,-10.1665,6.65,symbiont-facultative,non-spinose,74
MD95-2042,37.799833,-10.1665,6.65,symbiont-facultative,spinose,0
MD95-2042,37.799833,-10.1665,6.65,symbiont-obligate,spinose,50
MD95-2042,37.799833,-10.1665,6.74,symbiont-barren,non-spinose,150
MD95-2042,37.799833,-10.1665,6.74,symbiont-barren,spinose,147
MD95-2042,37.799833,-10.1665,6.74,symbiont-bearing,spinose,0
MD95-2042,37.799833,-10.1665,6.74,symbiont-facultative,non-spinose,71
MD95-2042,37.799833,-10.1665,6.74,symbiont-facultative,spinose,0
MD95-2042,37.799833,-10.1665,6.74,symbiont-obligate,spinose,40
MD95-2042,37.799833,-10.1665,6.85,symbiont-barren,non-spinose,144
MD95-2042,37.799833,-10.1665,6.85,symbiont-barren,spinose,113
MD95-2042,37.799833,-10.1665,6.85,symbiont-bearing,spinose,0
MD95-2042,37.799833,-10.1665,6.85,symbiont-facultative,non-spinose,50
MD95-2042,37.799833,-10.1665,6.85,symbiont-facultative,spinose,0
MD95-2042,37.799833,-10.1665,6.85,symbiont-obligate,spinose,50
MD95-2042,37.799833,-10.1665,6.94,symbiont-barren,non-spinose,136
MD95-2042,37.799833,-10.1665,6.94,symbiont-barren,spinose,82
MD95-2042,37.799833,-10.1665,6.94,symbiont-bearing,spinose,1
MD95-2042,37.799833,-10.1665,6.94,symbiont-facultative,non-spinose,84
MD95-2042,37.799833,-10.1665,6.94,symbiont-facultative,spinose,0
MD95-2042,37.799833,-10.1665,6.94,symbiont-obligate,spinose,47
