Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Relative Abundance
17938-2,Piston core,19.78,117.53,2840,SCS,4.45,symbiont-obligate,spinose,0.08962264152
17938-2,Piston core,19.78,117.53,2840,SCS,4.45,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.55,symbiont-barren,non-spinose,0.00549450549
17938-2,Piston core,19.78,117.53,2840,SCS,4.55,symbiont-barren,spinose,0.07142857143
17938-2,Piston core,19.78,117.53,2840,SCS,4.55,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.55,symbiont-bearing,spinose,0.00549450549
17938-2,Piston core,19.78,117.53,2840,SCS,4.55,symbiont-facultative,non-spinose,0.57692307692
17938-2,Piston core,19.78,117.53,2840,SCS,4.55,symbiont-obligate,spinose,0.09890109889
17938-2,Piston core,19.78,117.53,2840,SCS,4.55,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.65,symbiont-barren,non-spinose,0.01285347043
17938-2,Piston core,19.78,117.53,2840,SCS,4.65,symbiont-barren,spinose,0.05398457584
17938-2,Piston core,19.78,117.53,2840,SCS,4.65,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.65,symbiont-bearing,spinose,0.00257069409
17938-2,Piston core,19.78,117.53,2840,SCS,4.65,symbiont-facultative,non-spinose,0.5475578406
17938-2,Piston core,19.78,117.53,2840,SCS,4.65,symbiont-obligate,spinose,0.17737789203
17938-2,Piston core,19.78,117.53,2840,SCS,4.65,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.75,symbiont-barren,non-spinose,0.01355932204
17938-2,Piston core,19.78,117.53,2840,SCS,4.75,symbiont-barren,spinose,0.04406779661
17938-2,Piston core,19.78,117.53,2840,SCS,4.75,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.75,symbiont-bearing,spinose,0.03728813559
17938-2,Piston core,19.78,117.53,2840,SCS,4.75,symbiont-facultative,non-spinose,0.66779661013
17938-2,Piston core,19.78,117.53,2840,SCS,4.75,symbiont-obligate,spinose,0.10508474577
17938-2,Piston core,19.78,117.53,2840,SCS,4.75,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.85,symbiont-barren,non-spinose,0.0522388
17938-2,Piston core,19.78,117.53,2840,SCS,4.85,symbiont-barren,spinose,0.05597014925
17938-2,Piston core,19.78,117.53,2840,SCS,4.85,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.85,symbiont-bearing,spinose,0.01119402985
17938-2,Piston core,19.78,117.53,2840,SCS,4.85,symbiont-facultative,non-spinose,0.57089544173
17938-2,Piston core,19.78,117.53,2840,SCS,4.85,symbiont-obligate,spinose,0.14179104476
17938-2,Piston core,19.78,117.53,2840,SCS,4.85,undetermined,non-spinose,0.00373134328
17938-2,Piston core,19.78,117.53,2840,SCS,4.95,symbiont-barren,non-spinose,0.01608579088
17938-2,Piston core,19.78,117.53,2840,SCS,4.95,symbiont-barren,spinose,0.03753351206
17938-2,Piston core,19.78,117.53,2840,SCS,4.95,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,4.95,symbiont-bearing,spinose,0.00536193029
17938-2,Piston core,19.78,117.53,2840,SCS,4.95,symbiont-facultative,non-spinose,0.71581769444
17938-2,Piston core,19.78,117.53,2840,SCS,4.95,symbiont-obligate,spinose,0.10455764075
