Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
GIK15612-2,44.36,-26.543333,0.555,symbiont-barren,non-spinose,362
GIK15612-2,44.36,-26.543333,0.555,symbiont-barren,spinose,128
GIK15612-2,44.36,-26.543333,0.555,symbiont-bearing,non-spinose,0
GIK15612-2,44.36,-26.543333,0.555,symbiont-bearing,spinose,0
GIK15612-2,44.36,-26.543333,0.555,symbiont-facultative,non-spinose,13
GIK15612-2,44.36,-26.543333,0.555,symbiont-facultative,spinose,0
GIK15612-2,44.36,-26.543333,0.555,symbiont-obligate,spinose,2
GIK15612-2,44.36,-26.543333,0.555,undetermined,non-spinose,0
GIK15612-2,44.36,-26.543333,0.605,symbiont-barren,non-spinose,311
GIK15612-2,44.36,-26.543333,0.605,symbiont-barren,spinose,107
GIK15612-2,44.36,-26.543333,0.605,symbiont-bearing,non-spinose,0
GIK15612-2,44.36,-26.543333,0.605,symbiont-bearing,spinose,0
GIK15612-2,44.36,-26.543333,0.605,symbiont-facultative,non-spinose,27
GIK15612-2,44.36,-26.543333,0.605,symbiont-facultative,spinose,0
GIK15612-2,44.36,-26.543333,0.605,symbiont-obligate,spinose,0
GIK15612-2,44.36,-26.543333,0.605,undetermined,non-spinose,0
GIK15612-2,44.36,-26.543333,0.665,symbiont-barren,non-spinose,320
GIK15612-2,44.36,-26.543333,0.665,symbiont-barren,spinose,172
GIK15612-2,44.36,-26.543333,0.665,symbiont-bearing,non-spinose,0
GIK15612-2,44.36,-26.543333,0.665,symbiont-bearing,spinose,0
GIK15612-2,44.36,-26.543333,0.665,symbiont-facultative,non-spinose,19
GIK15612-2,44.36,-26.543333,0.665,symbiont-facultative,spinose,0
GIK15612-2,44.36,-26.543333,0.665,symbiont-obligate,spinose,0
GIK15612-2,44.36,-26.543333,0.665,undetermined,non-spinose,0
GIK15612-2,44.36,-26.543333,0.685,symbiont-barren,non-spinose,230
GIK15612-2,44.36,-26.543333,0.685,symbiont-barren,spinose,120
GIK15612-2,44.36,-26.543333,0.685,symbiont-bearing,non-spinose,0
GIK15612-2,44.36,-26.543333,0.685,symbiont-bearing,spinose,0
GIK15612-2,44.36,-26.543333,0.685,symbiont-facultative,non-spinose,13
GIK15612-2,44.36,-26.543333,0.685,symbiont-facultative,spinose,0
GIK15612-2,44.36,-26.543333,0.685,symbiont-obligate,spinose,5
GIK15612-2,44.36,-26.543333,0.685,undetermined,non-spinose,0
GIK15612-2,44.36,-26.543333,0.705,symbiont-barren,non-spinose,271
GIK15612-2,44.36,-26.543333,0.705,symbiont-barren,spinose,164
GIK15612-2,44.36,-26.543333,0.705,symbiont-bearing,non-spinose,0
GIK15612-2,44.36,-26.543333,0.705,symbiont-bearing,spinose,3
GIK15612-2,44.36,-26.543333,0.705,symbiont-facultative,non-spinose,36
GIK15612-2,44.36,-26.543333,0.705,symbiont-facultative,spinose,0
GIK15612-2,44.36,-26.543333,0.705,symbiont-obligate,spinose,0
GIK15612-2,44.36,-26.543333,0.705,undetermined,non-spinose,0
GIK15612-2,44.36,-26.543333,0.725,symbiont-barren,non-spinose,251
GIK15612-2,44.36,-26.543333,0.725,symbiont-barren,spinose,153
GIK15612-2,44.36,-26.543333,0.725,symbiont-bearing,non-spinose,0
GIK15612-2,44.36,-26.543333,0.725,symbiont-bearing,spinose,0
GIK15612-2,44.36,-26.543333,0.725,symbiont-facultative,non-spinose,32
GIK15612-2,44.36,-26.543333,0.725,symbiont-facultative,spinose,0
GIK15612-2,44.36,-26.543333,0.725,symbiont-obligate,spinose,4
GIK15612-2,44.36,-26.543333,0.725,undetermined,non-spinose,0
