Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Absolute Abundance
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.94,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.94,symbiont-facultative,non-spinose,41
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.94,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.94,symbiont-obligate,spinose,37
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.94,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.97,symbiont-barren,non-spinose,73
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.97,symbiont-barren,spinose,61
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.97,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.97,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.97,symbiont-facultative,non-spinose,55
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.97,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.97,symbiont-obligate,spinose,47
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,2.97,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3,symbiont-barren,non-spinose,96
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3,symbiont-barren,spinose,68
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3,symbiont-facultative,non-spinose,59
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3,symbiont-obligate,spinose,51
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.03,symbiont-barren,non-spinose,170
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.03,symbiont-barren,spinose,116
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.03,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.03,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.03,symbiont-facultative,non-spinose,103
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.03,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.03,symbiont-obligate,spinose,72
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.03,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.06,symbiont-barren,non-spinose,62
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.06,symbiont-barren,spinose,47
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.06,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.06,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.06,symbiont-facultative,non-spinose,39
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.06,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.06,symbiont-obligate,spinose,36
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.06,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.09,symbiont-barren,non-spinose,98
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.09,symbiont-barren,spinose,65
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.09,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.09,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.09,symbiont-facultative,non-spinose,62
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.09,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.09,symbiont-obligate,spinose,64
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.09,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.12,symbiont-barren,non-spinose,137
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.12,symbiont-barren,spinose,70
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.12,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.12,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.12,symbiont-facultative,non-spinose,91
