Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
MD95-2040,40.581833,-9.861167,3.71,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.71,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,3.71,symbiont-facultative,non-spinose,88
MD95-2040,40.581833,-9.861167,3.71,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.71,symbiont-obligate,spinose,34
MD95-2040,40.581833,-9.861167,3.71,undetermined,non-spinose,3
MD95-2040,40.581833,-9.861167,3.74,symbiont-barren,non-spinose,184
MD95-2040,40.581833,-9.861167,3.74,symbiont-barren,spinose,93
MD95-2040,40.581833,-9.861167,3.74,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.74,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,3.74,symbiont-facultative,non-spinose,102
MD95-2040,40.581833,-9.861167,3.74,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.74,symbiont-obligate,spinose,39
MD95-2040,40.581833,-9.861167,3.74,undetermined,non-spinose,8
MD95-2040,40.581833,-9.861167,3.77,symbiont-barren,non-spinose,229
MD95-2040,40.581833,-9.861167,3.77,symbiont-barren,spinose,102
MD95-2040,40.581833,-9.861167,3.77,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.77,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,3.77,symbiont-facultative,non-spinose,117
MD95-2040,40.581833,-9.861167,3.77,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.77,symbiont-obligate,spinose,47
MD95-2040,40.581833,-9.861167,3.77,undetermined,non-spinose,6
MD95-2040,40.581833,-9.861167,3.8,symbiont-barren,non-spinose,225
MD95-2040,40.581833,-9.861167,3.8,symbiont-barren,spinose,144
MD95-2040,40.581833,-9.861167,3.8,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.8,symbiont-bearing,spinose,0
