Event,Latitude,Longitude,Depth sed,Symbiosis,Spine,Elevation,Absolute Abundance
A180-16,38.35,-32.483,0.7,symbiont-bearing,spinose,-6804,0
A180-16,38.35,-32.483,0.7,symbiont-facultative,non-spinose,-9072,0
A180-16,38.35,-32.483,0.7,symbiont-obligate,spinose,-15876,0
A180-16,38.35,-32.483,0.7,undetermined,non-spinose,-2268,0
A180-32,29.117,-26.25,0.6,symbiont-barren,non-spinose,-36400,0
A180-32,29.117,-26.25,0.6,symbiont-barren,spinose,-15600,0
A180-32,29.117,-26.25,0.6,symbiont-bearing,spinose,-15600,0
A180-32,29.117,-26.25,0.6,symbiont-facultative,non-spinose,-20800,0
A180-32,29.117,-26.25,0.6,symbiont-obligate,spinose,-36400,0
A180-32,29.117,-26.25,0.6,undetermined,non-spinose,-5200,0
A180-39,25.833,-19.3,0.3,symbiont-barren,non-spinose,-24290,93
A180-39,25.833,-19.3,0.3,symbiont-barren,spinose,-10410,95
A180-39,25.833,-19.3,0.3,symbiont-bearing,spinose,-10410,0
A180-39,25.833,-19.3,0.3,symbiont-facultative,non-spinose,-13880,202
A180-39,25.833,-19.3,0.3,symbiont-obligate,spinose,-24290,93
A180-39,25.833,-19.3,0.3,undetermined,non-spinose,-3470,0
A180-47,15.333,-17.933,3.5,symbiont-barren,non-spinose,-15365,0
A180-47,15.333,-17.933,3.5,symbiont-barren,spinose,-6585,0
A180-47,15.333,-17.933,3.5,symbiont-bearing,spinose,-6585,0
A180-47,15.333,-17.933,3.5,symbiont-facultative,non-spinose,-8780,0
A180-47,15.333,-17.933,3.5,symbiont-obligate,spinose,-15365,0
A180-47,15.333,-17.933,3.5,undetermined,non-spinose,-2195,0
A180-48,15.317,-18.1,5.29,symbiont-barren,non-spinose,-10150,0
A180-48,15.317,-18.1,5.29,symbiont-barren,spinose,-4350,0
A180-48,15.317,-18.1,5.29,symbiont-bearing,spinose,-4350,0
A180-48,15.317,-18.1,5.29,symbiont-facultative,non-spinose,-5800,0
A180-48,15.317,-18.1,5.29,symbiont-obligate,spinose,-10150,0
A180-48,15.317,-18.1,5.29,undetermined,non-spinose,-1450,0
A180-56,12.235,-17.767,1,symbiont-barren,non-spinose,-18179,0
A180-56,12.235,-17.767,1,symbiont-barren,spinose,-7791,0
A180-56,12.235,-17.767,1,symbiont-bearing,spinose,-7791,0
A180-56,12.235,-17.767,1,symbiont-facultative,non-spinose,-10388,0
A180-56,12.235,-17.767,1,symbiont-obligate,spinose,-18179,0
A180-56,12.235,-17.767,1,undetermined,non-spinose,-2597,0
A180-72,0.6,-21.783,0.46,symbiont-barren,non-spinose,-26887,0
A180-72,0.6,-21.783,0.46,symbiont-barren,spinose,-11523,0
A180-72,0.6,-21.783,0.46,symbiont-bearing,spinose,-11523,0
A180-72,0.6,-21.783,0.46,symbiont-facultative,non-spinose,-15364,0
A180-72,0.6,-21.783,0.46,symbiont-obligate,spinose,-26887,0
A180-72,0.6,-21.783,0.46,undetermined,non-spinose,-3841,0
A180-73,0.167,-23,0.6,symbiont-barren,non-spinose,-52486,0
A180-73,0.167,-23,0.6,symbiont-barren,spinose,-22494,0
A180-73,0.167,-23,0.6,symbiont-bearing,spinose,-22494,0
A180-73,0.167,-23,0.6,symbiont-facultative,non-spinose,-29992,0
A180-73,0.167,-23,0.6,symbiont-obligate,spinose,-52486,0
A180-73,0.167,-23,0.6,undetermined,non-spinose,-7498,0
A180-74,-0.05,-24.167,0.5,symbiont-barren,non-spinose,-23303,173
A180-74,-0.05,-24.167,0.5,symbiont-barren,spinose,-9987,32
A180-74,-0.05,-24.167,0.5,symbiont-bearing,spinose,-9987,1
A180-74,-0.05,-24.167,0.5,symbiont-facultative,non-spinose,-13316,254
A180-74,-0.05,-24.167,0.5,symbiont-obligate,spinose,-23303,135
A180-74,-0.05,-24.167,0.5,undetermined,non-spinose,-3329,0
A180-76,-0.767,-26.033,0.6,symbiont-barren,non-spinose,-24584,0
A180-76,-0.767,-26.033,0.6,symbiont-barren,spinose,-10536,0
A180-76,-0.767,-26.033,0.6,symbiont-bearing,spinose,-10536,0
A180-76,-0.767,-26.033,0.6,symbiont-facultative,non-spinose,-14048,0
A180-76,-0.767,-26.033,0.6,symbiont-obligate,spinose,-24584,0
A180-76,-0.767,-26.033,0.6,undetermined,non-spinose,-3512,0
A180-9,39.45,-45.95,0.6,symbiont-barren,non-spinose,-28420,0
A180-9,39.45,-45.95,0.6,symbiont-barren,spinose,-12180,0
A180-9,39.45,-45.95,0.6,symbiont-bearing,spinose,-12180,0
A180-9,39.45,-45.95,0.6,symbiont-facultative,non-spinose,-16240,0
A180-9,39.45,-45.95,0.6,symbiont-obligate,spinose,-28420,0
A180-9,39.45,-45.95,0.6,undetermined,non-spinose,-4060,0
ELT45.027-PC,-43.308,105.548,0.3,symbiont-barren,non-spinose,-26761,0
ELT45.027-PC,-43.308,105.548,0.3,symbiont-barren,spinose,-11469,0
ELT45.027-PC,-43.308,105.548,0.3,symbiont-bearing,spinose,-11469,0
ELT45.027-PC,-43.308,105.548,0.3,symbiont-facultative,non-spinose,-15292,0
ELT45.027-PC,-43.308,105.548,0.3,symbiont-obligate,spinose,-26761,0
ELT45.027-PC,-43.308,105.548,0.3,undetermined,non-spinose,-3823,0
ELT45.029-PC,-44.877,106.518,0.39,symbiont-barren,non-spinose,-27069,0
ELT45.029-PC,-44.877,106.518,0.39,symbiont-barren,spinose,-11601,0
ELT45.029-PC,-44.877,106.518,0.39,symbiont-bearing,spinose,-11601,0
ELT45.029-PC,-44.877,106.518,0.39,symbiont-facultative,non-spinose,-15468,0
ELT45.029-PC,-44.877,106.518,0.39,symbiont-obligate,spinose,-27069,0
ELT45.029-PC,-44.877,106.518,0.39,undetermined,non-spinose,-3867,0
ELT45.078-PC,-45.037,114.348,0.31,symbiont-barren,non-spinose,-28588,0
ELT45.078-PC,-45.037,114.348,0.31,symbiont-barren,spinose,-12252,0
ELT45.078-PC,-45.037,114.348,0.31,symbiont-bearing,spinose,-12252,0
ELT45.078-PC,-45.037,114.348,0.31,symbiont-facultative,non-spinose,-16336,0
ELT45.078-PC,-45.037,114.348,0.31,symbiont-obligate,spinose,-28588,0
ELT45.078-PC,-45.037,114.348,0.31,undetermined,non-spinose,-4084,0
ELT48.003-PC,-41.02,100.012,0.22,symbiont-barren,non-spinose,-27874,0
ELT48.003-PC,-41.02,100.012,0.22,symbiont-barren,spinose,-11946,0
ELT48.003-PC,-41.02,100.012,0.22,symbiont-bearing,spinose,-11946,0
ELT48.003-PC,-41.02,100.012,0.22,symbiont-facultative,non-spinose,-15928,0
ELT48.003-PC,-41.02,100.012,0.22,symbiont-obligate,spinose,-27874,0
