Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose,SST
54.983,-15.4,82,0,89,4,140,0,0,0,12.127279281616211
54.983,-15.4,82,0,95,4,133,0,0,0,12.127279281616211
10.183,-77.22,3,0,117,378,11,7,0,0,27.725261688232422
10.183,-77.22,2,0,57,199,21,5,0,0,27.725261688232422
21.3,-69.67,0,0,76,381,16,28,0,2,26.82819175720215
21.3,-69.67,0,0,78,393,16,29,0,2,26.82819175720215
13.483,-81.63,0,0,73,122,9,4,0,0,27.758913040161133
16.567,-79.53,2,0,66,276,14,14,0,0,27.75396156311035
16.567,-79.53,0,0,91,225,4,17,0,0,27.75396156311035
11.767,-81.1,2,0,67,216,22,6,0,0,27.828340530395508
4.967,-45.97,3,0,34,349,7,1,0,0,27.225479125976562
-43.03,57.35,54,0,228,0,84,0,0,0,10.51136589050293
-34.33,54.217,14,0,269,11,74,0,0,0,18.6614990234375
2.217,-45.4,0,0,75,282,10,5,0,0,27.18597412109375
-22.4,57.633,12,0,100,294,20,1,0,0,24.866390228271484
-34.92,67.583,15,0,170,12,113,0,0,0,18.069711685180664
-36.48,69.55,36,0,73,11,144,1,0,0,16.625802993774414
0.917,-43.77,0,0,81,251,4,0,0,0,27.00979232788086
-38.03,83.483,77,0,59,50,95,1,0,0,14.29570198059082
-28.07,95.967,25,0,89,123,65,2,0,0,20.05939292907715
1.683,-41.52,3,0,114,171,37,4,0,0,27.125532150268555
1.683,-41.52,3,0,99,170,36,3,0,0,27.125532150268555
-33.8,112.98,29,0,134,79,25,5,0,0,18.17254638671875
-31.57,114.12,6,0,243,19,15,0,0,0,19.93577766418457
-21.42,112.8,28,0,109,166,7,21,0,0,24.457639694213867
-49.0,-4.6,4,0,3,0,374,0,0,0,4.113334655761719
-42.58,-17.8,166,0,61,8,80,0,0,0,11.718786239624023
11.91,-75.04,2,0,71,153,103,7,0,0,27.456039428710938
15.617,-71.67,2,0,67,229,8,3,0,0,27.406230926513672
15.857,-74.79,6,0,89,219,22,8,0,0,27.49603271484375
10.032,-76.96,1,0,70,145,71,3,0,0,27.657258987426758
11.25,-78.15,0,0,88,127,23,4,0,0,27.61294937133789
11.25,-78.15,1,0,111,244,21,4,0,0,27.61294937133789
14.695,-77.17,4,0,75,262,14,17,0,0,27.56224822998047
3.705,-7.722,3,0,93,216,3,12,0,0,27.493309020996094
-25.49,11.307,7,0,74,13,183,0,0,0,17.41379165649414
-46.6,7.625,108,0,35,1,128,0,0,0,5.917431831359863
-49.92,-15.57,55,0,214,0,396,0,0,0,3.9396066665649414
-46.1,-13.23,133,0,57,4,169,0,0,0,6.843108177185059
-12.38,61.617,14,1,97,181,17,6,0,2,26.896867752075195
-12.85,59.872,10,5,115,203,16,3,0,0,26.906511306762695
-13.61,59.638,16,4,105,182,17,6,0,1,26.634788513183594
-15.59,58.852,15,1,115,187,8,10,0,0,26.27532196044922
-16.23,58.633,12,0,86,251,11,14,0,0,26.27532196044922
-2.807,61.203,10,2,146,140,43,3,0,0,28.184139251708984
19.193,66.29,12,4,152,136,5,0,0,0,26.89432144165039
21.472,67.298,40,0,125,120,1,16,0,0,26.727182388305664
9.582,72.763,31,2,105,183,19,35,0,0,28.25244140625
-13.22,65.617,10,1,114,133,32,10,0,0,26.463438034057617
59.6532,-22.77,135,0,91,2,176,0,0,0,10.068809509277344
59.6532,-22.77,135,0,99,2,167,0,0,0,10.068809509277344
53.867,-21.1328,137,0,118,2,344,0,0,0,11.921963691711426
63.4832,-0.0667,8,0,6,1,262,0,0,0,8.124773025512695
42.467,-54.9,29,0,115,15,264,0,0,0,15.399136543273926
42.467,-54.9,29,0,121,15,248,0,0,0,15.399136543273926
23.767,-92.47,7,0,63,231,33,2,0,0,26.518325805664062
32.6,-69.5,66,0,99,129,64,1,0,2,23.145679473876953
32.6,-69.5,74,0,91,126,50,0,0,2,23.145679473876953
32.283,-65.12,7,0,59,174,46,23,0,1,23.12775421142578
32.217,-64.72,25,0,42,222,45,17,0,1,23.179166793823242
29.283,-79.92,13,2,192,296,5,9,0,0,25.254064559936523
29.283,-79.92,13,0,199,309,5,9,0,0,25.254064559936523
38.917,-57.13,7,0,141,42,169,0,0,0,22.041852951049805
34.667,-61.45,56,0,97,157,97,2,0,2,22.5838680267334
40.767,-64.6,6,0,158,16,232,0,0,0,17.670019149780273
40.767,-64.6,6,0,158,16,232,0,0,0,17.670019149780273
12.4,-77.77,0,0,97,215,37,1,0,0,27.61294937133789
8.233,-37.87,2,0,50,311,4,5,0,0,26.915037155151367
31.383,-11.62,74,0,67,250,102,8,0,2,19.41360855102539
31.383,-11.62,181,0,96,152,76,8,0,2,19.41360855102539
22.967,-38.2,4,0,31,443,21,0,0,0,24.37848663330078
23.033,-43.8,0,0,38,202,19,49,0,0,24.526273727416992
31.433,-64.17,26,0,94,168,59,13,0,1,23.179166793823242
31.433,-64.17,41,0,150,254,72,20,0,2,23.179166793823242
17.0,-74.4,4,0,63,235,19,10,0,0,27.649337768554688
24.283,-53.07,6,0,18,446,11,0,0,0,25.493825912475586
-22.98,7.017,10,0,99,96,125,8,0,0,19.062725067138672
1.75,-16.05,6,0,239,281,43,10,0,0,26.599966049194336
1.75,-16.05,8,0,232,263,37,11,0,0,26.599966049194336
10.7,-65.2,131,0,116,116,33,4,0,0,
3.867,65.517,8,9,82,103,11,1,0,0,28.408409118652344
11.433,56.233,11,0,98,29,34,0,0,0,26.409276962280273
13.433,53.45,30,0,99,40,2,6,0,0,26.299095153808594
14.3,51.0,48,0,148,50,5,4,0,0,26.645748138427734
14.3,51.0,45,1,121,51,11,4,0,0,26.645748138427734
12.867,48.4,48,0,171,83,2,7,0,0,27.87722396850586
11.85,46.75,51,0,153,57,8,2,0,0,28.058956146240234
11.85,46.75,58,1,125,55,10,2,0,0,28.058956146240234
12.617,45.633,59,0,165,62,1,2,0,0,28.058956146240234
15.483,-40.52,2,0,36,241,13,9,0,0,25.43688201904297
0.85,-32.85,0,0,66,272,6,13,0,0,26.789461135864258
0.85,-32.85,2,0,63,279,6,14,0,0,26.789461135864258
-39.2,13.5,71,0,124,54,89,1,0,0,14.637822151184082
-39.2,13.5,67,0,126,56,84,0,0,0,14.637822151184082
-35.88,15.917,22,0,181,2,112,0,0,0,18.051769256591797
-4.3,64.817,7,1,127,33,16,0,0,0,28.072248458862305
-2.833,66.3,4,11,206,28,33,1,0,0,28.30116844177246
-0.633,69.45,5,6,140,53,18,1,0,0,28.424625396728516
1.967,-37.07,1,0,77,359,10,5,0,0,27.147546768188477
23.333,-46.48,0,0,34,237,5,37,0,0,24.69221305847168
23.333,-46.48,0,0,35,242,5,37,0,0,24.69221305847168
30.0,-51.87,15,0,72,336,57,1,0,1,23.736417770385742
17.267,-48.42,1,0,49,289,6,16,0,0,25.8503360748291
60.033,-50.83,1,0,1,2,320,0,0,0,3.6489369869232178
13.25,-40.67,1,0,54,280,27,5,0,0,25.755664825439453
13.25,-40.67,1,0,43,281,19,5,0,0,25.755664825439453
-33.2,15.0,16,0,172,42,104,0,0,0,17.67642593383789
-33.2,15.0,13,0,192,48,75,0,0,0,17.67642593383789
-33.35,16.433,5,0,206,48,76,1,0,0,17.67642593383789
-33.35,16.433,14,0,143,18,67,0,0,0,17.67642593383789
-33.35,16.433,5,0,196,48,67,1,0,0,17.67642593383789
-46.02,44.367,150,0,98,0,130,0,0,0,5.228853702545166
-45.0,45.767,133,0,100,0,135,0,0,0,7.026777267456055
-37.15,43.5,32,0,114,36,102,0,0,0,17.382789611816406
-37.15,43.5,26,0,139,46,79,1,0,0,17.382789611816406
-29.73,79.567,39,0,136,192,114,1,0,0,19.842391967773438
-31.05,82.85,10,0,153,68,94,0,0,0,18.432106018066406
-31.63,83.8,40,0,202,147,137,1,0,0,18.280288696289062
-32.38,84.85,29,0,105,61,101,1,0,0,18.280288696289062
-30.2,91.717,44,0,67,177,95,10,0,0,19.10336685180664
-28.883,92.833,31,1,104,157,94,1,0,0,20.238178253173828
-28.017,95.183,6,0,130,84,75,0,0,0,20.05939292907715
-31.53,99.25,68,0,92,170,105,14,0,0,17.603618621826172
28.483,-65.05,8,0,50,379,52,0,0,1,24.99632453918457
12.383,-18.92,12,0,237,118,107,3,0,0,25.50718116760254
12.383,-18.92,12,0,94,124,36,2,0,0,25.50718116760254
24.967,-28.93,4,0,148,234,77,9,0,0,22.973594665527344
24.967,-28.93,4,0,78,228,39,9,0,0,22.973594665527344
27.967,-34.13,4,0,54,325,40,0,0,2,22.651273727416992
27.967,-34.13,4,0,49,322,37,0,0,2,22.651273727416992
29.617,-36.92,4,0,109,265,69,4,0,0,22.4321231842041
58.367,-47.73,4,0,1,2,388,0,0,0,4.31028938293457
60.733,-57.83,1,0,0,0,379,0,0,0,2.769571304321289
60.733,-57.83,2,0,0,0,343,0,0,0,2.769571304321289
11.75,-80.43,3,0,55,246,17,12,0,0,27.709508895874023
13.733,-51.12,14,0,158,160,65,15,0,0,26.74213409423828
13.733,-51.12,14,0,130,156,50,15,0,0,26.74213409423828
-33.23,15.983,33,0,152,30,66,0,0,0,17.67642593383789
-38.98,29.933,17,0,160,4,131,0,0,0,18.297443389892578
-37.63,37.867,29,1,215,7,116,0,0,0,17.859825134277344
-36.12,41.85,7,0,281,11,25,0,0,0,18.760650634765625
-20.58,63.533,10,0,48,278,14,9,0,0,25.22309684753418
4.233,-47.75,0,0,73,295,6,2,0,0,27.292917251586914
-30.57,114.45,14,1,170,153,18,7,0,0,20.9217472076416
-38.57,140.62,52,0,89,24,61,0,0,4,15.060778617858887
38.75,-67.55,6,0,232,63,61,0,0,1,19.81328010559082
38.75,-67.55,6,0,249,64,49,0,0,1,19.81328010559082
38.75,-67.55,6,0,235,63,64,0,0,1,19.81328010559082
8.117,62.783,36,5,149,176,18,2,0,0,27.79460906982422
7.433,61.067,19,3,92,69,22,0,0,0,27.79460906982422
-4.217,41.55,39,0,114,195,27,11,0,0,27.14005470275879
-19.92,41.6,7,0,102,217,50,1,0,0,26.52306365966797
-30.58,13.283,14,0,168,55,96,0,0,0,17.206769943237305
-29.52,9.583,3,0,198,14,198,0,0,0,18.073129653930664
-29.52,9.583,3,0,174,14,190,0,0,0,18.073129653930664
-21.83,10.8,99,1,127,58,679,1,0,0,18.08837890625
2.0,-5.25,23,0,95,216,89,1,0,0,26.948875427246094
1.417,-9.083,6,0,287,38,116,7,0,0,26.779367446899414
1.417,-9.083,6,0,155,36,91,7,0,0,26.779367446899414
3.65,-15.05,0,0,198,28,115,15,0,0,27.35614776611328
3.65,-15.05,0,0,195,27,107,15,0,0,27.35614776611328
3.65,-15.05,0,0,152,28,105,15,0,0,27.35614776611328
29.017,-41.4,2,0,62,313,38,23,0,1,23.051408767700195
33.3,-48.27,40,0,202,267,98,2,0,2,22.01594352722168
33.3,-48.27,24,0,121,177,41,1,0,1,22.01594352722168
-21.98,68.483,2,1,36,159,34,1,0,0,24.41189956665039
-23.05,64.9,18,0,52,183,15,3,0,0,23.978302001953125
-23.05,64.9,14,0,55,188,13,3,0,0,23.978302001953125
2.1,-35.6,1,0,54,248,13,2,0,0,27.122323989868164
5.317,-33.03,1,0,74,233,16,16,0,0,27.132658004760742
8.467,-30.13,8,0,257,68,256,26,0,0,26.734577178955078
8.467,-30.13,8,0,194,69,31,25,0,0,26.734577178955078
38.283,-68.53,22,0,244,31,284,0,0,0,19.81328010559082
38.283,-68.53,22,0,239,31,254,0,0,0,19.81328010559082
11.533,-60.52,1,0,41,251,1,0,0,0,27.36556625366211
14.45,-77.23,2,0,97,124,17,3,0,0,27.56224822998047
-46.13,-10.9,123,0,77,3,387,0,0,0,6.233517646789551
-44.47,-6.633,203,0,79,5,86,0,0,0,8.55001449584961
-43.18,-3.25,291,0,127,1,70,0,0,0,8.373205184936523
3.383,-20.12,5,0,139,167,62,0,0,0,27.1678524017334
14.167,-18.58,116,0,66,89,62,0,1,3,24.553945541381836
14.4,-21.15,0,0,285,82,73,3,0,0,24.671600341796875
14.4,-21.15,0,0,261,79,71,3,0,0,24.671600341796875
15.017,-23.23,14,1,94,210,24,29,0,0,24.05107879638672
20.7,-31.45,4,0,60,267,27,3,0,1,24.057537078857422
27.917,-43.63,3,0,47,246,36,30,0,0,23.741851806640625
32.65,-52.3,37,0,117,87,223,2,0,2,22.930482864379883
34.75,-57.25,8,0,154,124,109,0,0,0,22.338808059692383
34.75,-57.25,7,0,157,126,107,0,0,0,22.338808059692383
12.75,-45.63,3,0,76,393,13,1,0,0,26.592060089111328
19.883,-25.53,7,0,90,197,38,6,0,0,23.285215377807617
19.883,-25.53,7,0,96,205,34,6,0,0,23.285215377807617
17.2,-35.83,3,0,88,277,34,2,0,0,24.747026443481445
17.2,-35.83,3,0,76,277,32,2,0,0,24.747026443481445
17.483,-40.67,3,0,75,298,36,18,0,2,25.184494018554688
41.517,-45.13,77,0,193,116,146,0,0,0,17.27480697631836
41.517,-45.13,77,0,201,116,137,0,0,0,17.27480697631836
46.0,-45.05,204,0,28,12,152,1,0,0,9.342179298400879
62.667,-27.53,203,0,51,9,179,0,0,0,8.602412223815918
68.0333,0.0167,335,0,12,0,592,0,0,0,6.43968391418457
70.05,8.317,58,0,5,0,321,0,0,0,6.210339069366455
77.95,0.2,17,0,0,0,602,0,0,0,-0.34994935989379883
70.983,6.683,9,0,0,0,304,0,0,0,5.960193157196045
68.55,2.717,154,0,16,0,607,0,0,0,6.773922920227051
60.933,-17.57,32,0,441,2,641,0,0,0,10.033019065856934
54.25,-16.83,90,0,124,7,218,0,0,0,12.127279281616211
52.583,-21.93,95,0,124,3,247,0,0,0,12.61913776397705
52.583,-21.93,95,0,131,3,240,0,0,0,12.61913776397705
49.867,-24.25,89,0,123,4,173,0,0,0,13.404279708862305
49.867,-24.25,90,0,136,4,159,0,0,0,13.404279708862305
46.0,-16.92,64,0,109,50,178,0,0,1,14.728301048278809
46.0,-16.92,64,0,116,50,171,0,0,1,14.728301048278809
29.8,-15.1,7,0,58,278,56,7,0,0,20.216644287109375
12.25,-76.63,1,0,169,113,77,14,0,0,27.456039428710938
22.6,-72.6,2,0,54,304,20,10,0,0,26.942646026611328
22.6,-72.6,2,0,54,305,20,10,0,0,26.942646026611328
26.783,-46.7,3,0,36,251,15,17,0,0,24.321020126342773
9.317,-43.0,2,0,50,184,10,1,0,0,26.724117279052734
17.033,-71.23,0,0,59,231,12,7,0,0,27.46205711364746
9.567,-18.18,65,0,156,236,129,3,0,0,26.374704360961914
6.267,-17.92,7,0,138,46,91,3,0,0,27.403419494628906
6.033,-18.25,4,0,85,198,41,0,0,0,27.403419494628906
6.033,-18.25,4,0,82,193,36,0,0,0,27.403419494628906
5.833,-18.08,5,0,166,66,99,12,0,0,27.403419494628906
5.833,-18.08,5,0,144,64,91,12,0,0,27.403419494628906
0.3,-14.8,0,0,134,143,26,1,0,0,25.726375579833984
0.3,-14.8,0,0,131,144,20,1,0,0,25.726375579833984
0.3,-14.8,0,0,127,143,24,1,0,0,25.726375579833984
42.267,-60.5,41,0,93,3,178,0,0,0,14.763880729675293
42.267,-60.5,42,0,87,3,165,0,0,0,14.763880729675293
62.133,-14.2,124,0,97,4,821,0,0,0,9.115745544433594
56.067,-24.08,87,0,128,4,422,0,0,0,11.108610153198242
43.8,-14.68,1,0,78,36,95,1,0,0,15.338282585144043
42.7,-17.07,29,0,123,51,171,0,0,5,16.329757690429688
42.7,-17.07,30,0,121,51,171,0,0,5,16.329757690429688
39.717,-20.15,37,0,102,145,105,0,0,7,17.313207626342773
39.617,-13.55,62,0,77,42,154,3,0,0,16.889970779418945
42.75,-43.23,75,0,93,52,164,0,0,0,18.514259338378906
44.167,-39.87,46,0,177,41,161,0,0,0,17.256528854370117
25.933,-26.58,0,0,80,162,71,2,0,1,22.305238723754883
50.1,-37.3,130,0,38,11,95,0,0,0,12.429105758666992
16.533,-28.85,10,0,105,239,53,4,0,0,24.487144470214844
16.533,-28.85,10,0,109,249,53,4,0,0,24.487144470214844
54.0,-46.2,177,0,27,3,132,0,0,0,6.712331771850586
54.0,-46.2,243,0,29,12,136,0,0,0,6.712331771850586
54.0,-46.2,250,0,31,3,135,0,0,0,6.712331771850586
54.033,-46.87,226,0,19,1,173,0,0,0,6.712331771850586
54.467,-50.8,31,0,0,0,535,0,0,0,4.486289024353027
54.467,-50.8,44,0,0,0,746,0,0,0,4.486289024353027
54.733,-53.12,1,0,0,0,261,0,0,0,2.4420933723449707
1.0,1.983,6,0,217,101,24,5,0,0,27.133617401123047
1.0,1.983,6,0,174,97,18,5,0,0,27.133617401123047
3.05,-11.82,0,0,51,81,48,3,0,0,27.513620376586914
56.733,-54.7,5,0,0,0,405,0,0,0,3.2635233402252197
56.733,-54.7,3,0,0,0,376,0,0,0,3.2635233402252197
1.05,-13.63,11,0,143,84,75,18,0,0,26.6359920501709
58.183,-44.62,54,0,1,1,387,0,0,0,5.048850059509277
60.7033,-37.275,169,0,32,0,207,0,0,0,6.956226825714111
61.367,-11.5,65,0,30,2,274,0,0,0,8.942397117614746
61.367,-11.5,65,0,34,2,269,0,0,0,8.942397117614746
63.45,-6.133,64,0,103,10,260,0,0,0,6.622673034667969
65.017,-6.217,170,0,2,0,636,0,0,0,5.108972549438477
76.167,-5.4,1,0,0,0,660,0,0,0,-0.9937412738800049
73.533,2.667,9,0,0,0,634,0,0,0,1.627548336982727
78.833,4.633,6,0,0,0,643,0,0,0,0.8249598741531372
76.467,6.917,6,0,0,0,548,0,0,0,2.11358642578125
78.117,3.617,15,0,0,0,591,0,0,0,0.8249598741531372
78.4,7.417,4,0,0,0,300,0,0,0,1.5574414730072021
75.0,-10.8,4,0,0,0,489,0,0,0,-1.3859232664108276
75.0,-10.8,8,0,0,0,249,0,0,0,-1.3859232664108276
60.65,-7.433,52,0,8,0,785,0,0,0,9.893077850341797
14.933,-73.92,1,0,79,146,15,4,0,0,27.260635375976562
13.933,-72.37,2,0,130,146,30,2,0,0,27.232336044311523
17.033,-76.6,3,0,67,259,25,17,0,0,27.787263870239258
10.983,-81.15,0,0,87,125,15,3,0,0,27.940265655517578
11.117,-80.4,1,0,61,211,19,15,0,0,27.709508895874023
72.433,-13.65,1,0,0,0,468,0,0,0,-0.3351931571960449
