Latitude,Longitude,O. universa,G. conglobatus,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. siphonifera,G. calida,G. bulloides,G. falconensis,B. digitata,G. rubescens,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. crassaformis,G. hirsuta,G. scitula,G. glutinata,G. truncatulinoides,G. aequilateralis,G. menardii,H. pelagica,G. ruber ruber,G. tumida,G. digitata,T. humilis,C. nitida,G. uvula,D. anfracta,G. theyeri,T. iota,G. cavernula,G. cultrata,G. tenella,G. adamsi,G. crassa
-0.917,-134.3,0,0,0.017,0,0.012,0,0.024,0,0.033,0,0.007,0,0,0,0.174,0.327,0.03,0.002,0.31,0.009,0.019,0,0.035,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.52,79.867,0,0,0,0,0,0,0,0,0.281,0,0,0,0.007,0.55,0.089,0.007,0,0,0,0.036,0,0,0.013,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.72,82.25,0.003,0,0.007,0,0,0,0,0,0.319,0.12,0,0,0.093,0.09,0.086,0.083,0,0,0,0.063,0,0.007,0.083,0.003,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25.48,110.02,0.005,0.005,0.121,0.005,0.041,0,0.008,0.005,0.093,0.003,0.003,0.025,0,0,0.003,0.027,0,0,0.003,0.485,0,0.003,0.14,0.005,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19.07,112.75,0.011,0.018,0.259,0.028,0.028,0,0.028,0.039,0.039,0.039,0,0.057,0,0.011,0.011,0.085,0,0,0.018,0.085,0,0.018,0.209,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17.27,-35.97,0.011,0.005,0.692,0.019,0.041,0,0.014,0.008,0.008,0.008,0,0.011,0,0,0,0,0,0,0,0.014,0.005,0.011,0.146,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.817,-140.1,0.005,0,0.041,0.005,0.026,0,0.015,0.005,0.046,0.005,0.005,0.015,0,0,0.077,0.286,0.02,0.005,0.24,0.005,0.194,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6.133,-140.9,0.002,0.028,0.157,0.055,0.072,0,0.044,0.006,0.091,0.003,0.003,0.016,0,0,0.005,0.066,0.08,0.005,0.108,0,0.009,0,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14.82,-140,0.002,0.015,0.458,0.076,0.061,0.001,0.019,0.017,0.018,0.002,0,0.021,0,0,0,0.001,0.004,0.007,0.002,0,0.001,0,0.295,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8.8,-110.8,0.00919580419580419,0.0253881118881119,0.147,0.002,0.0628706293706294,0,0.0166923076923077,0.0045979020979021,0.074965034965035,0,0.002,0.0045979020979021,0.0016993006993007,0,0.0870594405594406,0.140734265734266,0.0328846153846154,0.0316853146853147,0.044979020979021,0.0028986013986014,0.0016993006993007,0,0.136,0.118881118881119,0,0,0,0,0,0,0.0013986013986014,0,0,0,0,0,0,0,0,0.0013986013986014,0,0
-28.58,-30.07,0.015,0.022,0.433,0.015,0.022,0,0.04,0.015,0.035,0.052,0.002,0.02,0,0.002,0.027,0.005,0,0,0,0.102,0.012,0.012,0.05,0.017,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.78,18.45,0.0065,0.0015,0.01,0,0.00475,0,0.00733333333333333,0.01925,0.111666666666667,0.009,0.0015,0.003,0.00825,0.0176666666666667,0.3395,0.106166666666667,,,0.001,0.145833333333333,0.00583333333333333,0.00233333333333333,0.016,0.0196666666666667,0.00775,0,0.0035,0,0,,0.0015,0.0015,0,0,,,,0,0.00349999999999999,0,,
-26,169.2,0.0169473049074819,0.0686914722445696,0.206,0.008,0.0298833467417538,0,0.0338946098149638,0.0178495575221239,0.0825297666934835,0.145405470635559,0.002,0,0.000902252614641995,0,0.0320901045856798,0.0187518101367659,0,0,0.00180450522928399,0.159243765084473,0.0606689460981497,0.00230450522928399,0.046609010458568,0.0456500402252615,0.017,0,0,0,0,0,0.00241351568785197,0,0,0,0,0,0,0,0,0.0080450522928399,0,0
-55.15,-64,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0.876,0.016,0.003,0,0,0,0.011,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.47,-57.67,0,0,0,0,0,0,0,0,0.328,0,0,0,0.012,0.244,0.036,0.057,0,0,0,0.253,0,0.003,0.015,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.58,-17.8,0,0,0.003,0,0,0,0,0,0.153,0.003,0,0,0.083,0.252,0.146,0.092,0,0,0,0.217,0.019,0,0.016,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.27,-10.1,0.00025,0.000133333333333333,0.00475,0,0,0,6.66666666666666e-05,0,0.355533333333333,0.00686666666666667,0.00025,0,0.071625,0.0564666666666667,0.24875,0.00633333333333333,,,0,0.118266666666667,0.00133333333333333,0.00426666666666667,0.007625,0.0399333333333333,0.03275,0,0,0,0,,0,0.000285714285714286,0,0.000142857142857143,,,,0,0,0,,
-3.95,60.6,0.009,0.006,0.315,0.015,0.052,0.003,0.073,0.028,0.061,0.012,0.009,0.012,0,0,0,0.168,0.006,0.015,0.034,0,0.037,0.009,0.0715,0.0625,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0.015,0,0
9.133,90.033,0.008,0.004,0.146,0.004,0.05,0,0.021,0.013,0.158,0.013,0.008,0.042,0,0,0,0.279,0.008,0.013,0.05,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.7,90.017,0.034,0.02,0.229,0.076,0.032,0.002,0.034,0.052,0.022,0,0,0.02,0,0,0,0.163,0.01,0.02,0.074,0,0.007,0,0.102,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0
13.05,89.583,0.02,0.022,0.174,0.115,0.028,0,0.033,0.033,0.03,0.013,0.002,0.03,0,0,0,0.126,0.017,0.037,0.041,0,0.004,0.001,0.1375,0.1365,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.115,0,0
15.167,90.567,0.006,0.024,0.209,0.076,0.067,0,0.021,0.015,0.033,0.009,0,0.009,0,0,0,0.097,0.006,0.009,0.067,0,0,0,0.176,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0
12.767,96.067,0.004,0.007,0.449,0.039,0.046,0,0.06,0.035,0.063,0.021,0,0.039,0,0,0.004,0.088,0.021,0.021,0.063,0,0,0,0.021,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0
15.1,124.13,0.006,0.12,0.424,0.025,0.169,0.019,0.033,0.019,0.055,0.005,0.005,0.006,0,0,0,0.025,0,0,0.011,0,0.006,0,0.063,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.097,-95.65,0,0,0.037,0,0.003,0,0.003,0.003,0.096,0.003,0,0,0.006,0,0.006,0.698,0,0,0,0.062,0.043,0.019,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.652,-103.6,0.006,0,0.023,0,0.008,0,0.008,0,0.058,0.002,0,0.002,0,0,0.379,0.358,0.004,0.004,0.017,0.088,0.017,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.652,-104.8,0.007,0.003,0.051,0,0.014,0,0.014,0.003,0.088,0.003,0,0,0,0,0.047,0.597,0.007,0.003,0.034,0.075,0.024,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.857,-74.79,0.006,0.021,0.504,0.009,0.073,0,0.032,0,0.018,0.006,0,0.015,0,0,0,0.1,0,0,0.003,0.05,0.015,0,0.109,0.003,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
