Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
-51.08,129.97,0.360927152,0,0.129139073,0.009933775,0.480132449,0,0,0
-47.77,123.1,0.607142857,0,0.221938775,0.005102041,0.160714286,0,0,0
-45.42,121.12,0.630853995,0,0.195592287,0.03030303,0.140495868,0,0,0
-41.37,114.13,0.49787234,0,0.357446809,0.012765957,0.114893616,0,0,0
12.05,63.15,0.086687306,0,0.510835913,0.380804954,0.015479875,0.00619195,0,0
17.883,58.083,0.35625,0,0.359375,0.184375,0.021875,0.0375,0,0
45.1,-10.57,0.086654762,0,0.267464286,0.2121547615,0.403345238,0,0,0
54.983,-15.4,0.25354321,0,0.284845679,0.0121728395,0.421049383,0,0,0
10.183,-77.22,0.006359099,0,0.2112915705,0.708589121,0.04720947,0.015420648,0,0
21.3,-69.67,0,0,0.1485670285,0.7457945385,0.0313823225,0.054919064,0,0.0039227905
13.483,-81.63,0,0,0.18814433,0.31443299,0.023195877,0.010309278,0,0
16.567,-79.53,0.002680965,0,0.2219029345,0.699885213,0.024631859,0.043693442,0,0
11.767,-81.1,0.006369426,0,0.213375797,0.68789809,0.070063693,0.01910828,0,0
4.967,-45.97,0.007614213,0,0.086294416,0.885786802,0.017766497,0.002538071,0,0
-43.03,57.35,0.147540983,0,0.62295082,0,0.229508197,0,0,0
-34.33,54.217,0.037940379,0,0.72899729,0.029810297,0.200542005,0,0,0
2.217,-45.4,0,0,0.198938992,0.748010609,0.026525199,0.0132626,0,0
-22.4,57.633,0.027713626,0,0.230946882,0.678983835,0.046189377,0.002309469,0,0
-34.92,67.583,0.048231511,0,0.546623794,0.038585208,0.363344051,0,0,0
-36.48,69.55,0.134831461,0,0.27340824,0.041198502,0.539325842,0.003745318,0,0
0.917,-43.77,0,0,0.235465117,0.729651163,0.011627907,0,0,0
-38.03,83.483,0.270175439,0,0.207017544,0.175438597,0.333333334,0.003508772,0,0
-28.07,95.967,0.081699346,0,0.290849673,0.401960784,0.212418301,0.006535948,0,0
1.683,-41.52,0.0095110985,0,0.329795229,0.5290803935,0.113120145,0.0110081045,0,0
-33.8,112.98,0.106617647,0,0.492647059,0.290441177,0.091911766,0.018382353,0,0
-31.57,114.12,0.021201414,0,0.858657243,0.067137809,0.053003534,0,0,0
-21.42,112.8,0.083832335,0,0.326347305,0.497005988,0.020958084,0.062874252,0,0
-49,-4.6,0.010416667,0,0.0078125,0,0.973958334,0,0,0
-42.58,-17.8,0.506097561,0,0.185975609,0.024390243,0.243902439,0,0,0
11.91,-75.04,0.005934718,0,0.210682493,0.454005936,0.305637982,0.020771513,0,0
15.617,-71.67,0.006451612,0,0.216129033,0.738709677,0.025806451,0.009677418,0,0
15.857,-74.79,0.017291066,0,0.256484148,0.631123921,0.063400576,0.023054755,0,0
10.032,-76.96,0.001992032,0,0.139442231,0.288844622,0.141434263,0.005976096,0,0
11.25,-78.15,0.001312336,0,0.268231965,0.497090197,0.059592481,0.0108203745,0,0
14.695,-77.17,0.010695187,0,0.20053476,0.700534758,0.037433155,0.045454545,0,0
3.705,-7.722,0.008902077,0,0.275964391,0.640949555,0.008902077,0.035608308,0,0
-25.49,11.307,0.024822695,0,0.262411348,0.04609929,0.64893617,0,0,0
-46.6,7.625,0.387096774,0,0.125448029,0.003584229,0.458781362,0,0,0
-49.92,-15.57,0.081602374,0,0.317507418,0,0.587537093,0,0,0
-46.1,-13.23,0.363387978,0,0.155737705,0.010928962,0.461748634,0,0,0
-12.38,61.617,0.043613707,0.003115265,0.302180686,0.563862929,0.052959501,0.018691589,0,0.00623053
-12.85,59.872,0.028409091,0.014204545,0.326704546,0.576704546,0.045454544,0.008522727,0,0
-13.61,59.638,0.048192771,0.012048193,0.316265061,0.548192772,0.051204819,0.018072289,0,0.003012048
-15.59,58.852,0.044510386,0.002967359,0.341246291,0.554896142,0.023738872,0.02967359,0,0
-16.23,58.633,0.032085562,0,0.229946523,0.671122994,0.029411765,0.037433156,0,0
-2.807,61.203,0.029069768,0.005813953,0.424418605,0.406976745,0.124999999,0.00872093,0,0
19.193,66.29,0.038834952,0.012944984,0.491909385,0.440129451,0.01618123,0,0,0
21.472,67.298,0.132450331,0,0.413907284,0.397350993,0.003311258,0.052980133,0,0
9.582,72.763,0.082446808,0.005319149,0.279255319,0.486702127,0.050531914,0.093085107,0,0
-13.22,65.617,0.033333333,0.003333333,0.380000001,0.443333333,0.106666666,0.033333333,0,0
59.6532,-22.77,0.330536675,0,0.2327469435,0.004444988,0.419158924,0,0,0
53.867,-21.1328,0.223856209,0,0.192810458,0.003267974,0.562091504,0,0,0
63.4832,-0.0667,0.028673835,0,0.021505377,0.003584229,0.9390681,0,0,0
42.467,-54.9,0.067987298,0,0.275794457,0.0348210165,0.597849885,0,0,0
23.767,-92.47,0.020527859,0,0.184750733,0.677419355,0.096774194,0.005865103,0,0
32.6,-69.5,0.195481671,0,0.2642369985,0.355068589,0.158025265,0.0013368985,0,0.0055723475
32.283,-65.12,0.021943574,0,0.184952977,0.545454546,0.144200626,0.072100314,0,0.003134796
32.217,-64.72,0.068681319,0,0.115384615,0.609890109,0.123626373,0.046703296,0,0.002747253
29.283,-79.92,0.024068391,0.0018621975,0.3642146195,0.5642393115,0.0096405385,0.017352969,0,0
38.917,-57.13,0.019390582,0,0.390581718,0.116343489,0.468144045,0,0,0
34.667,-61.45,0.132701422,0,0.229857819,0.372037914,0.229857819,0.004739336,0,0.004739336
40.767,-64.6,0.0142132565,0,0.37648656,0.0392584095,0.5529702335,0,0,0
12.4,-77.77,0,0,0.276353276,0.612535612,0.105413106,0.002849003,0,0
8.233,-37.87,0.005221932,0,0.130548303,0.812010443,0.010443864,0.01305483,0,0
31.383,-11.62,0.248448433,0,0.158708738,0.392016366,0.1728417775,0.014790278,0,0.003447819
22.967,-38.2,0.007968128,0,0.061752988,0.882470119,0.041832669,0,0,0
23.033,-43.8,0,0,0.12063492,0.641269842,0.06031746,0.155555556,0,0
31.433,-64.17,0.0734817485,0,0.26597125,0.463082804,0.14596479,0.0364918705,0,0.0028453755
17,-74.4,0.012012012,0,0.189189189,0.705705705,0.057057057,0.03003003,0,0
