Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-obligate spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,undetermined non-spinose,symbiont-facultative spinose,undetermined spinose,SST
GeoB2202-4,epilog,0.93,-8.1983,-34.265,14,5.0,0.0,471.0,48.0,140.0,11.0,0.0,,22.923181140615668
GeoB2215-10,epilog,0.43,0.0067,-23.495,217,72.0,0.0,218.0,12.0,202.0,15.0,0.0,,22.883587649809517
GeoB2215-10,epilog,0.48,0.0067,-23.495,173,16.0,0.0,82.0,1.0,159.0,2.0,0.0,,22.883587649809517
GeoB2819-1,epilog,0.13,-30.8483,-38.3433,289,109.0,0.0,214.0,21.0,138.0,8.0,0.0,,19.02104037099796
GeoB3104-1,epilog,1.73,-3.6667,-37.7167,23,0.0,0.0,451.0,11.0,217.0,9.0,0.0,,23.45590888223454
GeoB3104-1,epilog,1.78,-3.6667,-37.7167,36,0.0,0.0,346.0,9.0,212.0,7.0,0.0,,23.45590888223454
GeoB3104-1,epilog,1.83,-3.6667,-37.7167,34,0.0,0.0,301.0,9.0,157.0,12.0,0.0,,23.45590888223454
GeoB3104-1,epilog,1.88,-3.6667,-37.7167,34,0.0,0.0,283.0,22.0,173.0,21.0,0.0,,23.45590888223454
GeoB3104-1,epilog,1.98,-3.6667,-37.7167,35,0.0,0.0,227.0,18.0,109.0,10.0,0.0,,23.45590888223454
GeoB3117-1,epilog,2.98,-4.295,-37.0917,40,0.0,0.0,347.0,30.0,176.0,4.0,0.0,,23.37694169462597
GeoB3117-1,epilog,3.03,-4.295,-37.0917,35,0.0,0.0,254.0,21.0,137.0,3.0,0.0,,23.37694169462597
GeoB3117-1,epilog,3.13,-4.295,-37.0917,31,0.0,0.0,248.0,47.0,121.0,6.0,0.0,,23.37694169462597
GeoB3117-1,epilog,3.23,-4.295,-37.0917,24,0.0,0.0,236.0,10.0,129.0,9.0,0.0,,23.37694169462597
GeoB3117-1,epilog,3.33,-4.295,-37.0917,18,3.0,0.0,211.0,8.0,93.0,5.0,0.0,,23.37694169462597
GeoB3117-1,epilog,3.43,-4.295,-37.0917,20,0.0,0.0,314.0,4.0,89.0,6.0,0.0,,23.37694169462597
GeoB3117-1,epilog,3.53,-4.295,-37.0917,14,1.0,0.0,381.0,10.0,103.0,7.0,0.0,,23.37694169462597
GeoB3175-1,epilog,1.68,-7.0533,-34.4633,29,11.0,3.0,383.0,10.0,45.0,8.0,0.0,,23.060692152666974
GeoB3175-1,epilog,1.73,-7.0533,-34.4633,20,13.0,0.0,315.0,16.0,36.0,2.0,0.0,,23.060692152666974
GeoB3175-1,epilog,1.78,-7.0533,-34.4633,16,22.0,0.0,306.0,12.0,32.0,3.0,0.0,,23.060692152666974
GeoB3175-1,epilog,1.83,-7.0533,-34.4633,32,5.0,0.0,407.0,15.0,52.0,3.0,0.0,,23.060692152666974
GeoB3176-1,epilog,3.43,-7.0117,-34.4417,17,4.0,0.0,302.0,13.0,76.0,6.0,0.0,,23.060692152666974
GeoB3176-1,epilog,3.48,-7.0117,-34.4417,25,12.0,0.0,375.0,21.0,103.0,5.0,0.0,,23.060692152666974
GeoB3176-1,epilog,3.53,-7.0117,-34.4417,26,21.0,0.0,400.0,26.0,64.0,7.0,0.0,,23.060692152666974
GeoB3176-1,epilog,3.58,-7.0117,-34.4417,9,6.0,0.0,405.0,8.0,71.0,6.0,0.0,,23.060692152666974
GeoB3603-2,epilog,0.33,-35.125,17.5433,282,71.0,0.0,11.0,0.0,69.0,2.0,0.0,,16.107779823240307
GeoB3603-2,epilog,0.38,-35.125,17.5433,239,68.0,0.0,8.0,0.0,79.0,3.0,0.0,,16.107779823240307
GeoB3722-2,epilog,0.83,-25.25,12.0217,627,29.0,0.0,0.0,0.0,54.0,0.0,0.0,,16.631190444203288
GeoB3722-2,epilog,0.88,-25.25,12.0217,864,91.0,0.0,12.0,0.0,95.0,1.0,0.0,,16.631190444203288
GeoB3722-2,epilog,0.93,-25.25,12.0217,960,25.0,0.0,3.0,0.0,64.0,0.0,0.0,,16.631190444203288
GeoB3722-2,epilog,0.98,-25.25,12.0217,781,46.0,0.0,1.0,0.0,44.0,0.0,0.0,,16.631190444203288
GeoB3801-6,epilog,0.18,-29.5117,-8.305,119,91.0,0.0,120.0,20.0,111.0,11.0,0.0,,16.92874043212572
GeoB3808-6,epilog,0.18,-30.8117,-14.7117,169,185.0,0.0,150.0,21.0,164.0,35.0,0.0,,17.214834789174482
GeoB3813-3,epilog,0.13,-32.2683,-21.9667,252,88.0,0.0,100.0,5.0,125.0,2.0,0.0,,16.60433050562898
GeoB5112-5,epilog,0.16,-23.825,-16.2583,61,48.0,0.0,272.0,74.0,158.0,14.0,0.0,,18.86405129574343
GeoB5115-2,epilog,0.14,-24.1433,-14.0433,73,71.0,0.0,354.0,78.0,177.0,39.0,0.0,,18.50213379474791
GeoB5115-2,epilog,0.15,-24.1433,-14.0433,79,55.0,0.0,313.0,80.0,138.0,39.0,0.0,,18.50213379474791
GeoB5115-2,epilog,0.16,-24.1433,-14.0433,51,49.0,0.0,249.0,44.0,154.0,18.0,0.0,,18.50213379474791
GeoB5115-2,epilog,0.17,-24.1433,-14.0433,58,43.0,0.0,281.0,62.0,172.0,32.0,0.0,,18.50213379474791
GeoB5121-2,epilog,0.16,-24.1833,-12.0217,76,54.0,0.0,238.0,87.0,152.0,26.0,0.0,,18.120754787678774
GeoB5133-3,epilog,0.18,-19.0867,-10.1917,102,89.0,0.0,343.0,59.0,174.0,23.0,0.0,,17.944395650671982
GeoB5140-3,epilog,0.1,-19.0517,-16.6133,62,47.0,0.0,238.0,158.0,122.0,14.0,2.0,,18.88713247950988
GeoB5140-3,epilog,0.11,-19.0517,-16.6133,62,47.0,0.0,315.0,172.0,152.0,17.0,4.0,,18.88713247950988
GeoB5140-3,epilog,0.12,-19.0517,-16.6133,59,45.0,0.0,242.0,109.0,84.0,15.0,5.0,,18.88713247950988
Fr194-GC3,Fr194-GC3,0.355,-44.25,149.98,114,222.0,0.0,1.0,0.0,84.0,0.0,,0.0,9.955330659633022
Fr194-GC3,Fr194-GC3,0.405,-44.25,149.98,93,206.0,0.0,1.0,0.0,81.0,0.0,,0.0,9.955330659633022
GIK15612-2,GIK1561202,0.555,44.36,-26.543333,362,128.0,0.0,2.0,0.0,13.0,0.0,0.0,,9.56603531180047
GIK15612-2,GIK1561202,0.605,44.36,-26.543333,311,107.0,0.0,0.0,0.0,27.0,0.0,0.0,,9.56603531180047
GIK15612-2,GIK1561202,0.665,44.36,-26.543333,320,172.0,0.0,0.0,0.0,19.0,0.0,0.0,,9.56603531180047
GIK15612-2,GIK1561202,0.685,44.36,-26.543333,230,120.0,0.0,5.0,0.0,13.0,0.0,0.0,,9.56603531180047
GIK15612-2,GIK1561202,0.705,44.36,-26.543333,271,164.0,0.0,0.0,3.0,36.0,0.0,0.0,,9.56603531180047
GIK15612-2,GIK1561202,0.725,44.36,-26.543333,251,153.0,0.0,4.0,0.0,32.0,0.0,0.0,,9.56603531180047
GIK17732-1,GIK17732-1,1.45,71.613333,4.213333,462,7.0,0.0,0.0,,0.0,0.0,,,-1.2335311270460125
GIK23059-3,GIK23059-3,0.44,70.305,-3.123333,372,2.0,0.0,0.0,,0.0,0.0,,,-1.6084277256882424
IODP_U1418,IODP_U1418,31.91787885,58.8,-144.13,10,,,,,,,,,7.057073438580697
IODP_U1418,IODP_U1418,33.5457408,58.8,-144.13,10,,,,,,,,,7.057073438580697
JM05-085-GC,JM05-085-GC,3.62,71.6218,22.9261,0,0.0,0.0,0.0,,0.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.64,71.6218,22.9261,0,0.0,0.0,0.0,,0.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.66,71.6218,22.9261,0,0.0,0.0,0.0,,0.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.67,71.6218,22.9261,0,0.0,0.0,0.0,,0.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.68,71.6218,22.9261,10,0.0,2.0,0.0,,0.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.69,71.6218,22.9261,143,10.0,11.0,1.0,,1.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.7,71.6218,22.9261,49,4.0,2.0,0.0,,3.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.71,71.6218,22.9261,0,0.0,0.0,0.0,,0.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.72,71.6218,22.9261,16,2.0,0.0,0.0,,1.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.73,71.6218,22.9261,15,0.0,1.0,0.0,,0.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.74,71.6218,22.9261,18,1.0,0.0,0.0,,1.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.75,71.6218,22.9261,0,0.0,0.0,0.0,,0.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.76,71.6218,22.9261,0,0.0,0.0,0.0,,0.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.77,71.6218,22.9261,0,0.0,0.0,0.0,,0.0,,,,-0.23376793668136153
JM05-085-GC,JM05-085-GC,3.78,71.6218,22.9261,0,0.0,0.0,0.0,,0.0,,,,-0.23376793668136153
80KB11,margo,0.89,36.5,24.3,145,89.0,0.0,2.0,0.0,31.0,0.0,0.0,,16.246744211691368
A015558,margo,0.58,8.983333333,51.73333333,27,41.0,0.0,24.0,13.0,130.0,0.0,0.0,,22.58766538843176
BC15,margo,0.7725,41.95,5.93,28,146.0,0.0,0.0,0.0,32.0,0.0,0.0,,12.50218249211757
BC15,margo,0.9475,41.95,5.93,33,130.0,0.0,2.0,0.0,10.0,0.0,0.0,,12.50218249211757
BC15,margo,1.0925,41.95,5.93,41,185.0,0.0,2.0,0.0,32.0,0.0,0.0,,12.50218249211757
BS79-22,margo,2.85,38.231,14.23,95,45.0,0.0,28.0,3.0,59.0,0.0,0.0,,14.10984035276363
BS79-22,margo,2.88,38.231,14.23,135,97.0,0.0,41.0,2.0,104.0,0.0,0.0,,14.10984035276363
BS79-22,margo,2.91,38.231,14.23,197,146.0,0.0,88.0,1.0,119.0,0.0,0.0,,14.10984035276363
BS79-22,margo,2.94,38.231,14.23,81,57.0,0.0,37.0,0.0,41.0,0.0,0.0,,14.10984035276363
BS79-22,margo,2.97,38.231,14.23,73,61.0,0.0,47.0,0.0,55.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.0,38.231,14.23,96,68.0,0.0,51.0,0.0,59.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.03,38.231,14.23,170,116.0,0.0,72.0,0.0,103.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.06,38.231,14.23,62,47.0,0.0,36.0,0.0,39.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.09,38.231,14.23,98,65.0,0.0,64.0,0.0,62.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.12,38.231,14.23,137,70.0,0.0,77.0,0.0,91.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.15,38.231,14.23,124,96.0,0.0,101.0,0.0,82.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.18,38.231,14.23,139,112.0,0.0,62.0,2.0,113.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.21,38.231,14.23,74,58.0,0.0,38.0,0.0,67.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.24,38.231,14.23,72,55.0,0.0,27.0,0.0,57.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.27,38.231,14.23,105,62.0,0.0,55.0,1.0,79.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.3,38.231,14.23,84,80.0,0.0,62.0,0.0,93.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.33,38.231,14.23,88,84.0,0.0,64.0,1.0,104.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.36,38.231,14.23,61,42.0,0.0,50.0,0.0,52.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.39,38.231,14.23,95,64.0,0.0,63.0,0.0,73.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.42,38.231,14.23,66,52.0,0.0,46.0,0.0,42.0,0.0,0.0,,14.10984035276363
BS79-22,margo,3.45,38.231,14.23,92,40.0,0.0,37.0,3.0,54.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.25,38.157,14.018,138,89.0,0.0,54.0,0.0,82.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.3,38.157,14.018,122,107.0,0.0,37.0,0.0,71.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.35,38.157,14.018,111,105.0,0.0,67.0,0.0,49.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.4,38.157,14.018,125,101.0,0.0,43.0,0.0,51.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.45,38.157,14.018,107,109.0,0.0,53.0,0.0,43.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.5,38.157,14.018,104,96.0,0.0,93.0,0.0,50.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.55,38.157,14.018,104,120.0,0.0,55.0,0.0,65.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.6,38.157,14.018,120,88.0,0.0,81.0,0.0,74.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.65,38.157,14.018,108,99.0,0.0,67.0,0.0,63.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.7,38.157,14.018,114,99.0,0.0,75.0,0.0,54.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.75,38.157,14.018,118,91.0,0.0,57.0,0.0,77.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.8,38.157,14.018,97,81.0,0.0,58.0,0.0,65.0,0.0,0.0,,14.10984035276363
BS79-33,margo,3.85,38.157,14.018,93,111.0,0.0,45.0,0.0,90.0,0.0,0.0,,14.10984035276363
BS79-37,margo,2.4,38.215,13.269,186,168.0,0.0,43.0,2.0,72.0,0.0,0.0,,14.10984035276363
BS79-37,margo,2.44,38.215,13.269,119,114.0,0.0,43.0,0.0,127.0,0.0,0.0,,14.10984035276363
BS79-37,margo,2.48,38.215,13.269,122,126.0,0.0,27.0,0.0,133.0,0.0,0.0,,14.10984035276363
BS79-38,margo,3.975,38.247,13.346,43,90.0,0.0,28.0,0.0,79.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.025,38.247,13.346,53,83.0,0.0,24.0,1.0,72.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.05,38.247,13.346,65,102.0,0.0,23.0,0.0,95.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.075,38.247,13.346,50,73.0,0.0,20.0,0.0,75.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.125,38.247,13.346,55,75.0,0.0,28.0,0.0,79.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.175,38.247,13.346,40,82.0,0.0,15.0,2.0,100.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.2,38.247,13.346,15,26.0,0.0,16.0,0.0,14.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.225,38.247,13.346,30,142.0,0.0,59.0,1.0,102.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.275,38.247,13.346,39,92.0,0.0,29.0,0.0,87.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.325,38.247,13.346,44,111.0,0.0,31.0,0.0,91.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.35,38.247,13.346,45,116.0,0.0,36.0,0.0,105.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.375,38.247,13.346,44,100.0,0.0,45.0,0.0,85.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.4,38.247,13.346,137,78.0,0.0,43.0,0.0,43.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.425,38.247,13.346,48,69.0,0.0,33.0,0.0,37.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.45,38.247,13.346,143,124.0,0.0,51.0,1.0,60.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.475,38.247,13.346,70,100.0,0.0,38.0,1.0,59.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.525,38.247,13.346,60,108.0,0.0,30.0,0.0,59.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.55,38.247,13.346,104,191.0,0.0,35.0,0.0,93.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.575,38.247,13.346,49,95.0,0.0,28.0,0.0,62.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.6,38.247,13.346,160,148.0,0.0,46.0,0.0,86.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.625,38.247,13.346,46,119.0,0.0,33.0,2.0,67.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.65,38.247,13.346,63,155.0,0.0,25.0,0.0,82.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.675,38.247,13.346,45,130.0,0.0,25.0,0.0,68.0,0.0,0.0,,14.10984035276363
BS79-38,margo,4.7,38.247,13.346,47,100.0,0.0,52.0,0.0,70.0,0.0,0.0,,14.10984035276363
CHAT 1K,margo,40.0,-41.58333333,-171.5,13,54.0,0.0,11.0,0.0,126.0,0.0,,,10.029588197653206
CHAT 1K,margo,50.0,-41.58333333,-171.5,18,85.0,0.0,17.0,0.0,121.0,0.0,,,10.029588197653206
DED8707,margo,1.095,39.41,13.34,51,78.0,0.0,24.0,0.0,34.0,0.0,0.0,,13.903539151226221
DED8707,margo,1.215,39.41,13.34,96,138.0,0.0,28.0,0.0,47.0,0.0,0.0,,13.903539151226221
DGKS9603,margo,169.0,28.148,127.271,57,131.0,0.0,263.0,69.0,663.0,0.0,,,21.140803919912386
DGKS9603,margo,171.0,28.148,127.271,55,140.0,0.0,277.0,67.0,654.0,0.0,,,21.140803919912386
DGKS9603,margo,173.0,28.148,127.271,55,144.0,0.0,262.0,76.0,678.0,0.0,,,21.140803919912386
DGKS9603,margo,175.0,28.148,127.271,60,471.0,0.0,348.0,318.0,945.0,0.0,,,21.140803919912386
DGKS9603,margo,177.0,28.148,127.271,64,476.0,0.0,337.0,332.0,972.0,0.0,,,21.140803919912386
DGKS9603,margo,180.0,28.148,127.271,62,455.0,0.0,319.0,303.0,999.0,0.0,,,21.140803919912386
DGKS9603,margo,182.0,28.148,127.271,56,382.0,0.0,296.0,260.0,963.0,0.0,,,21.140803919912386
DGKS9603,margo,184.0,28.148,127.271,60,377.0,0.0,304.0,253.0,951.0,0.0,,,21.140803919912386
DGKS9603,margo,186.0,28.148,127.271,58,370.0,0.0,315.0,262.0,960.0,0.0,,,21.140803919912386
DGKS9603,margo,188.0,28.148,127.271,60,348.0,0.0,318.0,213.0,812.0,0.0,,,21.140803919912386
DGKS9603,margo,191.0,28.148,127.271,66,341.0,0.0,298.0,227.0,790.0,0.0,,,21.140803919912386
DGKS9603,margo,193.0,28.148,127.271,56,369.0,0.0,301.0,245.0,831.0,0.0,,,21.140803919912386
DGKS9603,margo,195.0,28.148,127.271,66,372.0,0.0,289.0,252.0,834.0,0.0,,,21.140803919912386
DGKS9603,margo,197.0,28.148,127.271,68,390.0,0.0,304.0,264.0,876.0,0.0,,,21.140803919912386
DGKS9603,margo,199.0,28.148,127.271,57,292.0,0.0,249.0,208.0,747.0,0.0,,,21.140803919912386
DGKS9603,margo,201.0,28.148,127.271,54,309.0,0.0,274.0,216.0,764.0,0.0,,,21.140803919912386
DGKS9603,margo,204.0,28.148,127.271,45,261.0,0.0,247.0,182.0,625.0,0.0,,,21.140803919912386
DGKS9603,margo,206.0,28.148,127.271,54,242.0,0.0,266.0,126.0,684.0,0.0,,,21.140803919912386
DGKS9603,margo,208.0,28.148,127.271,60,257.0,0.0,278.0,135.0,670.0,0.0,,,21.140803919912386
DGKS9603,margo,210.0,28.148,127.271,31,366.0,0.0,384.0,162.0,646.0,0.0,,,21.140803919912386
DGKS9603,margo,212.0,28.148,127.271,36,360.0,0.0,315.0,98.0,655.0,0.0,,,21.140803919912386
DGKS9603,margo,215.0,28.148,127.271,41,351.0,0.0,289.0,103.0,690.0,0.0,,,21.140803919912386
DSDP site 594,margo,2.52,-45.5235,174.948,495,7.0,0.0,0.0,0.0,17.0,0.0,0.0,,5.979780757005129
E26-001,margo,0.61,-40.28333333,168.34,60,142.0,0.0,3.0,0.0,69.0,0.0,0.0,,10.834436406314133
E27-030,margo,0.6,-45.0667,147.2283,60,137.0,0.0,5.0,0.0,71.0,0.0,0.0,,8.418280009181212
E45-027,margo,0.3,-43.23333333,105.5833333,64,170.0,0.0,0.0,0.0,49.0,0.0,0.0,,6.623354742745742
E45-078,margo,0.31,-45.037,114.348,49,172.0,0.0,1.0,0.0,63.0,0.0,1.0,,5.415118395580558
E45-102,margo,0.24,-33.61666667,113.5833333,23,37.0,0.0,38.0,4.0,198.0,0.0,0.0,,15.669542441555791
E48-011,margo,0.22,-29.7,97.58333333,24,27.0,0.0,65.0,0.0,144.0,0.0,1.0,,15.28434567393262
E48-035,margo,0.355,-30.35333333,86.485,74,50.0,0.0,90.0,0.0,96.0,0.0,0.0,,15.87785124360814
E55-006,margo,0.4,-38.8533,141.0633,50,133.0,0.0,2.0,18.0,97.0,0.0,0.0,,10.722819072094428
FR1/94-GC03,margo,0.3,-44.2606,149.9963889,54,201.0,0.0,4.0,0.0,53.0,0.0,0.0,,9.955330659633022
GeoB1008-3,margo,2.18,-6.5823,10.3186,95,277.0,0.0,121.0,1.0,182.0,0.0,0.0,,23.109647042573236
GeoB1008-3,margo,2.23,-6.5823,10.3186,91,99.0,0.0,82.0,0.0,210.0,4.0,0.0,,23.109647042573236
GeoB1008-3,margo,2.28,-6.5823,10.3186,66,185.0,0.0,71.0,4.0,186.0,1.0,0.0,,23.109647042573236
GeoB1008-3,margo,2.33,-6.5823,10.3186,115,96.0,0.0,84.0,0.0,185.0,5.0,0.0,,23.109647042573236
GeoB1008-3,margo,2.38,-6.5823,10.3186,78,67.0,0.0,71.0,0.0,113.0,3.0,0.0,,23.109647042573236
GeoB1008-3,margo,2.43,-6.5823,10.3186,86,107.0,0.0,127.0,0.0,63.0,10.0,0.0,,23.109647042573236
GeoB1008-3,margo,2.48,-6.5823,10.3186,31,48.0,0.0,94.0,0.0,33.0,12.0,0.0,,23.109647042573236
GeoB1008-3,margo,2.53,-6.5823,10.3186,140,245.0,0.0,137.0,6.0,85.0,8.0,0.0,,23.109647042573236
GeoB1008-3,margo,2.58,-6.5823,10.3186,62,121.0,0.0,158.0,0.0,73.0,7.0,0.0,,23.109647042573236
GeoB1008-3,margo,2.63,-6.5823,10.3186,113,247.0,0.0,108.0,4.0,138.0,8.0,0.0,,23.109647042573236
GeoB1016-3,margo,0.73,-11.7705,11.6819,130,197.0,0.0,124.0,6.0,226.0,21.0,0.0,,22.267768416124724
GeoB1016-3,margo,0.78,-11.7705,11.6819,43,36.0,0.0,101.0,7.0,164.0,7.0,0.0,,22.267768416124724
GeoB1016-3,margo,0.88,-11.7705,11.6819,100,36.0,0.0,133.0,1.0,117.0,12.0,0.0,,22.267768416124724
GeoB1028-5,margo,0.93,-20.104,9.1858,227,159.0,0.0,12.0,3.0,78.0,0.0,0.0,,18.523291840691495
GeoB1028-5,margo,1.03,-20.104,9.1858,314,196.0,0.0,39.0,0.0,109.0,0.0,0.0,,18.523291840691495
GeoB1031-4,margo,0.28,-21.88,7.1017,156,86.0,0.0,53.0,5.0,129.0,0.0,0.0,,17.06071953746672
GeoB1031-4,margo,0.33,-21.88,7.1017,238,127.0,0.0,63.0,7.0,117.0,0.0,0.0,,17.06071953746672
GeoB1032-3,margo,0.38,-22.915,6.0367,191,71.0,0.0,51.0,9.0,116.0,0.0,0.0,,16.383212372340545
GeoB1032-3,margo,0.43,-22.915,6.0367,262,84.0,0.0,108.0,11.0,132.0,0.0,0.0,,16.383212372340545
GeoB1034-3,margo,0.23,-21.735,5.4217,286,152.0,0.0,126.0,6.0,219.0,0.0,0.0,,16.570721798663556
GeoB1041-3,margo,0.53,-3.475,-7.6,106,102.0,0.0,104.0,0.0,253.0,0.0,0.0,,22.37991780801959
GeoB1041-3,margo,0.58,-3.475,-7.6,87,51.0,0.0,66.0,0.0,186.0,0.0,0.0,,22.37991780801959
GeoB1101-5,margo,0.33,1.6583,-10.98,118,21.0,0.0,190.0,0.0,316.0,0.0,0.0,,22.918470092759243
GeoB1101-5,margo,0.38,1.6583,-10.98,71,15.0,0.0,131.0,1.0,340.0,8.0,0.0,,22.918470092759243
GeoB1105-4,margo,0.78,-1.665,-12.4283,105,95.0,0.0,94.0,17.0,193.0,0.0,0.0,,22.015093174568445
GeoB1112-4,margo,0.48,-5.7783,-10.75,116,89.0,0.0,198.0,6.0,189.0,0.0,0.0,,22.56813179975349
GeoB1112-4,margo,0.58,-5.7783,-10.75,109,84.0,0.0,213.0,1.0,192.0,0.0,0.0,,22.56813179975349
GeoB1115-4,margo,0.63,-3.5583,-12.58,107,129.0,0.0,184.0,10.0,268.0,5.0,0.0,,22.521630938450222
GeoB1115-4,margo,0.68,-3.5583,-12.58,56,128.0,0.0,179.0,2.0,258.0,1.0,0.0,,22.521630938450222
GeoB1117-2,margo,0.53,-3.815,-14.8967,93,32.0,0.0,176.0,6.0,97.0,0.0,0.0,,22.61533661058427
GeoB1117-2,margo,0.58,-3.815,-14.8967,57,45.0,0.0,81.0,10.0,122.0,0.0,0.0,,22.61533661058427
GeoB1117-2,margo,0.63,-3.815,-14.8967,169,60.0,0.0,109.0,9.0,256.0,0.0,0.0,,22.61533661058427
GeoB1214-1,margo,0.23,-24.69,7.24,256,135.0,0.0,82.0,20.0,166.0,4.0,0.0,,15.828021714957327
GeoB1214-1,margo,0.28,-24.69,7.24,296,158.0,0.0,78.0,17.0,149.0,0.0,0.0,,15.828021714957327
GeoB1220-1,margo,0.33,-24.0333,5.3067,172,61.0,0.0,59.0,6.0,64.0,0.0,3.0,,15.665147126265708
GeoB1220-1,margo,0.38,-24.0333,5.3067,169,73.0,0.0,61.0,18.0,83.0,0.0,0.0,,15.665147126265708
GeoB1306-1,margo,0.19,-35.2067,-26.765,483,103.0,0.0,41.0,0.0,106.0,3.0,0.0,,14.866317720611026
GeoB1413-4,margo,0.19,-15.68,-9.455,106,67.0,0.0,254.0,25.0,180.0,0.0,0.0,,19.059021531496313
GeoB1413-4,margo,0.23,-15.68,-9.455,96,52.0,0.0,192.0,20.0,123.0,0.0,0.0,,19.059021531496313
GeoB1417-1,margo,0.33,-20.3667,-12.7067,117,134.0,0.0,269.0,57.0,126.0,5.0,0.0,,18.15117440949485
GeoB1417-1,margo,0.38,-20.3667,-12.7067,84,127.0,0.0,299.0,47.0,162.0,3.0,3.0,,18.15117440949485
GeoB1419-2,margo,0.23,-15.5367,-17.0683,36,91.0,0.0,351.0,49.0,99.0,2.0,0.0,,20.078614912666268
GeoB1501-4,margo,0.33,-3.6783,-32.0067,112,9.0,0.0,333.0,0.0,93.0,5.0,0.0,,23.280441869798466
GeoB1501-4,margo,0.38,-3.6783,-32.0067,106,14.0,0.0,457.0,0.0,107.0,3.0,2.0,,23.280441869798466
GeoB1503-1,margo,0.28,2.3117,-30.6467,135,45.0,0.0,298.0,39.0,256.0,0.0,0.0,,23.56588871871938
GeoB1503-1,margo,0.33,2.3117,-30.6467,148,62.0,0.0,291.0,40.0,213.0,0.0,0.0,,23.56588871871938
GeoB1505-1,margo,0.48,2.27,-33.01,175,39.0,0.0,445.0,13.0,236.0,2.0,0.0,,23.418596943535185
