Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-obligate spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,undetermined non-spinose,symbiont-facultative spinose,undetermined spinose,SST
V20-175,climap1,0.2,-22.3,68.0,66,7.0,,193.0,17.0,6.0,5.0,,,20.567692209276256
V20-242,climap1,0.29,23.367,-43.65,107,4.0,,409.0,53.0,7.0,27.0,,,19.676431200805645
V22-186,climap1,0.3,3.383,-20.12,82,11.0,,360.0,4.0,546.0,25.0,,,24.18807326986478
V22-197,climap1,0.72,14.167,-18.58,68,148.0,,106.0,0.0,80.0,6.0,,,22.551974350236605
V22-26,climap1,0.4,8.717,-41.25,94,15.0,,418.0,2.0,92.0,14.0,,,22.81386695885846
V23-100,climap1,0.42,21.3,-22.68,75,39.0,,49.0,2.0,171.0,9.0,,,18.00356302992263
V23-91,climap1,0.3,29.583,-28.57,93,25.0,,156.0,12.0,88.0,20.0,,,17.353893804094085
V24-28,climap1,0.6,15.317,-77.95,90,3.0,,312.0,16.0,37.0,82.0,,,22.724221524996455
V25-56,climap1,0.8,-3.55,-35.23,203,0.0,,391.0,14.0,58.0,22.0,,,23.37694169462597
V26-41,climap1,0.43,19.333,-26.12,76,22.0,,159.0,2.0,146.0,1.0,,,18.45355988142435
V27-178,climap1,0.55,5.1,-26.65,35,25.0,,360.0,1.0,199.0,22.0,,,23.76469849998439
V27-248,climap1,0.82,3.05,-11.82,59,0.0,,111.0,3.0,78.0,0.0,,,23.99130774156055
V27-263,climap1,0.2,35.017,-40.92,102,48.0,,93.0,1.0,96.0,5.0,,,18.30314607998946
V28-119,climap1,0.8,17.033,-76.6,107,3.0,,356.0,26.0,32.0,50.0,,,23.78070632523444
V28-122,climap1,1.0,11.933,-78.68,47,5.0,,355.0,24.0,33.0,21.0,,,22.882235969095472
V28-127,climap1,1.0,11.65,-80.13,78,0.0,,289.0,0.0,21.0,24.0,,,22.865799337290394
V28-129,climap1,0.8,11.117,-80.4,78,1.0,,286.0,23.0,42.0,35.0,,,22.865799337290394
V29-172,climap1,0.4,33.7,-29.38,114,3.0,,60.0,10.0,109.0,4.0,,,17.419676336197448
V29-173,climap1,0.25,33.7,-29.38,80,17.0,,104.0,3.0,101.0,7.0,,,17.419676336197448
V29-174,climap1,0.4,36.3,-29.37,118,46.0,,108.0,0.0,105.0,4.0,,,16.23982634749543
V29-29,climap1,0.8,5.117,77.583,62,74.0,,53.0,9.0,112.0,5.0,,,25.47335881659932
V29-30,climap1,0.8,3.083,76.25,162,56.0,,160.0,13.0,293.0,25.0,,,25.683394164873484
V29-48,climap1,0.3,-6.267,63.433,69,21.0,,126.0,4.0,115.0,13.0,,,24.83822408430376
A180-15,climap2,0.6,39.267,-36.7,195,99.0,0.0,90.0,0.0,220.0,0.0,4.0,,14.64058196858743
A180-15,climap2,0.6,39.5998,-36.7,195,99.0,0.0,90.0,0.0,220.0,0.0,4.0,,14.64058196858743
A180-39,climap2,0.3,25.833,-19.2998,199,89.0,0.0,89.0,1.0,52.0,0.0,5.0,,16.635859420973706
A180-74,climap2,0.5,-0.05,-24.1667,162,23.0,0.0,98.0,10.0,218.0,0.0,0.0,,22.780135173763192
RC11-121,climap2,0.8,-39.72,82.25,123,105.0,0.0,22.0,0.0,51.0,0.0,0.0,,9.683578974621037
RC13-151,climap2,0.6,15.857,-74.79,22,6.0,0.0,219.0,8.0,89.0,0.0,0.0,,22.525318733141773
RC13-152,climap2,0.6,16.708,-75.44,9,3.0,0.0,235.0,6.0,46.0,0.0,0.0,,22.975901503461134
RC13-153,climap2,0.6,15.065,-75.95,19,6.0,0.0,197.0,12.0,74.0,0.0,0.0,,22.579848882850385
RC14-35,climap2,0.35,-0.8333,89.95,152,96.0,0.0,296.0,40.0,1284.0,180.0,0.0,,24.937346619627554
