Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose,SST
10.13,95.03,0.0815,0.0955,0.028,0.2935,0.474,0.01,0.0,0.0,24.983645501972305
11.46,94.09,0.0975,0.111,0.0795,0.2395,0.41,0.017,0.0,0.0,24.887560406135943
18.22,91.01,0.1725,0.115,0.0575,0.3405,0.275,0.007,0.0,0.0,24.8604498988119
18.28,89.51,0.1375,0.118,0.034,0.2605,0.42,0.01,0.0,0.0,24.79647972302127
7.3,76.43,0.112,0.318,0.0645,0.276,0.206,0.006,0.0,0.0,
10.467,75.233,0.142,0.277,0.095,0.119,0.361,0.006,0.0,0.0,
20.698,59.568,0.058,0.306,0.014,0.045,0.577,0.0,0.0,0.0,
33.583,-62.38,0.253,0.229,0.022,0.274,0.223,0.0,0.0,0.0,19.679510872163142
-24.07,-15.12,0.188,0.035,0.109,0.128,0.541,0.0,0.0,0.0,18.68883665520075
-42.88,42.35,0.735,0.219,0.0,0.047,0.0,0.0,0.0,0.0,9.565031928352083
-17.28,-35.983,0.281,0.036,0.076,0.01,0.595,0.002,0.0,0.0,22.152657997008863
-28.75,172.6,0.236534296028881,0.124823104693141,0.005,0.209767148014441,0.35172202166065,0.0,0.0,0.0,17.82728842140718
-33.23,168.73,0.308,0.197,0.003,0.29,0.2,0.0,0.0,0.0,15.748194569528764
-31.28,114.55,0.259,0.091,0.047,0.411,0.192,0.0,0.0,0.0,16.93693602499657
19.567,59.6,0.231,0.238,0.046,0.084,0.401,0.0,0.0,0.0,22.84972829335684
19.083,60.417,0.178,0.246,0.032,0.192,0.351,0.0,0.0,0.0,22.8532893368351
54.983,-15.4,0.985,0.015,0.0,0.0,0.0,0.0,0.0,0.0,8.477818671449683
11.184,-58.585,0.197,0.078,0.041,0.055,0.689,0.0,0.0,0.0,22.832691383549182
-11.18,-162.9,0.342,0.01,0.067,0.011,0.569,0.0,0.0,0.0,25.783409012421224
33.083,158.0,0.191156626506024,0.120240963855422,0.0,0.622548192771085,0.043367469879518,0.0,0.0,0.0,16.235693598786494
11.767,-81.1,0.207,0.006,0.019,0.071,0.696,0.0,0.0,0.0,23.01813730997105
3.333,-101.7,0.15,0.053,0.016,0.625,0.155,0.0,0.0,0.0,22.274898977870347
-0.917,-134.3,0.232,0.04,0.0,0.646,0.053,0.03,0.0,0.0,20.88774130508748
-43.52,79.867,0.669,0.288,0.0,0.043,0.0,0.0,0.0,0.0,7.157040524860816
-39.72,82.25,0.309,0.412,0.0,0.149,0.13,0.0,0.0,0.0,9.683578974621037
-25.48,110.02,0.165,0.096,0.03,0.52,0.188,0.0,0.0,0.0,20.232703533359874
-19.07,112.75,0.267,0.039,0.085,0.188,0.422,0.0,0.0,0.0,23.52985618215863
-17.27,-35.97,0.17,0.008,0.03,0.014,0.779,0.0,0.0,0.0,22.152657997008863
1.817,-140.1,0.281,0.051,0.02,0.531,0.097,0.02,0.0,0.0,21.648050977040626
-6.133,-140.9,0.27,0.094,0.071,0.174,0.312,0.08,0.0,0.0,24.554985326817633
-14.82,-140.0,0.303,0.018,0.098,0.004,0.574,0.004,0.0,0.0,24.7207695846304
-8.8,-110.8,0.256444055944056,0.0776643356643356,0.0055979020979021,0.307493006993007,0.192244755244755,0.0328846153846154,0.0,0.0,21.944875623854387
-28.58,-30.07,0.202,0.037,0.035,0.124,0.599,0.0,0.0,0.0,19.608374924110443
-35.78,18.45,0.286666666666667,0.126,0.004,0.300333333333333,0.0513333333333333,0.0056666666666666,0.0,0.003,16.285866961586358
-26.0,169.2,0.150172566371681,0.0844320193081255,0.004,0.225450120675785,0.415671761866452,0.0,0.0,0.0,19.253023275777817
-55.15,-64.0,0.895,0.092,0.0,0.014,0.0,0.0,0.0,0.0,2.4375464247453253
-43.47,-57.67,0.349,0.34,0.0,0.31,0.0,0.0,0.0,0.0,12.810270504438197
-42.58,-17.8,0.449,0.236,0.0,0.309,0.006,0.0,0.0,0.0,8.798182533620661
