Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose,SST
19.867,-19.92,0.259,0.257,0.003,0.391,0.09,0.0,0.0,0.0,19.764250647545023
39.95,-33.13,0.416,0.302,0.0,0.21,0.075,0.0,0.0,0.0,14.775647605056896
41.0,-32.93,0.438,0.296,0.0,0.249,0.016,0.0,0.0,0.0,12.96824216277758
43.15,-32.45,0.441,0.385,0.0,0.13,0.045,0.0,0.0,0.0,10.6173913394692
35.318,177.92,0.373,0.294,0.0,0.298,0.037,0.0,0.0,0.0,11.4474943666368
36.458,177.16,0.54,0.193,0.0,0.249,0.017,0.0,0.0,0.0,10.160738754751645
31.573,151.1,0.175,0.079,0.0,0.646,0.105,0.0,0.0,0.0,18.015192109588284
34.78,-32.42,0.288,0.082,0.009,0.338,0.281,0.0,0.0,0.0,17.718602410522532
17.488,67.423,0.0995,0.0525,0.0165,0.2065,0.613,0.0,0.0,0.0,23.863952875905092
19.733,66.083,0.086,0.058,0.022,0.181,0.644,0.0,0.0,0.0,23.486623685581424
17.617,63.883,0.094,0.0515,0.0155,0.204,0.626,0.0,0.0,0.0,23.007604363703294
13.273,57.348,0.1045,0.25,0.025,0.2135,0.401,0.0,0.0,0.0,22.76316725569235
16.54,59.755,0.1245,0.231,0.0565,0.2185,0.356,0.0,0.0,0.0,22.626785532959317
20.937,64.033,0.0665,0.1695,0.011,0.2185,0.526,0.0,0.0,0.0,23.12879244443381
21.148,65.118,0.029,0.035,0.004,0.075,0.848,0.0,0.0,0.0,23.323379660938418
0.037,-110.48,0.238,0.058,0.002,0.621,0.077,0.005,0.0,0.0,19.21768390880561
-2.983,-86.55,0.237,0.154,0.024,0.469,0.119,0.0,0.0,0.0,20.047114099020266
0.1,-86.483,0.0634090909090909,0.2075,0.0030151515151515,0.635984848484848,0.0375757575757576,0.0,0.0,0.0,21.36564777859007
7.172,-85.152,0.18,0.147,0.0,0.491,0.179,0.0,0.0,0.0,23.469058434304184
-16.443,-77.563,0.25570477429301,0.18324806089512,0.0027436527436527,0.501145216071687,0.0281118056559233,0.0007575757575757,0.0,0.0,18.886594137958337
-6.383,-106.935,0.128,0.061,0.0,0.642,0.17,0.0,0.0,0.0,21.245996474351912
-6.5823,10.3186,0.237,0.4131,0.0087,0.4367,0.42445,0.0,0.0,0.0,23.109647042573236
-11.7705,11.6819,0.252,0.2494,0.0145,0.4423,0.3292,0.0,0.0,0.0,22.267768416124724
-20.104,9.1858,0.4757,0.3332,0.006,0.166,0.2285,0.0,0.0,0.0,18.523291840691495
-21.88,7.1017,0.4284,0.2327,0.0115,0.3054,0.10765,0.0,0.0,0.0,17.06071953746672
-22.915,6.0367,0.4349,0.1628,0.01555,0.2648,0.1629,0.0,0.0,0.0,16.383212372340545
-21.735,5.4217,0.3479,0.1925,0.0071,0.2789,0.1508,0.0,0.0,0.0,16.570721798663556
-3.475,-7.6,0.2039,0.1811,0.0,0.4821,0.1761,0.0,0.0,0.0,22.37991780801959
1.6583,-10.98,0.1838,0.0264,0.00065,0.605,0.281,0.0,0.0,0.0,22.918470092759243
-1.665,-12.4283,0.3732,0.1917,0.02935,0.3934,0.2058,0.0,0.0,0.0,22.015093174568445
-5.7783,-10.75,0.2093,0.1467,0.01175,0.3226,0.3533,0.0,0.0,0.0,22.56813179975349
-3.5583,-12.58,0.1487,0.2062,0.01075,0.4166,0.2777,0.0,0.0,0.0,22.521630938450222
-3.815,-14.8967,0.2602,0.1465,0.02925,0.43,0.4176,0.0,0.0,0.0,22.61533661058427
-24.69,7.24,0.4219,0.2255,0.0238,0.2517,0.1163,0.0052,0.0,0.0,15.828021714957327
-24.0333,5.3067,0.4746,0.1834,0.03835,0.2079,0.1502,0.0,0.0,0.008,15.665147126265708
-35.2067,-26.765,0.6595,0.1402,0.0,0.145,0.0509,0.0041,0.0,0.0,14.866317720611026
-31.6667,-28.6667,0.3468,0.048,0.02285,0.1522,0.4119,0.0,0.0,0.0,17.755981163486435
-31.6617,-29.6567,0.2995,0.0063,0.0232,0.1653,0.4912,0.0,0.0,0.0,17.823283732589584
-15.68,-9.455,0.1948,0.1047,0.03045,0.2865,0.39235,0.0,0.0,0.0,19.059021531496313
-20.3667,-12.7067,0.1599,0.1881,0.0677,0.2242,0.4029,0.0064,0.0,0.0035,18.15117440949485
-15.5367,-17.0683,0.052,0.1379,0.0778,0.157,0.55315,0.0029,0.0,0.0,20.078614912666268
-3.6783,-32.0067,0.2031,0.0164,0.0,0.1622,0.65615,0.0,0.0,0.0017,23.280441869798466
2.3117,-30.6467,0.1896,0.0817,0.0502,0.3303,0.3807,0.0,0.0,0.0,23.56588871871938
2.27,-33.01,0.1854,0.0399,0.0139,0.2592,0.5212,0.0017,0.0,0.0,23.418596943535185
5.3333,-34.025,0.0902,0.002,0.0178,0.1723,0.69115,0.0,0.0,0.0,23.34609001890322
4.2383,-43.6667,0.1299,0.0182,0.01595,0.1686,0.7092,0.0071,0.0,0.0,23.15670367602599
3.8317,-41.6217,0.1445,0.0032,0.01435,0.1527,0.68115,0.0,0.0,0.0,23.061999271040996
1.95,3.5517,0.2457,0.0438,0.0281,0.4845,0.42385,0.0,0.0,0.0024,23.019176373555798
-19.5617,11.175,0.8135,0.2217,0.0135,0.113,0.0194,0.0,0.0021,0.0,20.02680346065736
-23.315,12.3767,0.895,0.192,0.0015,0.15,0.01,0.0,0.001,0.0,18.046291168124174
-29.45,11.75,0.6477,0.1239,0.0126,0.3234,0.0666,0.0,0.0,0.0,15.120078143190078
-8.675,-11.845,0.2013,0.0484,0.0646,0.3525,0.43655,0.0,0.0,0.0029,22.053762060979235
-17.1433,-13.9867,0.0922,0.09355,0.1405,0.2409,0.59215,0.0,0.0,0.0033,18.820446933442533
-30.87,14.3433,0.7248,0.1442,0.0107,0.1616,0.05575,0.0,0.0,0.0044,15.13856290900382
-31.9,-1.33,0.3453,0.331,0.0114,0.1818,0.1143,0.0069,0.0,0.0,15.54565585249922
-36.06,-8.7783,0.389,0.3755,0.0037,0.2068,0.0173,0.0037,0.0,0.0,13.341688576980541
-36.8333,-14.4033,0.3969,0.3323,0.0,0.2553,0.0126,0.0,0.0,0.0,13.384368305272721
-27.9117,-45.8817,0.1655,0.0659,0.0979,0.3668,0.4652,0.0072,0.0,0.0,20.98442417067168
-25.5117,-35.9983,0.3837,0.0339,0.0,0.2115,0.3499,0.0,0.0,0.0,21.01955585212759
-23.0383,-36.6517,0.0536,0.0822,0.0258,0.0902,0.7345,0.0,0.0,0.0,21.557645812353854
-20.8233,-39.8633,0.036,0.0197,0.0537,0.3503,0.5514,0.0,0.0,0.0072,
-8.1983,-34.265,0.0399,0.0126,0.0705,0.1991,0.75605,0.0,0.0,0.0,
-8.5283,-34.0217,0.041,0.0028,0.02255,0.156,0.7735,0.0,0.0,0.0,
0.0067,-23.495,0.3771,0.0925,0.0172,0.3634,0.30465,0.0065,0.0,0.0,22.883587649809517
-30.8483,-38.3433,0.3631,0.1299,0.0274,0.1757,0.27945,0.0044,0.0,0.0,19.02104037099796
-3.6667,-37.7167,0.0888,0.0,0.0456,0.3373,0.63655,0.0,0.0,0.0,
-4.295,-37.0917,0.0758,0.0098,0.1008,0.3048,0.73715,0.0,0.0,0.0,
-7.0533,-34.4633,0.0651,0.0553,0.0363,0.1042,0.7864,0.0,0.00325,0.0,
-7.0117,-34.4417,0.049,0.03895,0.0485,0.1905,0.8012,0.0,0.0,0.0,
-35.125,17.5433,0.647,0.1708,0.0,0.2011,0.02965,0.0,0.0,0.0,16.107779823240307
-25.25,12.0217,0.911,0.0829,0.0,0.0901,0.0131,0.0,0.0,0.0,16.631190444203288
-29.5117,-8.305,0.2501,0.1882,0.0418,0.2326,0.26275,0.012,0.0,0.0,16.92874043212572
-30.8117,-14.7117,0.2342,0.2517,0.0289,0.226,0.22395,0.0176,0.0,0.0,17.214834789174482
-32.2683,-21.9667,0.4375,0.1524,0.0089,0.2189,0.17635,0.0,0.0,0.0,16.60433050562898
-23.825,-16.2583,0.0996,0.0758,0.1165,0.2507,0.4443,0.0,0.0,0.0,18.86405129574343
-24.1433,-14.0433,0.1103,0.08315,0.1135,0.2715,0.47185,0.0,0.0,0.0,18.50213379474791
-24.1833,-12.0217,0.1138,0.075,0.1349,0.2376,0.38935,0.0071,0.0,0.0,18.120754787678774
-19.0867,-10.1917,0.1244,0.1078,0.0743,0.2204,0.44385,0.0076,0.0,0.0,17.944395650671982
-19.0517,-16.6133,0.1043,0.0807,0.23945,0.1964,0.4385,0.0122,0.0,0.0088,18.88713247950988
0.1667,-23.0,0.037,0.0069999999999999,0.0,0.479,0.05,0.0,0.0,0.0,22.83804843502483
5.385,-21.7517,0.056,0.0555,0.0,0.24,0.3025,0.0,0.0,0.0,24.26749744380338
5.335,-22.0533,0.066,0.061,0.0,0.1955,0.3825,0.0,0.0,0.0,24.177211408301936
5.335,-22.055,0.028,0.0455,0.003,0.14,0.42,0.0,0.0,0.0,24.177211408301936
78.8553,-4.7812,0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7583855957808625
82.0317,15.1908,0.976,0.015,0.0,0.001,0.0,0.0,0.0,0.0,-1.7874656704301852
82.3967,40.9083,0.9915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8125963953141495
70.1165,-17.6943,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.768059136696001
74.9967,-11.8267,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7574828746031201
75.0003,-8.771,0.983,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-1.7501721873530212
71.4967,-17.1483,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.780082633177194
68.8417,-20.825,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6489158307526408
81.3667,17.4717,0.9865,0.002,0.0,0.006,0.0,0.0,0.0,0.0,-1.7931528159449073
81.535,30.5933,0.9985,0.003,0.0,0.0,0.0,0.0,0.0,0.0,
74.1767,-0.48,0.9865,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-1.537679026498968
67.8667,-21.765,0.997,0.001,0.0,0.0025,0.0,0.0,0.0,0.0,-1.0070176870370326
81.2333,2.3817,0.989,0.0,0.0,0.004,0.0,0.0,0.0,0.0,-1.7866055055396426
81.759,-9.4355,0.9845,0.0,0.0,0.006,0.0,0.0,0.0,0.0,
79.6,-4.6077,0.9885,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-1.7778836573713597
37.767,-10.183,0.309,0.5835,0.0035,0.327,0.0705,0.0,0.0,0.0,14.307510387124964
43.465,-30.66,0.213,0.445,0.0,0.123,0.0485,0.0,0.0,0.145,10.908854205896404
58.6288,-19.4349,0.9345,0.1115,0.0,0.038,0.0,0.0,0.0,0.0,7.280443264769496
58.001,-16.5014,0.926,0.2185,0.0,0.0625,0.01,0.0,0.0,0.0,7.2754264608490296
50.6876,-21.8635,0.979,0.039,0.0,0.0255,0.002,0.0,0.0,0.0,6.38668982069759
52.5033,-22.0623,0.9865,0.042,0.0,0.019,0.0,0.0,0.0,0.0,6.8096755504224795
37.1113,-32.2868,0.144,0.285,0.0025,0.438,0.0735,0.0,0.001,0.002,16.007644607411276
37.5783,-31.8422,0.1675,0.2535,0.0015,0.382,0.06,0.0,0.0,0.003,15.854528740188117
37.999,-31.1283,0.1585,0.295,0.0015,0.297,0.035,0.0,0.0,0.0,15.854528740188117
58.2098,-48.3733,0.9835,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.7721389603502228
52.425,-16.665,0.8985,0.0925,0.0,0.014,0.0,0.0,0.0,0.0,8.777327221501704
55.26,-26.725,0.981,0.03,0.0,0.004,0.0,0.0,0.0,0.0005,6.135065485287121
55.47,-27.8883,0.953,0.1815,0.0,0.012,0.003,0.0,0.0,0.002,6.013220938680486
56.1633,-31.99,0.9395,0.031,0.0,0.014,0.0,0.0,0.0,0.0,5.862945889377728
48.215,-27.0567,0.925,0.1085,0.0,0.0,0.0,0.0,0.0,0.0,5.683407589144233
76.0,8.3333,0.986,0.002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0625237719708949
77.46,4.58,0.9745,0.003,0.0,0.004,0.0,0.0,0.0,0.0,-1.4564336213775906
72.1117,7.3883,0.976,0.0185,0.0,0.0095,0.0,0.0,0.006,0.0,-0.9847645832853017
54.9617,-19.755,0.8765,0.043,0.0,0.035,0.0025,0.0,0.0,0.0005,8.212957940919868
68.5017,3.8383,0.973,0.0225,0.0,0.005,0.0,0.0,0.002,0.0,-0.7895391974728562
68.495,0.8317,0.99,0.0425,0.0,0.002,0.0,0.0,0.0,0.0,-1.1515527488025175
67.085,2.9083,0.9925,0.004,0.0,0.0025,0.0,0.0,0.0,0.0,-0.7102156097575466
66.6667,4.905,0.99,0.0135,0.0,0.0225,0.0,0.0,0.0,0.0,0.10035273225588721
26.8383,-15.11,0.1665,0.3865,0.0,0.286,0.0365,0.0,0.001,0.0025,15.867728962283541
23.4983,-18.7167,0.209,0.3495,0.0,0.2455,0.0245,0.0,0.0,0.0005,17.53953553192237
21.145,-18.5733,0.1335,0.433,0.0,0.372,0.0375,0.0,0.002,0.0,19.054694318433228
19.3667,-19.93,0.1275,0.2715,0.001,0.3625,0.053,0.0,0.0,0.0,19.764250647545023
15.9533,-18.1333,0.0455,0.448,0.002,0.215,0.0945,0.0,0.0,0.0,21.94946540821958
15.48,-17.36,0.16,0.3525,0.0085,0.408,0.1115,0.0,0.0,0.0,21.917142729288848
15.825,-17.8617,0.1875,0.2275,0.0045,0.302,0.114,0.0,0.0,0.0,21.917142729288848
23.135,-17.745,0.2315,0.4205,0.002,0.3205,0.0215,0.0,0.0,0.0,17.399095026721973
25.1717,-16.845,0.1935,0.4815,0.001,0.213,0.02,0.0,0.0,0.0005,16.22051365309356
12.09,-61.2433,0.0985,0.112,0.0155,0.244,0.426,0.0,0.0,0.0,22.06499821619904
17.6483,-67.1667,0.1205,0.0725,0.1645,0.28,0.383,0.0305,0.004,0.0025,22.731482789743534
3.02,-22.0317,0.181,0.04,0.001,0.564,0.243,0.0,0.0,0.0,24.125773485542375
5.67,-19.8517,0.0705,0.101,0.006,0.2105,0.346,0.0,0.0,0.0,24.400339511032925
29.1667,-12.0867,0.1815,0.4245,0.0,0.269,0.129,0.0,0.0,0.021,15.64363177876079
27.005,-18.9867,0.1285,0.196,0.002,0.404,0.167,0.002,0.0,0.004,16.273129936793424
34.8917,-7.815,0.1725,0.283,0.0,0.427,0.1455,0.0,0.0,0.0025,14.8704047332692
44.36,-26.5433,0.719,0.275,0.0,0.066,0.008,0.0,0.0,0.0,9.56603531180047
-1.35,-11.9617,0.1115,0.08,0.005,0.629,0.0905,0.0,0.0,0.0,21.96728235194506
3.735,-11.3983,0.0345,0.054,0.0,0.6095,0.1915,0.0,0.0,0.0,23.99130774156055
-2.2017,5.1017,0.1035,0.135,0.0015,0.4105,0.1775,0.0,0.0,0.0,22.601376980837937
21.245,-17.8033,0.158,0.5,0.0,0.31,0.0385,0.0,0.0,0.0,
9.5667,-19.095,0.1105,0.0805,0.0,0.4635,0.094,0.0,0.0,0.0,23.876623285454333
72.2252,14.4273,0.973,0.014,0.0,0.002,0.0,0.0,0.0,0.0,
72.3797,-10.5923,0.984,0.004,0.0,0.0,0.0,0.0,0.0,0.0,-1.7340214551210047
70.3622,-18.2053,0.9775,0.001,0.0,0.005,0.0,0.0,0.0,0.0,-1.7809386532635436
70.3315,-10.6288,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6756465023438982
84.0292,11.2383,0.9945,0.001,0.0,0.007,0.0,0.0,0.0,0.0,-1.7958582326507007
52.5667,-21.94,0.959,0.0335,0.0,0.036,0.0,0.0,0.0,0.0,7.277943311799624
59.5217,-39.445,0.992,0.005,0.0,0.004,0.0,0.0,0.0,0.0,1.7852350478872008
61.8722,-11.2423,0.926,0.0225,0.0,0.0135,0.0,0.0,0.0,0.0005,6.141718029973889
67.9593,-18.6117,0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2053074457497566
64.7973,-29.5958,0.993,0.011,0.0,0.0015,0.0,0.0,0.0,0.0,4.5163737668259545
-38.68,-25.78,0.369,0.0375,0.0,0.393,0.003,0.0,0.0,0.0,12.703916208741997
-22.33,11.198,0.4065,0.2415,0.0,0.221,0.026,0.0,0.0,0.0,18.29821707984151
59.1862,-30.9048,0.9835,0.2365,0.0,0.0355,0.0115,0.0,0.002,0.003,5.811992398952852
36.5117,-23.7367,0.19,0.106,0.0025,0.563,0.08,0.0,0.0,0.0,15.72958505534982
17.933,-50.35,0.025,0.049,0.03,0.1545,0.459,0.0,0.002,0.0,21.086154741567483
16.133,-74.45,0.029,0.047,0.008,0.224,0.367,0.0,0.0,0.004,22.888326131091304
72.183,8.583,0.9855,0.0045,0.0,0.006,0.0,0.0,0.0,0.0,-0.8762643922170594
66.6,1.117,0.983,0.005,0.0,0.003,0.0,0.0,0.0,0.0,-0.6648785343495991
64.783,-29.57,0.9845,0.003,0.0,0.003,0.0,0.0,0.0,0.0,4.5163737668259545
68.033,-6.117,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4241667079410885
18.0732,-18.0092,0.143,0.4515,0.0015,0.323,0.0605,0.0,0.0,0.0,20.48556720460136
18.1175,-18.075,0.1715,0.483,0.004,0.365,0.0465,0.0,0.0,0.0,20.48556720460136
62.6485,-53.8845,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.131781310625546
50.3898,-45.26,0.993,0.045,0.0,0.023,0.0,0.0,0.0,0.0,2.4946219624827
50.0,-23.75,0.956,0.024,0.0,0.003,0.0,0.0,0.0,0.0,5.63946412064527
55.5,-14.5833,0.9405,0.07,0.0,0.061,0.0,0.0,0.0,0.0,8.049522899419694
19.78,117.53,0.034616214295,0.1085550676,0.03219828466,0.74278161601,0.167150484475,0.004541100185,0.0,0.0,23.03434768068119
18.75,115.87,0.08605442177,0.084009465855,0.00891331493,0.70592334495,0.143076539925,0.01839498686,0.0,0.0,22.959814462539537
42.16,-124.94,0.549,0.421,0.0,0.03,0.0,0.0,0.0,0.0,
36.5,24.3,0.480132450331126,0.294701986754967,0.0,0.102649006622517,0.0066225165562913,0.0,0.0,0.0,
8.983333333,51.73333333,0.308970099667774,0.136212624584718,0.0431893687707641,0.365448504983389,0.079734219269103,0.0,0.0,0.0,
41.95,5.93,0.188571428571429,0.742857142857143,0.0,0.15311004784689,0.0114285714285714,0.0,0.0,0.0,12.50218249211757
59.4693,-23.2427,0.903,0.141,0.0,0.005,0.0,0.0,0.0,0.0,6.641890770495527
18.9979,-20.1621,0.319,0.339,0.006,0.236,0.084,0.0,0.002,0.0,19.764574710359092
38.231,14.23,0.41304347826087,0.26497277676951,0.0,0.304985337243402,0.250620347394541,0.0,0.0,0.0,
38.157,14.018,0.375,0.349358974358974,0.0,0.267062314540059,0.271137026239067,0.0,0.0,0.0,
38.215,13.269,0.394904458598726,0.356687898089172,0.0,0.325980392156863,0.106699751861042,0.0,0.0,0.0,14.10984035276363
38.247,13.346,0.642105263157895,0.485074626865672,0.0,0.418410041841004,0.225352112676056,0.0,0.0,0.0,14.10984035276363
-41.58333333,-171.5,0.10716294070684,0.0562340184039088,0.0,0.132627401889251,0.0116712113648208,0.0,0.0,0.0,10.029588197653206
39.41,13.34,0.310679611650486,0.446601941747573,0.0,0.181818181818182,0.128342245989305,0.0,0.0,0.0,13.903539151226221
28.148,127.271,0.0022877411738468,0.0055018439273149,0.00347650660912,0.014833726151171,0.0063257451824753,0.0,0.0,0.0,
-26.11,161.2266667,0.1324,0.1457,0.043,0.2715,0.3807,0.0,0.0,0.0,18.923770315861503
-31.58433333,164.4486667,0.22289999996,0.2707,0.0,0.3184,0.1751,0.0,0.0,0.0,17.180588559377952
-36.47333333,165.4421667,0.3573,0.2943,0.0,0.3182,0.027,0.0,0.0,0.0,13.554773509231808
-40.5078,167.6745,0.3125,0.4425,0.0,0.24,0.0025,0.005,0.0,0.0,10.651435648707153
-45.5235,174.948,0.9375,0.0128676470588235,0.0,0.03125,0.0,0.0,0.0,0.0,5.979780757005129
-40.28333333,168.34,0.327044025157233,0.446540880503145,0.0,0.216981132075472,0.0094339622641509,0.0,0.0,0.0,10.834436406314133
-45.0667,147.2283,0.325949367088608,0.433544303797468,0.0,0.224683544303797,0.0158227848101266,0.0,0.0,0.0,8.418280009181212
-43.9167,150.0505556,0.20831168,0.607,0.0,0.1789,0.0064,0.0,0.0,0.0,10.811019666651772
-43.23333333,105.5833333,0.27,0.563333333333333,0.0,0.163333333333333,0.0,0.0,0.0,0.0,6.623354742745742
-44.88333333,106.5166667,0.355,0.493,0.0,0.153,0.0,0.0,0.0,0.0,5.944421172322243
-33.61666667,113.5833333,0.115625,0.115625,0.0,0.615625,0.11875,0.0,0.0,0.0,15.669542441555791
-41.02,100.0116667,0.205,0.618,0.0,0.169,0.0,0.0,0.0,0.0,7.975991127136457
-29.7,97.58333333,0.212624584717608,0.0897009966777409,0.0,0.45514950166113,0.215946843853821,0.0,0.0,0.0033222591362126,15.28434567393262
-39.515,83.72333333,0.379,0.418,0.0,0.13,0.063,0.0,0.0,0.0,9.648735128187393
-38.54166667,79.89833333,0.329,0.501,0.003,0.154,0.009,0.0,0.0,0.0,10.52637077647979
-38.54833333,79.91833333,0.382,0.4,0.006,0.178,0.024,0.0,0.0,0.0,10.52637077647979
-30.35333333,86.485,0.238709677419355,0.161290322580645,0.0,0.309677419354839,0.290322580645161,0.0,0.0,0.0,15.87785124360814
-46.05,90.16666667,0.622,0.238,0.0,0.134,0.006,0.0,0.0,0.0,5.019835064410119
-42.18333333,94.88333333,0.238,0.578,0.0,0.175,0.009,0.0,0.0,0.0,7.335943018983768
-47.11666667,95.08333333,0.851,0.1,0.0,0.049,0.0,0.0,0.0,0.0,3.9014743130150995
-38.8533,141.0633,0.209090909090909,0.403030303030303,0.0545454545454545,0.293939393939394,0.006060606060606,0.0,0.0,0.0,
-44.2606,149.9963889,0.343511450381679,0.511450381679389,0.0,0.134860050890585,0.0101781170483461,0.0,0.0,0.0,9.955330659633022
-14.00916667,121.0263333,0.07387,0.029,0.0356,0.3526,0.36207,0.0,0.0,0.0,25.115886142266934
-17.64283333,114.9988333,0.063,0.0532,0.0498,0.3123,0.3986,0.0033,0.0,0.0,24.233252093595368
-20.04516667,112.6621667,0.033,0.2417,0.0132,0.3675,0.2914,0.0,0.0,0.0,23.371690282535074
-22.129,113.5018333,0.013,0.143,0.029,0.542,0.22,0.0,0.0,0.003,22.916996722728886
-24.7445,111.8291667,0.003,0.119,0.025,0.554,0.262,0.0,0.0,0.0,21.2721333646364
-30.99183333,114.5895,0.04,0.129,0.008,0.568,0.201,0.0,0.0,0.003,17.41717365293559
-24.46416667,108.5101667,0.016,0.092,0.022,0.504,0.311,0.0,0.0,0.003,19.67367073463403
-12.24666667,112.7378333,0.1266,0.0849,0.006,0.2935,0.3164,0.0,0.0,0.0,24.37105621626761
-18.56183333,116.2668333,0.033,0.043,0.0203,0.2019,0.5692,0.0033,0.0,0.0,24.55994183632236
61.8725,-11.1787,0.985,0.027,0.0,0.006,0.0,0.0,0.0,0.0,6.141718029973889
20.11666667,117.3833333,0.126,0.159,0.0,0.433,0.103,0.0,0.0,0.0,23.05816147220168
14.79666667,111.525,0.166,0.077,0.027,0.259,0.221,0.0,0.0,0.0,22.956311244634314
2.688888889,127.7361111,0.066,0.105,0.009,0.599,0.129,0.0,0.0,0.0,26.190869272793066
38.49,14.3,0.439516129032258,0.376884422110553,0.0072727272727272,0.233082706766917,0.0131578947368421,0.0,0.0,0.0,
40.33,13.21,0.596153846153846,0.467048710601719,0.0,0.215456674473068,0.216216216216216,0.0,0.0,0.0,13.680188174522902
40.35,11.43,0.32,0.45,0.0,0.34,0.0,0.0,0.0,0.0,13.376244719675515
36.32,11.41,0.509635974304069,0.438066465256798,0.002710027100271,0.181619256017505,0.306079664570231,0.0,0.0,0.0,
41.31,17.59,0.536912751677852,0.547337278106509,0.0,0.114093959731544,0.0115606936416185,0.0,0.0,0.0,
-1.170166667,160.007,0.00300902708,0.1374122367,0.02219979818,0.35116044397,0.14026236124,0.01109989909,0.0,0.0,25.566462702109103
8.015666667,139.6401667,0.02114803626,0.09667673716,0.01510574018,0.24874118834,0.19536757301,0.0,0.0,0.0,25.983649715494057
3.531833333,141.8616667,0.0,0.055,0.005,0.34,0.24,0.0,0.0,0.0,26.359825575935318
32.77,19.19,0.307692307692308,0.0769230769230769,0.011070110701107,0.0161943319838057,0.66789667896679,0.0,0.0,0.0,16.735183616901033
35.55,-1.57,0.793,0.303,0.003,0.099,0.033,0.0,0.0,0.0,
40.26,6.887,0.260869565217391,0.66893039049236,0.0028985507246376,0.115942028985507,0.152777777777778,0.0,0.0,0.0,13.071460339471965
38.65,6.11,0.344213649851632,0.474137931034483,0.0118694362017804,0.180616740088106,0.169139465875371,0.0,0.0,0.0,13.673420230188883
38.14,10.07,0.264840182648402,0.544715447154472,0.0045662100456621,0.20979020979021,0.0569105691056911,0.0,0.0,0.0,13.818356597361262
35.66,26.58,0.579545454545455,0.292207792207792,0.025974025974026,0.307432432432432,0.329479768786127,0.0,0.0,0.0,16.38558783437414
36.143,-2.621,0.799031476997579,0.31023102310231,0.0,0.0601851851851852,0.0320197044334975,0.0,0.0,0.0,
13.78,110.25,0.054441,0.07803446406,0.03448275862,0.53497934535,0.20376175549,0.01156043784,0.0,0.0,22.97834359519026
51.268,167.7255,0.264436766095116,0.0503033610476246,0.0,0.0012688357988481,0.0,0.0,0.0,0.0,2.938908589758489
15.32,72.34,0.019,0.123,0.018,0.264,0.531,0.005,0.0,0.0,24.198694556389423
10.28,75.14,0.038,0.277,0.043,0.223,0.361,0.006,0.0,0.0,
20.42,59.34,0.009,0.306,0.011,0.094,0.577,0.0,0.0,0.0,
32.47,34.23,0.278772378516624,0.173276388041489,0.0179028132992327,0.0473145780051151,0.771794871794872,0.0,0.0,0.0,
32.14,33.45,0.38562091503268,0.0261437908496732,0.0,0.0392156862745098,0.709125475285171,0.0,0.0,0.0,17.80137606230177
32.04,34.21,0.282608695652174,0.577294685990338,0.0275862068965517,0.0434782608695652,0.0453172205438067,0.0,0.0,0.0,
33.02,32.38,0.278894472361809,0.113382899628253,0.0136674259681093,0.0250569476082005,0.0068337129840546,0.0,0.0,0.0,17.544968823156236
-46.01666667,96.46666667,0.963133640552995,0.032258064516129,0.0,0.0046082949308755,0.0,0.0,0.0,0.0,4.6624919438140395
41.298,17.613,0.656398104265403,0.624595469255663,0.0031847133757961,0.187692307692308,0.0896130346232179,0.0023923444976076,0.0,0.0,
39.947,1.591,0.374193548387097,0.647214854111406,0.0,0.241935483870968,0.243323442136499,0.0,0.0,0.0,13.28722271993189
66.9697,7.6393,1.0,0.014,0.0,0.122,0.005,0.0,0.0,0.0,
72.151,11.4343,0.998,0.004,0.0,0.028,0.0,0.0,0.0,0.0,-0.5960170580114199
40.5785,-10.3485,0.38,0.396,0.0,0.256,0.114,0.0,0.0,0.0,12.80455910289605
40.5818,-9.8612,0.572,0.325,0.002,0.296,0.143,0.0,0.002,0.002,
12.69,119.47,0.04189944134,0.109375,0.0220713073,0.376498801,0.32122905025,0.01396648045,0.0,0.0,24.580877998483558
19.8,117.54,0.02760736196,0.1253071253,0.03162055336,0.7473684211,0.23451327434,0.02760736196,0.0,0.0,23.03434768068119
8.73,109.87,0.044554,0.079245,0.03481,0.48731,0.277903,0.037879,0.0,0.0,23.954440129914403
