Latitude,Longitude,Symbiont-obligate Spinose,Symbiont-barren Non-Spinose,Symbiont-facultative Non-Spinose,Symbiont-barren Spinose,SST
8.983,51.733,0.280653951,0.024523161,0.471389646,0.190735695,26.015491485595703
44.3498,-30.267,0.242399177,0.328781893,0.2325823045,0.154660494,16.117162704467773
50.9332,-41.75,0.012820512,0.490028491,0.263532763,0.21937322,10.92326545715332
35.7167,-67.3333,0.294247787,0.163716814,0.272123894,0.234513274,22.17042350769043
36.1333,-68.9167,0.2402414435,0.1656366415,0.341658929,0.176219753,21.7805118560791
36.15,-69.15,0.417943108,0.159737419,0.258205688,0.129102845,21.59381103515625
35.7833,-68.9333,0.282878412,0.215880895,0.29032258,0.171215881,22.10964584350586
36.2167,-69.4,0.345153665,0.205673758,0.274231678,0.158392435,21.59381103515625
31.8333,-74.35,0.4712138725,0.1773025045,0.2370578035,0.0667552985,24.407072067260742
31.65,-75.35,0.636783264333333,0.133803407,0.179091142,0.033436486,24.79120635986328
37.65,-72.95,0.0646215673333333,0.347265073,0.548477594666667,0.0303161606666667,18.20524024963379
23.9333,-75.75,0.716181115,0.0664947645,0.1054490495,0.091181792,26.763288497924805
24.8,-75.9333,0.705539361,0.023323615,0.131195336,0.119533528,26.489473342895508
30.7833,-67.6667,0.5934103095,0.137601446,0.11627072,0.142840982,23.46140480041504
35.7667,-69.0833,0.409086465,0.1303775945,0.4007627575,0.0579681285,22.06421661376953
39.1332,-42.65,0.158730159,0.347222222,0.400793652,0.071428571,19.52927017211914
33.333,-27.367,0.472457626,0.171610169,0.186440678,0.137711865,20.760866165161133
5.2833,-17.0667,0.095394736,0.674342106,0.210526315,0.013157894,27.28523826599121
3.65,-18.3,0.160884715333333,0.410805321666667,0.422384440333333,0.0050983933333333,26.959346771240234
-0.05,-24.1667,0.209393346,0.31702544,0.426614481,0.046966732,26.269718170166016
-0.7667,-26.0333,0.525197531,0.177962963,0.261944445,0.0212530865,26.43655776977539
20.7332,-59.2,0.83084577,0.094527363,0.064676617,0.002487562,26.66635513305664
-14.03333333,62.5,0.6131415525,0.0336488095,0.3057945535,0.0351825525,26.278894424438477
-25.41666667,70.4,0.6685967725,0.100613695,0.181689985,0.03234701,22.75016975402832
-10.35,58.51666667,0.5502162885,0.040811532,0.3494893375,0.053920146,27.015771865844727
-13.68333333,59.68333333,0.5794294295,0.031321321,0.357957959,0.026786787,26.57277488708496
-44.63333333,70.96666667,0.028942679,0.408449659,0.263981289,0.296703297,9.64315128326416
-31.51666667,114.3833333,0.3594012605,0.0458683465,0.55332633,0.0340336135,20.031648635864258
-39.73333333,67.88333333,0.063275653,0.3849222965,0.40611705,0.1315992505,14.807689666748047
-31.26666667,113.9333333,0.141304347,0.127717391,0.706521739,0.02173913,19.85850715637207
-18.68333333,87.85,0.727027649,0.0393680545,0.1741113255,0.0463810045,24.82538414001465
