Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
RC10-62,climap1,0.51,3.333,-101.7,0.15,0.053,0.016,0.625,0.144,0.011,,
RC10-97,climap1,0.44,-0.917,-134.3,0.232,0.04,0,0.646,0.029,0.054,,
RC11-120,climap1,0.84,-43.52,79.867,0.669,0.288,0,0.043,0,0,,
RC11-121,climap1,0.4,-39.72,82.25,0.309,0.412,0,0.149,0.13,0,,
RC11-145,climap1,0.5,-25.48,110.02,0.165,0.096,0.03,0.52,0.18,0.008,,
RC11-147,climap1,0.5,-19.07,112.75,0.267,0.039,0.085,0.188,0.394,0.028,,
RC11-21,climap1,0.3,-17.27,-35.97,0.17,0.008,0.03,0.014,0.765,0.014,,
RC11-210,climap1,0.4,1.817,-140.1,0.281,0.051,0.02,0.531,0.082,0.035,,
RC11-213,climap1,0.15,-6.133,-140.9,0.27,0.094,0.071,0.174,0.268,0.124,,
RC11-220,climap1,0.3,-14.82,-140,0.303,0.018,0.098,0.004,0.555,0.023,,
RC11-230,climap1,0.45,-8.8,-110.8,0.401,0.084,0.007,0.201,0.256,0.053,,
RC11-26,climap1,0.3,-28.58,-30.07,0.202,0.037,0.035,0.124,0.559,0.04,,
RC11-86,climap1,0.4,-35.78,18.45,0.391,0.127,0,0.394,0.071,0.017,,
RC11-86,climap1,0.45,-35.78,18.45,0.361,0.084,0.005,0.448,0.069,0.03,,
RC12-107,climap1,0.4,-26,169.2,0.203,0.086,0.008,0.183,0.486,0.034,,
RC12-234,climap1,0.7,-55.15,-64,0.895,0.092,0,0.014,0,0,,
RC12-241,climap1,0.7,-43.47,-57.67,0.349,0.34,0,0.31,0,0,,
RC12-291,climap1,0.8,-42.58,-17.8,0.449,0.236,0,0.309,0.006,0,,
RC12-294,climap1,0.4,-37.27,-10.1,0.352,0.452,0,0.182,0.016,0,,
RC12-328,climap1,0.3,-3.95,60.6,0.195,0.07,0.03,0.202,0.422,0.079,,
RC12-339,climap1,0.8,9.133,90.033,0.196,0.166,0.046,0.329,0.234,0.029,,
RC12-340,climap1,0.7,12.7,90.017,0.231,0.022,0.098,0.237,0.367,0.044,,
RC12-341,climap1,0.6,13.05,89.583,0.316,0.032,0.145,0.167,0.29,0.05,,
RC12-343,climap1,0.6,15.167,90.567,0.361,0.033,0.085,0.164,0.33,0.027,,
RC12-344,climap1,2.9,12.767,96.067,0.067,0.063,0.078,0.151,0.562,0.081,,
RC12-361,climap1,0.2,15.1,124.13,0.075,0.06,0.05,0.036,0.743,0.033,,
RC13-110,climap1,0.54,-0.097,-95.65,0.09,0.102,0,0.76,0.046,0.003,,
RC13-113,climap1,0.5,-1.652,-103.6,0.428,0.058,0.002,0.463,0.039,0.012,,
RC13-115,climap1,0.61,-1.652,-104.8,0.105,0.088,0,0.706,0.081,0.021,,
RC13-151,climap1,0.6,15.857,-74.79,0.162,0.018,0.024,0.156,0.61,0.032,,
RC13-152,climap1,0.6,16.708,-75.44,0.121,0.01,0.02,0.06,0.751,0.037,,
RC13-153,climap1,0.6,15.065,-75.95,0.203,0.019,0.038,0.098,0.549,0.091,,
RC13-158,climap1,0.8,13.178,-79.83,0.164,0.017,0.06,0.093,0.618,0.05,,
RC13-159,climap1,0.83,14.695,-77.17,0.16,0.013,0.038,0.129,0.595,0.066,,
RC13-17,climap1,0.3,19.087,-170.1,0.133,0.057,0.256,0.076,0.462,0.012,,
RC13-184,climap1,0.55,3.86,-43.31,0.18,0.003,0,0.073,0.738,0.005,,
RC13-189,climap1,0.675,1.863,-30,0.327,0.033,0.012,0.25,0.363,0.015,,
RC13-197,climap1,1.1,4.517,-0.717,0.181,0.117,0.016,0.256,0.421,0.00699999999999999,,
RC13-205,climap1,0.5,-2.288,5.183,0.187,0.031,0.024,0.435,0.322,0.003,,
RC13-210,climap1,0.4,-9.142,-10.61,0.159,0.033,0.008,0.336,0.447,0.016,,
RC13-227,climap1,0.4,-21.88,8.872,0.353,0.133,0,0.46,0.051,0.003,,
RC13-229,climap1,0.8,-25.49,11.307,0.332,0.117,0,0.517,0.033,0.003,,
RC13-81,climap1,0.1,-19.02,-124.2,0.317,0.022,0.026,0.01,0.584,0.041,,
RC14-29,climap1,0.2,-10.92,88.315,0.207,0.034,0.076,0.181,0.475,0.026,,
RC14-35,climap1,0.35,-0.833,89.95,0.155,0.085,0.023,0.206,0.45,0.081,,
RC14-37,climap1,0.4,-1.467,90.167,0.214,0.074,0.052,0.174,0.409,0.078,,
RC14-39,climap1,0.7,-5.857,90.52,0.169,0.121,0.021,0.332,0.29,0.067,,
RC14-7,climap1,0.6,-35.52,44.75,0.303,0.112,0.003,0.461,0.111,0.009,,
RC14-9,climap1,0.7,-39.02,47.883,0.431,0.343,0.003,0.2,0.02,0.003,,
RC15-93,climap1,1.02,-46.1,-13.23,0.593,0.35,0,0.057,0,0,,
RC15-94,climap1,1.2,-42.98,-20.86,0.664,0.058,0,0.278,0,0,,
RC17-113,climap1,0.3,15.033,66.097,0.209,0.049,0.013,0.234,0.488,0.00699999999999999,,
RC17-69,climap1,0.5,-31.5,32.607,0.155,0.078,0.02,0.438,0.282,0.029,,
RC17-73,climap1,0.2,-32.11,36.01,0.195,0.138,0.01,0.362,0.265,0.029,,
RC17-98,climap1,0.53,-13.22,65.617,0.285,0.037,0.037,0.138,0.456,0.045,,
RC24-1,climap1,0.72,0.563,-13.65,0.22,0.042,0.005,0.515,0.199,0.021,,
RC24-16,climap1,0.75,-5.038,-10.19,0.128,0.08,0,0.436,0.329,0.031,,
RC24-27,climap1,0.72,-5.412,-0.363,0.119,0.03,0.003,0.356,0.475,0.018,,
RC24-7,climap1,1.2,-1.342,-11.92,0.227,0.089,0,0.606,0.078,0,,
RE010-002,climap1,0.6,56.983,-12.467,0.947,0.053,0,0,0,0,,
RE5-034,climap1,0.4,42.383,-21.967,0.379,0.297,0,0.273,0.05,0,,
RE5-036,climap1,0.7,46.917,-18.583,0.983,0.018,0,0,0,0,,
RE5-054,climap1,0.1,25.867,-19.05,0.437,0.191,0.008,0.256,0.089,0.016,,
RE5-057,climap1,1,19.6,-19.1,0.296,0.417,0.012,0.208,0.056,0.011,,
SP008-004,climap1,0.3,31.833,-18.267,0.194,0.242,0,0.315,0.245,0.005,,
V04-32,climap1,0.3,35.05,-11.62,0.379,0.162,0.019,0.162,0.27,0.01,,
V04-8,climap1,0.5,37.233,-33.13,0.372,0.243,0.023,0.191,0.162,0.006,,
V14-101,climap1,0.7,8.65,58.567,0.439,0.099,0.025,0.197,0.22,0.021,,
V14-102,climap1,0.4,10.25,57.183,0.27,0.106,0.021,0.44,0.131,0.032,,
V14-77,climap1,0.29,-29.63,32.867,0.178,0.03,0.031,0.402,0.319,0.038,,
V14-81,climap1,0.35,-28.43,43.783,0.307,0.095,0.085,0.183,0.318,0.014,,
V15-157,climap1,0.5,-33.17,-49.78,0.239,0.074,0.007,0.35,0.328,0.002,,
V15-168,climap1,1.42,0.2,-39.9,0.207,0.013,0.013,0.281,0.488,0,,
V15-168,climap1,1.6,0.2,-39.9,0.264,0.00699999999999999,0.005,0.194,0.517,0.014,,
V15-168,climap1,1.63,0.2,-39.9,0.141,0.012,0.017,0.393,0.421,0.017,,
V16-205,climap1,0.19,15.4,-43.4,0.173,0,0.061,0.057,0.691,0.018,,
V16-25,climap1,0.53,5.067,-36.8,0.079,0.006,0.022,0.153,0.736,0.003,,
V16-25,climap1,0.55,5.067,-36.8,0.072,0.019,0.011,0.129,0.727,0.04,,
V16-36,climap1,0.42,-19.37,-11.43,0.181,0.022,0.077,0.184,0.524,0.01,,
V17-165,climap1,0.5,32.75,-41.9,0.149,0.044,0.003,0.361,0.43,0.015,,
V17-39,climap1,1,11.75,-80.43,0.165,0.009,0.036,0.048,0.665,0.075,,
V18-110,climap1,0.3,-53.58,-44.7,0.976,0.01,0,0.013,0,0,,
V18-312,climap1,0.25,-2.85,-126.2,0.289,0.055,0.01,0.527,0.1,0.02,,
V18-318,climap1,0.15,3.167,-118.5,0.077,0.015,0,0.809,0.077,0.024,,
V18-357,climap1,0.6,15.033,-80.23,0.213,0.011,0.062,0.04,0.591,0.083,,
V19-178,climap1,0.4,8.117,73.25,0.33,0.111,0.089,0.141,0.297,0.033,,
V19-185,climap1,0.3,6.7,59.333,0.391,0.124,0.027,0.151,0.278,0.026,,
V19-188,climap1,0.5,6.867,60.667,0.268,0.125,0.051,0.23,0.276,0.05,,
V19-19,climap1,0.8,13.233,-78.37,0.097,0.01,0.034,0.065,0.733,0.056,,
V19-201,climap1,0.7,-5.333,40.433,0.265,0.066,0.062,0.215,0.361,0.03,,
V19-202,climap1,0.3,-6.983,41.183,0.295,0.103,0.062,0.125,0.367,0.051,,
V19-204,climap1,0.3,-10.23,43.817,0.291,0.074,0.00699999999999999,0.198,0.418,0.014,,
V19-21,climap1,0.6,11.8,-79.07,0.146,0.011,0.047,0.08,0.614,0.102,,
V19-240,climap1,0.6,-30.58,13.283,0.476,0.143,0.003,0.26,0.095,0.024,,
V19-248,climap1,0.27,-24.57,4.833,0.23,0.128,0.044,0.426,0.149,0.022,,
V19-281,climap1,0.5,-3.317,4.65,0.168,0.13,0,0.329,0.357,0.016,,
V19-283,climap1,0.79,-1.283,5.533,0.155,0.043,0.01,0.389,0.39,0.011,,
V19-29,climap1,1.2,-3.583,-83.93,0.434,0.596,0.002,0.937,0.025,0.009,,
V19-291,climap1,0.8,2,-5.25,0.111,0.054,0.002,0.322,0.495,0.014,,
V19-309,climap1,0.31,31.167,-45.13,0.184,0.089,0.005,0.35,0.358,0.013,,
V19-53,climap1,0.45,-17.02,-113.5,0.131,0.01,0.016,0.408,0.214,0.221,,
V19-55,climap1,0.23,-17,-114.2,0.398,0.044,0.037,0.076,0.374,0.074,,
V19-64,climap1,0.15,-16.93,-121.2,0.393,0.028,0.04,0.018,0.479,0.041,,
V19-65,climap1,0.15,-16.65,-124.4,0.387,0.014,0.016,0.032,0.495,0.055,,
V19-96,climap1,0.15,-0.867,172,0.141,0.116,0.004,0.45,0.24,0.049,,
V20-119,climap1,0.2,47.95,168.78,0.904,0.094,0,0,0.002,0,,
V20-170,climap1,0.2,-21.8,69.233,0.2,0.014,0.079,0.03,0.621,0.054,,
V20-175,climap1,0.2,-22.3,68,0.226,0.028,0.059,0.023,0.644,0.017,,
V20-212,climap1,0.2,-28.22,-10.03,0.278,0.029,0.06,0.216,0.401,0.017,,
V20-227,climap1,0.8,-4.233,-34.63,0.268,0.006,0.003,0.158,0.531,0.035,,
V20-228,climap1,0.61,-2.483,-36.42,0.092,0.002,0.018,0.108,0.75,0.029,,
V20-241,climap1,0.3,22.133,-41.5,0.179,0.01,0.097,0.013,0.659,0.042,,
V20-242,climap1,0.29,23.367,-43.65,0.179,0.008,0.088,0.013,0.666,0.045,,
V21-146,climap1,0.7,37.683,163.03,0.348,0.072,0,0.573,0.007,0,,
V21-30,climap1,2.5,-1.217,-89.68,0.201,0.465,0.004,0.295,0.036,0.001,,
V21-33,climap1,0.45,-3.8,-92.08,0.176,0.128,0,0.686,0.008,0.002,,
V22-168,climap1,0.31,-17.47,-5.183,0.272,0.026,0,0.457,0.223,0.021,,
V22-171,climap1,0.2,-13.1,-9.333,0.464,0.073,0.057,0.313,1.037,0.058,,
V22-172,climap1,0.2,-12.67,-9.817,0.19,0.027,0.028,0.214,0.519,0.02,,
V22-174,climap1,0.57,-10.07,-12.82,0.168,0.042,0.078,0.223,0.446,0.042,,
V22-177,climap1,0.63,-7.75,-14.6,0.27,0.062,0.03,0.289,0.335,0.014,,
V22-177,climap1,0.7,-7.75,-14.6,0.181,0.025,0.023,0.324,0.408,0.037,,
V22-182,climap1,0.71,-0.533,-17.27,0.172,0.055,0.002,0.579,0.184,0.008,,
V22-182,climap1,0.72,-0.533,-17.27,0.286,0.065,0.003,0.456,0.191,0,,
V22-186,climap1,0.3,3.383,-20.12,0.163,0.022,0.008,1.057,0.701,0.05,,
V22-188,climap1,0.3,4.667,-20.92,0.366,0.077,0.111,0.376,1.024,0.048,,
V22-196,climap1,0.7,13.833,-18.97,0.103,0.15,0.008,0.542,0.192,0.005,,
V22-197,climap1,0.72,14.167,-18.58,0.17,0.358,0,0.198,0.259,0.015,,
V22-222,climap1,0.58,28.933,-43.65,0.142,0.02,0.077,0.086,0.562,0.059,,
V22-26,climap1,0.4,8.717,-41.25,0.152,0.025,0.006,0.145,0.653,0.023,,
V22-38,climap1,0.375,-9.55,-34.25,0.066,0.009,0,0.017,0.9,0.009,,
V22-38,climap1,0.4,-9.55,-34.25,0.097,0,0.013,0.004,0.88,0.00699999999999999,,
V23-100,climap1,0.42,21.3,-22.68,0.217,0.112,0.006,0.492,0.144,0.027,,
V23-110,climap1,0.26,17.633,-45.87,0.165,0,0.033,0.02,0.761,0.022,,
V23-23,climap1,0.85,56.083,-44.55,0.904,0.093,0,0.003,0,0,,
V23-42,climap1,0.7,62.183,-27.93,0.947,0.048,0,0,0.004,0,,
V23-81,climap1,2.95,54.25,-16.83,0.913,0.078,0,0.009,0,0,,
V23-82,climap1,1.1,52.583,-21.93,0.985,0.013,0,0.002,0,0,,
V23-83,climap1,0.99,49.867,-24.25,0.984,0.011,0,0.004,0,0,,
V23-84,climap1,0.81,46,-16.92,0.858,0.103,0,0.034,0.003,0,,
V23-91,climap1,0.3,29.583,-28.57,0.237,0.063,0.033,0.222,0.393,0.052,,
V23-98,climap1,0.7,23.117,-19.3,0.251,0.296,0,0.385,0.063,0.00699999999999999,,
V24-1,climap1,2.65,36.5,-73.5,0.175,0.152,0.00699999999999999,0.544,0.118,0.003,,
V24-221,climap1,0.3,-32.03,-2.817,0.227,0.095,0,0.344,0.329,0.006,,
V24-229,climap1,0.3,-34.45,-10.6,0.325,0.197,0,0.276,0.201,0,,
V24-235,climap1,0.1,-33.25,-19.55,0.305,0.057,0.009,0.206,0.418,0.006,,
V24-237,climap1,0.1,-32.2,-26.733,0.396,0.006,0.003,0.334,0.253,0.009,,
V24-240,climap1,0.2,-31.73,-28.2,0.445,0.024,0,0.307,0.219,0.003,,
V24-28,climap1,0.6,15.317,-77.95,0.168,0.006,0.031,0.071,0.573,0.151,,
V25-42,climap1,0.6,12.55,-50.65,0.059,0.013,0,0.619,0.293,0.015,,
V25-44,climap1,0.3,11.5,-45.15,0.19,0.026,0.042,0.11,0.632,0.003,,
V25-56,climap1,0.8,-3.55,-35.23,0.296,0,0.021,0.084,0.568,0.032,,
V25-56,climap1,0.99,-3.55,-35.23,0.173,0.003,0.031,0.076,0.683,0.034,,
V25-59,climap1,0.675,1.367,-33.48,0.25,0.014,0.006,0.207,0.507,0.017,,
V25-59,climap1,0.71,1.367,-33.48,0.241,0.014,0.02,0.19,0.507,0.031,,
V25-60,climap1,0.4,3.283,-34.83,0.194,0.016,0.029,0.122,0.617,0.023,,
V25-60,climap1,0.475,3.283,-34.83,0.217,0.021,0.012,0.15,0.584,0.018,,
V25-75,climap1,1.2,8.583,-53.17,0.099,0.069,0.006,0.07,0.746,0.009,,
V26-104,climap1,1.5,-0.083,-41.78,0.258,0.004,0.027,0.134,0.566,0.012,,
V26-104,climap1,1.55,-0.083,-41.78,0.221,0,0.009,0.111,0.649,0.009,,
V26-107,climap1,1,4.683,-46.87,0.198,0.005,0.054,0.18,0.526,0.037,,
V26-41,climap1,0.42,19.333,-26.12,0.204,0.056,0.024,0.304,0.393,0.017,,
V26-41,climap1,0.43,19.333,-26.12,0.189,0.054,0.006,0.355,0.392,0.003,,
V26-46,climap1,0.45,9.567,-18.18,0.233,0.07,0.033,0.913,0.74,0.018,,
V26-53,climap1,0.5,0.3,-14.8,0.149,0.009,0,0.755,0.08,0.00699999999999999,,
V26-63,climap1,0.3,-23.97,-37.95,0.218,0.032,0.037,0.098,0.607,0.005,,
V26-82,climap1,0.2,-27.77,-37.25,0.253,0.028,0.043,0.099,0.55,0.03,,
V27-110,climap1,0.47,56.9,-18.5,0.915,0.075,0,0.01,0,0,,
V27-116,climap1,0.6,52.833,-30.33,0.952,0.046,0,0.003,0,0,,
V27-137,climap1,0.4,42.7,-17.07,0.779,0.111,0,0.093,0.018,0,,
V27-17,climap1,0.35,50.1,-37.3,0.997,0,0,0.003,0,0,,
V27-175,climap1,0.5,8.8,-22.12,0.14,0,0,0.445,0.405,0.00699999999999999,,
V27-178,climap1,0.55,5.1,-26.65,0.056,0.04,0.002,0.309,0.558,0.035,,
V27-178,climap1,0.58,5.1,-26.65,0.102,0.022,0,0.184,0.68,0.013,,
V27-19,climap1,0.35,52.1,-38.8,0.945,0.049,0,0.006,0,0,,
V27-20,climap1,0.8,54,-46.2,0.918,0.072,0,0.011,0,0,,
V27-228,climap1,0.9,-10.07,11.45,0.199,0.019,0.005,0.287,0.452,0.038,,
V27-232,climap1,0.6,-0.233,7.55,0.102,0.067,0.003,0.25,0.56,0.016,,
V27-239,climap1,0.2,-7.833,-1.517,0.096,0.058,0.003,0.659,0.174,0.008,,
V27-248,climap1,0.82,3.05,-11.82,0.235,0,0.016,0.306,0.442,0,,
V27-263,climap1,0.2,35.017,-40.92,0.295,0.139,0.003,0.277,0.271,0.017,,
V28-119,climap1,0.8,17.033,-76.6,0.189,0.008,0.046,0.057,0.614,0.086,,
V28-122,climap1,1,11.933,-78.68,0.098,0.013,0.051,0.068,0.723,0.044,,
V28-127,climap1,1,11.65,-80.13,0.188,0.002,0.002,0.053,0.698,0.058,,
V28-129,climap1,0.8,11.117,-80.4,0.169,0.003,0.049,0.091,0.612,0.075,,
V28-201,climap1,0.2,2.767,-173.9,0.276,0.156,0.078,0.095,0.348,0.045,,
V28-203,climap1,0.4,0.95,-179.4,0.215,0.097,0.025,0.198,0.39,0.073,,
V28-230,climap1,0.2,-5.5,166.75,0.271,0.08,0.027,0.09,0.508,0.023,,
V28-238,climap1,0.35,1.017,160.48,0.212,0.125,0.032,0.182,0.368,0.08,,
V28-239,climap1,0.3,3.25,159.18,0.215,0.103,0.014,0.281,0.291,0.096,,
V28-243,climap1,0.2,11.067,138.53,0.094,0.063,0.039,0.031,0.745,0.029,,
V28-294,climap1,0.04,28.433,139.97,0.319,0.127,0.015,0.138,0.381,0.02,,
V28-304,climap1,0.45,28.533,134.13,0.272,0.15,0.004,0.218,0.332,0.024,,
V28-310,climap1,0.4,25.417,125.63,0.402,0.089,0.12,0.101,0.281,0.003,,
V28-342,climap1,0.9,-14.1,120.5,0.232,0.086,0.077,0.2,0.376,0.029,,
V28-345,climap1,0.9,-17.67,117.95,0.273,0.101,0.067,0.178,0.361,0.019,,
V28-89,climap1,0.72,44.533,-32.58,0.854,0.102,0,0.024,0.018,0.002,,
V29-144,climap1,0.85,-0.2,6.05,0.214,0.05,0.024,0.436,0.266,0.011,,
V29-15,climap1,0.7,11.95,88.733,0.24,0.084,0.064,0.204,0.31,0.098,,
V29-172,climap1,0.4,33.7,-29.38,0.377,0.012,0.036,0.357,0.201,0.016,,
V29-173,climap1,0.25,33.7,-29.38,0.262,0.055,0.013,0.315,0.33,0.023,,
V29-174,climap1,0.4,36.3,-29.37,0.309,0.124,0,0.27,0.284,0.012,,
V29-177,climap1,0.42,41.533,-25.72,0.45,0.319,0.002,0.189,0.04,0,,
V29-178,climap1,0.49,42.85,-25.15,0.543,0.337,0,0.103,0.015,0,,
V29-179,climap1,0.73,44.017,-24.53,0.61,0.267,0.002,0.091,0.029,0,,
V29-180,climap1,0.58,45.3,-23.87,0.683,0.272,0,0.031,0.013,0,,
V29-29,climap1,0.8,5.117,77.583,0.199,0.228,0.033,0.342,0.174,0.021,,
V29-30,climap1,0.8,3.083,76.25,0.461,0.158,0.041,0.813,0.454,0.074,,
V29-48,climap1,0.3,-6.267,63.433,0.202,0.061,0.013,0.326,0.36,0.039,,
V30-100,climap1,0.65,44.117,-32.5,0.591,0.338,0,0.06,0.011,0,,
V30-36,climap1,0.4,5.35,-27.32,0.134,0.048,0.008,0.269,1.494,0.043,,
V30-40,climap1,0.66,-0.2,-23.15,0.503,0.051,0.002,0.202,0.226,0.017,,
V30-41,climap1,0.445,0.217,-23.07,0.348,0.089,0.034,0.394,0.135,0,,
V30-49,climap1,0.84,18.433,-21.08,0.165,0.238,0.012,0.445,0.135,0.006,,
V30-51,climap1,0.54,19.867,-19.92,0.259,0.257,0.003,0.391,0.083,0.00699999999999999,,
V30-96,climap1,0.63,39.95,-33.13,0.416,0.302,0,0.21,0.072,0.003,,
V30-97,climap1,0.76,41,-32.93,0.438,0.296,0,0.249,0.016,0,,
V30-99,climap1,0.32,43.15,-32.45,0.441,0.385,0,0.13,0.043,0.002,,
V32-126,climap1,0.25,35.318,177.92,0.373,0.294,0,0.298,0.031,0.006,,
V32-128,climap1,0.32,36.458,177.16,0.54,0.193,0,0.249,0.017,0,,
V32-139,climap1,0.01,31.573,151.1,0.175,0.079,0,0.646,0.097,0.008,,
V32-8,climap1,0.76,34.78,-32.42,0.288,0.082,0.009,0.338,0.269,0.012,,
V34-101,climap1,0.4,17.488,67.423,0.187,0.054,0.026,0.119,0.599,0.014,,
V34-109,climap1,0.8,19.733,66.083,0.161,0.058,0.031,0.106,0.618,0.026,,
V34-111,climap1,0.6,17.617,63.883,0.166,0.053,0.025,0.132,0.588,0.038,,
V34-87,climap1,1,13.273,57.348,0.193,0.25,0.03,0.125,0.389,0.012,,
V34-88,climap1,1,16.54,59.755,0.222,0.231,0.07,0.121,0.35,0.006,,
V34-91,climap1,0.7,20.937,64.033,0.114,0.171,0.016,0.171,0.491,0.035,,
V34-92,climap1,0.85,21.148,65.118,0.058,0.039,0.008,0.046,0.778,0.07,,
VNTR01-8PC,climap1,0.41,0.037,-110.48,0.238,0.058,0.002,0.621,0.07,0.012,,
Y69-106P,climap1,0.3,-2.983,-86.55,0.237,0.154,0.024,0.469,0.115,0.004,,
Y69-71P,climap1,1.8,0.1,-86.483,0.045,0.215,0.003,0.675,0.06,0,,
Y71-03-02,climap1,0.2,7.172,-85.152,0.18,0.147,0,0.491,0.15,0.029,,
Y71-06-12,climap1,0.49,-16.443,-77.563,0.308,0.16,0,0.505,0.029,0.002,,
Y71-09-101,climap1,0.63,-6.383,-106.935,0.128,0.061,0,0.642,0.159,0.011,,
GeoB1008-3,epilog,2.18,-6.5823,10.3186,0.139,0.4131,7e-04,0.2693,0.1765,0.0013,0,0
GeoB1008-3,epilog,2.23,-6.5823,10.3186,0.1867,0.2045,0,0.4367,0.1623,0.0097,0,0
GeoB1008-3,epilog,2.28,-6.5823,10.3186,0.1271,0.3633,0.006,0.3662,0.1361,0.0015,0,0
GeoB1008-3,epilog,2.33,-6.5823,10.3186,0.237,0.1996,0,0.3825,0.1642,0.0165,0,0
GeoB1008-3,epilog,2.38,-6.5823,10.3186,0.2342,0.2045,0,0.3432,0.2023,0.0159,0,0
GeoB1008-3,epilog,2.43,-6.5823,10.3186,0.2206,0.2753,0,0.1593,0.3068,0.0382,0,0
GeoB1008-3,epilog,2.48,-6.5823,10.3186,0.1415,0.2217,0,0.1509,0.415,0.0708,0,0
GeoB1008-3,epilog,2.53,-6.5823,10.3186,0.226,0.3979,0.0087,0.137,0.212,0.0184,0,0
GeoB1008-3,epilog,2.58,-6.5823,10.3186,0.1473,0.2898,0,0.1739,0.3454,0.0411,0,0
GeoB1008-3,epilog,2.63,-6.5823,10.3186,0.1854,0.4057,0.005,0.2204,0.1706,0.0133,0,0
GeoB1016-3,epilog,0.73,-11.7705,11.6819,0.1848,0.2817,0.0078,0.3224,0.1744,0.0291,0,0
GeoB1016-3,epilog,0.78,-11.7705,11.6819,0.1185,0.0983,0.0145,0.4654,0.2717,0.0318,0,0
GeoB1016-3,epilog,0.88,-11.7705,11.6819,0.252,0.0879,0.002,0.2949,0.3243,0.0352,0,0
GeoB1028-5,epilog,0.93,-20.104,9.1858,0.4782,0.3357,0.005,0.1611,0.0189,0.0012,0,0
GeoB1028-5,epilog,0.98,-20.104,9.1858,0.464,0.317,0.001,0.099,0.083,0.00699999999999999,0,0
GeoB1028-5,epilog,1.03,-20.104,9.1858,0.4769,0.3,0,0.166,0.0521,0.0052,0,0
GeoB1028-5,epilog,1.08,-20.104,9.1858,0.437,0.19,0.006,0.102,0.227,0.003,0,0
GeoB1031-4,epilog,0.28,-21.88,7.1017,0.3671,0.2007,0.0113,0.3054,0.0999,0.0028,0,0
GeoB1031-4,epilog,0.33,-21.88,7.1017,0.4342,0.2327,0.0117,0.213,0.0918,0.0058,0,0
GeoB1032-3,epilog,0.38,-22.915,6.0367,0.4415,0.1628,0.0198,0.2648,0.0854,0.0115,0,0
GeoB1032-3,epilog,0.43,-22.915,6.0367,0.4415,0.1412,0.0159,0.2237,0.148,0.0093,0,0
GeoB1034-3,epilog,0.23,-21.735,5.4217,0.3647,0.1934,0.00709999999999999,0.2789,0.1455,0.0106,0,0
GeoB1041-3,epilog,0.53,-3.475,-7.6,0.1863,0.1811,0,0.4508,0.1703,0.0116,0,0
GeoB1041-3,epilog,0.58,-3.475,-7.6,0.2191,0.1308,0,0.4829,0.1605,0.0068,0,0
GeoB1101-5,epilog,0.33,1.6583,-10.98,0.1838,0.0317,0,0.4927,0.27,0.022,0,0
GeoB1101-5,epilog,0.38,1.6583,-10.98,0.1238,0.0248,0.0013,0.605,0.2112,0.0339,0,0
GeoB1105-4,epilog,0.78,-1.665,-12.4283,0.2059,0.1917,0.0326,0.3868,0.1711,0.012,0,0
GeoB1105-4,epilog,0.83,-1.665,-12.4283,0.2493,0.1551,0.0036,0.3934,0.1798,0.0134,0,0
GeoB1105-4,epilog,0.93,-1.665,-12.4283,0.3992,0.0991,0.0101,0.3193,0.1578,0.0076,0,0
GeoB1105-4,epilog,1.03,-1.665,-12.4283,0.3389,0.1171,0.0075,0.3142,0.1944,0.0228,0,0
GeoB1112-4,epilog,0.48,-5.7783,-10.75,0.1936,0.1492,0.00989999999999999,0.3194,0.2923,0.0358,0,0
GeoB1112-4,epilog,0.53,-5.7783,-10.75,0.2138,0.1428,0.0136,0.2591,0.3428,0.021,0,0
GeoB1112-4,epilog,0.58,-5.7783,-10.75,0.1819,0.1408,0.0015,0.3226,0.324,0.0293,0,0
GeoB1115-4,epilog,0.63,-3.5583,-12.58,0.1487,0.1853,0.0123,0.3849,0.2484,0.0203,0,0
GeoB1115-4,epilog,0.68,-3.5583,-12.58,0.086,0.2062,0.0031,0.4166,0.2684,0.0186,0,0
GeoB1117-2,epilog,0.53,-3.815,-14.8967,0.2309,0.0812,0.0127,0.2411,0.4011,0.033,0,0
GeoB1117-2,epilog,0.58,-3.815,-14.8967,0.176,0.1465,0.0325,0.3876,0.2312,0.0261,0,0
GeoB1117-2,epilog,0.63,-3.815,-14.8967,0.2793,0.1001,0.0122,0.43,0.1584,0.02,0,0
GeoB1214-1,epilog,0.23,-24.69,7.24,0.3863,0.205,0.0286,0.2517,0.1097,0.0184,0,0
GeoB1214-1,epilog,0.28,-24.69,7.24,0.4262,0.2272,0.0225,0.2141,0.0955,0.0145,0,0
GeoB1220-1,epilog,0.33,-24.0333,5.3067,0.4746,0.17,0.016,0.176,0.1451,0.0102,0,0.008
GeoB1220-1,epilog,0.38,-24.0333,5.3067,0.418,0.1834,0.0426,0.2079,0.1352,0.0128,0,0
GeoB1306-1,epilog,0.19,-35.2067,-26.765,0.6595,0.1402,0,0.145,0.0504,0.00509999999999999,0,0
GeoB1309-2,epilog,0.18,-31.6667,-28.6667,0.3537,0.0526,0.0274,0.1522,0.4096,0.0046,0,0
GeoB1312-2,epilog,0.13,-31.6617,-29.6567,0.2995,0.0063,0.0257,0.1653,0.4792,0.0171,0,0
