Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
DGKS9603,margo,197,28.148,127.271,68,390,0,264,876,,304,0
DGKS9603,margo,199,28.148,127.271,57,292,0,208,747,,249,0
DGKS9603,margo,201,28.148,127.271,54,309,0,216,764,,274,0
DGKS9603,margo,204,28.148,127.271,45,261,0,182,625,,247,0
DGKS9603,margo,206,28.148,127.271,54,242,0,126,684,,266,0
DGKS9603,margo,208,28.148,127.271,60,257,0,135,670,,278,0
DGKS9603,margo,210,28.148,127.271,31,366,0,162,646,,384,0
DGKS9603,margo,212,28.148,127.271,36,360,0,98,655,,315,0
DGKS9603,margo,215,28.148,127.271,41,351,0,103,690,,289,0
DSDP site 594,margo,2.52,-45.5235,174.948,495,7,0,0,17,0,0,0
E26-001,margo,0.61,-40.28333333,168.34,60,142,0,0,69,0,3,0
E27-030,margo,0.6,-45.0667,147.2283,60,137,0,0,71,0,5,0
E45-027,margo,0.3,-43.23333333,105.5833333,64,170,0,0,49,0,0,0
E45-078,margo,0.31,-45.037,114.348,49,172,0,0,63,1,1,0
E45-102,margo,0.24,-33.61666667,113.5833333,23,37,0,4,198,0,38,0
E48-011,margo,0.22,-29.7,97.58333333,24,27,0,0,144,1,65,0
E48-035,margo,0.355,-30.35333333,86.485,74,50,0,0,96,0,90,0
E55-006,margo,0.4,-38.8533,141.0633,50,133,0,18,97,0,2,0
FR1/94-GC03,margo,0.3,-44.2606,149.9963889,54,201,0,0,53,0,4,0
GeoB1008-3,margo,2.18,-6.5823,10.3186,95,277,0,1,182,0,121,0
GeoB1008-3,margo,2.23,-6.5823,10.3186,91,99,0,0,210,0,82,4
GeoB1008-3,margo,2.28,-6.5823,10.3186,66,185,0,4,186,0,71,1
GeoB1008-3,margo,2.33,-6.5823,10.3186,115,96,0,0,185,0,84,5
GeoB1008-3,margo,2.38,-6.5823,10.3186,78,67,0,0,113,0,71,3
GeoB1008-3,margo,2.43,-6.5823,10.3186,86,107,0,0,63,0,127,10
GeoB1008-3,margo,2.48,-6.5823,10.3186,31,48,0,0,33,0,94,12
GeoB1008-3,margo,2.53,-6.5823,10.3186,140,245,0,6,85,0,137,8
GeoB1008-3,margo,2.58,-6.5823,10.3186,62,121,0,0,73,0,158,7
GeoB1008-3,margo,2.63,-6.5823,10.3186,113,247,0,4,138,0,108,8
GeoB1016-3,margo,0.73,-11.7705,11.6819,130,197,0,6,226,0,124,21
GeoB1016-3,margo,0.78,-11.7705,11.6819,43,36,0,7,164,0,101,7
GeoB1016-3,margo,0.88,-11.7705,11.6819,100,36,0,1,117,0,133,12
GeoB1028-5,margo,0.93,-20.104,9.1858,227,159,0,3,78,0,12,0
GeoB1028-5,margo,1.03,-20.104,9.1858,314,196,0,0,109,0,39,0
GeoB1031-4,margo,0.28,-21.88,7.1017,156,86,0,5,129,0,53,0
GeoB1031-4,margo,0.33,-21.88,7.1017,238,127,0,7,117,0,63,0
GeoB1032-3,margo,0.38,-22.915,6.0367,191,71,0,9,116,0,51,0
GeoB1032-3,margo,0.43,-22.915,6.0367,262,84,0,11,132,0,108,0
GeoB1034-3,margo,0.23,-21.735,5.4217,286,152,0,6,219,0,126,0
GeoB1041-3,margo,0.53,-3.475,-7.6,106,102,0,0,253,0,104,0
GeoB1041-3,margo,0.58,-3.475,-7.6,87,51,0,0,186,0,66,0
GeoB1101-5,margo,0.33,1.6583,-10.98,118,21,0,0,316,0,190,0
GeoB1101-5,margo,0.38,1.6583,-10.98,71,15,0,1,340,0,131,8
GeoB1105-4,margo,0.78,-1.665,-12.4283,105,95,0,17,193,0,94,0
GeoB1112-4,margo,0.48,-5.7783,-10.75,116,89,0,6,189,0,198,0
GeoB1112-4,margo,0.58,-5.7783,-10.75,109,84,0,1,192,0,213,0
GeoB1115-4,margo,0.63,-3.5583,-12.58,107,129,0,10,268,0,184,5
GeoB1115-4,margo,0.68,-3.5583,-12.58,56,128,0,2,258,0,179,1
GeoB1117-2,margo,0.53,-3.815,-14.8967,93,32,0,6,97,0,176,0
GeoB1117-2,margo,0.58,-3.815,-14.8967,57,45,0,10,122,0,81,0
GeoB1117-2,margo,0.63,-3.815,-14.8967,169,60,0,9,256,0,109,0
GeoB1214-1,margo,0.23,-24.69,7.24,256,135,0,20,166,0,82,4
GeoB1214-1,margo,0.28,-24.69,7.24,296,158,0,17,149,0,78,0
GeoB1220-1,margo,0.33,-24.0333,5.3067,172,61,0,6,64,3,59,0
GeoB1220-1,margo,0.38,-24.0333,5.3067,169,73,0,18,83,0,61,0
GeoB1306-1,margo,0.19,-35.2067,-26.765,483,103,0,0,106,0,41,3
GeoB1413-4,margo,0.19,-15.68,-9.455,106,67,0,25,180,0,254,0
GeoB1413-4,margo,0.23,-15.68,-9.455,96,52,0,20,123,0,192,0
GeoB1417-1,margo,0.33,-20.3667,-12.7067,117,134,0,57,126,0,269,5
GeoB1417-1,margo,0.38,-20.3667,-12.7067,84,127,0,47,162,3,299,3
GeoB1419-2,margo,0.23,-15.5367,-17.0683,36,91,0,49,99,0,351,2
GeoB1501-4,margo,0.33,-3.6783,-32.0067,112,9,0,0,93,0,333,5
GeoB1501-4,margo,0.38,-3.6783,-32.0067,106,14,0,0,107,2,457,3
GeoB1503-1,margo,0.28,2.3117,-30.6467,135,45,0,39,256,0,298,0
GeoB1503-1,margo,0.33,2.3117,-30.6467,148,62,0,40,213,0,291,0
GeoB1505-1,margo,0.48,2.27,-33.01,175,39,0,13,236,0,445,2
GeoB1505-1,margo,0.53,2.27,-33.01,144,22,0,2,174,0,382,0
GeoB1508-4,margo,0.28,5.3333,-34.025,54,3,0,11,100,0,414,0
GeoB1515-1,margo,0.48,4.2383,-43.6667,69,8,0,10,93,0,371,0
GeoB1701-4,margo,0.98,1.95,3.5517,70,21,0,7,314,2,235,7
GeoB1701-4,margo,1.03,1.95,3.5517,66,33,0,22,393,0,402,3
GeoB1701-4,margo,1.08,1.95,3.5517,54,34,0,14,321,0,303,6
GeoB1701-4,margo,1.13,1.95,3.5517,126,14,0,19,270,0,247,0
GeoB1701-4,margo,1.18,1.95,3.5517,103,19,0,4,158,1,136,0
GeoB1722-1,margo,0.23,-29.45,11.75,268,69,0,7,181,0,33,0
GeoB1722-1,margo,0.28,-29.45,11.75,398,67,0,4,99,0,44,0
GeoB1903-3,margo,0.48,-8.675,-11.845,68,30,0,28,222,2,284,2
GeoB1903-3,margo,0.53,-8.675,-11.845,162,43,0,18,246,2,327,9
GeoB1903-3,margo,0.58,-8.675,-11.845,227,54,0,74,265,2,513,0
GeoB1905-3,margo,0.38,-17.1433,-13.9867,78,79,0,78,208,2,389,0
GeoB1905-3,margo,0.43,-17.1433,-13.9867,82,43,0,153,145,4,645,0
GeoB2004-2,margo,0.68,-30.87,14.3433,523,109,0,2,135,4,55,0
GeoB2004-2,margo,0.73,-30.87,14.3433,441,99,0,5,99,0,45,0
GeoB2004-2,margo,0.78,-30.87,14.3433,718,122,0,11,105,2,37,0
GeoB2016-1,margo,0.18,-31.9,-1.33,239,229,0,8,126,0,87,6
GeoB2019-1,margo,0.33,-36.06,-8.7783,285,271,0,3,149,0,13,3
GeoB2021-5,margo,0.13,-36.8333,-14.4033,279,233,0,0,178,0,10,0
GeoB2109-1,margo,0.48,-27.9117,-45.8817,61,18,0,20,129,0,201,2
GeoB2109-1,margo,0.53,-27.9117,-45.8817,56,24,0,21,95,0,174,0
GeoB2109-1,margo,0.58,-27.9117,-45.8817,88,26,0,29,193,0,190,4
GeoB2109-1,margo,0.63,-27.9117,-45.8817,91,25,0,59,157,0,272,2
GeoB2116-4,margo,0.28,-25.5117,-35.9983,80,10,0,0,47,0,72,0
GeoB2117-1,margo,0.23,-23.0383,-36.6517,27,44,0,12,43,0,346,0
GeoB2125-1,margo,0.33,-20.8233,-39.8633,23,14,0,31,201,0,338,0
GeoB2125-1,margo,0.38,-20.8233,-39.8633,19,10,0,37,241,5,375,0
GeoB2202-4,margo,0.78,-8.1983,-34.265,34,7,0,23,128,0,622,0
GeoB2202-4,margo,0.83,-8.1983,-34.265,33,2,0,31,139,0,593,0
GeoB2202-4,margo,0.88,-8.1983,-34.265,29,9,0,50,158,0,548,0
GeoB2202-4,margo,0.93,-8.1983,-34.265,18,6,0,49,144,0,489,0
GeoB2215-10,margo,0.43,0.0067,-23.495,221,75,0,13,205,0,237,5
GeoB2215-10,margo,0.48,0.0067,-23.495,177,18,0,2,162,0,90,0
GeoB2819-1,margo,0.13,-30.8483,-38.3433,295,111,0,24,141,0,229,4
GeoB3104-1,margo,1.73,-3.6667,-37.7167,25,0,0,13,221,0,478,0
GeoB3104-1,margo,1.78,-3.6667,-37.7167,40,0,0,11,216,0,375,0
GeoB3104-1,margo,1.83,-3.6667,-37.7167,37,0,0,10,160,0,329,0
GeoB3104-1,margo,1.88,-3.6667,-37.7167,38,0,0,25,177,0,316,0
GeoB3104-1,margo,1.98,-3.6667,-37.7167,38,0,0,20,114,0,249,0
GeoB3117-1,margo,2.98,-4.295,-37.0917,44,0,0,31,180,0,373,0
GeoB3117-1,margo,3.03,-4.295,-37.0917,39,0,0,22,140,0,285,0
GeoB3117-1,margo,3.13,-4.295,-37.0917,34,0,0,48,125,0,269,0
GeoB3117-1,margo,3.23,-4.295,-37.0917,27,0,0,12,133,0,264,0
GeoB3117-1,margo,3.33,-4.295,-37.0917,20,4,0,9,96,0,238,0
GeoB3117-1,margo,3.43,-4.295,-37.0917,23,0,0,6,93,0,329,0
GeoB3117-1,margo,3.53,-4.295,-37.0917,17,2,0,11,106,0,401,0
GeoB3175-1,margo,1.68,-7.0533,-34.4633,33,12,0,12,49,0,398,0
GeoB3175-1,margo,1.73,-7.0533,-34.4633,23,14,0,18,41,0,325,0
GeoB3175-1,margo,1.78,-7.0533,-34.4633,18,23,0,13,37,0,315,0
GeoB3175-1,margo,1.83,-7.0533,-34.4633,36,7,0,17,57,0,417,0
GeoB3176-1,margo,3.43,-7.0117,-34.4417,21,4,0,15,81,0,316,0
GeoB3176-1,margo,3.48,-7.0117,-34.4417,30,13,0,23,107,0,389,0
