Latitude,Longitude,O. universa,G. conglobatus,G. ruber ruber,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. adamsi,G. aequilateralis,G. calida,G. bulloides,G. falconensis,G. digitata,G. rubescens,T. humilis,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,T. truncatulinoides,G. crassaformis,G. hirsuta,G. scitula,D. anfracta,G. cultrata,G. tumida,C. nitida,G. glutinata,T. iota,G. uvula,B. pumilio,H. pelagica,H. digitata,G. menardii,G. truncatulinoides,G. theyeri,G. tenella,G. siphonifera,G. crassa,SST
30.7833,-67.6667,5.0,4.0,1.0,200.0,1.0,9.0,0.0,0.0,11.0,0.0,55.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,32.0,41,0.0,15.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.47839100698556
35.7667,-69.0833,12.0,5.0,4.0,89.0,0.0,58.0,0.0,0.0,30.0,17.0,32.0,6.0,2.0,0.0,3.0,0.0,4.0,11.0,42.0,0.0,0.0,33.0,85.0,34,0.0,20.0,0.0,0.0,13.0,6.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.565037905182628
19.4,-78.55,8.0,0.0,23.0,156.0,1.0,52.0,0.0,0.0,19.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,13.0,0.0,0.0,0.0,1.0,7,3.0,0.0,2.0,0.0,15.0,3.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.04537689286106
39.1332,-42.65,2.0,4.0,0.0,52.0,1.0,15.0,0.0,0.0,2.0,3.0,35.0,2.0,0.0,0.0,0.0,0.0,54.0,40.0,22.0,0.0,0.0,12.0,139.0,38,0.0,42.0,0.0,0.0,10.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.081503379080665
33.333,-27.367,3.0,1.0,2.0,110.0,12.0,14.0,0.0,0.0,11.0,2.0,52.0,76.0,1.0,0.0,3.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,43.0,31,0.0,14.0,21.0,0.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.004351521909996
5.2833,-17.0667,2.0,0.0,0.0,7.0,2.0,5.0,7.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,27.0,0.0,0.0,25.0,2.0,2,6.0,1.0,1.0,0.0,7.0,191.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.42189639853439
3.65,-18.3,1.0,2.0,0.0,10.0,1.0,34.0,12.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,65.0,0.0,0.0,52.0,0.0,0,12.0,0.0,0.0,0.0,86.0,173.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.193181628094727
-0.05,-24.1667,0.0,1.0,53.0,0.0,1.0,39.0,0.0,0.0,5.0,0.0,23.0,0.0,0.0,9.0,0.0,0.0,59.0,40.0,125.0,0.0,0.0,0.0,42.0,56,6.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.780135173763192
-0.7667,-26.0333,0.0,0.0,4.0,85.0,0.0,31.0,0.0,0.0,10.0,0.0,16.0,1.0,0.0,2.0,0.0,0.0,75.0,12.0,57.0,0.0,0.0,6.0,22.0,33,10.0,0.0,0.0,0.0,1.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88489529854492
10.55,-57.3167,9.0,6.0,110.0,171.0,0.0,92.0,0.0,0.0,25.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,4.0,0.0,2,4.0,0.0,1.0,0.0,11.0,3.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.73452307835316
20.7332,-59.2,1.0,40.0,4.0,213.0,0.0,60.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,17,2.0,0.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.834738680448396
-53.038,119.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,2.0,232.0,3.0,0.0,0.0,0.0,0.0,45.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14268307333354088
-43.308,105.548,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,1.0,0.0,0.0,12.0,50.0,17.0,0.0,0.0,0.0,0.0,38.0,13,0.0,0.0,1.0,,0.0,0.0,0.0,11.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.623354742745742
-48.008,114.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,11.0,100.0,24.0,0.0,0.0,0.0,0.0,87.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.254855326535756
-47.533,114.423,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,9.0,115.0,25.0,0.0,0.0,0.0,0.0,66.0,21,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9563046739437944
-46.448,114.417,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,64.0,23.0,0.0,0.0,0.0,4.0,93.0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.687789655482603
