Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Total Planktics,%(1) or Raw(2)
MD972148,Piston,19.8,117.54,2830,South China Sea,10.195,5.75,19.35238889,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.336448598,0,12.14953271,0,6.074766355,0,0.46728972,2.336448598,5.140186916,0.46728972,0,0.934579439,0,0,0,50.46728972,0.46728972,0,0.934579439,3.738317757,0,0,0,0,0,2.336448598,0,12.14953271,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,10.275,5.8,19.44183333,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.788844622,0,8.764940239,1.195219124,8.764940239,0,1.593625498,7.569721116,5.179282869,0.398406375,0,2.390438247,0,0,0,45.81673307,0,0,1.992031873,6.772908367,0,0,1.593625498,0,0,1.593625498,0,3.585657371,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,10.435,5.85,19.62072222,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.229508197,0.409836066,13.1147541,0,6.147540984,0,0.819672131,2.459016393,3.278688525,0.819672131,0,0.409836066,0,0,0,22.13114754,0,0,1.639344262,25.81967213,0,0,1.229508197,0,0,2.868852459,0,17.62295082,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,10.515,1.62,19.71016667,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.185770751,0,15.01976285,1.581027668,7.509881423,0,0.790513834,3.95256917,7.114624506,0.395256917,0,3.162055336,0,0,0,28.85375494,0,0,2.766798419,11.06719368,0,0,0.790513834,0,0,4.347826087,0,11.46245059,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,10.595,1.66,19.79961111,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.118644068,0,15.6779661,0.847457627,4.237288136,0,0.847457627,8.474576271,3.813559322,0.847457627,0,2.118644068,0,0,0,36.44067797,1.271186441,0,4.237288136,7.627118644,0,0,0.423728814,0,0,2.542372881,0,8.474576271,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,10.675,1.7,19.88905556,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.921658986,0,8.755760369,1.843317972,5.529953917,0,0.460829493,5.069124424,5.99078341,0.921658986,0,0.921658986,0,0,0,45.16129032,0.460829493,0,1.843317972,5.99078341,0,0,1.382488479,0,0,2.764976959,0,11.98156682,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,10.755,1.74,19.9785,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.512820513,0,12.82051282,2.564102564,4.615384615,0,0,4.102564103,4.615384615,2.051282051,0,2.051282051,0,0,0,46.15384615,2.051282051,0,0.512820513,0.512820513,0,0,1.025641026,0,0,2.564102564,0,13.84615385,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,10.835,1.78,20.06794444,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.440528634,0.440528634,12.55506608,1.321585903,5.947136564,0,0.660792952,2.422907489,5.726872247,0.220264317,0,1.101321586,1.101321586,0,0,48.01762115,0,0,2.643171806,0.881057269,0,0,0.660792952,0,0,3.303964758,0,12.55506608,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,10.915,1.82,20.15738889,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.857585139,0,12.07430341,0.619195046,8.049535604,0,1.238390093,3.095975232,4.024767802,0,0.309597523,0.619195046,0.309597523,0,0,50.15479876,0.619195046,0,1.238390093,1.238390093,0,1.238390093,1.547987616,0,0,2.476780186,0,9.287925697,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,11.075,1.86,20.33627778,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.013513514,0,14.86486486,0.337837838,4.054054054,0,2.027027027,6.756756757,8.108108108,0.675675676,0.337837838,1.013513514,0,0,0,45.27027027,0.675675676,0,2.702702703,2.364864865,0,0.337837838,1.013513514,0,0,0.675675676,0,7.77027027,100,1
