CoreID,Latitude,Longitude,Water Depth (m)
Y1-73,1.45,-87.91667,2707
V20-14,6.06667,-80.65,3131
Y6-22,-16.81667,-74.05,5301
V15-31,-1.5,-82.31667,1417
RC11-118,-37.8,71.51667,4354
V4-8,37.225,-33.13667,1697
V16-94,-28.88305,92.83305,3878
V16-84,-29.73306,79.56695,3938
V19-282,-2.75,4.58333,4356
V29-209,65.6,-6.46667,2698
RC9-65,2.51667,-79.25,2074
V29-219,68.38333,-5.45,3384
V22-88,-45.06667,-40.31667,4980
RC12-291,-42.58306,-17.8,3508
Y1-112,3.5,-78.95,3848
V23-87,34.075,-19.7,5127
E11-2,-56.07306,-115.0931,3111
Y1-102,-1.06667,-85.85,2220
RC12-25,10.71667,-79.06667,3537
V18-189,-36.11694,41.85,4923
V21-213,3.18333,-82.41667,1966
Y6-14,-17.66667,-75.76667,4625
RC11-14,-2.06667,-40.6,1639
RC11-76,-54.38334,-22.11667,5229
V27-16,44.16167,-39.86833,4797
V29-192,54.26667,-16.78333,2365
V17-40,6.11667,-79.9,3091
RC13-273,-55.075,11.575,4967
V2-9,42.46667,-54.9,4702
RC17-125,9.58333,72.76667,1734
V16-69,-37.56667,56.71667,4960
E21-11,-39.96667,-112.15,2798
RC13-263,-53.805,-8.2,3389
V28-59,64.86667,-7.86667,2622
V22-196,13.83333,-18.96667,3728
RC15-95,-42.955,-23.50167,4264
V19-55,-17.0,-114.1667,3177
RE5-34,42.38334,-21.96667,3750
V27-137,42.69167,-17.06833,4883
V23-60,70.05,8.31667,2974
V14-107,11.85,46.75,1608
A164-13,35.71667,-67.33334,5103
V27-19,52.1,-38.8,3466
RC15-61,-45.61,-77.20167,3771
V19-288,1.55,-5.25,5130
V24-207,-36.3,46.21667,3449
RC11-101,-44.06667,59.81667,4806
V4-1,38.88334,-70.9,2867
E49-6,-51.00694,109.9881,994
RC11-111,-22.4,57.63306,4365
E39-29,-55.09806,126.0731,4621
V29-210,66.71667,-6.71667,2460
V18-21,4.21667,-47.75,2374
V29-200,59.95,-19.2,2650
A179-15,24.8,-75.91667,3109
V22-232,34.75,-57.25,4685
RC11-82,-43.48306,5.95,4609
RC11-92,-52.46667,39.95,5093
RC8-37,-41.31694,33.21695,4775
V27-80,78.39167,7.42333,2915
E15-4,-59.01694,-99.75806,4914
V18-373,38.75,-67.55,4202
V21-216,5.25,-77.6,761
V10-80,31.36667,-11.61667,2550
V29-104,-50.01667,16.56667,4076
V19-204,-10.21667,43.81667,3524
A179-4,16.6,-40.8,3034
V24-35,7.1,-79.96667,2869
E19-7,-67.16306,-109.0881,5054
RC11-49,-40.31667,-45.41667,5134
CH82-24,42.0,-33.0,3427
E48-48,-33.12194,99.29195,1270
V23-74,68.18333,-9.6,1926
V17-123,-45.35,-46.96667,5273
V24-1,36.5,-73.5,3012
V29-180,45.3,-23.86667,3179
V19-242,-29.51694,9.58306,4881
Y1-109,2.06667,-82.96667,3721
Y0-106,2.96667,-86.55,2870
RC8-61,-46.51667,125.5667,4254
K78-7,53.91667,-24.06667,3502
V17-39,11.75,-80.43333,3435
Y6-5,-13.5,-77.33334,2286
RC17-60,-44.5,31.16667,5227
Y7-36,-10.11667,-102.8167,4541
SP9-3,53.875,-21.1,2743
E49-37,-51.695,100.057,1058
V28-98,26.78306,-50.83306,4083
V23-47,61.595,-28.21,1558
RC13-278,-42.06167,16.73,4790
V27-69,76.7,10.01667,2237
RC13-268,-57.03833,-9.00333,4005
V14-57,-57.55833,-17.1,4978
RC11-147,-19.05833,112.75,1953
V29-189,52.35,-17.51667,4093
V19-30,-3.0,-83.0,3091
RC12-267,-38.66667,-25.76667,4144
V21-222,14.45,-77.21667,4060
RC13-150,15.61667,-71.66667,3788
RC13-151,15.85,-74.78333,2792
V22-102,-50.16667,-22.4,4319
A180-73,0.16667,-23.0,3750
V27-110,56.9,-18.5,1264
E45-81,-43.95306,114.3681,4258
Y6-20,-16.96667,-74.35,7293
Y1-71,0.1,-86.46667,2740
V10-50,35.95667,27.07333,2547
RC11-99,-46.51667,61.01667,4449
RC12-293,-36.88306,-13.15,3393
RC10-50,11.76667,-81.1,2072
V29-45,-6.0,69.81695,2860
E14-5,-56.2,-160.5381,4053
RC9-67,0.81667,-82.15,3091
V16-86,-31.05,82.85,4001
A180-13,39.13334,-42.65,4880
V23-82,52.58333,-21.93333,3974
V16-96,-31.53306,99.25,2417
RC17-94,-21.66667,68.66667,2674
V18-166,-34.96667,-27.11667,4527
V20-174,-22.13305,68.76694,2714
V19-178,8.11667,73.25,2188
V18-200,-20.58306,63.53305,3305
V20-7,11.54167,-60.51667,1018
V27-32,60.70333,-37.275,2953
V27-22,54.46167,-50.80333,3188
RC13-257,-55.00333,-3.00167,2836
V21-220,10.05,-81.9,2554
