CoreID,Latitude,Longitude,Water Depth (m)
RC11-238,-1.51333,-85.81667,2573
V14-102,10.25,57.16667,3915
V29-173,33.7,-29.36667,3278
V8-7,12.39167,-77.76667,3823
RC11-97,-50.31667,61.2,4638
RC8-40,-43.78305,46.2,2540
V13-1,38.625,-70.7,3036
RC8-50,-44.76667,92.4,3219
E45-26,-41.7,105.0,3816
V16-88,-32.38306,84.85,2855
V29-205,61.55167,-25.12,1450
V29-215,75.925,-5.11667,3139
V19-201,-5.31667,40.41667,1846
RC13-196,3.705,-7.72167,3735
V29-29,5.11667,77.58334,2673
RC12-256,-45.96667,-36.4,5455
RC11-210,1.81667,-140.05,4420
V29-80,-34.66667,38.26667,5264
V25-19,26.56667,-46.25,3964
V17-126,-47.56667,-43.35,5497
V29-90,-43.7,25.71667,5148
RC13-259,-53.88,-4.93,2677
V28-124,12.26667,-81.7,452
V7-13,29.29333,-79.9,452
V28-125,10.66667,-82.96667,1547
A180-32,29.11667,-26.25,5200
Y1-107,4.76667,-88.46667,2716
E39-13,-45.01194,125.9819,4538
V29-64,-27.28306,74.86694,3404
V17-165,32.75,-41.9,3924
V28-235,-5.45,160.4667,1746
V19-22,7.06667,-78.96667,3341
V19-193,2.96667,51.46667,5106
V19-183,8.11694,62.78305,4451
V19-240,-30.58333,13.28333,3103
RC11-11,2.21667,-45.4,3759
V27-71,78.83167,4.63167,2439
V15-12,7.46667,-79.35,1445
Y6-11,-13.76667,-77.73333,5594
Z2-108,-33.38334,161.6167,1448
V27-178,5.1,-26.65,4327
V27-179,4.2,-23.56667,4592
E49-29,-57.095,94.955,1266
RC10-252,5.46667,-80.96667,3398
RC13-276,-47.69833,14.705,5015
RC11-73,-49.06667,-29.21667,5321
RE10-2,56.96667,-12.46667,2305
RC12-269,-36.975,-32.19167,4360
RC14-10,-36.25,49.46667,4017
RC9-160,12.05,63.15,4268
E50-17,-63.00195,120.05,1220
V29-16,14.15,88.08305,2950
V20-233,2.00833,-35.6,3884
RC11-120,-43.51667,79.86667,3193
AR4-9,6.51667,-81.91667,2658
V22-38,-9.55,-34.25,3797
A180-76,0.76667,-26.01667,3512
V27-47,68.46667,-13.53333,1717
V26-41,19.33333,-26.11667,4341
E50-31,-66.04195,170.0131,966
V29-30,3.06667,76.25,3651
V17-196,60.71667,-57.81667,2818
V18-207,-25.61667,87.11667,2434
V27-25,56.73,-54.69667,3146
RC11-209,3.65,-140.0667,4400
V29-89,-45.71667,25.65,5945
V7-68,40.76667,-64.6,4133
A167-13,31.65,-75.35,2880
E35-15,-52.94,116.9919,3766
V22-24,12.75,-45.63334,4321
Y1-76,1.0,-92.01667,2319
SP10-1,51.38334,-38.06667,3695
V27-192,-36.56694,-16.86695,3087
V28-203,0.95,-179.4167,3243
RC9-124,-28.745,172.5933,2540
D4-288,45.275,-11.35833,4042
RC12-66,2.61667,-148.2167,4755
V16-65,-45.0,45.76667,1618
V18-350,5.69167,-85.26667,1838
V28-36,68.71667,-12.71667,1816
V19-291,2.0,-5.25,4956
V29-223,61.91667,-24.05,1555
RC14-7,-35.51667,44.75,3288
V22-211,20.7,-31.45,4402
V17-162,24.96667,-28.91667,5480
V27-104,62.86167,-17.925,1057
Y6-18,-16.95,-74.35,7280
E36-36,-60.38805,157.5331,2818
V23-22,54.2,-45.96667,3669
RC15-52,-29.23833,-85.985,3952
V26-51,6.03167,-18.24167,4572
RC11-122,-38.03305,83.48306,3490
RC10-161,33.06667,158.0,3587
V29-88,-47.85,26.78306,5737
RC14-37,1.46667,90.15,2226
RC13-159,14.7,-77.16667,4027
V27-24,55.975,-56.05833,2628
RC13-158,13.18333,-79.83334,3016
A167-1,37.65,-72.95,2706
RC13-251,-42.51167,11.67167,4341
RC15-102,-42.63,-45.32333,5000
V28-116,13.36667,-74.3,4027
V19-209,-19.91694,41.6,2924
V23-124,15.96667,-54.41667,5757
RC8-48,-53.26667,76.9,1099
RC12-285,-43.975,-39.95,5114
V27-193,-37.87,-12.07,3354
V22-193,9.91667,-20.96667,4956
D2-992,49.8,-12.46667,2085
V22-192,7.8,-21.4,3416
V27-17,50.1,-37.3,4054
RC9-61,10.16667,-77.21333,3191
A180-15,39.26667,-36.7,4610
V26-125,17.01667,-76.21667,2210
RC10-265,21.71667,-95.83334,2521
V21-29,0.95,-89.35,712
RC17-121,14.76667,70.05,3481
A167-12,31.81667,-74.35,4700
V7-69,40.925,-65.55,2974
AR3-28,8.3,-85.81667,2954
A164-5,37.76667,-71.25,3329
V27-56,76.15833,-5.39833,2736
Y6-26,-15.26667,-76.36667,4813
RC11-36,-33.85,-35.26667,4222
E48-37,-31.4,88.9,3098
E48-27,-38.51667,79.9,3285
V21-224,16.26667,-74.46667,3475
V18-351,5.3,-84.75,3007
Y1-83,-4.0,-92.01667,3759
E45-73,-47.56667,114.4667,3726
V28-37,72.06667,-9.06667,2395
E45-63,-53.43694,114.2569,3920
RC15-98,-42.93667,-29.77667,4416
V9-31,8.23333,-37.85,4204
V27-248,3.05,-11.81667,4543
V16-64,-46.01694,44.36694,2202
RC12-107,-26.00167,169.1917,3115
V2-4,43.25,-56.26667,4076
V27-201,-34.76694,-3.41694,4186
RC11-141,-31.56694,114.1169,4347
V29-202,61.0,-21.0,2658
V27-167,25.93667,-26.585,5099
RC11-237,-1.53333,-85.81667,2776
WA8-2,3.00333,-147.9667,4308
V27-85,67.36667,4.03333,1227
RC12-261,-42.0,-38.12667,5209
V27-79,78.11833,3.62333,2308
Y6-19,-17.05,-74.4,5791
V28-294,28.41667,139.9667,2308
V17-163,27.96667,-34.13334,5132
AR1-32,0.15,-85.45,2770
V26-50,6.26667,-17.91333,4826
V12-122,17.0,-74.4,2800
V7-56,38.25,-55.25,5321
AR3-17,5.61667,-82.85,3384
V29-232,56.16667,-44.63334,3316
E7-1,-53.1,-40.83306,2123
V29-222,62.85,-14.51667,1694
K78-1,50.0,-23.74167,4053
RC17-116,21.47194,67.29806,2195
V21-2,36.06667,-70.4,4455
RC11-86,-35.76667,18.45,2829
RC8-41,-43.63306,51.26694,2897
RC11-96,-50.46667,59.56667,4839
V29-172,33.7,-29.38305,3257
V20-119,47.95,168.7667,2739
V29-214,72.96667,-6.96667,2608
RC9-68,-1.33667,-81.27333,1721
V29-204,61.18667,-23.00833,1849
V18-35,-36.4,-41.11694,4942
V16-89,-33.01667,85.76667,3416
E45-27,-43.21667,105.5667,3779
V27-74,76.46667,6.9,2778
BF43-3,10.49167,-109.0283,2874
V22-199,14.56667,-17.66667,958
RC11-105,-38.76667,58.81667,5256
V21-30,-1.21667,-89.675,617
AR3-21,8.53333,-85.75,2950
V24-203,-36.96667,59.96667,4997
V16-20,17.91667,-50.35,4539
RC12-23,15.26667,-79.11667,2270
RC15-65,-53.06667,-78.95167,4111
V14-103,11.43306,56.23306,4232
RC12-225,-53.65833,-123.1167,2964
A164-17,35.76667,-68.91667,4824
V27-141,35.46667,-24.91667,4506
V29-81,-37.35,35.51667,4834
V24-31,12.25,-76.61667,3623
V14-67,-39.2,13.5,3016
V14-77,-29.64167,32.85833,1818
V23-63,77.95,0.2,3050
RC9-228,52.54833,-18.75667,3981
V19-200,-4.21694,41.55,2692
V21-212,2.81667,-85.11667,3338
RC13-153,15.06667,-75.95,3334
RC13-152,16.7,-75.43333,2027
Y6-10,-13.76667,-77.73333,5508
V15-13,5.0,-79.06667,3116
RC11-10,4.96667,-45.96667,3834
E48-11,-29.7,97.58334,3462
V17-178,43.48333,-54.86667,4066
RC10-253,6.51667,-79.4,3219
V26-49,5.83167,-17.85833,4621
V15-133,-56.61694,-53.9,5031
RC13-205,-2.28833,5.16667,3731
Y1-106,2.96667,-86.55,2870
V26-104,-0.08333,-41.78333,3864
V19-23,4.91667,-78.26667,3819
V22-219,27.91667,-43.63334,2582
K78-8,52.74667,-22.55167,4009
RC10-52,3.86667,-83.93333,2243
V19-41,-14.1,-96.2,3248
A153-146,33.71,-44.74166,4050
E49-18,-46.05,90.16667,3291
RC9-161,19.56833,59.595,3332
RC15-91,-49.92194,-15.56806,3775
RC11-26,-28.58333,-30.06667,2349
RC9-35,20.05,-79.84167,2745
V18-68,-54.55,-77.85,3982
V18-156,-37.45,-42.81667,5044
V14-58,-57.6,-13.6,3543
V28-34,64.83334,-3.58333,3217
RC14-11,-38.0,51.16667,3268
V17-44,-3.56667,-85.11667,3358
V27-12,44.27667,-55.65167,2814
