Event	Method/Device	Latitude	Longitude	Elevation [m]	Age [ka BP]	Depth sed [m]	CaCO3 [%]	Reference
V29-173	Piston corer	33.7000	-29.3800	-3278	21	0.25	76	Balsam and McCoy, 1987
V29-174	Piston corer	36.3000	-29.3700	-3420	21	0.40	59	Balsam and McCoy, 1987
V29-177	Piston corer	41.5330	-25.7200	-3391	21	0.41	59	Balsam and McCoy, 1987
V29-178	Piston corer	42.8500	-25.1500	-3448	21	0.49	62	Balsam and McCoy, 1987
V29-179	Piston corer	44.0170	-24.5300	-3331	21	0.73	37	Balsam and McCoy, 1987
V29-180	Piston corer	45.3000	-23.8700	-3179	21	0.57	37	Balsam and McCoy, 1987
V29-206	Piston corer	64.9000	-29.2800	-1624	21	1.70	7	Balsam and McCoy, 1987
V29-210	Piston corer	66.7330	-6.7330	-2460	21	0.60	10	Balsam and McCoy, 1987
V29-219	Piston corer	68.3833	-5.4500	-3384	21	0.50	7	Balsam and McCoy, 1987
V30-100	Piston corer	44.1170	-32.5000	-3519	21	0.65	38	Balsam and McCoy, 1987
V30-101	Piston corer	44.1170	-32.5000	-3504	21	0.45	27	Balsam and McCoy, 1987
V30-36	Piston corer	5.3500	-27.3200	-4245	21	0.40	41	Balsam and McCoy, 1987
V30-40	Piston corer	-0.2000	-23.1500	-3706	21	0.68	79	Balsam and McCoy, 1987
V30-41	Piston corer	0.2170	-23.0700	-3874	21	0.45	70	Balsam and McCoy, 1987
V30-49	Piston corer	18.4330	-21.0800	-3093	21	0.78	48	Balsam and McCoy, 1987
V30-51	Piston corer	19.8670	-19.9200	-3409	21	0.55	34	Balsam and McCoy, 1987
V30-96	Piston corer	39.9500	-33.1300	-3188	21	0.63	65	Balsam and McCoy, 1987
V30-97	Piston corer	41.0000	-32.9300	-3371	21	0.75	53	Balsam and McCoy, 1987
V30-99	Piston corer	43.1500	-32.4500	-3594	21	0.32	59	Balsam and McCoy, 1987
V31-166	Piston corer	28.9170	-63.4700	-2777	21	0.50	3	Balsam and McCoy, 1987
V31-178	Piston corer	35.2000	-70.0300	-4874	21	5.40	7	Balsam and McCoy, 1987
MD82-424	Piston corer	-54.0600	-0.2200	-2350	21		2	Bareille, 1991
MD84-551	Piston corer	-55.0083	73.2817	-2230	21		10	Bareille, 1991
MD88-787	Piston corer	-56.3787	145.2927	-3020	21		5	Bareille, 1991
113-694	Composite Core	-66.8470	-33.4466	-4665	21		0	Barker et al., 1988
113-697	Composite Core	-61.8105	-40.2918	-3492	21		0	Barker et al., 1988
119-737	Composite Core	-50.2280	73.0324	-575	21		0	Barron et al., 1989
119-739	Composite Core	-67.2850	75.0818	-423	21		0	Barron et al., 1989
119-740	Composite Core	-68.7640	76.6819	-822	21		0	Barron et al., 1989
119-741	Composite Core	-68.3870	76.3825	-562	21		0	Barron et al., 1989
119-742	Composite Core	-67.5530	75.4090	-426	21		0	Barron et al., 1989
119-743	Composite Core	-66.9160	74.6905	-999	21		0	Barron et al., 1989
119-745	Composite Core	-59.5950	85.8542	-4093	21		0	Barron et al., 1989
280	Piston corer	35.0000	-44.0000	-4300	21		35	Broecker, 1962
A240-ML		15.4333	-68.5000	-4180	21		64	Broecker, 1962
IC-5		2.0000	78.0000	-4300	21		37	Broecker, 1962
V12-122	Piston corer	17.0000	-74.4000	-2800	21		67	Broecker, 1962
V28-177	Piston corer	4.8170	-136.5000	-4709	21		60	Broecker, 1991
V28-185	Piston corer	2.9170	-146.7000	-4656	21		75	Broecker, 1991
V32-102	Piston corer	2.5450	-136.2000	-4276	21		76	Broecker, 1991
V32-109	Piston corer	3.4330	-148.1000	-4816	21		70	Broecker, 1991
RC15-23	Piston corer	-0.5370	-133.6000	-4254	21	0.50	88	Burckle, personal communication
21-204	Drilling/drill rig	-24.9545	-174.1115	-5354	21		0	Burns and Andrews et al., 1973
RC08-89	Piston corer	-36.3800	-118.1000	-3900	21	0.41	32	CaCO3 stratigraphy
RC12-227	Piston corer	-55.2300	-111.9000	-3802	21	0.31	3	CaCO3 stratigraphy
RC17-184	Piston corer	6.8020	165.4100	-5158	21		0	CaCO3 stratigraphy
RC17-194	Piston corer	-25.9800	-169.6000	-5699	21		0	CaCO3 stratigraphy
RC17-196	Piston corer	-29.4500	-160.5000	-5328	21		0	CaCO3 stratigraphy
RC17-197	Piston corer	-25.2200	-159.6000	-5231	21		0	CaCO3 stratigraphy
V27-221	Piston corer	-23.6300	-1.9670	-5834	21		0	CaCO3 stratigraphy
RC08-92	Piston corer	-31.5500	-108.5000	-2710	21	0.29	73	CaCO3 stratigraphy; Cwienk, 1986
114-699	Composite Core	-51.5420	-30.6770	-3716	21		0	Ciesielski et al., 1988
114-701	Composite Core	-51.9850	-23.2121	-4647	21		0	Ciesielski et al., 1988
114-702	Composite Core	-50.9460	-26.3687	-3094	21		0	Ciesielski et al., 1988
RC08-43	Piston corer	-48.6800	57.3670	-4319	21	0.40	0	CLIMAP
RC08-48	Piston corer	-53.2700	76.9170	-1099	21	0.41	23	CLIMAP
RC08-63	Piston corer	-51.0800	129.9700	-3442	21	0.21	43	CLIMAP
RC08-79	Piston corer	-46.3200	-172.9000	-4949	21	0.11	21	CLIMAP
RC09-124	Piston corer	-28.7500	172.6000	-2540	21	0.37	80	CLIMAP
RC09-139	Piston corer	-47.7700	123.1000	-4158	21	0.50	27	CLIMAP
RC09-161	Piston corer	19.5670	59.6000	-3332	21	0.17	34	CLIMAP
RC10-50	Piston corer	11.7670	-81.1000	-2072	21	0.60	47	CLIMAP
RC10-97	Piston corer	-0.9170	-134.3000	-4305	21	0.46	87	CLIMAP
RC11-114	Piston corer	-32.9500	65.2670	-4709	21	0.21	93	CLIMAP
RC11-118	Piston corer	-37.8000	71.5330	-4354	21	0.40	75	CLIMAP
RC11-119	Piston corer	-40.3000	74.5670	-3709	21	0.40	85	CLIMAP
RC11-120	Piston corer	-43.5200	79.8670	-3193	21	0.80	36	CLIMAP
RC11-121	Piston corer	-39.7200	82.2500	-3426	21	0.80	88	CLIMAP
RC11-96	Piston corer	-50.4700	59.5830	-4839	21	1.00	0	CLIMAP
RC11-97	Piston corer	-50.3200	61.2000	-4638	21	1.20	0	CLIMAP
RC12-107	Piston corer	-26.0000	169.2000	-3115	21	0.42	79	CLIMAP
RC12-225	Piston corer	-53.6700	-123.1000	-2964	21	0.40	80	CLIMAP
RC13-113	Piston corer	-1.6520	-103.6000	-3195	21	0.51	83	CLIMAP
RC13-151	Piston corer	15.8570	-74.7900	-2792	21	0.60	58	CLIMAP
RC13-152	Piston corer	16.7080	-75.4400	-2027	21	0.60	60	CLIMAP
RC13-153	Piston corer	15.0650	-75.9500	-3334	21	0.60	49	CLIMAP
RC13-159	Piston corer	14.6950	-77.1700	-4027	21	0.85	35	CLIMAP
RC14-11	Piston corer	-38.0000	51.1830	-3268	21	0.80	69	CLIMAP
RC15-52	Piston corer	-29.2400	-85.9900	-3780	21	0.12	33	CLIMAP
RC15-61	Piston corer	-45.6000	-77.2000	-3771	21	0.68	22	CLIMAP
RC17-113	Piston corer	15.0330	66.0970	-3874	21	0.30	45	CLIMAP
RC17-60	Piston corer	-44.5000	31.1820	-5227	21	0.11	1	CLIMAP
RC17-61	Piston corer	-52.2000	54.4620	-3947	21	0.26	8	CLIMAP
RC17-63	Piston corer	-45.6600	48.2870	-2947	21	0.24	36	CLIMAP
RC17-69	Piston corer	-31.5000	32.6070	-3380	21	0.50	48	CLIMAP
RC17-73	Piston corer	-32.1100	36.0100	-2021	21	0.20	87	CLIMAP
RC17-98	Piston corer	-13.2200	65.6170	-3409	21	0.53	89	CLIMAP
V14-101	Piston corer	8.6500	58.5670	-2849	21	0.70	81	CLIMAP
V14-102	Piston corer	10.2500	57.1830	-3915	21	0.40	66	CLIMAP
V14-77	Piston corer	-29.6300	32.8670	-1818	21	0.29	0	CLIMAP
V14-81	Piston corer	-28.4300	43.7830	-3634	21	0.35	71	CLIMAP
V16-114	Piston corer	-49.6000	138.2200	-3116	21	0.50	84	CLIMAP
V16-115	Piston corer	-55.6800	141.2800	-3147	21	0.10	34	CLIMAP
V18-68	Piston corer	-54.5500	-77.8500	-3982	21	0.10	42	CLIMAP
V19-188	Piston corer	6.8670	60.6670	-3356	21	0.50	75	CLIMAP
V19-19	Piston corer	13.2330	-78.3700	-3760	21	0.80	38	CLIMAP
V19-202	Piston corer	-6.9830	41.1830	-2589	21	0.30	75	CLIMAP
V19-204	Piston corer	-10.2300	43.8170	-3524	21	0.20	67	CLIMAP
V19-21	Piston corer	11.8000	-79.0700	-3168	21	0.60	33	CLIMAP
V19-27	Piston corer	-0.4670	-82.0700	-1373	21	0.10	30	CLIMAP
V20-175	Piston corer	-22.3000	68.0000	-3526	21	0.20	87	CLIMAP
V21-212	Piston corer	2.8330	-85.1300	-3338	21	0.60	46	CLIMAP
V21-29	Piston corer	0.9500	-89.3500	-712	21	0.16	80	CLIMAP
V21-59	Piston corer	20.9170	-158.1000	-2992	21	0.16	59	CLIMAP
V24-166	Piston corer	-16.5200	150.7800	-781	21	0.46	94	CLIMAP
V24-203	Piston corer	-36.9800	59.9830	-4997	21	0.21	0	CLIMAP
V28-129	Piston corer	11.1170	-80.4000	-3400	21	0.80	22	CLIMAP
V28-203	Piston corer	0.9500	-179.4000	-3243	21	0.42	92	CLIMAP
V28-235	Piston corer	-5.4500	160.4800	-1746	21	0.35	81	CLIMAP
V19-185	Piston corer	6.7000	59.3330	-2867	21	0.30	78	CLIMAP; Brown University, unpublished data
V19-201	Piston corer	-5.3330	40.4330	-1864	21	0.70	66	CLIMAP; Brown University, unpublished data
V20-170	Piston corer	-21.8000	69.2330	-2479	21	0.20	86	CLIMAP; Brown University, unpublished data
V29-29	Piston corer	5.1170	77.5830	-2673	21	0.80	63	CLIMAP; Brown University, unpublished data
V29-30	Piston corer	3.0830	76.2500	-3651	21	0.80	47	CLIMAP; Brown University, unpublished data
V29-48	Piston corer	-6.2670	63.4330	-3882	21	0.30	79	CLIMAP; Brown University, unpublished data
RC09-126	Piston corer	-33.2300	168.7300	-2060	21	0.22	82	CLIMAP; Cwienk, 1986
RC09-162	Piston corer	19.0830	60.4170	-3092	21	0.50	57	CLIMAP; Cwienk, 1986
V17-42	Piston corer	3.5330	-81.1800	-1814	21	0.90	53	CLIMAP; Cwienk, 1986
V17-43	Piston corer	1.8670	-82.6200	-3147	21	0.75	47	CLIMAP; Cwienk, 1986
V17-44	Piston corer	-3.5670	-85.1200	-3358	21	0.77	63	CLIMAP; Cwienk, 1986
V18-222	Piston corer	-38.5700	140.6200	-1904	21	0.39	56	CLIMAP; Cwienk, 1986
V19-25	Piston corer	2.4670	-81.7000	-2404	21	0.80	58	CLIMAP; Cwienk, 1986
V19-30	Piston corer	-3.3830	-83.5200	-3091	21	0.17	34	CLIMAP; Cwienk, 1986
V19-41	Piston corer	-14.1000	-96.2000	-3248	21	0.30	92	CLIMAP; Cwienk, 1986
V21-146	Piston corer	37.6830	163.0300	-3968	21	0.68	29	CLIMAP; Cwienk, 1986
V21-30	Piston corer	-1.2170	-89.6800	-617	21	0.25	77	CLIMAP; Cwienk, 1986
V24-109	Piston corer	0.4330	158.8000	-2367	21	0.50	82	CLIMAP; Cwienk, 1986
RC11-91	Piston corer	-56.5700	34.1830	-5373	21	0.20	0	CLIMAP; Howard, unpublished data
RC14-35	Piston corer	-0.8333	89.9500	-3021	21	0.35	80	CLIMAP; Leinen, 1986
V19-178	Piston corer	8.1170	73.2500	-2188	21	0.40	60	CLIMAP; Leinen, 1986
V19-55	Piston corer	-17.0000	-114.2000	-3177	21	0.22	76	CLIMAP; Leinen, 1986
V20-103	Piston corer	33.9830	-177.8000	-3442	21	0.24	78	CLIMAP; Leinen, 1986
V21-214	Piston corer	3.8330	-80.6300	-2246	21	0.10	34	CLIMAP; Leinen, 1986
V28-238	Piston corer	1.0170	160.4800	-3120	21	0.27	80	CLIMAP; Leinen, 1986
V28-255	Piston corer	20.1000	142.4500	-3261	21	0.15	39	CLIMAP; Leinen, 1986
RC11-230	Piston corer	-8.8000	-110.8000	-3259	21		82	CLIMAP; Luz and Shackleton, 1973
RC11-94	Piston corer	-54.4800	53.0500	-4303	21	4.81	0	Cooke and Hays, 1982
V29-86	Piston corer	-49.5700	30.0170	-5614	21	1.80	0	Cooke and Hays, 1982
