Event	Latitude	Longitude	Elevation [m]	Depth sed [m]	O. universa [%]	G. conglobatus [%]	G. ruber [%]	G. tenellus [%]	G. sacculifer [%]	S. dehiscens [%]	G. aequilateralis [%]	G. calida [%]	G. bulloides [%]	G. falconensis [%]	G. digitata [%]	G. rubescens [%]	G. quinqueloba [%]	N. pachyderma s [%]	N. pachyderma d [%]	N. dutertrei [%]	G. conglomerata [%]	G. hexagona [%]	P. obliquiloculata [%]	G. inflata [%]	G. truncatulinoides s [%]	G. truncatulinoides d [%]	G. crassaformis [%]	G. hirsuta [%]	G. scitula [%]	G. glutinata [%]
A180-73	0.167	-23.000	-3749	0.600	1.4	0.0	8.1	0.4	8.1	0.0	0.0	1.1	0.7	1.4	0.0	0.4	0.0	0.0	2.1	48.4	0.0	0.0	0.0	6.0	0.0	10.2	2.5	0.0	9.5	0.0
A180-74	-0.050	-24.167	-3329	0.500	0.0	0.0	14.3	0.3	5.2	0.0	0.9	0.3	5.2	2.0	0.0	0.0	0.3	0.3	4.9	33.0	0.0	0.0	0.3	9.2	0.0	9.2	1.4	1.1	12.3	0.0
A180-76	-0.767	-26.033	-3512	0.600	0.4	0.0	13.5	0.0	10.6	0.0	0.8	0.4	0.8	0.0	0.0	0.4	0.0	0.0	1.2	46.5	0.0	0.0	0.0	6.9	0.0	7.8	1.6	0.0	9.0	0.0
A180-9	39.450	-45.950	-4060	0.600	0.3	0.0	3.8	0.0	0.3	0.0	0.3	0.3	13.5	0.3	0.0	0.0	2.6	17.6	20.9	16.3	0.0	0.0	0.3	20.4	0.0	0.0	0.0	0.5	2.8	0.0
ELT45.027-PC	-43.308	105.548	-3823	0.300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.9	0.0	0.3	0.0	4.0	16.8	5.7	0.0	0.0	0.0	0.0	12.8	4.4	0.0	0.0	0.3	3.7	0.0
ELT45.029-PC	-44.877	106.518	-3867	0.390	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.7	0.5	0.0	0.0	1.4	27.6	4.5	0.0	0.0	0.0	0.0	16.7	2.3	0.0	0.0	0.0	1.4	0.0
ELT45.078-PC	-45.037	114.348	-4084	0.310	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.8	0.0	0.0	0.0	5.8	14.5	4.3	0.5	0.0	0.0	0.0	17.3	1.5	0.0	0.3	0.3	3.8	0.0
ELT48.003-PC	-41.020	100.012	-3982	0.220	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.4	0.3	0.0	0.0	8.1	7.0	3.4	1.3	0.0	0.0	0.0	13.8	1.3	0.0	0.0	0.0	6.0	0.0
ELT48.011-PC	-29.660	97.527	-3496	0.320	0.6	0.0	15.7	0.0	0.9	0.0	0.3	1.2	4.5	0.6	0.0	0.6	0.0	0.6	9.5	6.8	0.0	0.0	0.0	47.8	7.7	0.9	0.6	0.0	1.8	0.0
ELT48.022-PC	-39.895	85.410	-3410	0.820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.3	0.0	0.0	0.0	8.0	10.8	17.6	2.6	0.0	0.0	0.0	6.3	2.3	0.0	0.0	0.6	9.7	0.0
ELT48.023-PC	-39.515	83.723	-3551	0.320	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.5	0.3	0.3	0.0	15.7	4.7	15.7	5.4	0.0	0.0	0.0	7.7	3.3	0.3	0.0	0.0	7.7	0.0
ELT48.027-PC	-38.542	79.898	-3312	0.620	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.2	0.0	0.0	0.0	9.7	9.7	18.1	7.4	0.0	0.0	0.0	7.4	2.7	0.3	0.0	0.0	6.7	0.0
EN066-10GGC	6.670	-21.900	-3527	0.305	0.5	0.0	36.0	1.4	17.3	0.0	2.2	1.4	3.6	1.4	1.1	0.8	0.0	0.0	4.9	10.7	0.0	0.3	0.3	2.7	0.0	2.2	3.0	0.3	9.9	0.0
GIK12392-1	25.172	-16.845	-2575	1.725	0.5	0.0	1.7	0.5	0.2	0.0	0.4	0.0	31.4	0.0	0.1	0.0	3.7	0.0	38.6	10.9	0.1	0.0	0.0	6.7	0.0	0.6	0.0	1.1	3.7	0.0
K708-001	50.000	-23.733	-4053	1.100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	6.0	88.4	2.1	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.2	0.7	0.0
K708-004	49.983	-25.017	-3346	0.580	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	95.1	2.6	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0
K708-006	51.550	-29.567	-2469	0.600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.5	91.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0
K708-007	53.933	-24.083	-3502	0.530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0	1.2	91.1	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0
K708-008	52.733	-22.550	-4009	0.830	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	2.4	87.3	5.7	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	2.2	0.0
K714-3	57.486	-27.519		0.820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0	0.0	3.6	90.7	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1.0	0.0
MD76-131	15.530	72.568	-1230	1.900	1.4	0.9	30.9	4.1	12.7	0.0	4.5	0.9	12.3	1.8	0.0	1.8	0.0	0.0	0.0	5.5	0.5	1.4	4.5	0.0	0.0	0.0	0.0	0.5	16.4	0.0
MD77-169	10.130	95.030	-2360	1.510	0.3	1.8	29.4	3.6	4.7	0.0	1.6	8.6	9.4	1.0	0.3	1.0	0.0	0.0	0.0	15.6	1.0	1.3	7.5	0.0	0.0	0.0	0.3	0.3	12.5	0.0
MD77-171	11.460	94.090	-1760	2.610	1.0	0.5	27.6	9.1	5.3	0.0	2.6	2.6	11.0	1.4	0.2	3.4	0.0	0.0	0.0	12.5	1.7	2.4	4.6	0.0	0.0	0.0	0.0	0.5	13.7	0.0
MD77-179	18.220	91.010	-1986	0.520	1.3	1.3	12.4	6.3	5.6	0.0	1.7	2.6	11.3	2.6	0.4	2.6	0.0	0.0	0.0	8.1	0.7	1.5	10.6	0.0	0.0	0.0	0.0	0.4	30.7	0.0
MD77-180	18.280	89.510	-1986	1.810	1.0	0.7	20.4	3.4	11.1	0.0	4.2	3.4	11.8	1.2	0.0	1.7	0.0	0.0	0.0	7.1	1.0	1.2	6.4	0.0	0.0	0.0	0.0	0.0	25.1	0.0
MD77-191	7.300	76.430	-1254	6.720	0.0	0.0	8.8	3.5	5.3	0.0	1.2	2.4	31.8	2.9	0.0	4.7	0.0	0.0	0.0	18.8	0.6	4.7	2.9	0.0	0.0	0.0	0.6	0.0	11.8	0.0
MD77-194	10.467	75.233	-1222	3.110	0.0	0.3	23.1	5.2	5.8	0.3	1.7	4.9	27.7	0.3	0.0	4.0	0.0	0.0	0.0	10.7	0.6	3.2	1.2	0.0	0.0	0.0	0.0	0.6	10.4	0.0
MD77-203	20.698	59.568	-2442	3.410	10.0	0.0	14.0	0.3	3.4	0.0	2.9	12.0	28.9	15.4	0.0	1.1	1.7	0.3	0.6	3.4	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	4.9	0.0
RC08-145	33.583	-62.380	-2743	0.350	0.5	0.0	16.2	1.9	1.1	0.0	1.3	1.1	21.5	2.1	0.3	0.3	1.1	0.5	7.7	10.1	0.0	0.0	0.3	16.2	1.1	1.3	0.0	5.1	9.6	0.8
RC08-18	-24.070	-15.120	-3977	0.200	1.0	0.8	34.5	6.3	7.6	0.0	4.6	0.8	2.5	4.8	1.0	4.6	0.0	1.3	0.5	0.3	0.0	0.0	0.0	11.2	1.5	1.8	0.5	1.5	11.7	1.3
RC08-39	-42.880	42.350	-4330	0.900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.6	0.0	0.0	0.0	7.3	59.5	8.6	3.0	0.0	0.0	0.0	1.7	1.0	0.0	0.0	0.7	3.7	0.0
RC08-94	-17.280	-35.983	-4021	0.160	1.2	15.7	34.0	6.8	1.0	0.0	0.9	2.0	3.2	4.7	0.4	0.8	0.0	0.0	0.0	0.0	0.2	0.6	0.0	1.0	6.2	2.3	3.2	0.0	15.8	0.0
RC09-124	-28.750	172.600	-2540	0.400	0.5	3.3	10.0	1.0	1.4	0.0	3.3	0.9	11.9	20.8	0.2	0.0	0.5	0.0	11.8	1.3	0.0	0.0	0.1	16.8	2.9	0.3	7.4	0.1	4.5	1.1
RC09-126	-33.230	168.730	-2060	0.300	1.4	0.0	5.5	0.2	0.2	0.0	1.8	0.2	19.2	10.9	0.0	0.1	0.5	0.2	21.2	3.7	0.0	0.0	0.2	25.1	3.3	0.1	2.9	0.0	3.1	0.0
RC09-150	-31.280	114.550	-2703	0.600	0.0	1.0	10.1	1.0	1.7	0.0	1.0	3.7	9.1	1.7	0.0	3.7	0.0	0.0	0.0	2.7	0.0	0.0	0.0	36.7	2.7	0.0	0.0	4.7	18.5	1.7
RC09-161	19.567	59.600	-3332	1.800	3.9	0.0	19.2	2.6	1.6	0.0	1.0	3.3	21.2	11.1	0.0	2.0	2.6	0.0	0.0	6.8	0.0	0.3	1.6	0.0	0.0	0.0	0.0	1.3	21.5	0.0
RC09-162	19.083	60.417	-3092	0.500	3.6	0.0	14.5	0.7	8.7	0.0	2.5	1.8	24.6	4.0	0.0	2.5	0.0	0.0	0.0	15.2	0.0	0.4	4.0	0.0	0.0	0.0	0.0	0.0	17.4	0.0
RC09-225	54.983	-15.400	-2334	1.350	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	1.0	94.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0
RC09-49	11.184	-58.585	-1851	0.700	0.2	1.6	41.8	0.5	18.2	0.0	4.8	0.9	4.1	1.4	0.7	3.4	0.0	1.8	0.5	3.4	0.0	0.0	0.0	0.2	0.2	2.5	1.4	1.1	11.0	0.0
RC09-49	11.184	-58.585	-1851	0.850	0.0	3.4	44.4	0.7	12.3	0.0	0.0	2.0	5.8	0.7	0.0	3.4	2.0	2.4	0.0	5.5	0.0	0.0	0.0	0.0	0.0	1.7	1.0	2.7	11.9	0.0
RC10-114	-11.180	-162.900	-2791	0.200	0.2	6.3	40.5	4.8	5.5	0.1	3.2	1.2	0.8	0.0	0.2	1.8	0.0	0.0	0.0	0.2	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	34.2	0.0
RC10-161	33.083	158.000	-3587	0.090	2.7	0.0	1.9	0.0	0.0	0.0	0.0	0.2	11.8	0.5	0.0	0.0	0.2	0.2	14.7	19.3	0.0	0.0	0.0	42.8	0.2	1.9	2.4	0.5	0.5	0.0
RC10-50	11.767	-81.100	-2072	1.000	0.6	3.9	48.7	0.0	7.1	0.0	8.7	0.0	0.3	0.6	0.3	1.9	0.0	0.0	0.0	4.5	0.0	0.0	0.0	2.3	0.0	4.2	1.0	0.3	15.2	0.3
RC10-62	3.333	-101.700	-3120	0.510	0.5	0.0	8.6	0.5	3.7	0.0	1.1	1.1	5.3	0.5	0.0	1.1	0.0	0.0	3.2	56.1	0.0	0.0	4.3	2.1	0.0	0.0	3.2	0.0	8.6	0.0
RC10-97	-0.917	-134.300	-4305	0.440	0.0	0.0	1.7	0.0	1.2	0.0	2.4	0.0	3.3	0.0	0.7	0.0	0.0	0.0	17.4	32.7	3.0	0.2	31.0	0.9	0.2	0.0	1.9	0.0	3.5	0.0
RC11-120	-43.520	79.867	-3193	0.840	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1	0.0	0.0	0.0	0.7	55.0	8.9	0.7	0.0	0.0	0.0	3.6	1.7	0.0	0.0	0.0	1.3	0.0
RC11-121	-39.720	82.250	-3426	0.400	0.3	0.0	0.7	0.0	0.0	0.0	0.0	0.0	31.9	12.0	0.0	0.0	9.3	9.0	8.6	8.3	0.0	0.0	0.0	6.3	4.3	0.0	0.0	0.7	8.3	0.3
RC11-145	-25.480	110.020	-3869	0.500	0.5	0.5	12.1	0.5	4.1	0.0	0.8	0.5	9.3	0.3	0.3	2.5	0.0	0.0	0.3	2.7	0.0	0.0	0.3	48.5	0.5	1.4	0.0	0.3	14.0	0.5
RC11-147	-19.070	112.750	-1953	0.500	1.1	1.8	25.9	2.8	2.8	0.0	2.8	3.9	3.9	3.9	0.0	5.7	0.0	1.1	1.1	8.5	0.0	0.0	1.8	8.5	0.0	1.8	0.0	1.8	20.9	0.0
RC11-21	-17.270	-35.970	-4021	0.300	1.1	0.5	69.2	1.9	4.1	0.0	1.4	0.8	0.8	0.8	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.3	0.5	0.5	1.1	14.6	0.0
RC11-210	1.817	-140.100	-4420	0.400	0.5	0.0	4.1	0.5	2.6	0.0	1.5	0.5	4.6	0.5	0.5	1.5	0.0	0.0	7.7	28.6	2.0	0.5	24.0	0.5	0.0	0.0	19.4	0.0	0.5	0.0
RC11-213	-6.133	-140.900	-4343	0.150	0.2	2.8	15.7	5.5	7.2	0.0	4.4	0.6	9.1	0.3	0.3	1.6	0.0	0.0	0.5	6.6	8.0	0.5	10.8	0.0	0.0	0.0	0.9	0.0	25.1	0.0
RC11-220	-14.820	-140.000	-2950	0.300	0.2	1.5	45.8	7.6	6.1	0.1	1.9	1.7	1.8	0.2	0.0	2.1	0.0	0.0	0.0	0.1	0.4	0.7	0.2	0.0	0.0	0.0	0.1	0.0	29.5	0.1
RC11-230	-8.800	-110.800	-3259	0.450	1.0	2.7	14.7	0.2	6.7	0.0	1.8	0.5	8.0	0.0	0.2	0.5	0.2	0.0	9.3	15.0	3.5	3.4	4.8	0.3	0.0	0.0	0.2	0.0	27.2	0.0
RC11-26	-28.580	-30.070	-2349	0.300	1.5	2.2	43.3	1.5	2.2	0.0	4.0	1.5	3.5	5.2	0.2	2.0	0.0	0.2	2.7	0.5	0.0	0.0	0.0	10.2	8.2	1.7	1.2	1.2	5.0	1.7
RC11-86	-35.780	18.450	-2829	0.400	0.7	0.3	2.0	0.0	0.7	0.0	0.0	2.7	11.4	0.7	0.3	0.0	1.0	1.0	34.4	26.4	1.7	0.0	0.0	13.0	0.7	0.0	0.0	0.0	3.0	0.0
RC11-86	-35.780	18.450	-2829	0.450	0.5	0.0	2.0	0.0	1.2	0.0	3.0	0.5	7.4	2.7	0.0	0.5	1.0	4.2	27.8	28.5	0.0	0.0	0.0	16.1	0.7	0.0	0.7	0.0	2.7	0.2
RC12-107	-26.000	169.200	-3115	0.400	1.7	6.9	20.6	0.8	3.0	0.0	3.4	1.8	8.3	14.6	0.2	0.0	0.1	0.0	3.2	1.9	0.0	0.0	0.2	16.0	1.1	0.6	6.1	0.3	9.0	0.2
RC12-234	-55.150	-64.000	-2027	0.700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2	0.0	0.0	0.0	0.0	87.6	1.6	0.3	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.3	0.0
RC12-241	-43.470	-57.670	-3499	0.700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.8	0.0	0.0	0.0	1.2	24.4	3.6	5.7	0.0	0.0	0.0	25.3	5.1	0.0	0.0	0.3	1.5	0.0
RC12-291	-42.580	-17.800	-3508	0.800	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	15.3	0.3	0.0	0.0	8.3	25.2	14.6	9.2	0.0	0.0	0.0	21.7	1.6	0.0	1.9	0.0	1.6	0.0
RC12-294	-37.270	-10.100	-3308	0.400	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	35.4	0.8	0.0	0.0	9.8	5.3	20.1	8.2	0.0	0.0	0.0	10.0	4.5	0.3	0.0	0.3	4.7	0.0
RC12-328	-3.950	60.600	-3087	0.300	0.9	0.6	31.5	1.5	5.2	0.3	7.3	2.8	6.1	1.2	0.9	1.2	0.0	0.0	0.0	16.8	0.6	1.5	3.4	0.0	0.0	0.0	3.7	1.8	12.5	0.0
RC12-339	9.133	90.033	-3010	0.800	0.8	0.4	14.6	0.4	5.0	0.0	2.1	1.3	15.8	1.3	0.8	4.2	0.0	0.0	0.0	27.9	0.8	1.3	5.0	0.0	0.0	0.0	0.0	0.0	18.3	0.0
