Event	Latitude	Longitude	Elevation [m]	Depth sed [m]	O. universa [%]	G. conglobatus [%]	G. ruber [%]	G. tenellus [%]	G. sacculifer [%]	S. dehiscens [%]	G. aequilateralis [%]	G. calida [%]	G. bulloides [%]	G. falconensis [%]	G. digitata [%]	G. rubescens [%]	G. quinqueloba [%]	N. pachyderma s [%]	N. pachyderma d [%]	N. dutertrei [%]	G. conglomerata [%]	G. hexagona [%]	P. obliquiloculata [%]	G. inflata [%]	G. truncatulinoides s [%]	G. truncatulinoides d [%]	G. crassaformis [%]	G. hirsuta [%]	G. scitula [%]	G. glutinata [%]
RC13-197	4.517	-0.717	-2904	1.100	0.2	0.0	33.0	0.0	7.8	0.0	0.7	1.1	11.7	0.0	0.0	1.6	0.0	0.2	9.9	23.6	0.0	0.0	0.2	1.8	0.0	1.4	5.0	0.2	1.4	0.0
RC13-205	-2.288	5.183	-3731	0.500	2.8	0.0	17.1	0.9	8.9	0.0	0.3	0.6	3.1	2.8	0.0	1.5	0.0	0.3	4.0	35.2	0.0	0.0	0.3	8.0	0.0	0.0	4.6	1.2	8.6	0.0
RC13-210	-9.142	-10.610	-3658	0.400	1.9	0.8	23.8	0.3	14.9	0.0	1.6	1.1	3.3	2.2	0.0	0.5	0.0	0.0	0.0	21.4	0.0	0.0	0.0	12.2	0.0	3.0	5.1	0.8	7.0	0.0
RC13-227	-21.880	8.872	-4301	0.400	0.8	0.0	2.7	0.0	0.5	0.0	0.3	0.0	12.0	1.1	0.8	0.0	0.5	9.6	24.3	30.9	0.0	0.0	0.0	14.8	0.3	0.0	0.3	0.3	0.5	0.3
RC13-229	-25.490	11.307	-4191	0.800	1.2	0.0	0.6	0.0	0.3	0.0	0.3	0.6	11.7	0.6	0.0	0.0	0.0	3.2	27.9	39.9	0.0	0.0	0.0	10.6	0.3	0.0	0.0	0.6	1.2	1.2
RC13-81	-19.020	-124.200	-3751	0.100	0.2	11.3	40.8	2.3	5.1	0.1	2.2	1.0	2.0	0.0	0.2	0.2	0.0	0.0	0.0	0.2	1.9	0.4	0.8	0.0	0.1	0.1	0.8	0.0	30.3	0.0
RC14-29	-10.920	88.315	-2869	0.200	3.0	1.9	27.5	4.2	14.3	0.0	1.5	0.8	3.4	0.0	0.0	3.4	0.0	0.0	1.1	13.6	1.1	0.8	3.4	1.1	0.0	0.0	1.1	0.0	17.7	0.0
RC14-35	-0.833	89.950	-3021	0.350	0.8	0.8	27.5	0.0	12.0	0.0	2.7	3.5	8.5	0.4	0.0	2.3	0.0	0.0	0.0	10.5	5.4	1.2	10.1	0.0	0.0	0.0	1.9	0.0	12.4	0.0
RC14-37	-1.467	90.167	-2226	0.400	0.0	0.7	28.8	3.7	7.0	0.0	4.1	3.7	7.4	0.7	0.0	1.5	0.0	0.0	0.0	10.0	3.7	1.8	7.4	0.0	0.0	0.0	0.0	0.4	19.2	0.0
RC14-39	-5.857	90.520	-2952	0.700	0.5	1.6	17.5	0.5	6.8	0.0	3.7	1.2	11.2	1.4	0.9	1.6	0.0	0.0	0.0	22.2	3.0	2.6	11.0	0.0	0.0	0.0	0.5	0.2	13.6	0.0
RC14-7	-35.520	44.750	-3288	0.600	1.2	0.0	4.0	0.0	0.0	0.0	0.9	0.0	10.6	5.9	0.0	0.3	0.6	1.6	20.6	5.9	0.0	0.0	0.0	37.1	1.6	4.7	0.0	0.6	1.2	3.1
RC14-9	-39.020	47.883	-2692	0.700	0.3	0.0	1.1	0.0	0.0	0.0	0.3	0.0	25.7	0.6	0.0	0.3	8.6	5.7	33.7	7.7	0.0	0.0	0.0	11.7	1.7	0.0	0.0	0.0	2.0	0.6
RC15-93	-46.100	-13.230	-2714	1.020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.8	0.0	0.0	0.0	14.2	52.4	2.8	0.0	0.0	0.0	0.0	5.7	1.3	0.0	0.3	0.3	2.2	0.0
RC15-94	-42.980	-20.860	-3762	1.200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9	0.0	0.0	0.0	0.9	46.4	16.9	4.0	0.0	0.0	0.0	23.8	1.3	0.0	0.0	0.0	1.8	0.0
RC17-113	15.033	66.097	-3874	0.300	4.5	0.0	29.3	0.3	9.4	0.0	0.0	2.1	4.2	3.5	0.7	1.0	0.0	0.0	0.0	7.7	0.7	2.1	15.7	0.0	0.0	0.0	0.0	0.3	18.5	0.0
RC17-69	-31.500	32.607	-3380	0.500	1.9	0.0	14.6	1.0	5.8	0.0	2.9	4.9	6.8	1.0	1.0	1.0	0.0	0.0	2.9	6.8	0.0	0.0	1.0	35.0	1.0	1.0	0.0	1.9	8.7	1.0
RC17-73	-32.110	36.010	-2021	0.200	1.8	0.5	15.4	0.5	3.4	0.0	2.9	4.9	13.5	0.5	0.0	0.5	0.3	0.3	4.4	4.7	0.0	0.0	0.0	29.7	0.5	0.0	0.0	4.4	9.9	1.8
RC17-98	-13.220	65.617	-3409	0.530	1.9	2.6	29.2	1.1	8.2	0.0	4.1	2.6	3.7	1.1	0.0	2.6	0.0	0.0	0.7	11.2	0.4	0.4	1.9	0.0	0.0	0.4	0.0	1.5	25.5	0.7
RC24-1	0.563	-13.650	-3850	0.720	0.8	0.0	11.2	0.0	6.3	0.0	2.1	0.8	3.7	0.8	0.0	0.5	0.5	0.3	8.6	28.7	0.0	0.0	0.3	22.5	0.0	4.2	2.9	0.3	5.7	0.0
RC24-16	-5.038	-10.190	-3543	0.750	5.4	0.3	11.8	0.0	11.0	0.0	3.1	0.8	7.7	3.6	0.3	0.0	0.0	0.5	3.1	22.8	0.0	0.0	0.3	20.5	0.0	1.3	4.3	0.0	3.6	0.0
RC24-27	-5.412	-0.363	-3718	0.720	4.3	0.0	27.1	0.3	15.2	0.0	1.8	0.9	2.7	0.0	0.3	0.0	0.0	0.3	4.0	21.9	0.0	0.0	1.5	12.2	0.0	0.0	3.0	0.3	4.3	0.0
RC24-7	-1.342	-11.920	-3899	1.200	0.5	0.0	5.1	0.0	1.4	0.0	0.0	0.5	8.9	0.3	0.0	0.0	0.0	0.0	8.6	28.9	0.0	0.0	0.3	31.4	0.0	4.6	3.0	0.0	6.5	0.0
RE010-002	56.983	-12.467	-2305	0.600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0	2.5	90.2	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0
RE5-034	42.383	-21.967	-3750	0.400	0.4	0.0	2.2	0.0	0.0	0.0	0.0	0.2	22.6	2.2	0.0	0.0	7.1	9.3	13.7	16.0	0.0	0.0	0.0	11.3	0.0	0.2	0.0	6.7	8.0	0.0
RE5-036	46.917	-18.583	-4500	0.700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	1.5	97.1	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
RE5-054	25.867	-19.050	-3295	0.100	0.5	0.0	7.9	0.8	0.0	0.0	1.6	0.5	18.6	0.0	0.0	0.0	0.5	0.5	23.2	9.8	0.0	0.0	0.0	15.8	0.0	11.5	0.3	1.4	6.8	0.0
RE5-057	19.600	-19.100	-2945	1.000	1.1	0.2	3.2	0.5	1.1	0.0	1.1	0.0	39.7	0.0	0.0	0.7	2.0	1.4	21.4	10.2	0.0	0.0	0.0	10.6	0.0	0.0	0.0	0.7	6.1	0.0
SP008-004	31.833	-18.267	-1445	0.300	0.6	0.0	14.8	0.0	0.5	0.0	0.5	1.1	24.2	7.5	0.0	0.0	0.0	0.3	9.7	5.9	0.0	0.0	0.0	25.6	0.5	5.4	0.0	0.5	3.0	0.0
V04-32	35.050	-11.620	-2296	0.300	1.2	0.0	6.2	1.4	2.4	0.0	1.0	4.3	10.7	12.9	0.0	0.5	5.5	0.5	11.2	8.6	0.0	0.0	0.0	6.9	0.7	1.0	0.0	9.5	15.0	0.7
V04-8	37.233	-33.130	-1697	0.500	0.0	0.0	3.5	1.7	0.0	0.0	0.6	0.5	15.8	12.2	0.6	0.6	7.9	0.6	9.0	10.1	0.0	0.0	0.0	9.0	0.8	1.4	0.5	8.4	16.5	0.0
V14-101	8.650	58.567	-2849	0.700	0.4	0.0	16.6	1.4	2.5	0.0	2.1	0.0	9.9	2.5	0.0	1.1	0.0	0.0	3.2	14.8	0.0	1.1	4.9	0.0	0.0	0.0	2.8	0.4	36.4	0.0
V14-101	8.650	58.567	-2849	0.700	0.4	0.0	16.6	1.4	2.5	0.0	2.1	0.0	9.9	2.5	0.0	1.1	0.0	0.0	3.2	14.8	0.0	1.1	4.9	0.0	0.0	0.0	2.8	0.4	36.4	0.0
V14-102	10.250	57.183	-3915	0.400	0.4	0.7	7.8	0.7	2.1	0.0	3.2	0.0	9.9	2.1	0.7	1.4	0.0	0.4	2.5	34.0	0.0	2.5	9.6	0.4	0.0	0.0	1.8	2.1	17.7	0.0
V14-77	-29.630	32.867	-1818	0.290	2.1	0.3	18.2	1.0	4.8	0.0	3.8	6.2	2.7	0.3	0.3	2.1	0.0	0.0	2.4	9.3	0.0	0.0	2.1	28.5	0.0	0.3	0.3	3.1	11.7	0.3
V14-81	-28.430	43.783	-3634	0.350	1.4	0.0	20.9	3.4	4.1	0.0	1.4	4.4	7.8	1.0	0.3	5.1	1.4	0.0	3.0	3.4	0.0	0.0	0.0	14.2	1.7	1.0	0.0	3.0	22.0	0.7
V15-157	-33.170	-49.780	-1123	0.500	0.7	2.0	25.0	0.2	2.3	0.0	0.2	0.5	7.0	2.3	0.2	0.5	0.2	0.2	1.6	11.8	0.0	0.0	0.9	20.0	0.7	9.1	0.0	1.8	10.5	2.3
V15-168	0.200	-39.900	-4219	1.420	0.0	2.2	21.7	0.3	23.9	0.0	0.0	1.0	1.3	0.0	0.0	1.0	0.0	0.0	0.0	27.1	0.0	0.0	0.0	1.0	0.0	13.4	3.5	0.3	3.5	0.0
V15-168	0.200	-39.900	-4219	1.600	0.0	0.5	32.8	0.0	17.5	0.0	1.4	0.7	0.7	0.2	0.0	0.5	0.0	0.0	0.2	18.2	0.0	0.0	0.0	1.2	0.2	9.2	2.6	0.5	13.7	0.0
V15-168	0.200	-39.900	-4219	1.630	0.6	1.1	23.6	0.6	14.0	0.0	1.7	1.7	0.6	1.1	0.0	1.1	0.6	0.0	1.1	38.2	0.0	0.0	0.0	1.1	0.0	5.1	1.1	0.6	6.2	0.0
V16-205	15.400	-43.400	-4043	0.190	0.5	2.7	45.4	3.2	17.6	0.2	1.8	2.0	0.0	0.9	0.0	2.7	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.7	0.2	2.9	0.9	0.7	12.6	0.0
V16-25	5.067	-36.800	-4254	0.530	0.3	0.0	35.7	0.6	37.3	0.3	0.3	0.3	0.0	0.0	0.6	1.3	0.0	0.0	0.0	14.0	0.0	2.5	1.0	0.3	0.0	2.5	1.9	0.0	1.0	0.0
V16-25	5.067	-36.800	-4254	0.550	0.6	0.8	34.6	0.0	35.8	0.0	3.4	0.3	0.8	0.6	1.1	1.1	0.0	0.0	0.8	11.5	0.6	0.8	0.6	0.8	0.0	2.5	0.0	0.0	3.1	0.0
V16-36	-19.370	-11.430	-3329	0.420	2.0	0.4	24.1	6.3	8.1	0.0	1.0	1.6	1.8	16.2	0.4	1.4	0.0	0.0	0.8	1.0	0.0	0.0	0.0	17.2	4.0	3.6	2.6	2.2	4.9	0.2
V17-165	32.750	-41.900	-3924	0.500	0.0	1.2	29.6	0.3	1.2	0.0	1.5	1.5	4.4	9.5	0.0	0.0	0.0	0.3	8.3	7.1	0.0	0.0	0.0	29.0	0.3	2.1	0.0	1.2	2.7	0.0
V17-39	11.750	-80.430	-3435	1.000	2.7	2.1	54.5	2.4	6.6	0.0	7.5	0.0	0.9	0.6	0.0	1.2	0.0	0.0	0.0	1.8	0.0	0.0	0.0	2.7	0.0	3.9	0.6	0.3	11.7	0.3
V18-110	-53.580	-44.700	-2610	0.300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	97.3	0.0	0.3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.3	0.0	0.0
V18-312	-2.850	-126.200	-4614	0.250	0.0	0.0	9.5	0.0	0.5	0.0	0.5	0.0	5.5	0.0	0.0	1.0	0.0	0.0	18.9	37.8	1.5	0.0	14.9	0.0	0.0	0.0	1.5	0.0	8.5	0.0
V18-318	3.167	-118.500	-4191	0.150	0.0	0.5	2.9	0.0	4.3	0.0	1.4	0.0	1.0	0.0	0.5	0.0	0.0	0.0	5.3	73.7	1.0	0.0	7.2	0.0	0.0	0.0	0.5	0.0	1.9	0.0
V18-357	15.033	-80.230	-1818	0.600	2.2	4.0	41.3	2.2	10.5	0.0	8.3	0.4	1.1	0.7	0.0	4.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	1.8	0.0	3.6	0.7	1.1	15.9	0.0
V19-178	8.117	73.250	-2188	0.400	0.4	0.4	20.7	5.6	4.8	0.0	1.1	3.0	11.1	0.4	0.0	3.3	0.0	0.0	0.0	12.2	2.2	3.7	1.9	0.0	0.0	0.0	1.1	1.9	26.3	0.0
V19-185	6.700	59.333	-2867	0.300	0.3	0.3	21.5	0.7	2.0	0.0	1.3	1.0	12.1	2.7	0.0	2.0	0.3	0.3	1.3	12.8	1.3	2.4	2.0	0.0	0.0	0.7	0.7	1.0	32.7	0.3
V19-188	6.867	60.667	-3356	0.500	0.9	0.3	22.0	1.6	2.2	0.0	4.1	1.3	11.6	0.9	0.0	3.5	0.9	0.3	4.4	16.4	0.9	3.5	6.0	0.0	0.0	0.0	2.5	1.3	14.8	0.6
V19-19	13.233	-78.370	-3760	0.800	1.4	1.0	62.2	1.0	7.7	0.0	5.6	0.0	0.7	1.0	0.3	2.4	0.0	0.0	0.0	3.8	0.0	0.0	0.3	2.1	0.3	1.4	0.7	0.0	7.3	0.3
V19-201	-5.333	40.433	-1864	0.700	0.7	0.7	27.3	0.7	3.7	0.0	3.0	2.2	5.9	1.5	0.7	5.5	0.0	0.0	3.3	17.0	0.0	0.7	4.1	0.4	0.0	0.0	2.2	0.7	19.6	0.0
V19-201	-5.333	40.433	-1864	0.700	0.7	0.7	27.3	0.7	3.7	0.0	3.0	2.2	5.9	1.5	0.7	5.5	0.0	0.0	3.3	17.0	0.0	0.7	4.1	0.4	0.0	0.0	2.2	0.7	19.6	0.0
V19-202	-6.983	41.183	-2589	0.300	2.6	2.2	22.3	2.2	5.5	0.4	4.7	2.6	9.9	1.5	0.4	3.6	0.0	0.0	3.6	9.9	0.4	0.7	2.6	0.0	0.0	0.4	0.0	0.7	24.1	0.0
V19-204	-10.230	43.817	-3524	0.300	1.1	2.8	31.8	0.7	3.2	0.0	1.4	1.8	7.4	1.1	0.0	0.0	0.0	0.0	3.9	14.5	0.0	0.7	4.9	0.4	0.0	1.1	1.1	0.0	22.3	0.0
V19-21	11.800	-79.070	-3168	0.600	2.2	2.9	46.9	2.9	8.7	0.0	10.2	0.0	1.1	0.7	0.0	1.8	0.0	0.0	0.4	5.8	0.0	0.0	0.0	2.2	1.1	1.5	0.0	0.0	11.6	0.0
V19-240	-30.580	13.283	-3103	0.600	1.3	0.0	2.1	0.0	0.0	0.0	2.4	0.3	12.2	5.8	0.0	0.3	2.1	2.7	40.1	15.4	0.0	0.0	0.0	9.8	2.7	0.0	0.0	0.0	2.1	0.8
V19-248	-24.570	4.833	-3321	0.270	2.7	0.0	6.4	3.2	0.2	0.0	2.2	1.7	10.8	3.9	0.0	1.2	2.0	0.5	6.4	21.9	0.0	0.0	0.0	20.0	4.7	1.0	0.0	2.0	8.4	0.7
V19-281	-3.317	4.650	-4566	0.500	3.1	0.0	23.3	0.0	7.8	0.0	1.6	0.6	13.0	0.9	0.0	0.0	0.0	0.6	5.9	14.6	0.0	0.0	0.9	17.4	0.0	0.0	1.9	2.2	6.2	0.0
V19-283	-1.283	5.533	-3442	0.790	2.4	0.0	29.3	0.2	5.6	0.4	1.1	1.3	4.1	0.4	0.0	0.4	0.2	0.0	5.6	26.7	0.0	0.0	0.9	11.3	0.0	0.2	5.6	1.1	3.0	0.0
V19-29	-3.583	-83.930	-3157	1.200	0.1	0.0	0.2	0.0	0.3	0.0	0.1	0.0	27.6	0.0	0.1	0.1	4.4	5.6	22.7	20.2	0.0	0.0	0.0	17.8	0.0	0.0	0.1	0.0	0.8	0.0
V19-29	-3.583	-83.930	-3157	1.200	0.6	0.0	0.2	0.0	0.3	0.0	0.8	0.8	24.2	0.0	0.1	0.1	3.2	2.5	9.4	37.3	0.0	0.0	0.1	18.3	0.0	0.0	0.4	0.0	1.9	0.0
V19-291	2.000	-5.250	-4956	0.800	1.4	0.2	40.6	0.0	7.3	0.0	1.4	0.0	5.4	0.0	0.0	0.2	0.0	0.2	2.8	27.8	0.0	0.0	0.2	4.2	0.0	0.5	1.9	0.5	5.2	0.0
V19-309	31.167	-45.130	-4544	0.310	1.1	0.0	28.8	0.5	1.3	0.0	1.3	0.3	8.4	4.3	0.0	0.0	0.5	0.3	7.8	0.8	0.0	0.0	0.0	34.2	0.8	3.2	0.3	0.3	5.7	0.0
V19-53	-17.020	-113.500	-3058	0.450	0.0	17.4	0.7	0.0	3.0	1.6	0.7	0.3	1.0	0.0	0.0	0.0	0.0	0.0	0.3	7.6	21.4	0.0	33.2	0.0	0.0	0.3	2.6	0.0	9.9	0.0
V19-55	-17.000	-114.200	-3177	0.230	0.1	3.9	26.6	2.8	6.1	0.1	2.1	0.7	4.3	0.0	0.1	0.8	0.0	0.0	0.0	1.6	5.3	0.2	5.7	0.3	0.0	0.0	0.2	0.0	39.4	0.0
V19-64	-16.930	-121.200	-3570	0.150	0.1	6.7	34.2	3.3	6.0	0.2	1.8	0.8	2.7	0.1	0.1	0.5	0.0	0.0	0.0	0.2	2.3	0.5	1.6	0.0	0.0	0.0	0.2	0.0	38.6	0.0
V19-65	-16.650	-124.400	-3867	0.150	0.1	6.8	36.4	0.8	5.1	0.5	2.0	1.1	1.3	0.0	0.1	0.3	0.0	0.0	0.0	0.6	3.5	0.8	2.5	0.1	0.0	0.1	0.4	0.0	37.4	0.0
V19-96	-0.867	172.000	-4252	0.150	0.0	3.2	10.2	0.4	10.6	0.0	4.2	0.0	11.6	0.0	0.0	0.0	0.0	0.0	0.7	14.4	0.7	0.0	30.6	0.0	0.0	0.0	1.4	0.0	12.0	0.0
V20-119	47.950	168.780	-2739	0.200	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0	6.1	88.8	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V20-170	-21.800	69.233	-2479	0.200	1.7	0.3	47.6	3.1	8.8	0.0	5.1	1.0	0.7	2.7	0.7	4.8	0.0	0.3	0.3	1.0	0.3	0.3	0.3	1.7	0.7	3.1	0.0	0.3	15.0	0.0
V20-175	-22.300	68.000	-3526	0.200	0.9	0.9	46.8	2.8	9.9	0.0	1.7	5.4	1.9	0.5	0.9	3.1	0.0	0.0	0.2	0.9	0.0	0.2	0.0	1.4	0.2	5.2	0.5	0.2	16.1	0.0
V20-212	-28.220	-10.030	-3523	0.200	2.6	0.6	21.6	3.7	1.2	0.0	1.7	1.4	2.0	12.7	0.9	2.3	0.0	0.9	1.7	2.0	0.0	0.0	0.0	17.0	8.1	1.2	0.3	4.9	10.7	2.6
V20-227	-4.233	-34.630	-3812	0.800	0.0	0.0	33.2	0.0	18.7	0.0	3.5	1.2	0.0	0.0	0.6	0.3	0.0	0.0	0.0	12.0	0.0	0.0	0.0	3.8	0.3	10.2	2.3	0.0	14.0	0.0
V20-228	-2.483	-36.420	-3676	0.610	0.2	0.0	52.4	1.1	20.7	0.0	2.9	0.4	0.2	1.3	0.0	0.7	0.0	0.0	0.7	10.4	0.0	0.0	0.4	0.0	0.0	0.2	1.5	0.2	6.6	0.0
V20-241	22.133	-41.500	-4372	0.300	0.8	0.8	55.1	6.0	6.3	0.0	4.2	1.3	0.5	1.6	0.5	3.7	0.0	0.3	0.0	0.5	0.0	0.0	0.5	0.3	1.6	3.1	0.3	2.4	10.2	0.0
V20-242	23.367	-43.650	-4565	0.290	0.0	1.3	57.0	6.7	5.3	0.0	4.5	1.1	0.5	1.9	0.3	2.1	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.5	0.5	1.6	0.8	0.3	14.7	0.5
V21-146	37.683	163.030	-3968	0.700	0.2	0.0	0.5	0.0	0.0	0.0	0.0	0.0	6.7	0.0	0.0	0.0	0.5	4.0	17.4	1.5	0.0	0.0	0.2	55.6	0.0	2.5	0.0	0.0	10.9	0.0
V21-30	-1.217	-89.680	-617	2.500	0.5	0.1	2.7	0.1	0.3	0.0	0.1	0.0	43.2	0.0	0.0	0.3	3.3	0.3	17.6	15.2	0.0	0.0	0.0	14.3	0.0	0.0	0.1	0.1	2.0	0.0
V21-33	-3.800	-92.080	-3726	0.450	0.3	0.0	0.3	0.0	0.2	0.0	0.2	0.0	12.8	0.0	0.0	0.0	0.0	0.0	11.2	47.6	0.0	0.0	0.7	20.3	0.0	0.0	0.2	0.0	6.2	0.0
V22-168	-17.470	-5.183	-4625	0.310	3.2	0.3	10.3	0.0	5.8	0.0	2.1	0.3	2.6	2.4	0.0	0.0	0.0	0.5	2.9	10.3	0.0	0.0	0.5	34.9	2.4	15.3	2.1	0.3	3.7	0.0
V22-171	-13.100	-9.333	-4155	0.200	0.6	0.6	29.5	1.4	4.8	0.0	2.5	2.5	1.7	13.9	0.3	1.7	0.0	0.0	2.3	7.1	0.0	0.0	0.0	8.5	0.3	3.7	2.5	1.7	14.4	0.0
V22-171	-13.100	-9.333	-4155	0.200	0.7	0.7	26.8	2.3	9.2	0.0	3.3	2.3	4.6	12.1	0.7	0.3	0.0	0.0	0.7	9.2	0.0	0.0	0.0	6.2	0.0	4.2	2.9	0.3	13.4	0.3
V22-172	-12.670	-9.817	-4127	0.200	0.4	1.2	27.0	2.2	8.7	0.0	2.0	2.0	2.0	12.6	0.4	0.6	0.3	0.0	0.1	10.3	0.0	0.0	0.3	10.7	0.7	4.4	3.8	0.9	9.1	0.1
V22-174	-10.070	-12.820	-2630	0.570	0.8	1.7	26.8	1.7	9.5	0.0	4.2	1.1	3.6	4.7	0.6	6.1	0.0	0.0	0.6	14.2	0.0	0.0	0.3	7.8	0.3	4.7	2.0	1.7	7.5	0.0
V22-174	-10.070	-12.820	-2630	0.570	0.8	1.7	26.8	1.7	9.5	0.0	4.2	1.1	3.6	4.7	0.6	6.1	0.0	0.0	0.6	14.2	0.0	0.0	0.3	7.8	0.3	4.7	2.0	1.7	7.5	0.0
V22-177	-7.750	-14.600	-3290	0.630	1.4	0.0	15.7	0.0	11.6	0.0	1.4	2.4	6.2	2.4	0.0	3.0	0.0	0.0	2.7	14.3	0.0	0.0	0.0	14.6	0.0	4.9	5.9	1.1	12.4	0.0
V22-177	-7.750	-14.600	-3290	0.700	2.3	0.2	23.0	0.2	14.4	0.0	3.7	0.9	2.3	0.0	0.2	2.1	0.0	0.0	3.0	21.2	0.0	0.0	0.5	10.7	0.0	4.0	2.1	1.6	7.4	0.0
V22-182	-0.533	-17.270	-3776	0.710	0.2	0.0	10.5	0.2	6.9	0.0	0.8	0.4	5.1	0.4	0.2	0.0	0.2	1.2	3.2	43.4	0.0	0.2	0.4	14.1	0.2	5.7	1.6	0.0	5.1	0.0
V22-182	-0.533	-17.270	-3776	0.720	0.6	0.0	12.9	0.3	4.1	0.0	0.0	0.9	6.5	0.6	0.0	0.0	0.0	1.2	7.4	36.2	0.0	0.0	0.0	9.4	0.0	5.6	4.7	0.0	9.7	0.0
V22-186	3.383	-20.120	-4471	0.300	0.4	0.8	7.8	0.0	18.4	0.0	1.2	1.2	0.0	0.0	0.8	0.8	0.0	0.0	2.9	51.4	0.0	0.0	0.0	11.0	0.0	0.8	2.4	0.0	0.0	0.0
V22-186	3.383	-20.120	-4471	0.300	0.3	2.2	13.0	0.0	24.9	0.0	3.8	0.0	0.0	1.1	1.4	0.0	0.0	0.3	4.1	36.0	0.0	0.0	0.5	6.8	0.3	0.8	3.3	0.0	1.4	0.0
V22-188	4.667	-20.920	-2600	0.300	0.5	0.5	32.4	1.3	16.8	0.0	3.2	2.1	2.9	1.6	0.3	4.5	0.0	0.5	1.1	12.9	0.0	0.0	0.0	1.6	0.0	0.8	0.8	2.4	13.9	0.0
V22-188	4.667	-20.920	-2600	0.300	0.6	1.3	29.1	0.9	12.7	0.0	1.6	1.6	3.2	3.2	1.3	4.4	0.0	0.0	0.6	18.0	0.0	0.0	0.0	5.1	0.0	1.9	1.6	3.8	9.2	0.0
V22-196	13.833	-18.970	-3728	0.700	0.3	0.0	13.2	0.3	4.1	0.0	0.5	0.0	14.7	1.6	0.3	0.5	0.0	0.0	7.8	21.4	0.0	0.0	0.0	32.8	0.0	0.0	1.0	0.5	1.0	0.0
V22-197	14.167	-18.580	-3167	0.720	2.2	0.0	18.5	0.0	1.5	0.0	1.5	0.0	35.8	3.7	0.0	0.0	0.0	0.3	7.1	13.0	0.0	0.0	0.6	6.2	0.0	0.0	1.9	0.9	6.8	0.0
V22-222	28.933	-43.650	-3197	0.580	3.1	0.9	41.2	5.7	0.7	0.2	5.9	5.0	2.0	5.3	0.0	1.8	0.0	0.0	0.4	0.7	0.0	0.0	0.0	7.9	0.0	0.0	0.0	3.9	9.9	0.0
V22-26	8.717	-41.250	-3720	0.400	1.0	1.0	40.5	0.3	19.5	0.0	2.3	2.8	2.0	0.5	0.5	0.3	0.0	0.3	1.0	12.5	0.0	0.3	0.0	2.0	0.3	5.0	2.5	1.0	4.8	0.0
V22-38	-9.550	-34.250	-3797	0.375	0.6	1.4	72.6	0.0	13.7	0.0	0.9	1.7	0.9	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	3.1	0.3	0.3	2.9	0.0
V22-38	-9.550	-34.250	-3797	0.400	0.7	0.7	74.4	0.9	11.5	0.0	0.7	0.7	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	1.8	0.9	0.0	7.0	0.0
V23-100	21.300	-22.680	-4579	0.420	1.2	0.0	6.6	0.6	4.2	0.0	2.7	0.6	10.3	1.8	0.0	0.0	0.9	1.2	11.8	35.3	0.0	0.0	0.0	13.9	0.6	1.2	0.3	0.0	6.6	0.0
V23-110	17.633	-45.870	-3746	0.260	1.1	2.2	49.2	1.9	20.1	0.0	2.2	2.7	0.0	0.8	0.0	1.4	0.0	0.0	0.0	1.4	0.0	0.0	0.3	0.3	0.0	2.5	0.5	0.0	13.5	0.0
V23-23	56.083	-44.550	-3292	0.850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1	0.0	0.0	0.0	4.2	83.8	4.5	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	2.1	0.0
V23-42	62.183	-27.930	-1514	0.700	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	1.5	0.0	0.0	0.0	3.3	90.7	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0
V23-81	54.250	-16.830	-2393	2.950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	4.3	89.3	1.4	0.6	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.6	0.0	0.0
V23-82	52.583	-21.930	-3974	1.100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.9	97.4	0.9	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0
