Event	Method/Device	Latitude	Longitude	Elevation [m]	Age [ka BP]	CaCO3 [%]	bSiO2 [%]	MAR [g/cm**2/ka]	Acc rate non CaCO3 [g/cm**2/ka]	Reference
V30-97	Piston corer	41.0000	-32.9300	-3371	21	53.0				Howard and Prell, 1994
RC11-120	Piston corer	-43.5200	79.8670	-3193	21	36.0		2.50		Howard and Prell, 1994; Kent, 1982
RC12-225	Piston corer	-53.6700	-123.1000	-2964	21	80.0				Howard and Prell, 1994; Luz, 1977
Y70-5-64	Piston corer	49.4270	-132.7670	-2944	21	53.0		0.47	0.22	Keigwin et al., 1992
RC12-413	Piston corer	43.2830	166.9000	-5015	21	0.0		1.40	1.40	Luz, 1977; Cwienk, 1986; Leinen, 1986
RC12-416	Piston corer	36.4000	166.7300	-5319	21	0.0		0.55	0.55	Moore, 1980; Cwienk, 1986
RC14-106	Piston corer	45.8280	155.7100	-4823	21	0.0		0.80	0.80	Moore, 1980; Cwienk, 1986
RC12-412	Piston corer	40.6830	166.9800	-5656	21	0.0		0.70	0.70	Moore, 1980; Leinen, 1986
RC13-229	Piston corer	-25.4900	11.3070	-4191	21	41.0		1.00	0.59	Morley and Shackleton, 1984
RC13-228	Piston corer	-22.3300	11.1980	-3204	21	69.0		7.58		Morley and Shackleton, 1984; Howard and Prell, 1994
W8803B-51GC	Gravity corer	1.3000	-133.6000	-4420	21	83.0		0.87	0.15	Murray et al., 1993
115-708A	Drilling/drill rig	-5.4558	59.9438	-4107	21	85.0		1.05	0.15	Peterson and Backman, 1990
85-574	Drilling/drill rig	4.2087	-133.3302	-4561	21	85.0		0.90	0.13	Peterson and Backman, 1990
PLDS-130PG	Gravity corer	4.0050	-136.0050	-4469	21	89.0		0.64	0.07	Peterson and Backman, 1990
RC11-209	Piston corer	3.6500	-140.1000	-4400	21	89.0		1.23	0.14	Peterson and Backman, 1990
RC12-63	Piston corer	5.9670	-142.7000	-4949	21	0.0		0.07	0.07	Peterson and Backman, 1990
RC12-65	Piston corer	4.6500	-145.0000	-4868	21	21.0		0.14	0.06	Peterson and Backman, 1990
RC12-66	Piston corer	2.6170	-148.2000	-4755	21	87.0		0.66	0.13	Peterson and Backman, 1990
SDSE_090	Gravity corer	3.0833	-133.1000	-4370	21	84.0		0.60	0.10	Peterson and Backman, 1990
V24-55	Piston corer	2.0500	-134.6000	-4189	21	92.0		0.85	0.10	Peterson and Backman, 1990
V24-58	Gravity corer	2.2670	-141.6670	-1140	21	89.0		0.92	0.11	Peterson and Backman, 1990
V24-59	Gravity corer	2.5670	-145.5330	-1250	21	92.0		0.62	0.08	Peterson and Backman, 1990
V24-62	Gravity corer	3.0670	-153.5830	-1334	21	75.0		0.33	0.06	Peterson and Backman, 1990
ELT45.027-PC	Piston corer	-43.3080	105.5480	-3823	21	79.0	3.0	0.63	0.12	Yu , 1994
ELT45.029-PC	Piston corer	-44.8770	106.5180	-3867	21	62.0	14.0	0.62	0.15	Yu , 1994
ELT45.063-PC	Piston corer	-53.4370	114.2570	-3969	21	2.0	69.0	1.32	0.38	Yu , 1994
ELT45.064-PC	Piston corer	-52.4830	114.0900	-3871	21	1.0	61.0	1.06	0.40	Yu , 1994
ELT45.071-PC	Piston corer	-48.0250	114.4870	-3700	21	65.0	21.0	1.03	0.14	Yu , 1994
ELT45.074-PC	Piston corer	-47.5520	114.4400	-3852	21	66.0	15.0	0.53	0.10	Yu , 1994
ELT45.074-PC	Piston corer	-47.5520	114.4400	-3852	21	68.0	17.0	0.61	0.09	Yu , 1994
ELT48.006-PC	Piston corer	-34.0050	97.5430	-4343	21	2.0	74.0	1.70	0.40	Yu , 1994
ELT48.022-PC	Piston corer	-39.8950	85.4100	-3410	21	91.0	2.0	1.04	0.09	Yu , 1994
ELT48.027-PC	Piston corer	-38.5420	79.8980	-3312	21	89.0	3.0	0.92	0.10	Yu , 1994
ELT48.029-PC	Piston corer	-36.4930	80.0250	-2350	21	4.0	66.0	2.53	0.76	Yu , 1994
ELT49.008-PC	Piston corer	-55.0700	110.0180	-3728	21	2.0	49.0	0.99	0.48	Yu , 1994
ELT50.013-PC	Piston corer	-59.9970	105.0000	-4270	21	2.0	47.0	0.95	0.49	Yu , 1994
ELT50.017-PC	Piston corer	-63.0020	120.0500	-4138	21	6.0	12.0	3.26	2.69	Yu , 1994
MD84-527	Piston corer	-43.8217	51.3183	-3262	21	13.0	43.0	0.98	0.43	Yu , 1994
MD84-552	Piston corer	-54.5500	75.8300	-1780	21	11.0	35.0	1.06	0.57	Yu , 1994
MD88-773	Piston corer	-52.9005	109.8697	-2460	21	9.0	67.0	0.88	0.21	Yu , 1994
RC11-76	Piston corer	-54.3800	-22.1300	-5229	21		36.0	2.31	1.48	Yu , 1994
RC13-254	Piston corer	-48.5700	5.1270	-3636	21	0.0	60.0	3.32	1.33	Yu , 1994; Murray et al., 1993
RC13-259	Piston corer	-53.8800	-4.9300	-1754	21	0.0	50.0	1.05	0.52	Yu , 1994; Murray et al., 1993
RC13-271	Piston corer	-51.9900	4.5220	-3634	21	0.0	53.0	1.50	0.70	Yu , 1994; Murray et al., 1993
RC15-93	Piston corer	-46.1000	-13.2300	-2714	21	0.0	53.0	2.30	1.08	Yu , 1994; Murray et al., 1993
RC15-94	Piston corer	-42.9800	-20.8600	-3762	21	0.0	8.5	1.37	1.25	Yu , 1994; Murray et al., 1993
V22-108	Piston corer	-43.1800	-3.2500	-4171	21	0.0	15.0	0.90	0.77	Yu , 1994; Murray et al., 1993
