Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
GIK17732-1,71.613333,4.213333,1.45,G. bulloides,0
GIK17732-1,71.613333,4.213333,1.45,T. quinqueloba,7
GIK17732-1,71.613333,4.213333,1.45,G. glutinata,0
GIK17732-1,71.613333,4.213333,1.45,G. uvula,0
GIK17732-1,71.613333,4.213333,1.45,G. eastropacia,0
GIK17732-1,71.613333,4.213333,1.45,O. universa,0
GIK17732-1,71.613333,4.213333,1.45,G. inflata,0
GIK17732-1,71.613333,4.213333,1.45,G. scitula,0
GIK17732-1,71.613333,4.213333,1.45,N. pachyderma,451
GIK17732-1,71.613333,4.213333,1.45,N. incompta,11
