Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Relative Abundance
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. hirsuta,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. scitula,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,D. anfracta,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. cultrata,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. tumida,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,C. nitida,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. glutinata,0.024
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. eastropacia,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,T. iota,0
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,G. uvula,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,O. universa,0.0118
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. conglobatus,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. ruber ruber,0.035
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. ruber albus,0.0466
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. tenellus,0.0036
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,T. sacculifer,0.0434
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,S. dehiscens,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. adamsi,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. siphonifera,0.0134
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. calida,0.0179
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. bulloides,0.1551
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. falconensis,0.0251
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,B. digitata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. rubescens,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,T. humilis,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,T. quinqueloba,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,N. pachyderma,0.0036
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,N. incompta,0.2124
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,N. dutertrei,0.0402
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. conglomerata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. hexagonus,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,P. obliquiloculata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. inflata,0.2591
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. truncatulinoides,0.009
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. crassaformis,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. hirsuta,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. scitula,0.0072
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,D. anfracta,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,G. cultrata,0
