Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
MD95-2042,37.799833,-10.1665,6.54,G. hirsuta,0
MD95-2042,37.799833,-10.1665,6.54,G. ruber albus,10
MD95-2042,37.799833,-10.1665,6.54,G. ruber ruber,0
MD95-2042,37.799833,-10.1665,6.54,B. digitata,0
MD95-2042,37.799833,-10.1665,6.54,O. universa,7
MD95-2042,37.799833,-10.1665,6.54,G. conglobatus,0
MD95-2042,37.799833,-10.1665,6.54,T. sacculifer,0
MD95-2042,37.799833,-10.1665,6.54,N. dutertrei,0
MD95-2042,37.799833,-10.1665,6.54,G. tenellus,0
MD95-2042,37.799833,-10.1665,6.54,G. calida,6
MD95-2042,37.799833,-10.1665,6.54,G. crassaformis,0
MD95-2042,37.799833,-10.1665,6.54,P. obliquiloculata,0
MD95-2042,37.799833,-10.1665,6.54,T. humilis,0
MD95-2042,37.799833,-10.1665,6.54,G. hexagonus,0
MD95-2042,37.799833,-10.1665,6.54,G. cultrata,0
MD95-2042,37.799833,-10.1665,6.54,G. truncatulinoides,2
MD95-2042,37.799833,-10.1665,6.65,N. pachyderma,6
MD95-2042,37.799833,-10.1665,6.65,N. incompta,142
MD95-2042,37.799833,-10.1665,6.65,G. bulloides,97
MD95-2042,37.799833,-10.1665,6.65,T. quinqueloba,11
MD95-2042,37.799833,-10.1665,6.65,G. scitula,16
MD95-2042,37.799833,-10.1665,6.65,G. glutinata,43
MD95-2042,37.799833,-10.1665,6.65,G. inflata,31
MD95-2042,37.799833,-10.1665,6.65,G. siphonifera,7
MD95-2042,37.799833,-10.1665,6.65,G. rubescens,1
MD95-2042,37.799833,-10.1665,6.65,G. falconensis,0
MD95-2042,37.799833,-10.1665,6.65,G. hirsuta,0
MD95-2042,37.799833,-10.1665,6.65,G. ruber albus,25
MD95-2042,37.799833,-10.1665,6.65,G. ruber ruber,0
MD95-2042,37.799833,-10.1665,6.65,B. digitata,1
MD95-2042,37.799833,-10.1665,6.65,O. universa,7
MD95-2042,37.799833,-10.1665,6.65,G. conglobatus,0
MD95-2042,37.799833,-10.1665,6.65,T. sacculifer,0
MD95-2042,37.799833,-10.1665,6.65,N. dutertrei,0
MD95-2042,37.799833,-10.1665,6.65,G. tenellus,0
MD95-2042,37.799833,-10.1665,6.65,G. calida,11
MD95-2042,37.799833,-10.1665,6.65,G. crassaformis,0
MD95-2042,37.799833,-10.1665,6.65,P. obliquiloculata,0
MD95-2042,37.799833,-10.1665,6.65,T. humilis,0
MD95-2042,37.799833,-10.1665,6.65,G. hexagonus,0
MD95-2042,37.799833,-10.1665,6.65,G. cultrata,0
MD95-2042,37.799833,-10.1665,6.65,G. truncatulinoides,0
MD95-2042,37.799833,-10.1665,6.74,N. pachyderma,0
MD95-2042,37.799833,-10.1665,6.74,N. incompta,129
MD95-2042,37.799833,-10.1665,6.74,G. bulloides,135
MD95-2042,37.799833,-10.1665,6.74,T. quinqueloba,11
MD95-2042,37.799833,-10.1665,6.74,G. scitula,20
MD95-2042,37.799833,-10.1665,6.74,G. glutinata,35
MD95-2042,37.799833,-10.1665,6.74,G. inflata,36
MD95-2042,37.799833,-10.1665,6.74,G. siphonifera,5
MD95-2042,37.799833,-10.1665,6.74,G. rubescens,0
MD95-2042,37.799833,-10.1665,6.74,G. falconensis,0
MD95-2042,37.799833,-10.1665,6.74,G. hirsuta,0
MD95-2042,37.799833,-10.1665,6.74,G. ruber albus,19
MD95-2042,37.799833,-10.1665,6.74,G. ruber ruber,0
MD95-2042,37.799833,-10.1665,6.74,B. digitata,1
MD95-2042,37.799833,-10.1665,6.74,O. universa,10
MD95-2042,37.799833,-10.1665,6.74,G. conglobatus,0
MD95-2042,37.799833,-10.1665,6.74,T. sacculifer,0
MD95-2042,37.799833,-10.1665,6.74,N. dutertrei,0
MD95-2042,37.799833,-10.1665,6.74,G. tenellus,0
MD95-2042,37.799833,-10.1665,6.74,G. calida,6
MD95-2042,37.799833,-10.1665,6.74,G. crassaformis,0
MD95-2042,37.799833,-10.1665,6.74,P. obliquiloculata,0
MD95-2042,37.799833,-10.1665,6.74,T. humilis,0
MD95-2042,37.799833,-10.1665,6.74,G. hexagonus,0
MD95-2042,37.799833,-10.1665,6.74,G. cultrata,0
MD95-2042,37.799833,-10.1665,6.74,G. truncatulinoides,1
MD95-2042,37.799833,-10.1665,6.85,N. pachyderma,1
MD95-2042,37.799833,-10.1665,6.85,N. incompta,107
MD95-2042,37.799833,-10.1665,6.85,G. bulloides,99
MD95-2042,37.799833,-10.1665,6.85,T. quinqueloba,14
MD95-2042,37.799833,-10.1665,6.85,G. scitula,36
MD95-2042,37.799833,-10.1665,6.85,G. glutinata,31
MD95-2042,37.799833,-10.1665,6.85,G. inflata,19
MD95-2042,37.799833,-10.1665,6.85,G. siphonifera,2
MD95-2042,37.799833,-10.1665,6.85,G. rubescens,0
MD95-2042,37.799833,-10.1665,6.85,G. falconensis,0
MD95-2042,37.799833,-10.1665,6.85,G. hirsuta,0
MD95-2042,37.799833,-10.1665,6.85,G. ruber albus,32
MD95-2042,37.799833,-10.1665,6.85,G. ruber ruber,0
MD95-2042,37.799833,-10.1665,6.85,B. digitata,0
MD95-2042,37.799833,-10.1665,6.85,O. universa,7
MD95-2042,37.799833,-10.1665,6.85,G. conglobatus,0
MD95-2042,37.799833,-10.1665,6.85,T. sacculifer,0
MD95-2042,37.799833,-10.1665,6.85,N. dutertrei,0
MD95-2042,37.799833,-10.1665,6.85,G. tenellus,0
MD95-2042,37.799833,-10.1665,6.85,G. calida,9
MD95-2042,37.799833,-10.1665,6.85,G. crassaformis,0
MD95-2042,37.799833,-10.1665,6.85,P. obliquiloculata,0
MD95-2042,37.799833,-10.1665,6.85,T. humilis,0
MD95-2042,37.799833,-10.1665,6.85,G. hexagonus,0
MD95-2042,37.799833,-10.1665,6.85,G. cultrata,0
MD95-2042,37.799833,-10.1665,6.85,G. truncatulinoides,0
MD95-2042,37.799833,-10.1665,6.94,N. pachyderma,1
MD95-2042,37.799833,-10.1665,6.94,N. incompta,89
MD95-2042,37.799833,-10.1665,6.94,G. bulloides,69
MD95-2042,37.799833,-10.1665,6.94,T. quinqueloba,13
MD95-2042,37.799833,-10.1665,6.94,G. scitula,45
MD95-2042,37.799833,-10.1665,6.94,G. glutinata,24
MD95-2042,37.799833,-10.1665,6.94,G. inflata,60
MD95-2042,37.799833,-10.1665,6.94,G. siphonifera,7
MD95-2042,37.799833,-10.1665,6.94,G. rubescens,1
MD95-2042,37.799833,-10.1665,6.94,G. falconensis,0
MD95-2042,37.799833,-10.1665,6.94,G. hirsuta,0
MD95-2042,37.799833,-10.1665,6.94,G. ruber albus,32
MD95-2042,37.799833,-10.1665,6.94,G. ruber ruber,0
MD95-2042,37.799833,-10.1665,6.94,B. digitata,0
MD95-2042,37.799833,-10.1665,6.94,O. universa,4
MD95-2042,37.799833,-10.1665,6.94,G. conglobatus,0
MD95-2042,37.799833,-10.1665,6.94,T. sacculifer,0
MD95-2042,37.799833,-10.1665,6.94,N. dutertrei,0
MD95-2042,37.799833,-10.1665,6.94,G. tenellus,0
MD95-2042,37.799833,-10.1665,6.94,G. calida,4
MD95-2042,37.799833,-10.1665,6.94,G. crassaformis,0
MD95-2042,37.799833,-10.1665,6.94,P. obliquiloculata,0
MD95-2042,37.799833,-10.1665,6.94,T. humilis,0
MD95-2042,37.799833,-10.1665,6.94,G. hexagonus,0
MD95-2042,37.799833,-10.1665,6.94,G. cultrata,0
MD95-2042,37.799833,-10.1665,6.94,G. truncatulinoides,1
