Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
40.581833,-9.861167,3.53,T. humilis,0
40.581833,-9.861167,3.53,C. nitida,0
40.581833,-9.861167,3.53,G. uvula,0
40.581833,-9.861167,3.53,T. iota,0
40.581833,-9.861167,3.53,G. truncatulinoides,1
40.581833,-9.861167,3.53,G. hirsuta,0
40.581833,-9.861167,3.56,O. universa,9
40.581833,-9.861167,3.56,G. conglobatus,0
40.581833,-9.861167,3.56,G. ruber ruber,0
40.581833,-9.861167,3.56,G. ruber albus,10
40.581833,-9.861167,3.56,G. tenellus,1
40.581833,-9.861167,3.56,T. sacculifer,0
40.581833,-9.861167,3.56,S. dehiscens,0
40.581833,-9.861167,3.56,G. eastropacia,28
40.581833,-9.861167,3.56,G. calida,0
40.581833,-9.861167,3.56,G. bulloides,87
40.581833,-9.861167,3.56,G. falconensis,24
40.581833,-9.861167,3.56,B. digitata,0
40.581833,-9.861167,3.56,G. rubescens,0
40.581833,-9.861167,3.56,T. quinqueloba,75
40.581833,-9.861167,3.56,N. pachyderma,35
40.581833,-9.861167,3.56,N. incompta,264
40.581833,-9.861167,3.56,N. dutertrei,0
40.581833,-9.861167,3.56,P. obliquiloculata,0
40.581833,-9.861167,3.56,G. inflata,146
40.581833,-9.861167,3.56,G. crassaformis,0
40.581833,-9.861167,3.56,G. scitula,89
40.581833,-9.861167,3.56,G. cultrata,0
40.581833,-9.861167,3.56,G. tumida,0
40.581833,-9.861167,3.56,G. glutinata,118
40.581833,-9.861167,3.56,T. humilis,0
40.581833,-9.861167,3.56,C. nitida,0
40.581833,-9.861167,3.56,G. uvula,0
40.581833,-9.861167,3.56,T. iota,0
40.581833,-9.861167,3.56,G. truncatulinoides,5
40.581833,-9.861167,3.56,G. hirsuta,0
40.581833,-9.861167,3.59,O. universa,4
40.581833,-9.861167,3.59,G. conglobatus,0
40.581833,-9.861167,3.59,G. ruber ruber,0
40.581833,-9.861167,3.59,G. ruber albus,5
40.581833,-9.861167,3.59,G. tenellus,1
40.581833,-9.861167,3.59,T. sacculifer,0
40.581833,-9.861167,3.59,S. dehiscens,0
40.581833,-9.861167,3.59,G. eastropacia,5
40.581833,-9.861167,3.59,G. calida,0
40.581833,-9.861167,3.59,G. bulloides,60
40.581833,-9.861167,3.59,G. falconensis,33
40.581833,-9.861167,3.59,B. digitata,1
40.581833,-9.861167,3.59,G. rubescens,0
40.581833,-9.861167,3.59,T. quinqueloba,42
40.581833,-9.861167,3.59,N. pachyderma,12
40.581833,-9.861167,3.59,N. incompta,164
40.581833,-9.861167,3.59,N. dutertrei,0
40.581833,-9.861167,3.59,P. obliquiloculata,0
40.581833,-9.861167,3.59,G. inflata,53
40.581833,-9.861167,3.59,G. crassaformis,0
40.581833,-9.861167,3.59,G. scitula,54
40.581833,-9.861167,3.59,G. cultrata,0
40.581833,-9.861167,3.59,G. tumida,0
40.581833,-9.861167,3.59,G. glutinata,60
40.581833,-9.861167,3.59,T. humilis,0
40.581833,-9.861167,3.59,C. nitida,0
40.581833,-9.861167,3.59,G. uvula,0
40.581833,-9.861167,3.59,T. iota,0
40.581833,-9.861167,3.59,G. truncatulinoides,1
40.581833,-9.861167,3.59,G. hirsuta,0
40.581833,-9.861167,3.62,O. universa,3
40.581833,-9.861167,3.62,G. conglobatus,0
40.581833,-9.861167,3.62,G. ruber ruber,0
40.581833,-9.861167,3.62,G. ruber albus,6
40.581833,-9.861167,3.62,G. tenellus,1
40.581833,-9.861167,3.62,T. sacculifer,0
40.581833,-9.861167,3.62,S. dehiscens,0
40.581833,-9.861167,3.62,G. eastropacia,9
40.581833,-9.861167,3.62,G. calida,0
40.581833,-9.861167,3.62,G. bulloides,60
40.581833,-9.861167,3.62,G. falconensis,17
40.581833,-9.861167,3.62,B. digitata,0
40.581833,-9.861167,3.62,G. rubescens,0
40.581833,-9.861167,3.62,T. quinqueloba,33
40.581833,-9.861167,3.62,N. pachyderma,10
40.581833,-9.861167,3.62,N. incompta,102
40.581833,-9.861167,3.62,N. dutertrei,0
40.581833,-9.861167,3.62,P. obliquiloculata,0
40.581833,-9.861167,3.62,G. inflata,46
40.581833,-9.861167,3.62,G. crassaformis,0
40.581833,-9.861167,3.62,G. scitula,27
40.581833,-9.861167,3.62,G. cultrata,0
40.581833,-9.861167,3.62,G. tumida,0
40.581833,-9.861167,3.62,G. glutinata,44
40.581833,-9.861167,3.62,T. humilis,0
40.581833,-9.861167,3.62,C. nitida,0
40.581833,-9.861167,3.62,G. uvula,0
40.581833,-9.861167,3.62,T. iota,0
40.581833,-9.861167,3.62,G. truncatulinoides,2
40.581833,-9.861167,3.62,G. hirsuta,0
40.581833,-9.861167,3.65,O. universa,6
40.581833,-9.861167,3.65,G. conglobatus,0
40.581833,-9.861167,3.65,G. ruber ruber,0
40.581833,-9.861167,3.65,G. ruber albus,4
40.581833,-9.861167,3.65,G. tenellus,0
40.581833,-9.861167,3.65,T. sacculifer,0
40.581833,-9.861167,3.65,S. dehiscens,0
40.581833,-9.861167,3.65,G. eastropacia,14
40.581833,-9.861167,3.65,G. calida,0
40.581833,-9.861167,3.65,G. bulloides,44
40.581833,-9.861167,3.65,G. falconensis,19
40.581833,-9.861167,3.65,B. digitata,0
40.581833,-9.861167,3.65,G. rubescens,0
40.581833,-9.861167,3.65,T. quinqueloba,35
40.581833,-9.861167,3.65,N. pachyderma,11
40.581833,-9.861167,3.65,N. incompta,115
40.581833,-9.861167,3.65,N. dutertrei,0
40.581833,-9.861167,3.65,P. obliquiloculata,0
40.581833,-9.861167,3.65,G. inflata,45
40.581833,-9.861167,3.65,G. crassaformis,0
40.581833,-9.861167,3.65,G. scitula,44
40.581833,-9.861167,3.65,G. cultrata,0
40.581833,-9.861167,3.65,G. tumida,0
40.581833,-9.861167,3.65,G. glutinata,56
40.581833,-9.861167,3.65,T. humilis,0
40.581833,-9.861167,3.65,C. nitida,0
40.581833,-9.861167,3.65,G. uvula,0
40.581833,-9.861167,3.65,T. iota,0
40.581833,-9.861167,3.65,G. truncatulinoides,0
40.581833,-9.861167,3.65,G. hirsuta,0
40.581833,-9.861167,3.68,O. universa,2
40.581833,-9.861167,3.68,G. conglobatus,0
40.581833,-9.861167,3.68,G. ruber ruber,0
40.581833,-9.861167,3.68,G. ruber albus,9
40.581833,-9.861167,3.68,G. tenellus,0
40.581833,-9.861167,3.68,T. sacculifer,0
40.581833,-9.861167,3.68,S. dehiscens,0
40.581833,-9.861167,3.68,G. eastropacia,17
40.581833,-9.861167,3.68,G. calida,0
40.581833,-9.861167,3.68,G. bulloides,78
40.581833,-9.861167,3.68,G. falconensis,27
40.581833,-9.861167,3.68,B. digitata,0
40.581833,-9.861167,3.68,G. rubescens,0
40.581833,-9.861167,3.68,T. quinqueloba,25
40.581833,-9.861167,3.68,N. pachyderma,17
40.581833,-9.861167,3.68,N. incompta,134
40.581833,-9.861167,3.68,N. dutertrei,0
40.581833,-9.861167,3.68,P. obliquiloculata,0
40.581833,-9.861167,3.68,G. inflata,60
40.581833,-9.861167,3.68,G. crassaformis,0
40.581833,-9.861167,3.68,G. scitula,54
40.581833,-9.861167,3.68,G. cultrata,0
40.581833,-9.861167,3.68,G. tumida,0
40.581833,-9.861167,3.68,G. glutinata,55
40.581833,-9.861167,3.68,T. humilis,0
40.581833,-9.861167,3.68,C. nitida,0
40.581833,-9.861167,3.68,G. uvula,0
40.581833,-9.861167,3.68,T. iota,0
40.581833,-9.861167,3.68,G. truncatulinoides,1
40.581833,-9.861167,3.68,G. hirsuta,0
40.581833,-9.861167,3.71,O. universa,4
40.581833,-9.861167,3.71,G. conglobatus,0
40.581833,-9.861167,3.71,G. ruber ruber,0
40.581833,-9.861167,3.71,G. ruber albus,10
40.581833,-9.861167,3.71,G. tenellus,0
40.581833,-9.861167,3.71,T. sacculifer,0
40.581833,-9.861167,3.71,S. dehiscens,0
40.581833,-9.861167,3.71,G. eastropacia,3
40.581833,-9.861167,3.71,G. calida,0
40.581833,-9.861167,3.71,G. bulloides,69
40.581833,-9.861167,3.71,G. falconensis,20
40.581833,-9.861167,3.71,B. digitata,0
40.581833,-9.861167,3.71,G. rubescens,0
40.581833,-9.861167,3.71,T. quinqueloba,27
40.581833,-9.861167,3.71,N. pachyderma,7
40.581833,-9.861167,3.71,N. incompta,119
40.581833,-9.861167,3.71,N. dutertrei,0
40.581833,-9.861167,3.71,P. obliquiloculata,0
40.581833,-9.861167,3.71,G. inflata,52
40.581833,-9.861167,3.71,G. crassaformis,0
40.581833,-9.861167,3.71,G. scitula,29
40.581833,-9.861167,3.71,G. cultrata,0
40.581833,-9.861167,3.71,G. tumida,0
40.581833,-9.861167,3.71,G. glutinata,36
40.581833,-9.861167,3.71,T. humilis,0
40.581833,-9.861167,3.71,C. nitida,0
40.581833,-9.861167,3.71,G. uvula,0
40.581833,-9.861167,3.71,T. iota,0
40.581833,-9.861167,3.71,G. truncatulinoides,0
40.581833,-9.861167,3.71,G. hirsuta,0
40.581833,-9.861167,3.74,O. universa,2
40.581833,-9.861167,3.74,G. conglobatus,0
40.581833,-9.861167,3.74,G. ruber ruber,0
40.581833,-9.861167,3.74,G. ruber albus,14
40.581833,-9.861167,3.74,G. tenellus,0
40.581833,-9.861167,3.74,T. sacculifer,0
40.581833,-9.861167,3.74,S. dehiscens,0
