Latitude,Longitude,Event,Elevation [m],Depth [m],Species,Relative Abundance
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. glutinata,0.0194
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. menardii,0.0015
-6.5823,10.3186,GeoB1008-3,-3124,2.28,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,T. quinqueloba,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. ruber ruber,0.0404
-6.5823,10.3186,GeoB1008-3,-3124,2.28,T. sacculifer,0.012
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. tumida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. truncatulinoides,0.0015
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. digitata,0.012
-6.5823,10.3186,GeoB1008-3,-3124,2.28,T. humilis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,C. nitida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. rubescens,0.006
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. uvula,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.28,G. theyeri,0.0015
-6.5823,10.3186,GeoB1008-3,-3124,2.28,T. iota,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. bulloides,0.1996
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. crassaformis,0.0209
-6.5823,10.3186,GeoB1008-3,-3124,2.33,N. dutertrei,0.0551
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. inflata,0.3197
-6.5823,10.3186,GeoB1008-3,-3124,2.33,N. incompta,0.1852
-6.5823,10.3186,GeoB1008-3,-3124,2.33,N. pachyderma,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. ruber albus,0.0165
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. scitula,0.0298
-6.5823,10.3186,GeoB1008-3,-3124,2.33,O. universa,0.0926
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. aequilateralis,0.0066
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. calida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. glutinata,0.0066
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. menardii,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,T. quinqueloba,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. ruber ruber,0.0397
-6.5823,10.3186,GeoB1008-3,-3124,2.33,T. sacculifer,0.0154
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. tumida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. truncatulinoides,0.0011
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. digitata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,T. humilis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,C. nitida,0.0011
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. uvula,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.33,G. theyeri,0.0099
-6.5823,10.3186,GeoB1008-3,-3124,2.33,T. iota,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. bulloides,0.2
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. crassaformis,0.025
-6.5823,10.3186,GeoB1008-3,-3124,2.38,N. dutertrei,0.0182
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. inflata,0.3159
-6.5823,10.3186,GeoB1008-3,-3124,2.38,N. incompta,0.1773
-6.5823,10.3186,GeoB1008-3,-3124,2.38,N. pachyderma,0.0091
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. ruber albus,0.0727
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. scitula,0.0205
-6.5823,10.3186,GeoB1008-3,-3124,2.38,O. universa,0.0591
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. aequilateralis,0.0068
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. calida,0.0023
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. glutinata,0.0068
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. menardii,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,T. quinqueloba,0.0045
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. ruber ruber,0.0568
-6.5823,10.3186,GeoB1008-3,-3124,2.38,T. sacculifer,0.0114
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. tumida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. truncatulinoides,0.0023
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. digitata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,T. humilis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,C. nitida,0.0023
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. uvula,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.38,G. theyeri,0.0091
-6.5823,10.3186,GeoB1008-3,-3124,2.38,T. iota,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. bulloides,0.2753
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. crassaformis,0.01
-6.5823,10.3186,GeoB1008-3,-3124,2.43,N. dutertrei,0.0282
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. inflata,0.1095
-6.5823,10.3186,GeoB1008-3,-3124,2.43,N. incompta,0.1625
-6.5823,10.3186,GeoB1008-3,-3124,2.43,N. pachyderma,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. ruber albus,0.073
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. scitula,0.0464
-6.5823,10.3186,GeoB1008-3,-3124,2.43,O. universa,0.1343
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. aequilateralis,0.0133
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. calida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. glutinata,0.0199
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. menardii,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,T. quinqueloba,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. ruber ruber,0.0779
-6.5823,10.3186,GeoB1008-3,-3124,2.43,T. sacculifer,0.0216
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. tumida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. truncatulinoides,0.0017
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. digitata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,T. humilis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,C. nitida,0.0017
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. uvula,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.43,G. theyeri,0.0249
-6.5823,10.3186,GeoB1008-3,-3124,2.43,T. iota,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. bulloides,0.2123
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. crassaformis,0.0189
-6.5823,10.3186,GeoB1008-3,-3124,2.48,N. dutertrei,0.0047
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. inflata,0.1179
-6.5823,10.3186,GeoB1008-3,-3124,2.48,N. incompta,0.0896
-6.5823,10.3186,GeoB1008-3,-3124,2.48,N. pachyderma,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. ruber albus,0.1179
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. scitula,0.0283
-6.5823,10.3186,GeoB1008-3,-3124,2.48,O. universa,0.1981
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. aequilateralis,0.0189
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. calida,0.0142
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. glutinata,0.0189
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. menardii,0.0047
-6.5823,10.3186,GeoB1008-3,-3124,2.48,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,T. quinqueloba,0.0047
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. ruber ruber,0.0377
-6.5823,10.3186,GeoB1008-3,-3124,2.48,T. sacculifer,0.0424
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. tumida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. truncatulinoides,0.0047
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. conglobatus,0.0047
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. digitata,0.0047
-6.5823,10.3186,GeoB1008-3,-3124,2.48,T. humilis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,C. nitida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. uvula,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,P. obliquiloculata,0.0047
-6.5823,10.3186,GeoB1008-3,-3124,2.48,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.48,G. theyeri,0.0519
-6.5823,10.3186,GeoB1008-3,-3124,2.48,T. iota,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. bulloides,0.3859
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. crassaformis,0.0554
-6.5823,10.3186,GeoB1008-3,-3124,2.53,N. dutertrei,0.037
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. inflata,0.088
-6.5823,10.3186,GeoB1008-3,-3124,2.53,N. incompta,0.1152
-6.5823,10.3186,GeoB1008-3,-3124,2.53,N. pachyderma,0.0043
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. ruber albus,0.0511
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. scitula,0.0511
-6.5823,10.3186,GeoB1008-3,-3124,2.53,O. universa,0.0859
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. aequilateralis,0.0054
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. calida,0.0022
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. glutinata,0.0109
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. menardii,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,T. quinqueloba,0.0022
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. ruber ruber,0.0283
-6.5823,10.3186,GeoB1008-3,-3124,2.53,T. sacculifer,0.0445
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. tumida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. digitata,0.0098
-6.5823,10.3186,GeoB1008-3,-3124,2.53,T. humilis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,C. nitida,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. rubescens,0.0087
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. uvula,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,P. obliquiloculata,0.0011
-6.5823,10.3186,GeoB1008-3,-3124,2.53,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.53,G. theyeri,0.013
-6.5823,10.3186,GeoB1008-3,-3124,2.53,T. iota,0
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. bulloides,0.2729
-6.5823,10.3186,GeoB1008-3,-3124,2.58,G. crassaformis,0.0652
