Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
PS1243-1,69.3718,-6.553,0.68,G. bulloides,0
PS1243-1,69.3718,-6.553,0.68,T. quinqueloba,0
PS1243-1,69.3718,-6.553,0.68,G. glutinata,0
PS1243-1,69.3718,-6.553,0.68,G. uvula,0
PS1243-1,69.3718,-6.553,0.68,G. eastropacia,0
PS1243-1,69.3718,-6.553,0.68,O. universa,0
PS1243-1,69.3718,-6.553,0.68,G. inflata,0
PS1243-1,69.3718,-6.553,0.68,G. scitula,0
PS1243-1,69.3718,-6.553,0.68,N. pachyderma,381
PS1243-1,69.3718,-6.553,0.68,N. incompta,13
