Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Absolute Abundance
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.23,G. uvula,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,O. universa,39
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. conglobatus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. ruber ruber,21
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. ruber albus,4
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. tenellus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,T. sacculifer,7
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,S. dehiscens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. adamsi,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. siphonifera,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. calida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. bulloides,178
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. falconensis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,B. digitata,7
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. rubescens,4
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,T. humilis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,T. quinqueloba,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,N. pachyderma,2
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,N. dutertrei,25
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,N. incompta,46
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. conglomerata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. hexagonus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,P. obliquiloculata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. inflata,150
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. truncatulinoides,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. crassaformis,4
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. hirsuta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. scitula,13
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,D. anfracta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. tumida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. cultrata,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,C. nitida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. glutinata,10
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. eastropacia,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,T. iota,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,G. uvula,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,O. universa,45
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. conglobatus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. ruber ruber,19
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. ruber albus,8
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. tenellus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,T. sacculifer,8
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,S. dehiscens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. adamsi,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. siphonifera,4
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. calida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. bulloides,96
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. falconensis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,B. digitata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. rubescens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,T. humilis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,T. quinqueloba,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,N. pachyderma,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,N. dutertrei,27
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,N. incompta,89
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. conglomerata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. hexagonus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,P. obliquiloculata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. inflata,153
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. truncatulinoides,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. crassaformis,10
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. hirsuta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. scitula,15
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,D. anfracta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. tumida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. cultrata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,C. nitida,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. glutinata,4
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. eastropacia,5
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,T. iota,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,G. uvula,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,O. universa,20
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. conglobatus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. ruber ruber,19
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. ruber albus,24
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. tenellus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,T. sacculifer,4
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,S. dehiscens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. adamsi,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. siphonifera,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. calida,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. bulloides,65
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. falconensis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,B. digitata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. rubescens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,T. humilis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,T. quinqueloba,2
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,N. pachyderma,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,N. dutertrei,6
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,N. incompta,58
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. conglomerata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. hexagonus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,P. obliquiloculata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. inflata,103
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. truncatulinoides,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. crassaformis,9
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. hirsuta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. scitula,7
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,D. anfracta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. tumida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. cultrata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,C. nitida,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. glutinata,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. eastropacia,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,T. iota,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,G. uvula,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,O. universa,52
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. conglobatus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. ruber ruber,31
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. ruber albus,29
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. tenellus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,T. sacculifer,9
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,S. dehiscens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. adamsi,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. siphonifera,6
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. calida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. bulloides,107
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. falconensis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,B. digitata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. rubescens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,T. humilis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,T. quinqueloba,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,N. pachyderma,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,N. dutertrei,11
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,N. incompta,63
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. conglomerata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. hexagonus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,P. obliquiloculata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. inflata,43
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. truncatulinoides,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. crassaformis,4
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. hirsuta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. scitula,18
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,D. anfracta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. tumida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. cultrata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,C. nitida,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. glutinata,8
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. eastropacia,10
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,T. iota,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,G. uvula,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,O. universa,42
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. conglobatus,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. ruber ruber,8
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. ruber albus,25
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. tenellus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,T. sacculifer,9
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,S. dehiscens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. adamsi,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. siphonifera,5
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. calida,4
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. bulloides,46
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. falconensis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,B. digitata,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. rubescens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,T. humilis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,T. quinqueloba,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,N. pachyderma,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,N. dutertrei,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,N. incompta,19
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. conglomerata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. hexagonus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,P. obliquiloculata,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. inflata,25
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. truncatulinoides,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. crassaformis,5
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. hirsuta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. scitula,6
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,D. anfracta,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. tumida,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,G. cultrata,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,C. nitida,0
