Event,Latitude,Longitude,Elevation,Depth,Species,Absolute Abundance
A15-559FF,8.983,51.733,-3797,3,B. pumilio,0
A15-559FF,8.983,51.733,-3797,3,H. pelagica,0
A15-559FF,8.983,51.733,-3797,3,H. digitata,0
A157-3,50.9332,-41.75,-4025,4,O. universa,0
A157-3,50.9332,-41.75,-4025,4,G. conglobatus,1
A157-3,50.9332,-41.75,-4025,4,G. ruber ruber,0
A157-3,50.9332,-41.75,-4025,4,G. ruber albus,4
A157-3,50.9332,-41.75,-4025,4,G. tenellus,0
A157-3,50.9332,-41.75,-4025,4,T. sacculifer,1
A157-3,50.9332,-41.75,-4025,4,S. dehiscens,0
A157-3,50.9332,-41.75,-4025,4,G. adamsi,0
A157-3,50.9332,-41.75,-4025,4,G. aequilateralis,0
A157-3,50.9332,-41.75,-4025,4,G. calida,0
A157-3,50.9332,-41.75,-4025,4,G. bulloides,150
A157-3,50.9332,-41.75,-4025,4,G. falconensis,3
A157-3,50.9332,-41.75,-4025,4,G. digitata,0
A157-3,50.9332,-41.75,-4025,4,G. rubescens,0
A157-3,50.9332,-41.75,-4025,4,T. humilis,0
A157-3,50.9332,-41.75,-4025,4,T. quinqueloba,4
A157-3,50.9332,-41.75,-4025,4,N. pachyderma,213
A157-3,50.9332,-41.75,-4025,4,N. incompta,104
A157-3,50.9332,-41.75,-4025,4,N. dutertrei,8
A157-3,50.9332,-41.75,-4025,4,G. conglomerata,0
A157-3,50.9332,-41.75,-4025,4,G. hexagonus,0
A157-3,50.9332,-41.75,-4025,4,P. obliquiloculata,0
A157-3,50.9332,-41.75,-4025,4,G. inflata,162
A157-3,50.9332,-41.75,-4025,4,T. truncatulinoides,13
A157-3,50.9332,-41.75,-4025,4,G. crassaformis,0
A157-3,50.9332,-41.75,-4025,4,G. hirsuta,14
A157-3,50.9332,-41.75,-4025,4,G. scitula,0
A157-3,50.9332,-41.75,-4025,4,D. anfracta,0
A157-3,50.9332,-41.75,-4025,4,G. cultrata,1
A157-3,50.9332,-41.75,-4025,4,G. tumida,0
A157-3,50.9332,-41.75,-4025,4,C. nitida,0
A157-3,50.9332,-41.75,-4025,4,G. glutinata,14
A157-3,50.9332,-41.75,-4025,4,T. iota,0
A157-3,50.9332,-41.75,-4025,4,G. uvula,0
A157-3,50.9332,-41.75,-4025,4,B. pumilio,0
A157-3,50.9332,-41.75,-4025,4,H. pelagica,0
A157-3,50.9332,-41.75,-4025,4,H. digitata,0
A164-13,35.7167,-67.3333,-5103,5,O. universa,1
A164-13,35.7167,-67.3333,-5103,5,G. conglobatus,3
A164-13,35.7167,-67.3333,-5103,5,G. ruber ruber,0
A164-13,35.7167,-67.3333,-5103,5,G. ruber albus,76
A164-13,35.7167,-67.3333,-5103,5,G. tenellus,0
A164-13,35.7167,-67.3333,-5103,5,T. sacculifer,36
A164-13,35.7167,-67.3333,-5103,5,S. dehiscens,1
A164-13,35.7167,-67.3333,-5103,5,G. adamsi,0
A164-13,35.7167,-67.3333,-5103,5,G. aequilateralis,8
A164-13,35.7167,-67.3333,-5103,5,G. calida,2
A164-13,35.7167,-67.3333,-5103,5,G. bulloides,106
A164-13,35.7167,-67.3333,-5103,5,G. falconensis,5
A164-13,35.7167,-67.3333,-5103,5,G. digitata,0
A164-13,35.7167,-67.3333,-5103,5,G. rubescens,0
A164-13,35.7167,-67.3333,-5103,5,T. humilis,1
A164-13,35.7167,-67.3333,-5103,5,T. quinqueloba,0
A164-13,35.7167,-67.3333,-5103,5,N. pachyderma,4
A164-13,35.7167,-67.3333,-5103,5,N. incompta,7
A164-13,35.7167,-67.3333,-5103,5,N. dutertrei,34
A164-13,35.7167,-67.3333,-5103,5,G. conglomerata,0
A164-13,35.7167,-67.3333,-5103,5,G. hexagonus,0
A164-13,35.7167,-67.3333,-5103,5,P. obliquiloculata,22
A164-13,35.7167,-67.3333,-5103,5,G. inflata,45
A164-13,35.7167,-67.3333,-5103,5,T. truncatulinoides,18
A164-13,35.7167,-67.3333,-5103,5,G. crassaformis,0
A164-13,35.7167,-67.3333,-5103,5,G. hirsuta,27
A164-13,35.7167,-67.3333,-5103,5,G. scitula,0
A164-13,35.7167,-67.3333,-5103,5,D. anfracta,0
