Latitude,Longitude,Event,Depth [m],Species,Absolute Abundance
-6.5823,10.3186,GeoB1008-3,2.28,G. digitata,6
-6.5823,10.3186,GeoB1008-3,2.28,T. humilis,0
-6.5823,10.3186,GeoB1008-3,2.28,C. nitida,0
-6.5823,10.3186,GeoB1008-3,2.28,G. rubescens,3
-6.5823,10.3186,GeoB1008-3,2.28,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,2.28,G. uvula,0
-6.5823,10.3186,GeoB1008-3,2.28,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,2.28,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,2.28,G. theyeri,0
-6.5823,10.3186,GeoB1008-3,2.28,T. iota,0
-6.5823,10.3186,GeoB1008-3,2.33,G. bulloides,95
-6.5823,10.3186,GeoB1008-3,2.33,G. crassaformis,9
-6.5823,10.3186,GeoB1008-3,2.33,N. dutertrei,26
-6.5823,10.3186,GeoB1008-3,2.33,G. inflata,152
-6.5823,10.3186,GeoB1008-3,2.33,N. incompta,88
-6.5823,10.3186,GeoB1008-3,2.33,N. pachyderma,0
-6.5823,10.3186,GeoB1008-3,2.33,G. ruber albus,7
-6.5823,10.3186,GeoB1008-3,2.33,G. scitula,14
-6.5823,10.3186,GeoB1008-3,2.33,O. universa,44
-6.5823,10.3186,GeoB1008-3,2.33,G. aequilateralis,3
-6.5823,10.3186,GeoB1008-3,2.33,G. calida,0
-6.5823,10.3186,GeoB1008-3,2.33,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,2.33,G. glutinata,3
-6.5823,10.3186,GeoB1008-3,2.33,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,2.33,G. menardii,0
-6.5823,10.3186,GeoB1008-3,2.33,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,2.33,T. quinqueloba,0
-6.5823,10.3186,GeoB1008-3,2.33,G. ruber ruber,18
-6.5823,10.3186,GeoB1008-3,2.33,T. sacculifer,7
-6.5823,10.3186,GeoB1008-3,2.33,G. tumida,0
-6.5823,10.3186,GeoB1008-3,2.33,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,2.33,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,2.33,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,2.33,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,2.33,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,2.33,G. digitata,0
-6.5823,10.3186,GeoB1008-3,2.33,T. humilis,0
-6.5823,10.3186,GeoB1008-3,2.33,C. nitida,0
-6.5823,10.3186,GeoB1008-3,2.33,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,2.33,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,2.33,G. uvula,0
-6.5823,10.3186,GeoB1008-3,2.33,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,2.33,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,2.33,G. theyeri,4
-6.5823,10.3186,GeoB1008-3,2.33,T. iota,0
-6.5823,10.3186,GeoB1008-3,2.38,G. bulloides,65
-6.5823,10.3186,GeoB1008-3,2.38,G. crassaformis,8
-6.5823,10.3186,GeoB1008-3,2.38,N. dutertrei,5
-6.5823,10.3186,GeoB1008-3,2.38,G. inflata,102
-6.5823,10.3186,GeoB1008-3,2.38,N. incompta,57
-6.5823,10.3186,GeoB1008-3,2.38,N. pachyderma,2
-6.5823,10.3186,GeoB1008-3,2.38,G. ruber albus,23
-6.5823,10.3186,GeoB1008-3,2.38,G. scitula,6
-6.5823,10.3186,GeoB1008-3,2.38,O. universa,19
-6.5823,10.3186,GeoB1008-3,2.38,G. aequilateralis,2
-6.5823,10.3186,GeoB1008-3,2.38,G. calida,0
-6.5823,10.3186,GeoB1008-3,2.38,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,2.38,G. glutinata,2
-6.5823,10.3186,GeoB1008-3,2.38,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,2.38,G. menardii,0
-6.5823,10.3186,GeoB1008-3,2.38,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,2.38,T. quinqueloba,1
-6.5823,10.3186,GeoB1008-3,2.38,G. ruber ruber,18
-6.5823,10.3186,GeoB1008-3,2.38,T. sacculifer,3
-6.5823,10.3186,GeoB1008-3,2.38,G. tumida,0
-6.5823,10.3186,GeoB1008-3,2.38,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,2.38,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,2.38,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,2.38,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,2.38,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,2.38,G. digitata,0
-6.5823,10.3186,GeoB1008-3,2.38,T. humilis,0
-6.5823,10.3186,GeoB1008-3,2.38,C. nitida,0
-6.5823,10.3186,GeoB1008-3,2.38,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,2.38,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,2.38,G. uvula,0
-6.5823,10.3186,GeoB1008-3,2.38,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,2.38,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,2.38,G. theyeri,2
-6.5823,10.3186,GeoB1008-3,2.38,T. iota,0
-6.5823,10.3186,GeoB1008-3,2.43,G. bulloides,106
-6.5823,10.3186,GeoB1008-3,2.43,G. crassaformis,3
-6.5823,10.3186,GeoB1008-3,2.43,N. dutertrei,10
-6.5823,10.3186,GeoB1008-3,2.43,G. inflata,42
-6.5823,10.3186,GeoB1008-3,2.43,N. incompta,62
-6.5823,10.3186,GeoB1008-3,2.43,N. pachyderma,0
-6.5823,10.3186,GeoB1008-3,2.43,G. ruber albus,28
-6.5823,10.3186,GeoB1008-3,2.43,G. scitula,17
-6.5823,10.3186,GeoB1008-3,2.43,O. universa,51
-6.5823,10.3186,GeoB1008-3,2.43,G. aequilateralis,5
-6.5823,10.3186,GeoB1008-3,2.43,G. calida,0
-6.5823,10.3186,GeoB1008-3,2.43,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,2.43,G. glutinata,7
-6.5823,10.3186,GeoB1008-3,2.43,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,2.43,G. menardii,0
-6.5823,10.3186,GeoB1008-3,2.43,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,2.43,T. quinqueloba,0
-6.5823,10.3186,GeoB1008-3,2.43,G. ruber ruber,30
-6.5823,10.3186,GeoB1008-3,2.43,T. sacculifer,8
-6.5823,10.3186,GeoB1008-3,2.43,G. tumida,0
-6.5823,10.3186,GeoB1008-3,2.43,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,2.43,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,2.43,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,2.43,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,2.43,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,2.43,G. digitata,0
-6.5823,10.3186,GeoB1008-3,2.43,T. humilis,0
-6.5823,10.3186,GeoB1008-3,2.43,C. nitida,0
